chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.allow_partial,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.input1_chromCol,parameters.input1_dbkey,parameters.input1_endCol,parameters.input1_species,parameters.input1_startCol,parameters.input1_strandCol,parameters.min_species,parameters.species,parameters.species.__class__,parameters.species.value,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-10-25 16:49:37.283550,slurm_normal,1508950200.0,0.0,,1.0,main_w4_handler0,3298627,17215426,False,,4403738,maf,11276167,slurm,,132112168.0,corral-repl,,"""0""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 31860557}]",,,,,,,"""1""","[""cpi"", ""mte"", ""gin"", ""gag"", ""scr"", ""str"", ""cmy"", ""psi"", ""asp"", ""ema"", ""gga""]",,,32.0,,39989242,1508950194.0,ok,1023996.0,MAF_Limit_To_Species1,1.0.0,,2017-10-25 16:50:05.139853,110401.0,6.0
,,2017-10-25 16:36:02.527886,slurm_normal,1508949529.0,0.0,,1.0,main_w3_handler0,3298627,17215354,False,,2767552,maf,11276047,slurm,,132112168.0,corral-repl,,"""0""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 31860548}]",,,,,,,"""1""","[""cpi"", ""mte"", ""gin"", ""gag"", ""scr"", ""str"", ""psi"", ""ema"", ""gga"", ""asp"", ""cmy""]",,,32.0,,39989242,1508949523.0,ok,1023996.0,MAF_Limit_To_Species1,1.0.0,,2017-10-25 16:38:58.810169,110401.0,6.0
,,2017-10-25 16:51:12.311226,slurm_normal,1508950301.0,0.0,,1.0,main_w3_handler0,3298627,17215431,False,Job output deleted by user before job completed.,3978766,maf,11276176,slurm,,132112168.0,corral-repl,,"""0""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 31860567}]",,,,,,,"""1""","[""cpi"", ""mte"", ""gin"", ""gag"", ""str"", ""cmy"", ""asp"", ""ema"", ""gga"", ""psi"", ""scr""]",,,32.0,,39989242,1508950295.0,ok,1023996.0,MAF_Limit_To_Species1,1.0.0,,2017-10-25 16:51:48.458229,110401.0,6.0
,,2017-10-25 16:47:11.334604,slurm_normal,1508950098.0,0.0,,1.0,main_w4_handler0,3298627,17215411,False,,112030652,maf,11276148,slurm,,132112168.0,corral-repl,,"""0""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 31860586}]",,,,,,,"""1""","[""cpi"", ""mte"", ""gin"", ""gag"", ""str"", ""cmy"", ""asp"", ""ema"", ""gga"", ""scr"", ""psi""]",,,32.0,,39989242,1508950045.0,ok,1023996.0,MAF_Limit_To_Species1,1.0.0,,2017-10-25 16:48:26.029564,110401.0,53.0
,,2017-10-25 16:48:36.208759,slurm_normal,1508950137.0,0.0,,1.0,main_w4_handler0,3298627,17215421,False,,3978766,maf,11276161,slurm,,132112168.0,corral-repl,,"""0""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 31860567}]",,,,,,,"""1""","[""cpi"", ""mte"", ""gin"", ""gag"", ""str"", ""cmy"", ""asp"", ""ema"", ""gga"", ""psi"", ""scr""]",,,32.0,,39989242,1508950131.0,ok,1023996.0,MAF_Limit_To_Species1,1.0.0,,2017-10-25 16:49:02.792278,110401.0,6.0
,,2017-10-25 16:49:51.314344,slurm_normal,1508950218.0,0.0,,1.0,main_w3_handler0,3298627,17215427,False,,8356503,maf,11276168,slurm,,132112168.0,corral-repl,,"""0""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 31860555}]",,,,,,,"""1""","[""cpi"", ""mte"", ""gin"", ""gag"", ""str"", ""cmy"", ""psi"", ""asp"", ""ema"", ""gga"", ""scr""]",,,32.0,,39989242,1508950211.0,ok,1023996.0,MAF_Limit_To_Species1,1.0.0,,2017-10-25 16:50:32.948327,110401.0,7.0
,,2017-10-25 16:50:46.394892,slurm_normal,1508950271.0,0.0,,1.0,main_w3_handler0,3298627,17215429,False,,3177773,maf,11276173,slurm,,132112168.0,corral-repl,,"""0""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 31860551}]",,,,,,,"""1""","[""cpi"", ""mte"", ""gin"", ""gag"", ""scr"", ""str"", ""cmy"", ""asp"", ""ema"", ""gga"", ""psi""]",,,32.0,,39989242,1508950265.0,ok,1023996.0,MAF_Limit_To_Species1,1.0.0,,2017-10-25 16:51:20.288547,110401.0,6.0
,,2017-10-25 16:50:10.494742,slurm_normal,1508950236.0,0.0,,1.0,main_w3_handler1,3298627,17215428,False,,40750730,maf,11276169,slurm,,132112168.0,corral-repl,,"""0""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 31860553}]",,,,,,,"""1""","[""cpi"", ""mte"", ""gin"", ""gag"", ""scr"", ""str"", ""cmy"", ""psi"", ""asp"", ""ema"", ""gga""]",,,32.0,,39989242,1508950220.0,ok,1023996.0,MAF_Limit_To_Species1,1.0.0,,2017-10-25 16:50:39.541387,110401.0,16.0
,,2017-10-25 16:50:58.252011,slurm_normal,1508950278.0,0.0,,1.0,main_w4_handler1,3298627,17215430,False,,10648897,maf,11276174,slurm,,132112168.0,corral-repl,,"""0""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 31860550}]",,,,,,,"""1""","[""cpi"", ""mte"", ""gin"", ""gag"", ""str"", ""cmy"", ""psi"", ""ema"", ""gga"", ""asp"", ""scr""]",,,32.0,,39989242,1508950269.0,ok,1023996.0,MAF_Limit_To_Species1,1.0.0,,2017-10-25 16:51:20.225917,110401.0,9.0
,,2017-10-25 16:47:47.207143,slurm_normal,1508950131.0,0.0,,1.0,main_w4_handler0,3298627,17215416,False,,111740241,maf,11276153,slurm,,132112168.0,corral-repl,,"""0""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 31860585}]",,,,,,,"""1""","[""cpi"", ""mte"", ""gin"", ""gag"", ""str"", ""cmy"", ""psi"", ""asp"", ""ema"", ""gga"", ""scr""]",,,32.0,,39989242,1508950082.0,ok,1023996.0,MAF_Limit_To_Species1,1.0.0,,2017-10-25 16:48:57.535812,110401.0,49.0
