chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.minlen,parameters.minoe,parameters.minpc,parameters.window,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-12-24 15:58:38.521542,slurm_normal,1482595133.0,0.0,1.0,main_w4_handler0,2938899,14642307,False,,15971,fasta,8817385.roundup,slurm,,132112168.0,corral-repl,,"""cdbbeb00c9f111e69ed1005056a52a46""","""/galaxy-repl/localdata/chrom/Spur_v2.6.len""","""Spur_v2.6""",,"[{'src': 'hda', 'id': 27737113}]","""200""","""0.6""","""50.0""","""100""",32.0,,,1482595128.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: cpgplot15/5.0.0,5.0.0,,2016-12-24 15:58:55.577882,91216.0,5.0
,,2016-12-26 09:34:05.375014,slurm_normal,1482744854.0,0.0,1.0,main_w3_handler1,2939535,14646806,False,,24937,fasta,8821158.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27743521}]","""200""","""0.6""","""50.0""","""100""",32.0,,35046192.0,1482744849.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: cpgplot15/5.0.0,5.0.0,,2016-12-26 09:34:16.214165,,5.0
,,2016-12-26 16:49:36.735906,slurm_normal,1482770994.0,0.0,1.0,main_w3_handler1,2939789,14648018,False,,17177,fasta,8822122.roundup,slurm,,132111800.0,corral-repl,,"""46a6ebf6cb8b11e68eb6005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27745810}]","""200""","""0.6""","""50.0""","""100""",32.0,,,1482770990.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: cpgplot15/5.0.0,5.0.0,,2016-12-26 16:49:56.875666,91742.0,4.0
,,2016-12-26 16:52:05.087299,slurm_normal,1482771186.0,0.0,1.0,main_w4_handler1,2845193,14648036,False,,17177,fasta,8822136.roundup,slurm,,132111800.0,corral-repl,,"""9da070f8cb8b11e68bec005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27745810}]","""200""","""0.6""","""50.0""","""100""",32.0,,,1482771131.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: cpgplot15/5.0.0,5.0.0,,2016-12-26 16:53:08.093067,91742.0,55.0
,,2016-12-27 16:32:39.641331,slurm_normal,1482856381.0,0.0,1.0,main_w4_handler0,2940479,14652568,False,,47486,fasta,8826429.roundup,slurm,,132111800.0,corral-repl,,"""133940bccc5211e68cd5005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27753132}]","""100""","""0.6""","""50.0""","""100""",32.0,,,1482856373.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: cpgplot15/5.0.0,5.0.0,,2016-12-27 16:33:03.979159,91477.0,8.0
,,2016-12-30 13:12:02.555167,slurm_normal,1483103536.0,0.0,1.0,main_w4_handler1,2942261,14666467,False,,45155,fasta,8838868.roundup,slurm,,132111800.0,corral-repl,,"""888f47c6ce9111e6936f005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27774905}]","""200""","""0.6""","""50.0""","""100""",32.0,,,1483103529.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: cpgplot15/5.0.0,5.0.0,,2016-12-30 13:12:19.124376,91458.0,7.0
,,2017-01-02 15:20:00.163053,slurm_normal,1483370408.0,0.0,1.0,main_w4_handler0,2944140,14675761,False,,17002,fasta,8846380.roundup,slurm,,132111800.0,corral-repl,,"""ea9e0c12d0fe11e68bcf005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27760994}]","""200""","""0.6""","""50.0""","""100""",32.0,,,1483370404.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: cpgplot15/5.0.0,5.0.0,,2017-01-02 15:20:10.203755,91462.0,4.0
,,2017-01-03 15:46:59.770544,slurm_normal,1483458434.0,0.0,1.0,main_w3_handler0,2939827,14681861,False,,17002,fasta,8852030.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27746162}]","""200""","""0.6""","""50.0""","""100""",32.0,,33897912.0,1483458429.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: cpgplot15/5.0.0,5.0.0,,2017-01-03 15:47:19.499275,91471.0,5.0
,,2017-01-06 17:45:16.848775,slurm_normal,1483724727.0,0.0,1.0,main_w3_handler0,2841168,14704379,False,,17002,fasta,8874352.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27760994}]","""20""","""0.6""","""50.0""","""10""",32.0,,35099280.0,1483724723.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: cpgplot15/5.0.0,5.0.0,,2017-01-06 17:45:31.966989,91462.0,4.0
,,2017-01-06 17:43:20.959421,slurm_normal,1483724628.0,0.0,1.0,main_w3_handler1,2841168,14704370,False,,17002,fasta,8874346.roundup,slurm,,132111800.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27760994}]","""200""","""0.6""","""50.0""","""100""",32.0,,35099280.0,1483724623.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: cpgplot15/5.0.0,5.0.0,,2017-01-06 17:44:02.644149,91462.0,5.0
,,2017-01-06 17:30:24.745164,slurm_normal,1483723945.0,0.0,1.0,main_w4_handler1,2841168,14704317,False,,59455099,fasta,8874297.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 26698390}]","""200""","""0.6""","""50.0""","""100""",32.0,,35099280.0,1483723837.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: cpgplot15/5.0.0,5.0.0,,2017-01-06 17:32:28.086116,91462.0,108.0
,,2017-01-06 17:41:49.623397,slurm_normal,1483724532.0,0.0,1.0,main_w3_handler1,2841168,14704364,False,,17002,fasta,8874338.roundup,slurm,,132111800.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27760994}]","""200""","""0.6""","""75.0""","""100""",32.0,,35099280.0,1483724526.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: cpgplot15/5.0.0,5.0.0,,2017-01-06 17:42:26.584997,91462.0,6.0
,,2017-01-06 17:44:06.206382,slurm_normal,1483724656.0,0.0,1.0,main_w4_handler1,2841168,14704376,False,,17002,fasta,8874348.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27760994}]","""100""","""0.6""","""50.0""","""75""",32.0,,35099280.0,1483724651.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: cpgplot15/5.0.0,5.0.0,,2017-01-06 17:44:20.944782,91462.0,5.0
,,2017-02-12 22:40:43.791805,slurm_normal,1486939256.0,0.0,1.0,main_w3_handler0,1169632,15018770,False,,61439,fasta,9175195.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 28318174}]","""200""","""0.6""","""50.0""","""100""",32.0,,35124011.0,1486939250.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: cpgplot15/5.0.0,5.0.0,,2017-02-12 22:40:58.449147,551.0,6.0
,,2017-04-03 15:48:49.234001,slurm_normal,1491235362.0,0.0,1.0,main_w4_handler1,3057298,15473116,False,,10727,fasta,9602424.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29047222}]","""200""","""0.6""","""50.0""","""100""",32.0,,36980800.0,1491235355.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: cpgplot15/5.0.0,5.0.0,,2017-04-03 16:02:47.973887,19376.0,7.0
,,2014-11-18 12:10:54.281568,rodeo_normal,1416312671.0,0.0,1.0,main_w1_handler0,2121953,8192576,False,,2673916,fasta,245348.rodeo,slurm,,8059880.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",17589982,,"""200""","""0.6""","""50.0""","""100""",1.0,,19576038.0,1416312663.0,ok,835576.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: cpgplot15/5.0.0,5.0.0,,2014-11-18 12:11:15.043178,,8.0
,,2014-12-01 11:43:55.399539,rodeo_normal,1417434253.0,0.0,1.0,main_w1_handler0,2133810,8279818,False,,1515,fasta,368975.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",17727003,,"""200""","""0.6""","""50.0""","""100""",2.0,,19834875.0,1417434250.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: cpgplot15/5.0.0,5.0.0,,2014-12-01 11:44:17.923762,,3.0
,,2017-05-07 14:21:48.663427,slurm_normal,1494166919.0,0.0,1.0,main_w3_handler1,3101273,15772495,False,,27384,fasta,9879654.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 29506636}]","""200""","""0.6""","""50.0""","""100""",32.0,,37812084.0,1494166913.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: cpgplot15/5.0.0,5.0.0,,2017-05-07 14:22:02.608208,,6.0
,,2017-05-07 14:57:49.892796,slurm_normal,1494169450.0,0.0,1.0,main_w3_handler1,3101452,15772635,False,,257080,fasta,9879812.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 29506886}]","""200""","""0.6""","""50.0""","""100""",32.0,,37814330.0,1494169444.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: cpgplot15/5.0.0,5.0.0,,2017-05-07 15:04:13.677526,,6.0
