chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.alternative,parameters.box,parameters.boxcol,parameters.boxcolval,parameters.ccolours,parameters.chromInfo,parameters.cidentity,parameters.collision,parameters.consensus,parameters.cother,parameters.csimilarity,parameters.dbkey,parameters.docolour,parameters.identity,parameters.input1,parameters.input1.values,parameters.listoptions,parameters.maxnamelen,parameters.name,parameters.number,parameters.pair,parameters.portrait,parameters.resbreak,parameters.residuesperline,parameters.showscore,parameters.title,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-04-15 16:56:10.900666,slurm_normal,1460739424.0,0.0,1.0,main_w2_handler1,2618224,12475507,False,,47818,fasta,6662681.roundup,slurm,,132112168.0,corral-repl,,"""0""","""yes""","""no""","""GREY""","""yes""","""/galaxy-repl/localdata/chrom/?.len""","""RED""","""yes""","""no""","""BLACK""","""GREEN""","""?""","""no""","""0""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5018638d191de45a2'}]","""yes""","""10""","""yes""","""yes""","""1.5,1.0,0.5""","""no""","""50""","""100""","""-1""","""yes""",32.0,,29447649,1460739416.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyplot79/5.0.0,5.0.0,,2016-04-15 16:57:06.028112,79639.0,8.0
,,2016-07-19 06:33:04.968971,slurm_normal,1468910032.0,0.0,1.0,main_w2_handler0,2769469,13440961,False,,1962,fasta,7652674.roundup,slurm,,132112168.0,corral-repl,,"""0""","""yes""","""no""","""GREY""","""yes""","""/galaxy-repl/localdata/chrom/?.len""","""RED""","""yes""","""no""","""BLACK""","""GREEN""","""?""","""no""","""0""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d257159b7da2ab05'}]","""yes""","""10""","""yes""","""yes""","""1.5,1.0,0.5""","""no""","""50""","""50""","""-1""","""yes""",32.0,,31530248,1468910026.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyplot79/5.0.0,5.0.0,,2016-07-19 06:33:54.387639,87340.0,6.0
,,2016-07-28 03:56:41.813179,slurm_normal,1469678636.0,0.0,1.0,main_w1_handler1,2741075,13512782,False,,494990,fasta,7727956.roundup,slurm,,132112168.0,corral-repl,,"""0""","""yes""","""no""","""GREY""","""yes""","""/galaxy-repl/localdata/chrom/?.len""","""RED""","""yes""","""no""","""BLACK""","""GREEN""","""?""","""no""","""0""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55da7718ff1d32c86'}]","""yes""","""10""","""yes""","""yes""","""1.5,1.0,0.5""","""no""","""50""","""50""","""-1""","""yes""",32.0,,30637758,1469678218.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyplot79/5.0.0,5.0.0,,2016-07-28 04:03:57.988974,85496.0,418.0
,,2016-09-30 10:29:20.839981,slurm_normal,1475231712.0,0.0,1.0,main_w3_handler0,2834506,13981419,False,,190081,clustal,8200818.roundup,slurm,,132112168.0,corral-repl,,"""0""","""yes""","""no""","""GREY""","""yes""","""/galaxy-repl/localdata/chrom/?.len""","""RED""","""yes""","""yes""","""BLACK""","""GREEN""","""?""","""no""","""0""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55ba124ab94a19acd'}]","""yes""","""10""","""yes""","""yes""","""1.5,1.0,0.5""","""no""","""50""","""50""","""-1""","""yes""",32.0,,33243078,1475231669.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyplot79/5.0.0,5.0.0,,2016-09-30 10:35:15.815994,91019.0,43.0
,,2016-09-30 10:54:07.985224,slurm_normal,1475232937.0,0.0,1.0,main_w3_handler1,2834506,13981484,False,,190081,clustal,8200896.roundup,slurm,,132112168.0,corral-repl,,"""0""","""yes""","""no""","""GREY""","""yes""","""/galaxy-repl/localdata/chrom/?.len""","""RED""","""yes""","""no""","""BLACK""","""GREEN""","""?""","""no""","""0""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55ba124ab94a19acd'}]","""yes""","""10""","""yes""","""yes""","""1.5,1.0,0.5""","""no""","""50""","""50""","""-1""","""yes""",32.0,,33243078,1475232907.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyplot79/5.0.0,5.0.0,,2016-09-30 10:55:41.911434,91019.0,30.0
,,2016-09-30 10:54:43.308120,slurm_normal,1475233018.0,0.0,1.0,main_w3_handler0,2834506,13981493,False,,190081,clustal,8200900.roundup,slurm,,132112168.0,corral-repl,,"""0""","""yes""","""no""","""GREY""","""yes""","""/galaxy-repl/localdata/chrom/?.len""","""RED""","""yes""","""yes""","""BLACK""","""GREEN""","""?""","""no""","""0""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55ba124ab94a19acd'}]","""yes""","""10""","""yes""","""yes""","""1.5,1.0,0.5""","""no""","""50""","""50""","""-1""","""yes""",32.0,,33243078,1475232992.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyplot79/5.0.0,5.0.0,,2016-09-30 10:57:00.722454,91019.0,26.0
,,2014-11-14 06:30:35.054636,rodeo_normal,1415946647.0,0.0,1.0,main_w1_handler0,2115755,8165900,False,,8705,fasta,2010612.roundup,slurm,,132112264.0,corral-repl,,"""0""","""yes""","""no""","""GREY""","""yes""","""/galaxy-repl/localdata/chrom/?.len""","""RED""","""yes""","""no""","""BLACK""","""GREEN""","""?""","""no""","""0""",17508478,,"""yes""","""10""","""yes""","""yes""","""1.5,1.0,0.5""","""no""","""50""","""50""","""-1""","""yes""",32.0,,18485951,1415946642.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyplot79/5.0.0,5.0.0,,2014-11-14 06:30:49.866033,55763.0,5.0
,,2014-12-22 11:48:45.310412,rodeo_normal,1419248947.0,0.0,1.0,main_w2_handler1,1654212,8455406,False,,6247,clustal,620045.rodeo,slurm,,16332532.0,corral-repl,,"""0""","""yes""","""no""","""GREY""","""yes""","""/galaxy-repl/localdata/chrom/?.len""","""RED""","""yes""","""no""","""BLACK""","""GREEN""","""?""","""no""","""0""",18046689,,"""yes""","""10""","""yes""","""yes""","""1.5,1.0,0.5""","""yes""","""10""","""50""","""-1""","""yes""",2.0,,18310075,1419248940.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyplot79/5.0.0,5.0.0,,2014-12-22 11:49:10.321175,29342.0,7.0
,,2014-12-22 11:46:26.838053,rodeo_normal,1419248813.0,0.0,1.0,main_w1_handler1,1654212,8455403,False,,3251,fasta,620039.rodeo,slurm,,16332532.0,corral-repl,,"""0""","""yes""","""no""","""GREY""","""yes""","""/galaxy-repl/localdata/chrom/?.len""","""RED""","""yes""","""no""","""BLACK""","""GREEN""","""?""","""no""","""0""",18046705,,"""yes""","""10""","""yes""","""yes""","""1.5,1.0,0.5""","""no""","""10""","""50""","""-1""","""yes""",2.0,,18310075,1419248806.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyplot79/5.0.0,5.0.0,,2014-12-22 11:46:57.437559,29342.0,7.0
,,2015-02-10 19:02:23.799870,rodeo_normal,1423594967.0,0.0,1.0,main_w2_handler0,2201739,8696280,False,,10337,clustal,2705375.roundup,slurm,,132112168.0,corral-repl,,"""0""","""yes""","""no""","""GREY""","""yes""","""/galaxy-repl/localdata/chrom/?.len""","""RED""","""yes""","""no""","""BLACK""","""GREEN""","""?""","""no""","""0""",18465461,,"""yes""","""10""","""yes""","""yes""","""1.5,1.0,0.5""","""no""","""50""","""50""","""-1""","""yes""",32.0,,21169519,1423594963.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyplot79/5.0.0,5.0.0,,2015-02-10 19:02:50.578005,58680.0,4.0
