chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,inputA,inputA_filetype,inputB,inputB_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.d,parameters.dbkey,parameters.hist,parameters.inputA,parameters.inputA.values,parameters.inputA|__identifier__,parameters.inputB,parameters.inputB.values,parameters.inputB|__identifier__,parameters.split,parameters.strandedness,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-02-25 15:16:06.472925,slurm_normal,1456413559.0,0,,1.0,main_w1_handler0,2110713,11941855,False,,858377,bed,8683524,bed,6170942.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""False""","""hg19""","""False""",17523698,,,18271064,,,"""False""","""False""",32.0,,28615300.0,1456413435.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.22.1,2.22.1,,2016-02-25 15:19:23.044575,50589.0,124.0
,,2016-02-25 15:15:34.823231,slurm_normal,1456413544.0,0,,1.0,main_w1_handler0,2110713,11941849,False,,858365,bed,8683524,bed,6170904.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""False""","""hg19""","""False""",17523701,,,18271064,,,"""False""","""False""",32.0,,28615300.0,1456413372.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.22.1,2.22.1,,2016-02-25 15:19:15.014743,50589.0,172.0
,,2016-02-25 16:06:38.468751,slurm_normal,1456416632.0,0,,1.0,main_w2_handler0,2110713,11942383,False,,8683524,bed,858312,bed,6171686.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""False""","""hg19""","""False""",18271064,,,18268129,,,"""False""","""False""",32.0,,28615300.0,1456416482.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.22.1,2.22.1,,2016-02-25 16:10:45.355310,50589.0,150.0
,,2016-02-25 16:08:10.330486,slurm_normal,1456416573.0,0,,1.0,main_w2_handler0,2110713,11942394,False,,8683524,bed,858377,bed,6171697.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""False""","""hg19""","""False""",18271064,,,17523698,,,"""False""","""False""",32.0,,28615300.0,1456416530.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.22.1,2.22.1,,2016-02-25 16:09:41.283721,50589.0,43.0
,,2016-10-13 04:47:39.382154,slurm_normal,1476334172.0,0,,1.0,main_w3_handler1,2758490,14069733,False,,1495851505,bed,599402,bed,8286769.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""false""","""mm9""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d244fcba09b0b219'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e9e763ac206d7aa3'}]",,"""false""","""false""",32.0,,32405673.0,1476334067.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.22.1,2.22.1,,2016-10-13 04:49:34.149765,67495.0,105.0
,,2016-10-13 04:47:52.479654,slurm_normal,1476334252.0,0,,1.0,main_w3_handler1,2758490,14069734,False,,1876928660,bed,599402,bed,8286770.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""false""","""mm9""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56a78c5a297927105'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e9e763ac206d7aa3'}]",,"""false""","""false""",32.0,,32405673.0,1476334124.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.22.1,2.22.1,,2016-10-13 04:50:54.314899,67495.0,128.0
,,2016-03-15 04:40:28.986750,slurm_normal,1458016941.0,0,,1.0,main_w1_handler2,2549611,12136718,False,,79647,interval,36033,bed,6354679.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/caulCres.len""","""False""","""caulCres""","""False""",23704613,,,23841095,,,"""False""","""False""",32.0,,28269289.0,1458016937.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.22.1,2.22.1,,2016-03-15 04:42:25.995233,75857.0,4.0
,,2016-10-13 04:58:35.605070,slurm_normal,1476334863.0,0,,1.0,main_w4_handler0,2758490,14069754,False,,1897412464,bed,1661293,bed,8286789.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""false""","""mm9""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54ab7685b5eb692b2'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b586ae1556dfd3679e'}]",,"""false""","""false""",32.0,,32405673.0,1476334724.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.22.1,2.22.1,,2016-10-13 05:01:05.351074,67495.0,139.0
,,2016-10-13 04:58:28.453147,slurm_normal,1476334861.0,0,,1.0,main_w4_handler1,2758490,14069753,False,,1965450982,bed,1661293,bed,8286788.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""false""","""mm9""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ae38e8a0cef26b56'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b586ae1556dfd3679e'}]",,"""false""","""false""",32.0,,32405673.0,1476334717.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.22.1,2.22.1,,2016-10-13 05:01:03.010897,67495.0,144.0
,,2016-06-21 09:33:09.879464,slurm_normal,1466501628.0,0,,1.0,main_w1_handler1,2677177,13222464,False,,96360294,bam,200056,bed,7406776.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""true""","""?""","""true""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b595fde87a1a58674b'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b595681e7e09be2152'}]",,"""false""","""false""",32.0,,29700207.0,1466501601.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.22.1,2.22.1,,2016-06-21 09:33:51.573175,,27.0
,,2016-06-21 09:33:21.884809,slurm_normal,1466501659.0,0,,1.0,main_w1_handler1,2677177,13222467,False,,96360294,bam,200056,bed,7406778.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""false""","""?""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b595fde87a1a58674b'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b595681e7e09be2152'}]",,"""false""","""false""",32.0,,29700207.0,1466501637.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.22.1,2.22.1,,2016-06-21 09:34:21.694350,,22.0
,,2016-06-21 09:33:52.929505,slurm_normal,1466501695.0,0,,1.0,main_w2_handler1,2677177,13222470,False,,96360294,bam,200056,bed,7406788.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""true""","""?""","""true""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b595fde87a1a58674b'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b595681e7e09be2152'}]",,"""true""","""false""",32.0,,29700207.0,1466501665.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.22.1,2.22.1,,2016-06-21 09:34:57.726638,,30.0
,,2016-10-13 04:58:18.229685,slurm_normal,1476334866.0,0,,1.0,main_w4_handler0,2758490,14069751,False,,1876928660,bed,1661293,bed,8286787.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""false""","""mm9""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56a78c5a297927105'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b586ae1556dfd3679e'}]",,"""false""","""false""",32.0,,32405673.0,1476334733.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.22.1,2.22.1,,2016-10-13 05:01:08.911324,67495.0,133.0
,,2016-10-13 04:47:59.620804,slurm_normal,1476334249.0,0,,1.0,main_w4_handler0,2758490,14069735,False,,1965450982,bed,599402,bed,8286771.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""false""","""mm9""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ae38e8a0cef26b56'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e9e763ac206d7aa3'}]",,"""false""","""false""",32.0,,32405673.0,1476334113.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.22.1,2.22.1,,2016-10-13 04:50:51.705222,67495.0,136.0
,,2016-10-13 04:48:06.235660,slurm_normal,1476334239.0,0,,1.0,main_w3_handler1,2758490,14069736,False,,1897412464,bed,599402,bed,8286772.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""false""","""mm9""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54ab7685b5eb692b2'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e9e763ac206d7aa3'}]",,"""false""","""false""",32.0,,32405673.0,1476334114.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.22.1,2.22.1,,2016-10-13 04:50:40.979056,67495.0,125.0
,,2016-06-21 09:45:09.462979,slurm_normal,1466502351.0,0,,1.0,main_w1_handler1,2677177,13222535,False,,96360294,bam,200056,bed,7406936.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""true""","""?""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b595fde87a1a58674b'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b595681e7e09be2152'}]",,"""false""","""false""",32.0,,29700207.0,1466502327.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.22.1,2.22.1,,2016-06-21 09:45:54.001575,,24.0
,,2016-03-15 13:06:43.826819,slurm_normal,1458047286.0,0,,1.0,main_w1_handler1,2632849,12139931,False,,36632003,bam,1251,bed,6358411.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""True""","""hg19""","""True""",23844328,,,23844840,,,"""False""","""False""",32.0,,27467731.0,1458047264.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.22.1,2.22.1,,2016-03-15 13:08:10.437210,7122.0,22.0
,,2016-06-21 15:32:40.957913,slurm_normal,1466523317.0,0,,1.0,main_w2_handler1,2697353,13226111,False,,475371865,bam,793152,bed,7410866.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""false""","""hg19""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b537a5abf5203c547b'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b598ab5806a8a961c5'}]",,"""false""","""false""",32.0,,30882266.0,1466523177.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.22.1,2.22.1,,2016-06-21 15:35:23.806927,83353.0,140.0
,,2016-06-21 15:14:31.403677,slurm_normal,1466522154.0,0,,1.0,main_w2_handler1,2697353,13225929,False,,300147938,bam,793152,bed,7410676.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""false""","""hg19""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5907d47ff2f2bf0f9'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b598ab5806a8a961c5'}]",,"""false""","""false""",32.0,,30882266.0,1466522094.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.22.1,2.22.1,,2016-06-21 15:15:59.081085,83353.0,60.0
,,2016-03-02 10:39:51.097903,slurm_normal,1456915232.0,0,,1.0,main_w1_handler0,2533328,11990041,False,,56683382,bam,26814,bed,6220171.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""True""","""hg19""","""True""",23594658,,,22435618,,,"""False""","""False""",32.0,,26696340.0,1456915220.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.22.1,2.22.1,,2016-03-02 10:40:41.549743,75044.0,12.0
,,2016-03-01 12:03:07.339486,slurm_normal,1456833863.0,0,,1.0,main_w1_handler0,2602694,11979811,False,,100374511,bam,7378621,vcf,6211489.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""False""","""hg_g1k_v37""","""False""",23570129,,,23474614,,,"""False""","""False""",32.0,,28438824.0,1456833826.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.22.1,2.22.1,,2016-03-01 12:04:25.389761,,37.0
,,2016-03-01 12:04:59.179006,slurm_normal,1456833947.0,0,,1.0,main_w1_handler1,2602694,11979822,False,,100374511,bam,235073,bed,6211512.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""False""","""hg_g1k_v37""","""False""",23570129,,,23473779,,,"""False""","""False""",32.0,,28438824.0,1456833918.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.22.1,2.22.1,,2016-03-01 12:05:50.422013,,29.0
,,2016-03-02 02:59:00.114892,slurm_normal,1456887594.0,0,,1.0,main_w2_handler0,2615728,11985923,False,,344244,bed,243,bed,6217213.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""False""","""?""","""True""",23577544,,,23578188,,,"""False""","""False""",32.0,,27515113.0,1456887590.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.22.1,2.22.1,,2016-03-02 02:59:56.775383,76165.0,4.0
,,2016-03-15 10:56:08.881545,slurm_normal,1458039426.0,0,,1.0,main_w1_handler1,2632849,12139386,False,,36632003,bam,4848,bed,6357311.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""True""","""hg19""","""True""",23844328,,,23827303,,,"""False""","""False""",32.0,,27467731.0,1458039416.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.22.1,2.22.1,,2016-03-15 10:57:10.330628,7122.0,10.0
