create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input_bam,input_bam_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input_bam.values,parameters.option_set.__current_case__,parameters.option_set.change_identical,parameters.option_set.compute_cap,parameters.option_set.extended_baq,parameters.option_set.modify_quality,parameters.option_set.option_sets,parameters.reference_source.__current_case__,parameters.reference_source.ref_fasta,parameters.reference_source.ref_fasta.values,parameters.reference_source.reference_source_selector,processor_count,ref_fasta,ref_fasta_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-06-20 19:11:10.919197,slurm_normal,1497986628.0,0,,1.0,main_w3_handler0,3157388,16146673,False,,1759959614,bam,10225566.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 30100542}]",1,true,false,false,false,advanced,1,,"[{'src': 'hda', 'id': 30046962}]",history,32.0,256886062.0,fasta,,38699871.0,1497985914.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0.1,2.0.1,,2017-06-20 19:23:52.640460,63215.0,714.0
2017-07-09 04:47:15.617511,slurm_normal,1499575656.0,0,,1.0,main_w3_handler1,2978039,16291116,False,,19609,bam,10360580.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""","[{'src': 'hda', 'id': 30342588}]",0,,,,,default,0,dm3,,cached,32.0,,,,38999415.0,1499575651.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0.1,2.0.1,,2017-07-09 04:47:37.814861,98932.0,5.0
2017-10-09 15:24:57.634911,slurm_normal,1507562782.0,0,,1.0,main_w4_handler1,3280306,17056587,False,,232639200,bam,11113744.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31612074}]",0,,,,,default,1,,"[{'src': 'hda', 'id': 31612062}]",history,32.0,4842355.0,fasta,,41160419.0,1507562702.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0.1,2.0.1,,2017-10-09 15:26:24.800329,,80.0
2017-10-12 02:30:51.426848,slurm_normal,1507775475.0,0,,1.0,main_w4_handler0,3273352,17083592,False,,12355767,bam,11139469.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31656558}]",0,,,,,default,1,,"[{'src': 'hda', 'id': 31618351}]",history,32.0,43073537.0,fasta,,41050177.0,1507775464.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0.1,2.0.1,,2017-10-12 02:31:20.385194,112503.0,11.0
2017-09-10 10:17:56.899061,slurm_normal,1505039038.0,0,,1.0,main_w4_handler0,3174531,16781458,False,,735235817,bam,10849775.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31169116}]",0,,,,,default,1,,"[{'src': 'hda', 'id': 30191762}]",history,32.0,10803636.0,fasta,,40382960.0,1505038685.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0.1,2.0.1,,2017-09-10 10:24:01.076177,42071.0,353.0
2017-09-20 16:12:27.161340,slurm_normal,1505924923.0,0,,1.0,main_w3_handler1,3258494,16878082,False,,507623152,bam,10943359.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 31326029}]",0,,,,,default,0,hg19,,cached,32.0,,,,40408912.0,1505924531.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0.1,2.0.1,,2017-09-20 16:28:46.964926,53356.0,392.0
2017-09-20 16:12:32.912450,slurm_normal,1505925140.0,0,,1.0,main_w4_handler0,3258494,16878088,False,,591232354,bam,10943379.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 31326035}]",0,,,,,default,0,hg19,,cached,32.0,,,,40408912.0,1505924661.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0.1,2.0.1,,2017-09-20 16:32:22.476877,53356.0,479.0
2017-09-20 16:12:33.962672,slurm_normal,1505925435.0,0,,1.0,main_w3_handler0,3258494,16878090,False,,505810257,bam,10943556.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 31326037}]",0,,,,,default,0,hg19,,cached,32.0,,,,40408912.0,1505925089.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0.1,2.0.1,,2017-09-20 16:41:02.292994,53356.0,346.0
2017-09-20 16:12:31.170831,slurm_normal,1505924596.0,0,,1.0,main_w4_handler0,3258494,16878086,False,,18650112,bam,10943343.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 31326033}]",0,,,,,default,0,hg19,,cached,32.0,,,,40408912.0,1505924381.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0.1,2.0.1,,2017-09-20 16:23:17.445128,53356.0,215.0
2017-09-20 16:12:24.974138,slurm_normal,1505924519.0,0,,1.0,main_w4_handler1,3258494,16878078,False,,293073862,bam,10943328.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 31326025}]",0,,,,,default,0,hg19,,cached,32.0,,,,40408912.0,1505924246.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0.1,2.0.1,,2017-09-20 16:22:00.543275,53356.0,273.0
2017-09-20 16:12:26.116136,slurm_normal,1505924536.0,0,,1.0,main_w3_handler1,3258494,16878080,False,,317339421,bam,10943329.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 31326027}]",0,,,,,default,0,hg19,,cached,32.0,,,,40408912.0,1505924257.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0.1,2.0.1,,2017-09-20 16:22:20.599724,53356.0,279.0
2018-01-19 14:41:42.915546,slurm_normal,1516372963.0,0,,1.0,main_w3_handler1,3223700,18084515,False,,2432,bam,12163717,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 33391988}]",0,,,,,default,0,hg19,,cached,32.0,,,,43223647.0,1516372952.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0.1,2.0.1,,2018-01-19 14:42:44.071415,76361.0,11.0
2017-10-16 02:42:41.652502,slurm_normal,1508123920.0,0,,1.0,main_w3_handler0,3263507,17107190,False,,5129260076,bam,11164263.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 31373934}]",0,,,,,default,0,hg19,,cached,32.0,,,,41066853.0,1508121765.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0.1,2.0.1,,2017-10-16 03:18:42.232296,112048.0,2155.0
2017-10-18 01:18:37.745236,slurm_normal,1508289530.0,0,,1.0,main_w3_handler0,3290124,17124917,False,,1614,bam,11181794,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 31728216}]",0,,,,,default,0,hg19,,cached,32.0,,,,41341969.0,1508289526.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0.1,2.0.1,,2017-10-18 01:18:53.674049,112048.0,4.0
2018-01-19 14:41:38.924510,slurm_normal,1516372999.0,0,,1.0,main_w4_handler1,3223700,18084510,False,,3332,bam,12163734,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 33391983}]",0,,,,,default,0,hg19,,cached,32.0,,,,43223647.0,1516372991.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0.1,2.0.1,,2018-01-19 14:43:20.511902,76361.0,8.0
2018-01-19 14:41:26.667926,slurm_normal,1516372992.0,0,,1.0,main_w4_handler1,3223700,18084495,False,,2343,bam,12163732,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 33391950}]",0,,,,,default,0,hg19,,cached,32.0,,,,43223647.0,1516372985.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0.1,2.0.1,,2018-01-19 14:43:14.150040,76361.0,7.0
2018-01-19 14:41:40.840578,slurm_normal,1516373018.0,0,,1.0,main_w4_handler1,3223700,18084512,False,,2023,bam,12163742,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 33391985}]",0,,,,,default,0,hg19,,cached,32.0,,,,43223647.0,1516373011.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0.1,2.0.1,,2018-01-19 14:43:39.761740,76361.0,7.0
2018-01-03 22:25:51.149139,slurm_normal,1515018416.0,0,,1.0,main_w4_handler0,3381119,17940050,False,,106413170,bam,12016137,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 33163794}]",0,,,,,default,1,,"[{'src': 'hda', 'id': 33163718}]",history,32.0,1675.0,fasta,,42963787.0,1515018353.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0.1,2.0.1,,2018-01-03 22:26:59.313140,70329.0,63.0
2018-01-19 14:41:03.744165,slurm_normal,1516372889.0,0,,1.0,main_w4_handler0,3223700,18084462,False,,2383,bam,12163682,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 33391896}]",0,,,,,default,0,hg19,,cached,32.0,,,,43223647.0,1516372881.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0.1,2.0.1,,2018-01-19 14:41:31.531424,76361.0,8.0
2018-01-19 14:41:19.885122,slurm_normal,1516372936.0,0,,1.0,main_w3_handler1,3223700,18084485,False,,1999,bam,12163702,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 33391933}]",0,,,,,default,0,hg19,,cached,32.0,,,,43223647.0,1516372926.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0.1,2.0.1,,2018-01-19 14:42:18.174808,76361.0,10.0
2018-01-19 14:41:05.622315,slurm_normal,1516372883.0,0,,1.0,main_w3_handler1,3223700,18084465,False,,4919,bam,12163681,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 33391901}]",0,,,,,default,0,hg19,,cached,32.0,,,,43223647.0,1516372873.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0.1,2.0.1,,2018-01-19 14:41:25.122534,76361.0,10.0
2018-01-19 14:41:24.037515,slurm_normal,1516372952.0,0,,1.0,main_w3_handler0,3223700,18084490,False,,3010,bam,12163713,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 33391941}]",0,,,,,default,0,hg19,,cached,32.0,,,,43223647.0,1516372941.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0.1,2.0.1,,2018-01-19 14:42:34.958382,76361.0,11.0
