create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.predictor_cols,parameters.predictor_cols.__class__,parameters.predictor_cols.value,parameters.response_col,parameters.response_col.__class__,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-04-27 05:57:50.555817,slurm_normal,1461736695.0,1,,1.0,main_w1_handler2,2656819,12638486,False,,12590,tabular,6842112.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53cb55e424ff1d272'}]","[""2"", ""3"", ""4""]",,,"""1""",,32.0,,29405067,1461736688.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/best_regression_subsets/BestSubsetsRegression1/1.0.0,1.0.0,,2016-04-27 05:58:16.132224,,7.0
2016-04-27 06:01:41.434849,slurm_normal,1461736953.0,1,,1.0,main_w1_handler1,2656819,12638499,False,,12590,tabular,6842148.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53cb55e424ff1d272'}]","[""4""]",,,"""1""",,32.0,,29405067,1461736918.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/best_regression_subsets/BestSubsetsRegression1/1.0.0,1.0.0,,2016-04-27 06:02:34.889673,,35.0
2016-01-05 18:01:16.628838,slurm_normal,1452016923.0,0,,1.0,main_w2_handler0,2556022,11385587,False,,23142,tabular,5653769.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",22749316,,"[""3""]",,,"""7""",,32.0,,27205162,1452016913.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/best_regression_subsets/BestSubsetsRegression1/1.0.0,1.0.0,,2016-01-05 18:02:08.504519,,10.0
2016-01-05 18:38:10.860937,slurm_normal,1452019157.0,0,,1.0,main_w1_handler0,2556022,11385979,False,,23142,tabular,5654281.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",22749316,,"[""8""]",,,"""7""",,32.0,,27205162,1452019146.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/best_regression_subsets/BestSubsetsRegression1/1.0.0,1.0.0,,2016-01-05 18:39:20.197393,,11.0
2016-01-07 21:22:14.043979,slurm_normal,1452201775.0,0,,1.0,main_w2_handler0,2515648,11410734,False,,156631,bed,5676001.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",22781947,,"[""1""]",,,"""1""",,32.0,,26393007,1452201753.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/best_regression_subsets/BestSubsetsRegression1/1.0.0,1.0.0,,2016-01-07 21:22:58.901252,,22.0
2016-06-29 03:43:08.952836,slurm_normal,1467171848.0,0,,1.0,main_w1_handler1,2407870,13283911,False,,1709,tabular,7473362.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5417fd2b0e3628153'}]","[""1""]",,,"""2""",,32.0,,30048218,1467171842.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/best_regression_subsets/BestSubsetsRegression1/1.0.0,1.0.0,,2016-06-29 03:44:09.528677,67737.0,6.0
2016-05-12 09:08:00.527040,slurm_normal,1463044135.0,1,,1.0,main_w1_handler0,2656819,12865599,False,,2224,tabular,7066276.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58d44729f1e1e1ff8'}]","[""1"", ""2""]",,,"""3""",,32.0,,29405067,1463044127.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/best_regression_subsets/BestSubsetsRegression1/1.0.0,1.0.0,,2016-05-12 09:08:59.194623,,8.0
2016-03-21 15:15:56.959820,slurm_normal,1458573517.0,0,,1.0,main_w1_handler0,2640894,12217192,False,,10685611,tabular,6427750.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23956834,,"[""2"", ""4""]",,,"""1""",,32.0,,29101828,1458573487.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/best_regression_subsets/BestSubsetsRegression1/1.0.0,1.0.0,,2016-03-21 15:18:39.668401,81067.0,30.0
2016-03-21 15:15:56.454778,slurm_normal,1458573863.0,0,,1.0,main_w2_handler0,2640894,12217191,False,,10818676,tabular,6427758.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23956820,,"[""2"", ""4""]",,,"""1""",,32.0,,29101828,1458573505.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/best_regression_subsets/BestSubsetsRegression1/1.0.0,1.0.0,,2016-03-21 15:24:28.965080,81067.0,358.0
2016-03-23 17:20:50.366200,slurm_normal,1458754117.0,1,,1.0,main_w1_handler0,2152077,12237329,False,,17237549,vcf,6451302.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18360435,,"[""1""]",,,"""1""",,32.0,,29167787,1458754111.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/best_regression_subsets/BestSubsetsRegression1/1.0.0,1.0.0,,2016-03-23 17:28:42.205246,43909.0,6.0
