chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input_bams,input_bams1,input_bams10,input_bams10_filetype,input_bams11,input_bams11_filetype,input_bams12,input_bams12_filetype,input_bams13,input_bams13_filetype,input_bams14,input_bams14_filetype,input_bams15,input_bams15_filetype,input_bams16,input_bams16_filetype,input_bams17,input_bams17_filetype,input_bams18,input_bams18_filetype,input_bams19,input_bams19_filetype,input_bams1_filetype,input_bams2,input_bams20,input_bams20_filetype,input_bams21,input_bams21_filetype,input_bams22,input_bams22_filetype,input_bams23,input_bams23_filetype,input_bams24,input_bams24_filetype,input_bams2_filetype,input_bams3,input_bams3_filetype,input_bams4,input_bams4_filetype,input_bams5,input_bams5_filetype,input_bams6,input_bams6_filetype,input_bams7,input_bams7_filetype,input_bams8,input_bams8_filetype,input_bams9,input_bams9_filetype,input_bams_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.analysis_type.__current_case__,parameters.analysis_type.analysis_type_selector,parameters.analysis_type.tag_name,parameters.chromInfo,parameters.dbkey,parameters.input_bams,parameters.input_bams.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-12-15 03:03:34.870244,slurm_normal,1513308741.0,0,,1.0,main_w4_handler1,3179422,17814227,False,,6998800852,6998800852,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,11882822,slurm,,132112168.0,corral-repl,,,0,-mapped,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 32938499}]",32.0,,42673885.0,1513307022.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/bamtools_split/bamSplit/0.0.2,0.0.2,,2017-12-15 03:36:14.023428,74031.0,1719.0
,,2017-12-15 04:28:09.283138,slurm_normal,1513313768.0,0,,1.0,main_w3_handler1,3179422,17814403,False,,6841500236,6841500236,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,11882999,slurm,,132112168.0,corral-repl,,,0,-mapped,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 32942457}]",32.0,,42673885.0,1513312096.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/bamtools_split/bamSplit/0.0.2,0.0.2,,2017-12-15 04:59:47.130313,74031.0,1672.0
,,2017-12-15 04:28:35.862911,slurm_normal,1513313752.0,0,,1.0,main_w4_handler0,3179422,17814405,False,,6415787009,6415787009,,,,,,,,,,,,,,,,,,,,,bam,6651958773.0,,,,,,,,,,,bam,,,,,,,,,,,,,,,bam,11883000,slurm,,132112168.0,corral-repl,,,0,-mapped,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 32942455}, {'src': 'hda', 'id': 32942459}]",32.0,,42673885.0,1513312124.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/bamtools_split/bamSplit/0.0.2,0.0.2,,2017-12-15 04:59:46.696567,74031.0,1628.0
,,2017-07-25 07:05:28.319223,slurm_normal,1500966653.0,0,,1.0,main_w3_handler1,3198404,16410421,False,,1255901262,1255901262,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,10475360.roundup,slurm,,132112168.0,corral-repl,,,0,-mapped,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 30584409}]",32.0,,39241080.0,1500966338.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/bamtools_split/bamSplit/0.0.2,0.0.2,,2017-07-25 07:11:29.406961,108823.0,315.0
,,2017-07-28 16:01:47.175458,slurm_normal,1501257724.0,0,,1.0,main_w4_handler0,3205450,16446811,False,,22403954,22403954,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,10514917.roundup,slurm,,132112168.0,corral-repl,,,3,-tag,CB,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 30657870}]",32.0,,39570547.0,1501257715.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/bamtools_split/bamSplit/0.0.2,0.0.2,,2017-07-28 16:02:08.306634,23160.0,9.0
,,2017-07-28 20:08:19.584321,slurm_normal,1501272582.0,0,,1.0,main_w3_handler1,3205738,16451803,False,,22403954,22403954,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,10519344.roundup,slurm,,132112168.0,corral-repl,,,3,-tag,CB,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 30664343}]",32.0,,39577314.0,1501272572.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/bamtools_split/bamSplit/0.0.2,0.0.2,,2017-07-28 20:09:52.280437,109553.0,10.0
,,2017-07-28 20:09:38.934810,slurm_normal,1501272603.0,0,,1.0,main_w3_handler1,3205738,16451810,False,,22403954,22403954,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,10519357.roundup,slurm,,132112168.0,corral-repl,,,3,-tag,CB,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 30664343}]",32.0,,39577314.0,1501272593.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/bamtools_split/bamSplit/0.0.2,0.0.2,,2017-07-28 20:10:13.889325,109553.0,10.0
,,2017-10-01 17:22:42.363150,slurm_normal,1506878716.0,0,,1.0,main_w3_handler1,3269351,16980888,False,,578203039,578203039,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,11048147.roundup,slurm,,132112168.0,corral-repl,,,0,-mapped,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 31482605}]",32.0,,40987384.0,1506878565.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/bamtools_split/bamSplit/0.0.2,0.0.2,,2017-10-01 17:25:39.535715,112100.0,151.0
,,2017-10-01 18:36:51.353147,slurm_normal,1506883062.0,0,,1.0,main_w3_handler1,3269351,16981059,False,,181694697,181694697,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,11048312.roundup,slurm,,132112168.0,corral-repl,,,0,-mapped,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 31493556}]",32.0,,40987384.0,1506883015.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/bamtools_split/bamSplit/0.0.2,0.0.2,,2017-10-01 18:37:49.835837,112100.0,47.0
,,2017-08-03 11:24:49.345340,slurm_normal,1501759884.0,0,,1.0,main_w3_handler1,3191494,16496844,False,,960636983,960636983,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,10566375.roundup,slurm,,132112168.0,corral-repl,,,0,-mapped,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 30690677}]",32.0,,39584157.0,1501759499.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/bamtools_split/bamSplit/0.0.2,0.0.2,,2017-08-03 11:31:54.628598,109559.0,385.0
