GCbiasFrequenciesFile,GCbiasFrequenciesFile_filetype,bamInput,bamInput_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.GCbiasFrequenciesFile.values,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.bamInput.values,parameters.chromInfo,parameters.dbkey,parameters.effectiveGenomeSize.__current_case__,parameters.effectiveGenomeSize.effectiveGenomeSize,parameters.effectiveGenomeSize.effectiveGenomeSize_opt,parameters.region,parameters.source.__current_case__,parameters.source.input1.values,parameters.source.input1_2bit,parameters.source.ref_source,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
7575,tabular,3212416196,bam,2016-10-07 17:04:39.094445,slurm_multi,1475868340.0,0,6.0,main_w4_handler2,2771636,14031361,False,,,,8249075,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5aa21d9bb7f66d9cc'}]",1,yes,slurm_multi,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52cc6e6c1d6d1c64e'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,2451960000,"""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,31578981,1475864998.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.3.5.0,2.3.5.0,,2016-10-07 19:25:43.230489,73080,3342.0
7575,tabular,2010770871,bam,2016-10-07 17:04:38.183078,slurm_multi,1475878861.0,0,6.0,main_w3_handler2,2771636,14031360,False,,,,8249998,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52c713a8f69e9a8ee'}]",1,yes,slurm_multi,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c6f3505fb4a8df94'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,2451960000,"""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,31578981,1475876473.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.3.5.0,2.3.5.0,,2016-10-07 22:21:05.189959,73080,2388.0
7575,tabular,3197264795,bam,2016-10-07 17:04:40.032880,slurm_multi,1475889407.0,0,6.0,main_w4_handler2,2771636,14031362,False,,,,8250861,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ce1fb6afd41f59d3'}]",1,yes,slurm_multi,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e5dc2adb85d5556a'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,2451960000,"""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,31578981,1475886881.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.3.5.0,2.3.5.0,,2016-10-08 01:16:50.044757,73080,2526.0
7575,tabular,3305316279,bam,2016-10-07 17:04:41.572610,slurm_multi,1475902209.0,0,6.0,main_w4_handler2,2771636,14031364,False,,,,8251764,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b9e28eed5f4bfc93'}]",1,yes,slurm_multi,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5638c58e38b77276c'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,2451960000,"""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,31578981,1475898891.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.3.5.0,2.3.5.0,,2016-10-08 04:50:12.580147,73080,3318.0
7575,tabular,3190935757,bam,2016-10-11 18:23:16.924952,slurm_multi,1476306783.0,0,6.0,main_w4_handler2,2771636,14056914,False,,,,8283966,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c9849d6080772e74'}]",0,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f7864c240081713e'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,2451960000,"""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,31578981,1476304298.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.3.5.0,2.3.5.0,,2016-10-12 21:13:07.074257,73080,2485.0
7575,tabular,2151507848,bam,2016-10-11 18:17:50.850636,slurm_multi,1476219979.0,0,6.0,main_w3_handler2,2771636,14056811,False,,,,8275196,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53e1d9de319e5fc98'}]",0,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a91a58c8a49a920d'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,2451960000,"""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,31578981,1476218455.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.3.5.0,2.3.5.0,,2016-10-11 21:06:23.503947,73080,1524.0
7575,tabular,2620432278,bam,2016-10-11 18:17:51.274238,slurm_multi,1476222498.0,0,6.0,main_w3_handler2,2771636,14056812,False,,,,8275337,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54331eb8eac384553'}]",0,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5dd6e9c7d4224c353'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,2451960000,"""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,31578981,1476220576.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.3.5.0,2.3.5.0,,2016-10-11 21:48:49.626024,73080,1922.0
7575,tabular,2906687347,bam,2016-10-11 18:17:52.799485,slurm_multi,1476229498.0,0,6.0,main_w3_handler2,2771636,14056814,False,,,,8276026,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5293197997f0e63f8'}]",0,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5bb194eaefc2bea1c'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,2451960000,"""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,31578981,1476227518.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.3.5.0,2.3.5.0,,2016-10-11 23:45:02.204679,73080,1980.0
7575,tabular,2679670023,bam,2016-10-11 18:17:48.106902,slurm_multi,1476287536.0,0,6.0,main_w4_handler2,2771636,14056802,False,,,,8281411,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5dfebaad58cbcf5d4'}]",0,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b50de9c08d3fd06b38'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,2451960000,"""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,31578981,1476285494.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.3.5.0,2.3.5.0,,2016-10-12 15:52:20.219084,73080,2042.0
7575,tabular,1996493828,bam,2016-10-11 18:17:49.847784,slurm_multi,1476297229.0,0,6.0,main_w4_handler2,2771636,14056807,False,,,,8282698,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54aa07fae9a5d1171'}]",0,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5fd21b10dd8590a5c'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,2451960000,"""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,31578981,1476295865.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.3.5.0,2.3.5.0,,2016-10-12 18:33:52.978533,73080,1364.0
7575,tabular,2304610858,bam,2016-10-11 18:17:49.222371,slurm_multi,1476291837.0,0,6.0,main_w4_handler2,2771636,14056805,False,,,,8281827,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53f126b6bba5e0989'}]",0,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5316621d1b7d9ac1e'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,2451960000,"""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,31578981,1476290108.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.3.5.0,2.3.5.0,,2016-10-12 17:04:08.721099,73080,1729.0
7575,tabular,2727035257,bam,2016-10-11 18:17:52.113118,slurm_multi,1476227044.0,0,6.0,main_w3_handler2,2771636,14056813,False,,,,8275805,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cd75ce04c2e2093b'}]",0,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51e2ecaee6468104f'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,2451960000,"""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,31578981,1476225239.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.3.5.0,2.3.5.0,,2016-10-11 23:04:06.852446,73080,1805.0
7575,tabular,2225583527,bam,2016-10-11 18:17:50.489994,slurm_multi,1476302123.0,0,6.0,main_w4_handler2,2771636,14056810,False,,,,8283421,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d32f54dcd5dcff2d'}]",0,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55e0fff8c25557335'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,2451960000,"""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,31578981,1476300552.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.3.5.0,2.3.5.0,,2016-10-12 19:55:27.001345,73080,1571.0
7575,tabular,2224627671,bam,2016-10-11 18:17:48.834334,slurm_multi,1476211813.0,0,6.0,main_w3_handler2,2771636,14056804,False,,,,8274269,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b564691c3c9b404d09'}]",0,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a7c4d5508b826c2f'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,2451960000,"""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,31578981,1476210171.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.3.5.0,2.3.5.0,,2016-10-11 18:50:18.295004,73080,1642.0
7575,tabular,2348028554,bam,2016-10-11 18:17:49.491139,slurm_multi,1476213596.0,0,6.0,main_w3_handler2,2771636,14056806,False,,,,8274525,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55e527eaac284e90a'}]",0,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5aa1fccdb750e1045'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,2451960000,"""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,31578981,1476212022.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.3.5.0,2.3.5.0,,2016-10-11 19:55:38.623681,73080,1574.0
