create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__current_case__,parameters.__index__,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.chromInfo,parameters.dbkey,parameters.input.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-02-22 21:03:27.968233,slurm_normal,1519334020.0,0,7680.0,1.0,main_w3_handler0,3439464,18489163,False,,1007110886,bam_native,12584420,slurm,,132112168.0,corral-repl,,0,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34022047}]",32.0,,44102419,1519333522.0,ok,1023996.0,CONVERTER_bam_native_to_bam,1.0.0,,2018-02-22 21:13:41.729625,,498.0
2018-02-23 22:45:41.430410,slurm_normal,1519428522.0,0,7680.0,1.0,main_w3_handler0,2937813,18503270,False,,4942320179,bam_native,12599165,slurm,,132112168.0,corral-repl,,,,0.0,no,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 34042172}]",32.0,,43814773,1519425954.0,ok,1023996.0,CONVERTER_bam_native_to_bam,1.0.0,,2018-02-23 23:28:44.751810,96837.0,2568.0
2018-02-25 17:32:50.533160,slurm_normal,1519580012.0,0,7680.0,1.0,main_w3_handler1,3441819,18513152,False,,84007977,bam_native,12609464,slurm,,132112168.0,corral-repl,,1,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34057719}]",32.0,,44152363,1519579975.0,ok,1023996.0,CONVERTER_bam_native_to_bam,1.0.0,,2018-02-25 17:33:32.909126,122734.0,37.0
2018-02-25 06:15:19.741971,slurm_normal,1519539342.0,0,7680.0,1.0,main_w3_handler0,3255612,18510313,False,,22769797,bam_native,12606474,slurm,,132112168.0,corral-repl,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34053152}]",32.0,,44145208,1519539326.0,ok,1023996.0,CONVERTER_bam_native_to_bam,1.0.0,,2018-02-25 06:15:44.040463,109455.0,16.0
2018-02-25 04:58:53.612651,slurm_normal,1519534778.0,0,7680.0,1.0,main_w3_handler0,3255612,18510027,False,,111016882,bam_native,12606252,slurm,,132112168.0,corral-repl,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34052784}]",32.0,,44145208,1519534740.0,ok,1023996.0,CONVERTER_bam_native_to_bam,1.0.0,,2018-02-25 04:59:39.854155,109455.0,38.0
2018-02-25 06:15:10.705243,slurm_normal,1519539325.0,0,7680.0,1.0,main_w3_handler0,3255612,18510311,False,,3984589,bam_native,12606472,slurm,,132112168.0,corral-repl,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34053134}]",32.0,,44145208,1519539317.0,ok,1023996.0,CONVERTER_bam_native_to_bam,1.0.0,,2018-02-25 06:15:27.925176,109455.0,8.0
2018-02-25 05:10:36.048722,slurm_normal,1519535488.0,0,7680.0,1.0,main_w3_handler0,3255612,18510058,False,,95251336,bam_native,12606286,slurm,,132112168.0,corral-repl,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34052778}]",32.0,,44145208,1519535443.0,ok,1023996.0,CONVERTER_bam_native_to_bam,1.0.0,,2018-02-25 05:11:30.738580,109455.0,45.0
2018-02-25 06:15:00.723801,slurm_normal,1519539322.0,0,7680.0,1.0,main_w3_handler1,3255612,18510308,False,,18568907,bam_native,12606471,slurm,,132112168.0,corral-repl,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34053154}]",32.0,,44145208,1519539309.0,ok,1023996.0,CONVERTER_bam_native_to_bam,1.0.0,,2018-02-25 06:15:24.496176,109455.0,13.0
2018-02-25 17:32:51.162819,slurm_normal,1519580020.0,0,7680.0,1.0,main_w4_handler1,3441819,18513153,False,,95845932,bam_native,12609465,slurm,,132112168.0,corral-repl,,1,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34057720}]",32.0,,44152363,1519579979.0,ok,1023996.0,CONVERTER_bam_native_to_bam,1.0.0,,2018-02-25 17:33:42.097177,122734.0,41.0
2018-02-26 15:17:24.748933,slurm_normal,1519659896.0,0,7680.0,1.0,main_w4_handler1,3434769,18523119,False,,2713829622,bam,12619118,slurm,,132112168.0,corral-repl,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34068271}]",32.0,,44005735,1519658249.0,ok,1023996.0,CONVERTER_bam_native_to_bam,1.0.0,,2018-02-26 15:44:57.060027,122248.0,1647.0
