chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.A,parameters.D.__current_case__,parameters.D.input,parameters.D.input.values,parameters.D.seq_dictionary,parameters.F,parameters.G,parameters.N,parameters.S,parameters.__workflow_invocation_uuid__,parameters.b,parameters.c,parameters.chromInfo,parameters.dbkey,parameters.e,parameters.g,parameters.i.__current_case__,parameters.i.alt_indel_snp_ratio,parameters.i.ratio,parameters.input,parameters.input.values,parameters.p.__current_case__,parameters.p.float_value,parameters.p.variant_filter,parameters.t.__current_case__,parameters.t.mutation_rate,parameters.t.rate,parameters.u,parameters.v,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2014-09-10 19:48:12.062421,roundup_single,1410419488.0,0.0,,1.0,main_w2_handler0,2046216,7694411,False,,70599779.0,bcf,1683110,slurm,,132112264.0,corral-repl,,"""false""",1,,,false,"""false""","""false""","""false""","""false""",,"""false""","""true""","""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""","""false""","""true""",1,false,,16718616,,1,,false,1,false,,"""false""","""true""",32.0,,16877284.0,1410419483.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/gregory-minevich/bcftools_view/bcftools_view/0.0.1,0.0.1,,2014-09-11 07:11:32.915896,39819.0,5.0
,,2014-09-11 21:46:12.462855,roundup_single,1410472055.0,0.0,,1.0,main_w1_handler1,2041840,7701666,False,,2917734297.0,bcf,1687270,slurm,,132112264.0,corral-repl,,"""false""",1,,,false,"""true""","""false""","""true""","""false""",,"""false""","""true""","""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","""false""","""true""",1,false,,16712846,,1,,false,1,false,,"""false""","""true""",32.0,,16819378.0,1410471985.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/gregory-minevich/bcftools_view/bcftools_view/0.0.1,0.0.1,,2014-09-11 21:47:37.660422,52782.0,70.0
,,2014-09-11 21:07:30.821952,roundup_single,1410496856.0,0.0,,1.0,main_w2_handler1,2048084,7700796,False,,1830003096.0,bcf,1698465,slurm,,132112264.0,corral-repl,,"""false""",1,,,false,"""false""","""false""","""true""","""false""",,"""false""","""true""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""false""","""true""",1,false,,16731233,,1,,false,1,false,,"""false""","""true""",32.0,,16445999.0,1410496779.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/gregory-minevich/bcftools_view/bcftools_view/0.0.1,0.0.1,,2014-09-12 04:40:58.011064,31372.0,77.0
,,2014-09-11 21:07:28.715203,roundup_single,1410503091.0,0.0,,1.0,main_w1_handler0,2048084,7700794,False,,2035302652.0,bcf,1701437,slurm,,132112264.0,corral-repl,,"""false""",1,,,false,"""false""","""false""","""true""","""false""",,"""false""","""true""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""false""","""true""",1,false,,16731227,,1,,false,1,false,,"""false""","""true""",32.0,,16445999.0,1410502899.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/gregory-minevich/bcftools_view/bcftools_view/0.0.1,0.0.1,,2014-09-12 06:24:51.912931,31372.0,192.0
,,2014-09-12 12:38:08.044417,roundup_single,1410525504.0,0.0,,1.0,main_w2_handler1,2046140,7723757,False,,119843232.0,bcf,1709824,slurm,,132112264.0,corral-repl,,"""true""",1,,,false,"""false""","""false""","""false""","""false""",,"""false""","""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","""true""",1,false,,16764337,,1,,false,1,false,,"""false""","""true""",32.0,,16916972.0,1410525496.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/gregory-minevich/bcftools_view/bcftools_view/0.0.1,0.0.1,,2014-09-12 12:38:25.959684,52884.0,8.0
,,2014-12-30 14:40:02.244723,rodeo_normal,1419950422.0,0.0,,1.0,main_w2_handler1,2160869,8479589,False,,43494817.0,bcf,2390781.roundup,slurm,,132112068.0,corral-repl,,"""false""",1,,,false,"""false""","""false""","""false""","""false""",,"""false""","""true""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""false""","""true""",1,false,,18098718,,1,,false,1,false,,"""false""","""true""",32.0,,20272645.0,1419950417.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/gregory-minevich/bcftools_view/bcftools_view/0.0.1,0.0.1,,2014-12-30 14:40:24.018477,57790.0,5.0
,,2014-09-12 23:11:46.215616,roundup_single,1410564590.0,0.0,,1.0,main_w1_handler0,2049851,7742626,False,,1126539964.0,bcf,1725394,slurm,,132112264.0,corral-repl,,"""false""",1,,,false,"""false""","""false""","""true""","""false""",,"""false""","""true""","""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""","""false""","""true""",1,false,,16792322,,1,,false,1,false,,"""false""","""true""",32.0,,16029429.0,1410564550.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/gregory-minevich/bcftools_view/bcftools_view/0.0.1,0.0.1,,2014-09-12 23:29:53.231705,10251.0,40.0
,,2014-09-12 23:11:46.870886,roundup_single,1410564608.0,0.0,,1.0,main_w1_handler1,2049851,7742627,False,,1086747368.0,bcf,1725406,slurm,,132112264.0,corral-repl,,"""false""",1,,,false,"""false""","""false""","""true""","""false""",,"""false""","""true""","""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""","""false""","""true""",1,false,,16792326,,1,,false,1,false,,"""false""","""true""",32.0,,16029429.0,1410564569.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/gregory-minevich/bcftools_view/bcftools_view/0.0.1,0.0.1,,2014-09-12 23:30:10.504118,10251.0,39.0
,,2014-09-12 23:11:56.700885,roundup_single,1410565036.0,0.0,,1.0,main_w2_handler1,2049851,7742645,False,,1456398.0,bcf,1725712,slurm,,132112264.0,corral-repl,,"""false""",1,,,false,"""false""","""false""","""true""","""false""",,"""false""","""true""","""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""","""false""","""true""",1,false,,16792345,,1,,false,1,false,,"""false""","""false""",32.0,,16029429.0,1410565030.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/gregory-minevich/bcftools_view/bcftools_view/0.0.1,0.0.1,,2014-09-12 23:37:19.068073,10251.0,6.0
,,2014-09-12 23:11:57.352519,roundup_single,1410565006.0,0.0,,1.0,main_w1_handler0,2049851,7742646,False,,1439941.0,bcf,1725699,slurm,,132112264.0,corral-repl,,"""false""",1,,,false,"""false""","""false""","""true""","""false""",,"""false""","""true""","""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""","""false""","""true""",1,false,,16792347,,1,,false,1,false,,"""false""","""false""",32.0,,16029429.0,1410565000.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/gregory-minevich/bcftools_view/bcftools_view/0.0.1,0.0.1,,2014-09-12 23:36:49.261130,10251.0,6.0
