chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input,parameters.input.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2014-09-23 14:40:15.460773,roundup_single,1411483230.0,0.0,,1.0,main_w1_handler0,1217657,7840465,False,,6860,tabular,1823888,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",16992023,,32.0,,17109555,1411483228.0,ok,1023992.0,solid_qual_boxplot,1.0.0,,2014-09-23 14:40:31.757011,28931.0,2.0
,,2014-09-23 14:40:14.832085,roundup_single,1411483230.0,0.0,,1.0,main_w2_handler1,1217657,7840464,False,,5786,tabular,1823887,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",16992022,,32.0,,17109555,1411483228.0,ok,1023992.0,solid_qual_boxplot,1.0.0,,2014-09-23 14:40:31.239051,28931.0,2.0
,,2014-09-23 14:40:16.011565,roundup_single,1411483228.0,0.0,,1.0,main_w2_handler0,1217657,7840467,False,,6178,tabular,1823886,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",16992024,,32.0,,17109555,1411483225.0,ok,1023992.0,solid_qual_boxplot,1.0.0,,2014-09-23 14:40:29.447651,28931.0,3.0
,,2014-09-23 14:38:47.303448,roundup_single,1411483138.0,0.0,,1.0,main_w1_handler1,1217657,7840438,False,,6852,tabular,1823872,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",16992019,,32.0,,17109555,1411483135.0,ok,1023992.0,solid_qual_boxplot,1.0.0,,2014-09-23 14:39:04.180553,28931.0,3.0
,,2014-09-24 08:01:11.338440,roundup_single,1411545684.0,0.0,,1.0,main_w1_handler0,2063917,7847353,False,,2585,txt,1830475,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",17002255,,32.0,,17174044,1411545682.0,ok,1023992.0,solid_qual_boxplot,1.0.0,,2014-09-24 08:01:27.041713,,2.0
,,2014-09-24 08:22:15.301009,roundup_single,1411546948.0,0.0,,1.0,main_w2_handler1,2063948,7847454,False,,2585,txt,1830776,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",17002400,,32.0,,17174375,1411546946.0,ok,1023992.0,solid_qual_boxplot,1.0.0,,2014-09-24 08:22:30.207372,,2.0
,,2014-10-31 05:39:28.245940,rodeo_normal,1414733984.0,0.0,,1.0,main_w1_handler0,2103021,8076429,False,,11933,tabular,103350.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",17386506,,2.0,,17638045,1414733981.0,ok,0.0,solid_qual_boxplot,1.0.0,,2014-10-31 05:39:46.795121,54411.0,3.0
,,2014-10-31 05:58:22.466733,rodeo_normal,1414735118.0,0.0,,1.0,main_w2_handler1,2103021,8076480,False,,11933,tabular,103397.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",17386506,,2.0,,17638045,1414735115.0,ok,0.0,solid_qual_boxplot,1.0.0,,2014-10-31 05:58:39.998826,54411.0,3.0
,,2015-01-07 17:07:56.474534,rodeo_normal,1420650496.0,0.0,,1.0,main_w1_handler1,1081896,8510826,False,,3184,txt,2429889.roundup,slurm,,132112068.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18149294,,32.0,,20369899,1420650494.0,ok,1023996.0,solid_qual_boxplot,1.0.0,,2015-01-07 17:08:27.727717,25067.0,2.0
,,2015-01-08 06:05:32.091470,rodeo_normal,1420697180.0,0.0,,1.0,main_w2_handler1,2095517,8514402,False,,9451,tabular,715840.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18156683,,2.0,,17891525,1420697176.0,ok,0.0,solid_qual_boxplot,1.0.0,,2015-01-08 06:06:22.831499,,4.0
,,2014-09-26 00:17:18.485088,roundup_single,1411690697.0,0.0,,1.0,main_w1_handler1,2048058,7863264,False,,3567,txt,1843387,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",17027285,,32.0,,16903240,1411690656.0,ok,1023992.0,solid_qual_boxplot,1.0.0,,2014-09-26 00:18:21.763605,13627.0,41.0
,,2014-09-26 06:48:59.576045,roundup_single,1411714158.0,0.0,,1.0,main_w2_handler0,2066654,7864160,False,,10057,tabular,1844145,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",17028916,,32.0,,17232093,1411714156.0,ok,1023992.0,solid_qual_boxplot,1.0.0,,2014-09-26 06:49:19.494743,,2.0
,,2014-09-26 06:55:04.067471,roundup_single,1411714515.0,0.0,,1.0,main_w1_handler1,2066654,7864168,False,,10118,tabular,1844157,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",17028989,,32.0,,17232093,1411714514.0,ok,1023992.0,solid_qual_boxplot,1.0.0,,2014-09-26 06:55:17.801620,,1.0
,,2014-09-26 06:59:01.334237,roundup_single,1411714761.0,0.0,,1.0,main_w2_handler0,2066654,7864185,False,,10111,tabular,1844169,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",17029008,,32.0,,17232093,1411714758.0,ok,1023992.0,solid_qual_boxplot,1.0.0,,2014-09-26 06:59:24.317400,,3.0
,,2014-09-26 06:44:08.770457,roundup_single,1411714141.0,0.0,,1.0,main_w2_handler0,2066654,7864149,False,Job output deleted by user before job completed.,10057,tabular,1844144,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",17028916,,32.0,,17232093,1411714139.0,ok,1023992.0,solid_qual_boxplot,1.0.0,,2014-09-26 06:49:04.256432,,2.0
,,2014-11-01 06:04:48.517839,rodeo_normal,1414821906.0,0.0,,1.0,main_w2_handler1,2104031,8082122,False,,11596,tabular,108168.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",17398218,,2.0,,17638045,1414821902.0,ok,0.0,solid_qual_boxplot,1.0.0,,2014-11-01 06:05:09.857601,54411.0,4.0
,,2015-01-06 17:45:39.220753,rodeo_normal,1420566361.0,0.0,,1.0,main_w1_handler1,2165628,8505829,False,,3408,txt,702943.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18140960,,2.0,,20032493,1420566358.0,ok,0.0,solid_qual_boxplot,1.0.0,,2015-01-06 17:46:09.492489,41232.0,3.0
,,2014-11-03 05:45:46.200513,rodeo_normal,1414993559.0,0.0,,1.0,main_w2_handler0,2105149,8088148,False,,6694,qualsolid,113459.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",17406969,,2.0,,18125538,1414993557.0,ok,0.0,solid_qual_boxplot,1.0.0,,2014-11-03 05:46:01.909398,54409.0,2.0
,,2014-11-03 05:24:59.313299,rodeo_normal,1414992311.0,0.0,,1.0,main_w2_handler1,2105149,8088107,False,,6694,qualsolid,113424.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",17406969,,2.0,,18125538,1414992308.0,ok,0.0,solid_qual_boxplot,1.0.0,,2014-11-03 05:25:15.624173,54409.0,3.0
,,2014-11-03 17:41:44.632674,rodeo_normal,1415036525.0,0.0,,1.0,main_w1_handler1,2094122,8091727,False,,11731,tabular,116241.rodeo,slurm,,8059880.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",17412726,,1.0,,17867627,1415036521.0,ok,835576.0,solid_qual_boxplot,1.0.0,,2014-11-03 17:42:07.610276,54718.0,4.0
,,2014-11-03 18:20:02.986507,rodeo_normal,1415038817.0,0.0,,1.0,main_w1_handler0,2094122,8091891,False,,11933,tabular,116538.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",17412969,,2.0,,17867627,1415038813.0,ok,0.0,solid_qual_boxplot,1.0.0,,2014-11-03 18:20:20.908899,54718.0,4.0
