create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputA,inputA_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.distance,parameters.inputA.values,parameters.strand,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-08-05 13:28:13.510132,slurm_normal,1470403731.0,0,1.0,main_w2_handler0,2017201,13601246,False,,898192,bed,7813200.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""10000""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5d4e5a4c23e554233'}]","""false""",32.0,,31952171,1470403726.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.24.0,2.24.0,,2016-08-05 13:28:53.216427,52106.0,5.0
2016-10-21 08:47:29.071391,slurm_normal,1477039664.0,0,1.0,main_w3_handler1,2592728,14137681,False,,1280114,bed,8351272.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""0""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5bd00810905704f68'}]","""false""",32.0,,32338686,1477039660.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.24.0,2.24.0,,2016-10-21 08:47:46.671301,61353.0,4.0
2016-08-19 13:34:39.428211,slurm_normal,1471613844.0,0,1.0,main_w4_handler0,2765594,13687039,False,,1767943690,bed,7901485.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5f1311127951f7503'}]","""false""",32.0,,32383149,1471613723.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.24.0,2.24.0,,2016-08-19 13:37:25.708584,78643.0,121.0
2016-08-19 13:34:38.682812,slurm_normal,1471613777.0,0,1.0,main_w4_handler0,2765594,13687038,False,,579033318,bed,7901484.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""","[{'src': 'hda', 'id': 'bbd44e69cb8906b59f479dfd643418d8'}]","""false""",32.0,,32383149,1471613724.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.24.0,2.24.0,,2016-08-19 13:36:19.786905,78643.0,53.0
2016-08-25 14:59:13.096613,slurm_normal,1472137223.0,0,1.0,main_w3_handler1,2802111,13718360,False,,8630095,bed,7935379.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""50""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5d6cc6ac2a3849cef'}]","""true""",32.0,,31656448,1472137212.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.24.0,2.24.0,,2016-08-25 15:00:25.349170,83068.0,11.0
2017-03-20 14:22:41.970871,slurm_normal,1490019774.0,0,1.0,main_w3_handler1,3013065,15343629,False,,6621461,bed,9482894.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/rn6.len""","""rn6""","""0""","[{'src': 'hda', 'id': 28841414}]","""true""",32.0,,36609668,1490019766.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.24.0,2.24.0,,2017-03-20 14:22:56.131517,5424.0,8.0
2016-10-25 19:20:18.736147,slurm_normal,1477423227.0,0,1.0,main_w3_handler1,2867414,14172489,False,,466194,bed,8385192.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""1000""","[{'src': 'hda', 'id': 'bbd44e69cb8906b51ac91adcdff368ee'}]","""false""",32.0,,33897696,1477423223.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.24.0,2.24.0,,2016-10-25 19:20:28.899185,93020.0,4.0
2016-10-25 19:35:45.221373,slurm_normal,1477424245.0,0,1.0,main_w4_handler1,2859866,14172650,False,,8056,bed,8385352.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""2000""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5c3b8a88ce8b7d305'}]","""true""",32.0,,33449956,1477424151.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.24.0,2.24.0,,2016-10-25 19:37:33.699087,6515.0,94.0
2016-10-25 20:03:34.478716,slurm_normal,1477425840.0,0,1.0,main_w3_handler1,2867414,14172952,False,,195916,bed,8385645.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""1000""","[{'src': 'hda', 'id': 'bbd44e69cb8906b542aedf034d098902'}]","""false""",32.0,,33897696,1477425836.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.24.0,2.24.0,,2016-10-25 20:04:03.676897,93020.0,4.0
2016-10-25 20:12:40.658160,slurm_normal,1477426394.0,0,1.0,main_w3_handler1,2867414,14173025,False,,195916,bed,8385707.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""1000""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5e70d5bcec837a7c5'}]","""false""",32.0,,33897696,1477426385.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.24.0,2.24.0,,2016-10-25 20:13:18.271954,93020.0,9.0
