chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.file_format.__current_case__,parameters.file_format.seq_file,parameters.file_format.seq_file.values,parameters.file_format.type,parameters.length,parameters.mapping_file.__current_case__,parameters.mapping_file.param_a,parameters.mapping_file.param_best,parameters.mapping_file.param_five,parameters.mapping_file.param_k,parameters.mapping_file.param_m,parameters.mapping_file.param_three,parameters.mapping_file.param_v,parameters.mapping_file.type,parameters.reference_file,parameters.reference_file.values,parameters.seq_file|__identifier__,parameters.shift,parameters.t_end,processor_count,reference_file,reference_file_filetype,runner_name,seq_file,seq_file_filetype,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-06-02 19:47:10.345143,slurm_normal,1464896864.0,0,1.0,main_w2_handler1,2718146,13052358,False,,7238473.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58b6cbf25511de4f2'}]",fastq,"""12""",1,false,false,0,1,-1,0,3,user,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56cb4470d1b4ad559'}]",,"""1""","""five_end""",32.0,692,fasta,,1002734,fastq,30114114.0,1464896855.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/tyty/structurefold/iterative_map_pipeline/1.0,1.0,,2016-06-02 19:47:46.693148,71268.0,9.0
,,2016-06-02 19:47:11.048774,slurm_normal,1464896871.0,0,1.0,main_w2_handler1,2718146,13052359,False,,7238474.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58539247d92e2640e'}]",fastq,"""12""",1,false,false,0,1,-1,0,3,user,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56cb4470d1b4ad559'}]",,"""1""","""five_end""",32.0,692,fasta,,1109909,fastq,30114114.0,1464896858.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/tyty/structurefold/iterative_map_pipeline/1.0,1.0,,2016-06-02 19:47:52.921805,71268.0,13.0
,,2016-06-02 19:47:11.951231,slurm_normal,1464896886.0,0,1.0,main_w1_handler1,2718146,13052360,False,,7238478.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b594cd2d4a5aa00cf1'}]",fastq,"""12""",1,false,false,0,1,-1,0,3,user,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56cb4470d1b4ad559'}]",,"""1""","""five_end""",32.0,692,fasta,,1678609,fastq,30114114.0,1464896873.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/tyty/structurefold/iterative_map_pipeline/1.0,1.0,,2016-06-02 19:48:12.119915,71268.0,13.0
,,2016-06-02 19:47:12.508520,slurm_normal,1464896883.0,0,1.0,main_w2_handler0,2718146,13052361,False,,7238480.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55a54bc21c6e8570c'}]",fastq,"""12""",1,false,false,0,1,-1,0,3,user,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56cb4470d1b4ad559'}]",,"""1""","""five_end""",32.0,692,fasta,,755022,fastq,30114114.0,1464896873.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/tyty/structurefold/iterative_map_pipeline/1.0,1.0,,2016-06-02 19:48:04.872839,71268.0,10.0
,,2016-06-02 22:48:04.500237,slurm_normal,1464907752.0,0,1.0,main_w1_handler0,2708180,13053820,False,,7239839.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5acd4b73d6a742257'}]",fastq,"""12""",1,false,false,0,1,-1,0,3,user,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ddc32fb3f3e2ee46'}]",,"""1""","""five_end""",32.0,341,fasta,,69760,fastq,30461425.0,1464907747.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/tyty/structurefold/iterative_map_pipeline/1.0,1.0,,2016-06-02 22:49:13.560123,71268.0,5.0
,,2016-06-02 22:47:58.495759,slurm_normal,1464907717.0,0,1.0,main_w2_handler1,2708180,13053813,False,,7239828.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53991612ef8d22db3'}]",fastq,"""12""",1,false,false,0,1,-1,0,3,user,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ddc32fb3f3e2ee46'}]",,"""1""","""five_end""",32.0,341,fasta,,13784,fastq,30461425.0,1464907709.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/tyty/structurefold/iterative_map_pipeline/1.0,1.0,,2016-06-02 22:48:42.286212,71268.0,8.0
,,2016-06-02 22:47:55.952268,slurm_normal,1464907718.0,0,1.0,main_w2_handler0,2708180,13053810,False,,7239830.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b563fe0f0e85ab94f2'}]",fastq,"""12""",1,false,false,0,1,-1,0,3,user,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ddc32fb3f3e2ee46'}]",,"""1""","""five_end""",32.0,341,fasta,,57568,fastq,30461425.0,1464907712.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/tyty/structurefold/iterative_map_pipeline/1.0,1.0,,2016-06-02 22:48:42.741475,71268.0,6.0
,,2016-06-02 22:48:06.433467,slurm_normal,1464907760.0,0,1.0,main_w2_handler1,2708180,13053822,False,,7239840.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53459189dc9dc990f'}]",fastq,"""12""",1,false,false,0,1,-1,0,3,user,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ddc32fb3f3e2ee46'}]",,"""1""","""five_end""",32.0,341,fasta,,127912,fastq,30461425.0,1464907754.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/tyty/structurefold/iterative_map_pipeline/1.0,1.0,,2016-06-02 22:49:23.119368,71268.0,6.0
,,2016-06-02 22:48:02.961371,slurm_normal,1464907717.0,0,1.0,main_w2_handler1,2708180,13053818,False,,7239829.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d9864e9b9dde0736'}]",fastq,"""12""",1,false,false,0,1,-1,0,3,user,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ddc32fb3f3e2ee46'}]",,"""1""","""five_end""",32.0,341,fasta,,63770,fastq,30461425.0,1464907709.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/tyty/structurefold/iterative_map_pipeline/1.0,1.0,,2016-06-02 22:48:42.361080,71268.0,8.0
,,2016-06-02 22:48:02.059389,slurm_normal,1464907730.0,0,1.0,main_w1_handler1,2708180,13053817,False,,7239832.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b597d947c6ba774777'}]",fastq,"""12""",1,false,false,0,1,-1,0,3,user,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ddc32fb3f3e2ee46'}]",,"""1""","""five_end""",32.0,341,fasta,,36027,fastq,30461425.0,1464907725.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/tyty/structurefold/iterative_map_pipeline/1.0,1.0,,2016-06-02 22:48:52.457407,71268.0,5.0
,,2016-06-02 22:47:59.323005,slurm_normal,1464907728.0,0,1.0,main_w1_handler0,2708180,13053814,False,,7239831.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b846c5f05f11506b'}]",fastq,"""12""",1,false,false,0,1,-1,0,3,user,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ddc32fb3f3e2ee46'}]",,"""1""","""five_end""",32.0,341,fasta,,24269,fastq,30461425.0,1464907723.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/tyty/structurefold/iterative_map_pipeline/1.0,1.0,,2016-06-02 22:48:51.899477,71268.0,5.0
,,2016-06-02 22:47:56.796081,slurm_normal,1464907726.0,0,1.0,main_w1_handler1,2708180,13053811,False,,7239826.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f43a5bf349222b56'}]",fastq,"""12""",1,false,false,0,1,-1,0,3,user,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ddc32fb3f3e2ee46'}]",,"""1""","""five_end""",32.0,341,fasta,,47915,fastq,30461425.0,1464907703.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/tyty/structurefold/iterative_map_pipeline/1.0,1.0,,2016-06-02 22:48:48.698608,71268.0,23.0
,,2016-06-02 22:48:01.022515,slurm_normal,1464907717.0,0,1.0,main_w2_handler1,2708180,13053816,False,,7239827.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5049e6fd70d381079'}]",fastq,"""12""",1,false,false,0,1,-1,0,3,user,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ddc32fb3f3e2ee46'}]",,"""1""","""five_end""",32.0,341,fasta,,11129,fastq,30461425.0,1464907709.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/tyty/structurefold/iterative_map_pipeline/1.0,1.0,,2016-06-02 22:48:42.094441,71268.0,8.0
,,2016-06-02 22:47:57.644273,slurm_normal,1464907738.0,0,1.0,main_w2_handler0,2708180,13053812,False,,7239835.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58b8b0cf84eb0a5bd'}]",fastq,"""12""",1,false,false,0,1,-1,0,3,user,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ddc32fb3f3e2ee46'}]",,"""1""","""five_end""",32.0,341,fasta,,53553,fastq,30461425.0,1464907733.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/tyty/structurefold/iterative_map_pipeline/1.0,1.0,,2016-06-02 22:48:59.627064,71268.0,5.0
,,2016-06-02 22:48:00.283060,slurm_normal,1464907762.0,0,1.0,main_w2_handler0,2708180,13053815,False,,7239841.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5991997bb72e99ba8'}]",fastq,"""12""",1,false,false,0,1,-1,0,3,user,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ddc32fb3f3e2ee46'}]",,"""1""","""five_end""",32.0,341,fasta,,1291,fastq,30461425.0,1464907757.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/tyty/structurefold/iterative_map_pipeline/1.0,1.0,,2016-06-02 22:49:27.078050,71268.0,5.0
