chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.condition,parameters.dbkey,parameters.description,parameters.filter,parameters.input,parameters.input.values,parameters.tag,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-03-16 12:59:05.536121,rodeo_normal,1426540381.0,255,,1.0,main_w1_handler0,2232887,8957053,False,,104417644,vcf,3189894.roundup,slurm,,132112168.0,corral-repl,,"""37df3976cbdc11e4a77c005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""",""">= ${allele_freq}""","""hg19""","""MinAF [${allele_freq}]""","""MinAF""",18869370,,"""FORMAT/FREQ""",32.0,,21275000.0,1426540377.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_annotate/vcftools_annotate/0.1,0.1,,2015-03-16 21:13:03.051032,59391.0,4.0
,,2015-03-17 15:47:04.806361,rodeo_normal,1426607241.0,255,,1.0,main_w2_handler1,2175431,8968518,False,,17390511,vcf,3203970.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/010/117/dataset_10117659.dat""","""""","""reference_v1""","""""","""variant allete frequency""",18885565,,"""""",32.0,,20547674.0,1426607236.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_annotate/vcftools_annotate/0.1,0.1,,2015-03-17 15:47:23.929219,30030.0,5.0
,,2015-03-17 19:16:49.495006,rodeo_normal,1426619827.0,255,,1.0,main_w2_handler1,2240178,8970772,False,,3338861,vcf,3208181.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""""","""hg38""","""""","""""",18888668,,"""""",32.0,,21862659.0,1426619824.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_annotate/vcftools_annotate/0.1,0.1,,2015-03-17 19:17:09.264510,,3.0
,,2015-03-23 13:13:22.032744,rodeo_normal,1427116420.0,255,,1.0,main_w1_handler0,2246020,9013270,False,,365742,vcf,3288767.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""""","""?""","""""","""""",18959900,,"""""",32.0,,21968014.0,1427116417.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_annotate/vcftools_annotate/0.1,0.1,,2015-03-23 13:13:40.772183,60989.0,3.0
,,2015-03-25 01:35:06.110239,rodeo_normal,1427247325.0,0,,1.0,main_w1_handler0,2247989,9029490,False,,1624822,vcf,3314727.roundup,slurm,,132112168.0,corral-repl,,"""2a34cb10d28f11e497bc005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""",""">= .3""","""hg19""","""MinAF [.3]""","""MinAF""",18982689,,"""FORMAT/FREQ""",32.0,,21867844.0,1427247320.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_annotate/vcftools_annotate/0.1,0.1,,2015-03-25 01:35:26.103927,50090.0,5.0
,,2015-03-30 13:55:22.667052,rodeo_normal,1427729718.0,255,,1.0,main_w1_handler0,2253999,9086254,False,,7194376,vcf,3373414.roundup,slurm,,132112168.0,corral-repl,,"""6647cf7cd6e411e4b0f8005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""",""">= ${allele_freq}""","""hg19""","""MinAF [${allele_freq}]""","""MinAF""",19063346,,"""FORMAT/FREQ""",32.0,,21921182.0,1427729715.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_annotate/vcftools_annotate/0.1,0.1,,2015-03-30 15:35:20.277331,29506.0,3.0
,,2015-03-30 03:59:43.140381,rodeo_normal,1427688002.0,255,,1.0,main_w1_handler1,2253451,9079107,False,,762074,vcf,3365931.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""##FORMAT=<ID=FREQ,Number=1,Type=String,Description=\""Variant allele frequency\"">""","""?""","""vaff""","""tct""",19053500,,"""VAF""",32.0,,22106637.0,1427687998.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_annotate/vcftools_annotate/0.1,0.1,,2015-03-30 04:00:04.188191,61642.0,4.0
,,2015-05-05 12:37:55.640644,slurm_normal,1430829503.0,255,,1.0,main_w1_handler0,2237627,9398962,False,,147469,vcf,3729994.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""""","""hg38""","""""","""""",19585001,,"""""",32.0,,22633180.0,1430829499.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_annotate/vcftools_annotate/0.1,0.1,,2015-05-05 12:38:27.995492,60894.0,4.0
,,2015-04-01 14:38:37.661323,rodeo_normal,1427899202.0,255,,1.0,main_w2_handler1,2251878,9114881,False,,65537,vcf,3400436.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""""","""hg19""","""""","""""",19045377,,"""""",32.0,,22073101.0,1427899192.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_annotate/vcftools_annotate/0.1,0.1,,2015-04-01 14:40:05.528835,61606.0,10.0
,,2015-04-02 12:13:34.648998,slurm_normal,1427976833.0,255,,1.0,main_w2_handler0,2257970,9123452,False,,45531,vcf,3408412.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""""","""Homo_sapiens_nuHg19_mtrCRS""","""""","""""",19121179,,"""""",32.0,,22218459.0,1427976829.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_annotate/vcftools_annotate/0.1,0.1,,2015-04-02 12:13:58.785387,,4.0
,,2015-03-30 16:53:35.872980,slurm_normal,1427988708.0,0,,1.0,main_w2_handler1,2254255,9089900,False,,76932748,vcf,3410157.roundup,slurm,,132112168.0,corral-repl,,"""479524c6d6fd11e481de005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""",""">= 1""","""hg19""","""MinAF [1]""","""MinAF""",19067504,,"""FORMAT/FREQ""",32.0,,22011154.0,1427988678.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_annotate/vcftools_annotate/0.1,0.1,,2015-04-02 15:31:50.801407,60400.0,30.0
,,2017-06-21 07:30:16.915935,slurm_normal,1498030396.0,0,,1.0,main_w4_handler1,3120298,16151022,False,,2309,vcf,10229849.roundup,slurm,,132112168.0,corral-repl,,"""7113d630565311e7918c005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""",""">= 3""","""hg19""","""MinAF [3]""","""MinAF""",,"[{'src': 'hda', 'id': 30107329}]","""FORMAT/FREQ""",32.0,,,1498030393.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_annotate/vcftools_annotate/0.1,0.1,,2017-06-21 07:33:17.914735,106336.0,3.0
,,2015-06-19 16:26:46.220564,slurm_normal,1434731248.0,255,,1.0,main_w2_handler0,1810010,9693707,False,,125545752,vcf,4002471.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""""","""hg19""","""""","""""",20071163,,"""##FORMAT=<ID=FREQ,Number=0.05,Type=String,Description=\""Variant allele frequency\"">""",32.0,,23106215.0,1434731239.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_annotate/vcftools_annotate/0.1,0.1,,2015-06-19 16:27:31.055014,13595.0,9.0
,,2015-04-07 18:12:51.692314,slurm_normal,1428430397.0,255,,1.0,main_w1_handler0,2252242,9161633,False,,31379326,vcf,3443602.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""""","""hg19""","""""","""dbtype snp138""",19038753,,"""""",32.0,,22078951.0,1428430392.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_annotate/vcftools_annotate/0.1,0.1,,2015-04-07 18:13:21.700342,3103.0,5.0
,,2015-04-08 12:06:32.133949,slurm_normal,1428506439.0,255,,1.0,main_w2_handler1,2263498,9170518,False,,0,vcf,3452155.roundup,slurm,,132112168.0,corral-repl,,"""a3ab8e4edde711e48ee4005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""",""">= 0.005""","""hg19""","""MinAF [0.005]""","""MinAF""",19190630,,"""FORMAT/FREQ""",32.0,,21921182.0,1428506435.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_annotate/vcftools_annotate/0.1,0.1,,2015-04-08 15:20:42.477388,29506.0,4.0
,,2015-04-09 12:11:52.502547,slurm_normal,1428585880.0,255,,1.0,main_w1_handler1,2248643,9179330,False,,126607318,vcf,3459273.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""\"">=200\""""","""hg19""","""alternative reads""","""FORMAT/AO""",19198910,,"""##FORMAT=<ID=AO,Number=A,Type=Integer,Description=\""Alternate allele observation count\"">""",32.0,,22099369.0,1428585878.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_annotate/vcftools_annotate/0.1,0.1,,2015-04-09 13:24:42.416147,26979.0,2.0
,,2015-06-19 20:01:50.773869,slurm_normal,1434744138.0,255,,1.0,main_w1_handler0,2312197,9695106,False,,57285892,vcf,4004008.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""""","""hg19""","""""","""""",20073129,,"""Exoma Edi""",32.0,,23727804.0,1434744134.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_annotate/vcftools_annotate/0.1,0.1,,2015-06-19 20:02:19.297546,47978.0,4.0
,,2015-06-19 20:02:57.381699,slurm_normal,1434744199.0,255,,1.0,main_w1_handler2,2312197,9695111,False,,57285892,vcf,4004013.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""""","""hg19""","""""","""""",20073129,,"""Edi""",32.0,,23727804.0,1434744196.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_annotate/vcftools_annotate/0.1,0.1,,2015-06-19 20:03:21.016862,47978.0,3.0
,,2015-06-19 20:03:50.251287,slurm_normal,1434744255.0,255,,1.0,main_w2_handler0,2312197,9695117,False,,57285892,vcf,4004022.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""""","""hg19""","""""","""""",20073129,,"""""",32.0,,23727804.0,1434744252.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_annotate/vcftools_annotate/0.1,0.1,,2015-06-19 20:04:20.435097,47978.0,3.0
,,2015-05-08 05:30:52.290716,slurm_normal,1431063077.0,255,,1.0,main_w1_handler1,2293849,9428307,False,,954149,vcf,3756200.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""""","""?""","""""","""""",19635806,,"""""",32.0,,22954242.0,1431063073.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_annotate/vcftools_annotate/0.1,0.1,,2015-05-08 05:31:18.820524,63119.0,4.0
,,2015-12-08 18:50:16.714794,slurm_normal,1449663906.0,0,,1.0,main_w1_handler1,2502115,11120431,False,,52054346,vcf,5391470.roundup,slurm,,132112168.0,corral-repl,,"""7f00a47a9ddc11e59b93005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""",""">= .001""","""hg19""","""MinAF [.001]""","""MinAF""",22353748,,"""FORMAT/FREQ""",32.0,,26662659.0,1449663883.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_annotate/vcftools_annotate/0.1,0.1,,2015-12-09 12:25:08.421948,72611.0,23.0
,,2015-04-20 12:06:48.913051,slurm_normal,1429531632.0,255,,1.0,main_w1_handler1,2271812,9275738,False,,4000679,vcf,3573782.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""""","""?""","""""","""""",19378759,,"""""",32.0,,22512055.0,1429531628.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_annotate/vcftools_annotate/0.1,0.1,,2015-04-20 12:07:13.858163,,4.0
,,2015-05-12 11:15:22.230479,slurm_normal,1431429353.0,255,,1.0,main_w1_handler1,2285522,9452364,False,,1376872,vcf,3777679.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""""","""Arabidopsis_thaliana_TAIR10""","""""","""""",19674985,,"""""",32.0,,22750070.0,1431429350.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_annotate/vcftools_annotate/0.1,0.1,,2015-05-12 11:15:55.321017,62862.0,3.0
,,2015-04-23 08:11:03.404233,slurm_normal,1429776715.0,255,,1.0,main_w1_handler0,2237627,9308465,False,,147469,vcf,3631533.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""""","""hg38""","""""","""""",19415153,,"""""",32.0,,22633180.0,1429776684.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_annotate/vcftools_annotate/0.1,0.1,,2015-04-23 08:11:58.997642,60894.0,31.0
,,2015-04-21 12:46:54.218618,slurm_normal,1429642199.0,255,,1.0,main_w1_handler1,2275745,9288468,False,,0,vcf,3604140.roundup,slurm,,132112168.0,corral-repl,,"""785d56aee82411e49789005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""",""">= ${allele_freq}""","""hg19""","""MinAF [${allele_freq}]""","""MinAF""",19399856,,"""FORMAT/FREQ""",32.0,,21275000.0,1429642194.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_annotate/vcftools_annotate/0.1,0.1,,2015-04-21 18:50:06.597081,59391.0,5.0
,,2015-10-23 23:39:29.886603,slurm_normal,1445643593.0,255,,1.0,main_w2_handler0,2471422,10708667,False,,89981407,vcf,4971139.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""< in.vcf > out.tab""","""hg_g1k_v37""","""""","""""",21669797,,"""""",32.0,,25688655.0,1445643589.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_annotate/vcftools_annotate/0.1,0.1,,2015-10-23 23:39:54.374805,71243.0,4.0
,,2015-04-30 20:26:24.864409,slurm_normal,1430425603.0,255,,1.0,main_w1_handler1,2288044,9371108,False,,43869564,vcf,3707007.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""""","""?""","""68192""","""""",19517827,,"""ID""",32.0,,22501224.0,1430425597.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_annotate/vcftools_annotate/0.1,0.1,,2015-04-30 20:26:45.089098,62384.0,6.0
