create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputA,inputA_filetype,inputB,inputB_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.detail,parameters.inputA,parameters.inputA.values,parameters.inputB,parameters.inputB.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-01-14 21:05:05.350403,slurm_normal,1452805525.0,0,1.0,main_w2_handler1,2559676,11507407,False,,88918,bed,334625,bed,5775408.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""False""",22902754,,22904357,,32.0,,27240485,1452805520.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_reldistbed/2.22.0,2.22.0,,2016-01-14 21:05:30.144746,50494.0,5.0
2016-01-14 21:06:36.600057,slurm_normal,1452805622.0,0,1.0,main_w2_handler1,2559676,11507436,False,,88699,bed,334625,bed,5775439.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""False""",22905147,,22904357,,32.0,,27240485,1452805617.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_reldistbed/2.22.0,2.22.0,,2016-01-14 21:07:05.256000,50494.0,5.0
2016-01-14 21:06:37.346545,slurm_normal,1452805688.0,0,1.0,main_w2_handler1,2559676,11507437,False,,88699,bed,32138245,bed,5775450.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""False""",22905147,,22904363,,32.0,,27240485,1452805676.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_reldistbed/2.22.0,2.22.0,,2016-01-14 21:08:13.482971,50494.0,12.0
2016-01-14 21:06:38.489262,slurm_normal,1452805687.0,0,1.0,main_w1_handler1,2559676,11507439,False,,88699,bed,23873,bed,5775448.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""False""",22905147,,22904365,,32.0,,27240485,1452805674.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_reldistbed/2.22.0,2.22.0,,2016-01-14 21:08:11.633760,50494.0,13.0
2016-01-14 21:06:43.398931,slurm_normal,1452805777.0,0,1.0,main_w1_handler0,2559676,11507444,False,,88699,bed,895045,bed,5775466.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""False""",22905147,,22904370,,32.0,,27240485,1452805773.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_reldistbed/2.22.0,2.22.0,,2016-01-14 21:09:41.782132,50494.0,4.0
2016-01-14 21:06:48.888549,slurm_normal,1452805864.0,0,1.0,main_w1_handler0,2559676,11507452,False,,88699,bed,815304,bed,5775486.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""False""",22905147,,22904378,,32.0,,27240485,1452805860.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_reldistbed/2.22.0,2.22.0,,2016-01-14 21:11:08.780907,50494.0,4.0
2016-01-14 21:05:07.604342,slurm_normal,1452805559.0,0,1.0,main_w1_handler2,2559676,11507409,False,,88918,bed,71255,bed,5775421.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""False""",22902754,,22904364,,32.0,,27240485,1452805556.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_reldistbed/2.22.0,2.22.0,,2016-01-14 21:06:07.606374,50494.0,3.0
2016-01-14 21:05:10.772304,slurm_normal,1452805585.0,0,1.0,main_w1_handler2,2559676,11507415,False,,88918,bed,2752046,bed,5775425.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""False""",22902754,,22904369,,32.0,,27240485,1452805580.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_reldistbed/2.22.0,2.22.0,,2016-01-14 21:06:31.276079,50494.0,5.0
2016-01-14 21:05:09.267290,slurm_normal,1452805591.0,0,1.0,main_w1_handler2,2559676,11507413,False,,88918,bed,514657,bed,5775423.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""False""",22902754,,22904367,,32.0,,27240485,1452805570.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_reldistbed/2.22.0,2.22.0,,2016-01-14 21:06:38.651771,50494.0,21.0
2016-01-14 21:05:13.339250,slurm_normal,1452805744.0,0,1.0,main_w1_handler0,2559676,11507420,False,,88918,bed,2543737,bed,5775461.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""False""",22902754,,22904374,,32.0,,27240485,1452805736.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_reldistbed/2.22.0,2.22.0,,2016-01-14 21:09:14.596903,50494.0,8.0
