chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.analysis_type,parameters.chromInfo,parameters.dbkey,parameters.vcf_input,parameters.vcf_input.values,parameters.vcf_input|__identifier__,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,vcf_input,vcf_input_filetype,runtime
,,2015-08-24 17:05:40.742365,slurm_normal,1440435969.0,0,,1.0,main_w2_handler0,2158966,10190254,False,,4459262.roundup,slurm,,132112168.0,corral-repl,,,"""count""","""/galaxy-repl/localdata/chrom/?.len""","""?""",20889494,,,32.0,,24811706,1440435962.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfhethom/vcfhethom/0.0.3,0.0.3,,2015-08-24 17:06:14.972939,2722.0,943503,vcf,7.0
,,2015-08-31 12:52:03.711036,slurm_normal,1441025696.0,0,,1.0,main_w2_handler1,2422170,10229922,False,,4504881.roundup,slurm,,132112168.0,corral-repl,,,"""ratio""","""/galaxy-repl/main/files/012/203/dataset_12203125.dat""","""dm6_iso_all""",20961759,,,32.0,,24758913,1441025665.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfhethom/vcfhethom/0.0.3,0.0.3,,2015-08-31 12:54:58.465473,58185.0,210568159,vcf,31.0
,,2015-08-31 12:49:50.657002,slurm_normal,1441025618.0,0,,1.0,main_w2_handler1,2422170,10229902,False,,4504870.roundup,slurm,,132112168.0,corral-repl,,,"""count""","""/galaxy-repl/main/files/012/203/dataset_12203125.dat""","""dm6_iso_all""",20961739,,,32.0,,24758913,1441025585.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfhethom/vcfhethom/0.0.3,0.0.3,,2015-08-31 12:53:41.144300,58185.0,238956483,vcf,33.0
,,2015-08-31 12:49:30.180238,slurm_normal,1441025620.0,0,,1.0,main_w1_handler2,2422170,10229900,False,,4504871.roundup,slurm,,132112168.0,corral-repl,,,"""ratio""","""/galaxy-repl/main/files/012/203/dataset_12203125.dat""","""dm6_iso_all""",20961739,,,32.0,,24758913,1441025585.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfhethom/vcfhethom/0.0.3,0.0.3,,2015-08-31 12:53:44.432802,58185.0,238956483,vcf,35.0
,,2015-08-31 13:06:11.373756,slurm_normal,1441026521.0,0,,1.0,main_w2_handler0,2422170,10229993,False,,4504944.roundup,slurm,,132112168.0,corral-repl,,,"""count""","""/galaxy-repl/main/files/012/203/dataset_12203125.dat""","""dm6_iso_all""",20961886,,,32.0,,24758913,1441026496.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfhethom/vcfhethom/0.0.3,0.0.3,,2015-08-31 13:08:45.329664,58185.0,162536313,vcf,25.0
,,2015-08-31 21:54:31.162662,slurm_normal,1441058094.0,0,,1.0,main_w1_handler1,2421465,10233017,False,,4510706.roundup,slurm,,132112168.0,corral-repl,,,"""allele_count""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20967144,,,32.0,,24879771,1441058090.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfhethom/vcfhethom/0.0.3,0.0.3,,2015-08-31 21:54:58.198342,68269.0,1310580,vcf,4.0
,,2015-08-31 21:50:45.950795,slurm_normal,1441057875.0,0,,1.0,main_w1_handler0,2421465,10233000,False,,4510678.roundup,slurm,,132112168.0,corral-repl,,,"""ratio""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20967144,,,32.0,,24879771,1441057871.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfhethom/vcfhethom/0.0.3,0.0.3,,2015-08-31 21:51:17.129446,68269.0,1310580,vcf,4.0
,,2015-09-04 09:17:15.602091,slurm_normal,1441358267.0,0,,1.0,main_w1_handler2,2403275,10257879,False,,4545212.roundup,slurm,,132112168.0,corral-repl,,,"""ratio""","""/galaxy-repl/localdata/chrom/?.len""","""?""",21006356,,,32.0,,25014204,1441358263.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfhethom/vcfhethom/0.0.3,0.0.3,,2015-09-04 09:17:49.525206,67511.0,4985048,vcf,4.0
,,2015-09-01 20:09:25.401126,slurm_normal,1441138201.0,0,,1.0,main_w1_handler0,2380521,10239662,False,,4519892.roundup,slurm,,132112168.0,corral-repl,,,"""ratio""","""/galaxy-repl/localdata/chrom/?.len""","""?""",20977076,,,32.0,,24200459,1441138193.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfhethom/vcfhethom/0.0.3,0.0.3,,2015-09-01 20:10:03.869772,,25623,vcf,8.0
,,2015-09-02 23:42:29.048130,slurm_normal,1441237382.0,0,,1.0,main_w2_handler0,2419910,10248156,False,,4534140.roundup,slurm,,132112168.0,corral-repl,,,"""count""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",20991651,,,32.0,,24851370,1441237377.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfhethom/vcfhethom/0.0.3,0.0.3,,2015-09-02 23:43:04.971565,68207.0,3567935,vcf,5.0
