chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputA,inputA_filetype,inputB,inputB_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.inputA.values,parameters.inputB.values,parameters.overlap,parameters.removeIfOverlap,parameters.strand,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-09-09 16:43:39.349869,slurm_normal,1473439438.0,0,1.0,main_w3_handler1,2815514,13816808,False,,739,bed,7230,bed,8038174.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b57526f780ce4d8ad0'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5c7504e4e59d046a5'}]","""1e-09""","""""","""""",32.0,,31758137,1473439432.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.24.0,2.24.0,,2016-09-09 16:44:04.094852,63217.0,6.0
,,2016-06-21 19:13:48.625686,slurm_normal,1466536444.0,0,1.0,main_w1_handler1,2744620,13227897,False,,811908,bed,851959,bed,7412757.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b56d11ff97f0aafbf6'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5d91a7e5441a503d4'}]","""1e-09""","""""","""""",32.0,,30968334,1466536440.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.24.0,2.24.0,,2016-06-21 19:14:07.230450,86394.0,4.0
,,2016-09-09 20:30:50.842666,slurm_normal,1473453247.0,0,1.0,main_w3_handler1,2812161,13818383,False,,1818176756,bed,72057,bed,8039824.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5271a044a3bff1349'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5928b9d10a457a683'}]","""1e-09""","""""","""""",32.0,,32838110,1473453069.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.24.0,2.24.0,,2016-09-09 20:34:09.748075,89409.0,178.0
,,2016-10-13 15:12:20.766825,slurm_normal,1476371679.0,0,1.0,main_w4_handler1,2570550,14074076,False,,1603,bed,2095681,bed,8290912.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5be5f59b91a08f660'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5603e89fe52a2bb8d'}]","""1e-09""","""-A""","""""",32.0,,33177068,1476371627.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.24.0,2.24.0,,2016-10-13 15:14:42.996348,76689.0,52.0
,,2016-06-24 05:22:04.060416,slurm_normal,1466745760.0,0,1.0,main_w1_handler0,2736973,13251968,False,,4074729,bed,2411380,bed,7438980.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""","[{'src': 'hda', 'id': 'bbd44e69cb8906b59c2c3ad079da1a37'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5a17e8976646f197c'}]","""1e-09""","""""","""""",32.0,,30939710,1466745754.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.24.0,2.24.0,,2016-06-24 05:22:41.768004,66230.0,6.0
,,2016-06-24 05:19:35.036064,slurm_normal,1466745618.0,0,1.0,main_w1_handler0,2736973,13251908,False,Job output deleted by user before job completed.,4074729,bed,8262,bed,7438942.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""","[{'src': 'hda', 'id': 'bbd44e69cb8906b59c2c3ad079da1a37'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b57c43cbe8c3c369db'}]","""1e-09""","""""","""""",32.0,,30939710,1466745612.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.24.0,2.24.0,,2016-06-24 05:20:19.537769,66230.0,6.0
,,2016-09-12 19:07:05.972670,slurm_normal,1473707243.0,0,1.0,main_w3_handler0,2803837,13834914,False,,5003915,bed,2200714,bed,8057135.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{'src': 'hda', 'id': 'bbd44e69cb8906b57e8c41c223e9e01b'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5f54399c53c4f60fc'}]","""1e-09""","""""","""""",32.0,,32920766,1473707236.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.24.0,2.24.0,,2016-09-12 19:07:24.691330,35036.0,7.0
,,2016-06-24 05:51:45.187437,slurm_normal,1466747543.0,0,1.0,main_w1_handler0,2736973,13252147,False,,4048306,bed,32586,bed,7439155.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5d72e86f238b16a27'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b557353c2ef3bbed4d'}]","""1e-09""","""""","""""",32.0,,30939710,1466747537.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.24.0,2.24.0,,2016-06-24 05:52:24.775271,66230.0,6.0
,,2016-06-23 19:52:49.271970,slurm_normal,1466711597.0,0,1.0,main_w1_handler1,2708051,13249617,False,,978714,bed,599402,bed,7436670.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{'src': 'hda', 'id': 'bbd44e69cb8906b504615867243363e5'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5ed20e2b4f23ae970'}]","""1e-09""","""""","""""",32.0,,29661447,1466711593.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.24.0,2.24.0,,2016-06-23 19:53:19.334955,67495.0,4.0
,,2016-06-23 19:52:18.254633,slurm_normal,1466711578.0,0,1.0,main_w1_handler0,2708051,13249614,False,,978714,bed,723558,bed,7436666.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{'src': 'hda', 'id': 'bbd44e69cb8906b504615867243363e5'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b513ccda239257d035'}]","""1e-09""","""""","""""",32.0,,29661447,1466711573.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.24.0,2.24.0,,2016-06-23 19:52:59.651810,67495.0,5.0
,,2016-06-24 06:06:18.646272,slurm_normal,1466748428.0,0,1.0,main_w2_handler0,2736973,13252209,False,,4048306,bed,171246,bed,7439210.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5d4052d4abec71de7'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b56616f627b9849504'}]","""1e-09""","""""","""""",32.0,,30939710,1466748422.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.24.0,2.24.0,,2016-06-24 06:07:10.880167,66230.0,6.0
,,2016-06-23 19:58:09.277447,slurm_normal,1466711929.0,0,1.0,main_w1_handler0,2708051,13249667,False,,723558,bed,978714,bed,7436727.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{'src': 'hda', 'id': 'bbd44e69cb8906b513ccda239257d035'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b504615867243363e5'}]","""1e-09""","""""","""""",32.0,,29661447,1466711925.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.24.0,2.24.0,,2016-06-23 19:58:52.300141,67495.0,4.0
,,2016-06-24 05:24:57.823547,slurm_normal,1466745941.0,0,1.0,main_w1_handler1,2736973,13251988,False,,4074729,bed,171246,bed,7438999.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""","[{'src': 'hda', 'id': 'bbd44e69cb8906b59c2c3ad079da1a37'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b56616f627b9849504'}]","""1e-09""","""""","""""",32.0,,30939710,1466745935.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.24.0,2.24.0,,2016-06-24 05:25:43.180716,66230.0,6.0
,,2016-06-24 05:30:48.401790,slurm_normal,1466746289.0,0,1.0,main_w1_handler0,2736973,13252023,False,,4048306,bed,32586,bed,7439047.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5d72e86f238b16a27'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b54563e6bef81d143f'}]","""1e-09""","""""","""""",32.0,,30939710,1466746283.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.24.0,2.24.0,,2016-06-24 05:31:30.087336,66230.0,6.0
,,2016-06-24 06:04:21.590401,slurm_normal,1466748297.0,0,1.0,main_w2_handler1,2736973,13252185,False,,4074729,bed,2411380,bed,7439196.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""","[{'src': 'hda', 'id': 'bbd44e69cb8906b59c2c3ad079da1a37'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5a17e8976646f197c'}]","""1e-09""","""""","""""",32.0,,30939710,1466748291.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.24.0,2.24.0,,2016-06-24 06:04:59.519372,66230.0,6.0
,,2016-06-24 06:08:07.283430,slurm_normal,1466748518.0,0,1.0,main_w2_handler0,2736973,13252229,False,,4049559,bed,32586,bed,7439217.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""","[{'src': 'hda', 'id': 'bbd44e69cb8906b55d968a3745d4f86e'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b557353c2ef3bbed4d'}]","""1e-09""","""""","""""",32.0,,30939710,1466748512.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.24.0,2.24.0,,2016-06-24 06:08:41.647892,66230.0,6.0
,,2016-06-24 06:14:04.257348,slurm_normal,1466748892.0,0,1.0,main_w2_handler1,2736973,13252272,False,,4049559,bed,3502902,bed,7439261.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""","[{'src': 'hda', 'id': 'bbd44e69cb8906b55d968a3745d4f86e'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b511c90dcef7c58b62'}]","""1e-09""","""""","""""",32.0,,30939710,1466748886.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.24.0,2.24.0,,2016-06-24 06:14:56.643106,66230.0,6.0
,,2016-06-24 06:26:38.789283,slurm_normal,1466749639.0,0,1.0,main_w2_handler1,2736973,13252340,False,,3805364,bed,1400854,bed,7439359.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5d72e4f104171068f'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b52fbd1d25a4dfc63e'}]","""1e-09""","""""","""""",32.0,,30939710,1466749631.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.24.0,2.24.0,,2016-06-24 06:27:21.028451,66230.0,8.0
,,2016-09-12 03:15:46.695425,slurm_normal,1473650162.0,0,1.0,main_w4_handler0,2803837,13827819,False,,842657,bed,633202,bed,8049749.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{'src': 'hda', 'id': 'bbd44e69cb8906b51667d9a002e7fd3f'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b54675ae46e9909c42'}]","""1e-09""","""""","""""",32.0,,32897614,1473650157.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.24.0,2.24.0,,2016-09-12 03:16:04.141008,35036.0,5.0
,,2016-06-27 14:35:21.833301,slurm_normal,1467038165.0,0,1.0,main_w1_handler0,2750777,13267303,False,,1972654,bed,5593780,bed,7455693.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5649b8a0771e3ed07'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b53ed2cd9d4effe0d0'}]","""1e-09""","""""","""""",32.0,,31102864,1467038159.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.24.0,2.24.0,,2016-06-27 14:36:07.192614,57741.0,6.0
,,2016-06-26 14:03:28.473476,slurm_normal,1466949829.0,0,1.0,main_w2_handler1,2749177,13262310,False,,696400,bed,435923,bed,7450095.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{'src': 'hda', 'id': 'bbd44e69cb8906b59cecb6d78fd941c5'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5bff1cfab69aa85fc'}]","""1e-09""","""""","""""",32.0,,30192208,1466949823.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.24.0,2.24.0,,2016-06-26 14:03:52.569561,34777.0,6.0
,,2016-06-26 14:09:12.716370,slurm_normal,1466950174.0,0,1.0,main_w2_handler1,2749177,13262346,False,,696400,bed,503570,bed,7450127.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{'src': 'hda', 'id': 'bbd44e69cb8906b59cecb6d78fd941c5'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b52444ed872918087a'}]","""1e-09""","""""","""""",32.0,,30192208,1466950166.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.24.0,2.24.0,,2016-06-26 14:09:36.002348,34777.0,8.0
,,2016-06-27 13:40:48.277419,slurm_normal,1467034876.0,0,1.0,main_w2_handler0,2750777,13267033,False,,395836,bed,4871627,bed,7455330.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5d788e39ac386b261'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5c4520f2f726d07df'}]","""5e-08""","""""","""""",32.0,,31102864,1467034872.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.24.0,2.24.0,,2016-06-27 13:41:20.202262,57741.0,4.0
,,2016-06-27 13:40:04.563995,slurm_normal,1467034833.0,0,1.0,main_w1_handler1,2750777,13267031,False,,4871627,bed,395836,bed,7455324.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5c4520f2f726d07df'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5d788e39ac386b261'}]","""5e-08""","""""","""""",32.0,,31102864,1467034825.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.24.0,2.24.0,,2016-06-27 13:40:36.402752,57741.0,8.0
,,2016-06-27 14:31:39.852545,slurm_normal,1467037932.0,0,1.0,main_w1_handler1,2750777,13267281,False,,13299,bed,4462080,bed,7455670.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b53168f47427dd0c22'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5a3b8333aec3a10b6'}]","""5e-08""","""""","""""",32.0,,31102864,1467037929.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.24.0,2.24.0,,2016-06-27 14:32:15.046219,57741.0,3.0
,,2016-06-27 14:31:25.158018,slurm_normal,1467037918.0,0,1.0,main_w1_handler1,2750777,13267280,False,,4462080,bed,13299,bed,7455669.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5a3b8333aec3a10b6'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b53168f47427dd0c22'}]","""5e-08""","""""","""""",32.0,,31102864,1467037911.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.24.0,2.24.0,,2016-06-27 14:32:00.295014,57741.0,7.0
,,2016-06-27 14:29:45.930634,slurm_normal,1467037839.0,0,1.0,main_w1_handler1,2750777,13267273,False,,13299,bed,13299,bed,7455663.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b53168f47427dd0c22'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b53168f47427dd0c22'}]","""5e-08""","""""","""""",32.0,,31102864,1467037822.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.24.0,2.24.0,,2016-06-27 14:30:40.648585,57741.0,17.0
,,2016-06-27 14:30:03.538503,slurm_normal,1467037839.0,0,1.0,main_w1_handler0,2750777,13267277,False,,13299,bed,4462080,bed,7455666.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b53168f47427dd0c22'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5a3b8333aec3a10b6'}]","""5e-08""","""""","""""",32.0,,31102864,1467037836.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.24.0,2.24.0,,2016-06-27 14:30:42.174923,57741.0,3.0
,,2016-06-27 14:35:11.324419,slurm_normal,1467038157.0,0,1.0,main_w1_handler1,2750777,13267301,False,,5593780,bed,1972654,bed,7455691.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b53ed2cd9d4effe0d0'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5649b8a0771e3ed07'}]","""1e-09""","""""","""""",32.0,,31102864,1467038147.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.24.0,2.24.0,,2016-06-27 14:36:00.031361,57741.0,10.0
,,2016-06-27 20:13:48.005211,slurm_normal,1467058473.0,0,1.0,main_w2_handler1,2750777,13270527,False,,4871627,bed,395836,bed,7458950.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5c4520f2f726d07df'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5d788e39ac386b261'}]","""1e-07""","""""","""""",32.0,,31114378,1467058466.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.24.0,2.24.0,,2016-06-27 20:15:34.805646,57741.0,7.0
,,2016-06-27 20:10:53.073060,slurm_normal,1467058287.0,0,1.0,main_w1_handler1,2750777,13270512,False,,4871627,bed,395836,bed,7458929.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5c4520f2f726d07df'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5d788e39ac386b261'}]","""1e-09""","""""","""""",32.0,,31114378,1467058277.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.24.0,2.24.0,,2016-06-27 20:11:37.457643,57741.0,10.0
