chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.accession,parameters.chromInfo,parameters.dbkey,parameters.description,parameters.disname,parameters.gi,parameters.heading,parameters.html_out1,parameters.input1,parameters.input1.values,parameters.length,parameters.pgc,parameters.type,parameters.usa,parameters.version,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-01-28 21:48:42.252264,rodeo_normal,1422481741.0,0.0,,1.0,main_w1_handler1,2183786,8626982,False,,4309,fasta,862842.rodeo,slurm,,16332532.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""","""yes""","""no""","""yes""","""no""",18332519,,"""yes""","""yes""","""yes""","""no""","""no""",2.0,,19882172.0,1422481736.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: infoseq46/5.0.0,5.0.0,,2015-01-28 21:49:04.729854,44985.0,5.0
,,2014-11-18 12:08:30.502119,rodeo_normal,1416312518.0,0.0,,1.0,main_w2_handler1,2121953,8192562,False,,2673916,fasta,2043065.roundup,slurm,,132112264.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""yes""","""yes""","""no""","""yes""","""yes""",17589982,,"""yes""","""yes""","""yes""","""yes""","""no""",32.0,,19576038.0,1416312515.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: infoseq46/5.0.0,5.0.0,,2014-11-18 12:08:41.167332,,3.0
,,2015-01-28 21:22:31.570841,rodeo_normal,1422480172.0,0.0,,1.0,main_w2_handler0,2183786,8626734,False,,4388,fasta,862462.rodeo,slurm,,16332532.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""","""yes""","""no""","""yes""","""no""",18332198,,"""yes""","""yes""","""yes""","""yes""","""no""",2.0,,19882172.0,1422480167.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: infoseq46/5.0.0,5.0.0,,2015-01-28 21:22:54.720861,44985.0,5.0
,,2015-01-28 21:23:04.352202,rodeo_normal,1422480267.0,0.0,,1.0,main_w1_handler1,2183786,8626739,False,,4388,fasta,862481.rodeo,slurm,,16332532.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""","""yes""","""no""","""yes""","""no""",18332198,,"""yes""","""yes""","""yes""","""yes""","""no""",2.0,,19882172.0,1422480264.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: infoseq46/5.0.0,5.0.0,,2015-01-28 21:24:33.528459,44985.0,3.0
,,2014-11-30 23:35:07.250516,rodeo_normal,1417390536.0,0.0,,1.0,main_w1_handler1,2102414,8274642,False,,1021547,fasta,2143920.roundup,slurm,,132112068.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""","""yes""","""no""","""yes""","""no""",17720056,,"""yes""","""yes""","""yes""","""yes""","""no""",32.0,,16829652.0,1417390532.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: infoseq46/5.0.0,5.0.0,,2014-11-30 23:35:38.256032,11523.0,4.0
,,2014-12-01 11:40:45.464798,rodeo_normal,1417434057.0,0.0,,1.0,main_w1_handler1,2133810,8279793,False,,1515,fasta,368938.rodeo,slurm,,16332532.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""","""yes""","""no""","""yes""","""no""",17727003,,"""yes""","""yes""","""yes""","""yes""","""no""",2.0,,19834875.0,1417434053.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: infoseq46/5.0.0,5.0.0,,2014-12-01 11:41:01.529144,,4.0
,,2014-12-01 12:04:28.996878,rodeo_normal,1417435485.0,0.0,,1.0,main_w1_handler1,2133810,8279901,False,,716,fasta,2150325.roundup,slurm,,132112264.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""","""yes""","""no""","""yes""","""no""",17727129,,"""yes""","""yes""","""yes""","""yes""","""no""",32.0,,19834875.0,1417435482.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: infoseq46/5.0.0,5.0.0,,2014-12-01 12:04:45.911840,,3.0
,,2014-12-01 12:04:37.162304,rodeo_normal,1417435496.0,0.0,,1.0,main_w2_handler1,2133810,8279902,False,,800,fasta,369108.rodeo,slurm,,16332532.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""","""yes""","""no""","""yes""","""no""",17727130,,"""yes""","""yes""","""yes""","""yes""","""no""",2.0,,19834875.0,1417435493.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: infoseq46/5.0.0,5.0.0,,2014-12-01 12:05:00.247410,,3.0
,,2014-12-01 12:11:27.128676,rodeo_normal,1417435900.0,0.0,,1.0,main_w2_handler1,2133810,8279943,False,,788,fasta,369159.rodeo,slurm,,16332532.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""","""yes""","""no""","""yes""","""no""",17727147,,"""yes""","""yes""","""yes""","""yes""","""no""",2.0,,19834875.0,1417435897.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: infoseq46/5.0.0,5.0.0,,2014-12-01 12:11:43.182756,,3.0
,,2014-12-01 14:12:00.276620,rodeo_normal,1417443140.0,0.0,,1.0,main_w1_handler0,2133810,8280986,False,,106124566,fasta,2151522.roundup,slurm,,132112068.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""","""yes""","""no""","""yes""","""no""",17728550,,"""yes""","""yes""","""yes""","""yes""","""no""",32.0,,19834875.0,1417443131.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: infoseq46/5.0.0,5.0.0,,2014-12-01 14:12:22.577121,,9.0
,,2015-01-31 19:18:08.972469,rodeo_normal,1422731909.0,0.0,,1.0,main_w1_handler0,2171322,8643797,False,,48618,fasta,2606218.roundup,slurm,,132112168.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""yes""","""yes""","""no""","""yes""","""no""",18360396,,"""yes""","""yes""","""yes""","""yes""","""no""",32.0,,20458466.0,1422731905.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: infoseq46/5.0.0,5.0.0,,2015-01-31 19:18:31.354590,,4.0
,,2014-12-03 13:21:34.236452,rodeo_normal,1417612911.0,0.0,,1.0,main_w2_handler1,2102414,8310169,False,,689743,fasta,408903.rodeo,slurm,,16332532.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""","""yes""","""no""","""yes""","""no""",17769962,,"""yes""","""yes""","""yes""","""yes""","""no""",2.0,,16829652.0,1417612907.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: infoseq46/5.0.0,5.0.0,,2014-12-03 13:21:54.775378,11523.0,4.0
,,2014-12-08 17:54:30.608019,rodeo_normal,1418061279.0,0.0,,1.0,main_w1_handler0,2122357,8373836,False,,130333,fasta,502349.rodeo,slurm,,16332532.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""","""yes""","""no""","""yes""","""no""",17870312,,"""yes""","""yes""","""yes""","""yes""","""no""",2.0,,19774770.0,1418061276.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: infoseq46/5.0.0,5.0.0,,2014-12-08 17:54:41.188444,54658.0,3.0
,,2014-12-09 12:24:33.183983,rodeo_normal,1418127884.0,0.0,,1.0,main_w1_handler0,2142661,8379355,False,,444,fasta,2272752.roundup,slurm,,132112264.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""yes""","""yes""","""no""","""yes""","""no""",17877619,,"""yes""","""yes""","""yes""","""yes""","""no""",32.0,,19785640.0,1418127880.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: infoseq46/5.0.0,5.0.0,,2014-12-09 12:24:45.380373,10514.0,4.0
,,2014-12-09 12:23:12.109587,rodeo_normal,1418127803.0,0.0,,1.0,main_w2_handler0,2142661,8379350,False,,1334,fasta,510829.rodeo,slurm,,8059880.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""yes""","""yes""","""no""","""yes""","""no""",17877676,,"""yes""","""yes""","""yes""","""yes""","""no""",1.0,,19785640.0,1418127799.0,ok,835576.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: infoseq46/5.0.0,5.0.0,,2014-12-09 12:23:26.574462,10514.0,4.0
,,2014-12-10 19:38:45.943185,rodeo_normal,1418240340.0,0.0,,1.0,main_w1_handler1,2102414,8391863,False,,680705,fasta,528118.rodeo,slurm,,16332532.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""","""yes""","""no""","""yes""","""no""",17770227,,"""yes""","""yes""","""yes""","""yes""","""no""",2.0,,19946279.0,1418240335.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: infoseq46/5.0.0,5.0.0,,2014-12-10 19:39:04.000555,11523.0,5.0
,,2014-12-11 16:25:36.995041,rodeo_normal,1418315149.0,0.0,,1.0,main_w1_handler1,2125024,8398851,False,,2020715,tabular,537729.rodeo,slurm,,8059880.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""","""yes""","""no""","""yes""","""no""",17888382,,"""yes""","""yes""","""yes""","""yes""","""no""",1.0,,19629763.0,1418315142.0,ok,835576.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: infoseq46/5.0.0,5.0.0,,2014-12-11 16:25:52.526443,56264.0,7.0
,,2015-02-17 11:40:52.866190,rodeo_normal,1424173272.0,0.0,,1.0,main_w1_handler0,2206856,8742530,False,,21591426,fasta,2789794.roundup,slurm,,132112168.0,corral-repl,,,"""no""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""no""","""yes""","""no""","""yes""","""no""",18516831,,"""yes""","""no""","""no""","""no""","""no""",32.0,,19973403.0,1424173269.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: infoseq46/5.0.0,5.0.0,,2015-02-17 11:41:14.769250,21298.0,3.0
,,2015-02-19 19:16:43.405946,rodeo_normal,1424373418.0,0.0,,1.0,main_w1_handler1,966682,8769990,False,,221492,fasta,2837991.roundup,slurm,,132112168.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""","""yes""","""no""","""yes""","""no""",18577942,,"""yes""","""yes""","""yes""","""yes""","""no""",32.0,,21343380.0,1424373416.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: infoseq46/5.0.0,5.0.0,,2015-02-19 19:17:01.113379,5941.0,2.0
,,2015-02-20 14:28:52.516670,rodeo_normal,1424442552.0,0.0,,1.0,main_w1_handler0,2211358,8776282,False,,4868745,tabular,2849635.roundup,slurm,,132112168.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/mm10Patch1.len""","""mm10Patch1""","""yes""","""yes""","""no""","""yes""","""no""",18586629,,"""yes""","""yes""","""yes""","""yes""","""no""",32.0,,21323193.0,1424442540.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: infoseq46/5.0.0,5.0.0,,2015-02-20 14:29:14.159375,,12.0
,,2015-02-21 08:59:51.642392,rodeo_normal,1424509203.0,0.0,,1.0,main_w1_handler0,2214239,8782269,False,,120,bed,2860185.roundup,slurm,,132112168.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""","""yes""","""no""","""yes""","""no""",18595585,,"""yes""","""yes""","""yes""","""yes""","""no""",32.0,,21374029.0,1424509201.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: infoseq46/5.0.0,5.0.0,,2015-02-21 09:02:10.355750,,2.0
,,2015-02-21 09:05:18.712573,rodeo_normal,1424509567.0,0.0,,1.0,main_w2_handler0,2214239,8782275,False,,120,bed,2860198.roundup,slurm,,132112168.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""no""","""yes""","""no""","""yes""","""yes""",18595585,,"""no""","""no""","""no""","""yes""","""no""",32.0,,21374069.0,1424509530.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: infoseq46/5.0.0,5.0.0,,2015-02-21 09:06:11.033436,27328.0,37.0
,,2015-02-21 09:13:35.853253,rodeo_normal,1424510026.0,0.0,,1.0,main_w2_handler0,2214239,8782282,False,,120,bed,2860216.roundup,slurm,,132112168.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""no""","""yes""","""no""","""yes""","""no""",18595598,,"""yes""","""yes""","""no""","""no""","""no""",32.0,,21374069.0,1424510023.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: infoseq46/5.0.0,5.0.0,,2015-02-21 09:13:49.049056,27328.0,3.0
,,2015-02-26 07:34:28.752407,rodeo_normal,1424936078.0,0.0,,1.0,main_w1_handler1,2170055,8818147,False,,258607,fasta,2925177.roundup,slurm,,132112168.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""","""yes""","""no""","""yes""","""no""",18641462,,"""yes""","""yes""","""yes""","""yes""","""no""",32.0,,20434021.0,1424936075.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: infoseq46/5.0.0,5.0.0,,2015-02-26 07:34:39.359735,,3.0
,,2015-03-10 21:30:58.244378,rodeo_normal,1426023087.0,0.0,,1.0,main_w2_handler1,2233398,8912200,False,,1008057,fasta,3099039.roundup,slurm,,132112168.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""","""yes""","""no""","""yes""","""no""",18809856,,"""yes""","""yes""","""yes""","""yes""","""no""",32.0,,21145580.0,1426023081.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: infoseq46/5.0.0,5.0.0,,2015-03-10 21:31:30.493684,44985.0,6.0
,,2015-03-10 21:31:16.650823,rodeo_normal,1426023107.0,0.0,,1.0,main_w2_handler0,2233398,8912201,False,,3005804,fasta,3099053.roundup,slurm,,132112168.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""","""yes""","""no""","""yes""","""no""",18809855,,"""yes""","""yes""","""yes""","""yes""","""no""",32.0,,21145580.0,1426023100.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: infoseq46/5.0.0,5.0.0,,2015-03-10 21:31:51.710458,44985.0,7.0
,,2015-03-10 21:33:13.903901,rodeo_normal,1426023242.0,0.0,,1.0,main_w1_handler0,2233398,8912211,False,,3005804,fasta,3099073.roundup,slurm,,132112168.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""","""yes""","""no""","""no""","""no""",18809855,,"""yes""","""yes""","""yes""","""no""","""no""",32.0,,21145580.0,1426023237.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: infoseq46/5.0.0,5.0.0,,2015-03-10 21:34:04.817147,44985.0,5.0
,,2015-03-10 21:34:02.703990,rodeo_normal,1426023259.0,0.0,,1.0,main_w1_handler0,2233398,8912214,False,,1008057,fasta,3099079.roundup,slurm,,132112168.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""","""yes""","""no""","""no""","""no""",18809856,,"""yes""","""yes""","""yes""","""no""","""no""",32.0,,21145580.0,1426023255.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: infoseq46/5.0.0,5.0.0,,2015-03-10 21:34:21.697931,44985.0,4.0
,,2017-05-08 19:32:37.466782,slurm_normal,1494271973.0,0.0,,1.0,main_w3_handler0,3102826,15783507,False,,7581,fasta,9889810.roundup,slurm,,132112168.0,corral-repl,,"""0ca036bc342511e79e3d005056a52a46""","""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""","""yes""","""no""","""yes""","""yes""",,"[{'src': 'hda', 'id': 29521637}]","""yes""","""yes""","""yes""","""yes""","""no""",32.0,,,1494271969.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: infoseq46/5.0.0,5.0.0,,2017-05-08 19:32:55.380465,105500.0,4.0
,,2017-04-04 01:35:35.446775,slurm_normal,1491269741.0,0.0,,1.0,main_w4_handler0,3058101,15477886,False,,9699,fasta,9606754.roundup,slurm,,132112168.0,corral-repl,,,"""yes""","""/cvmfs/data.galaxyproject.org/managed/len/danRer10.len""","""danRer10""","""yes""","""yes""","""no""","""yes""","""no""",,"[{'src': 'hda', 'id': 29054926}]","""yes""","""yes""","""yes""","""yes""","""no""",32.0,,37088723.0,1491269737.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: infoseq46/5.0.0,5.0.0,,2017-04-04 01:35:44.035711,,4.0
,,2017-04-04 13:45:54.185951,slurm_normal,1491313561.0,0.0,,1.0,main_w3_handler0,3058967,15482114,False,,108164,fasta,9610352.roundup,slurm,,132112168.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""","""yes""","""no""","""yes""","""no""",,"[{'src': 'hda', 'id': 29062381}]","""yes""","""yes""","""yes""","""yes""","""no""",32.0,,37100126.0,1491313557.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: infoseq46/5.0.0,5.0.0,,2017-04-04 13:46:04.270153,4471.0,4.0
,,2017-02-28 13:02:51.764254,slurm_normal,1488287046.0,0.0,,1.0,main_w3_handler1,3012053,15166118,False,,1999,txt,9317411.roundup,slurm,,132112168.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""","""yes""","""no""","""yes""","""no""",,"[{'src': 'hda', 'id': 28551815}]","""yes""","""yes""","""yes""","""yes""","""no""",32.0,,36304703.0,1488286984.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: infoseq46/5.0.0,5.0.0,,2017-02-28 13:04:10.276198,,62.0
,,2017-03-06 19:59:54.583927,slurm_normal,1488830410.0,0.0,,1.0,main_w4_handler0,3009978,15223290,False,,108335,fasta,9371850.roundup,slurm,,132112168.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""","""yes""","""no""","""yes""","""no""",,"[{'src': 'hda', 'id': 28605627}]","""yes""","""yes""","""yes""","""yes""","""no""",32.0,,36465884.0,1488830400.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: infoseq46/5.0.0,5.0.0,,2017-03-06 20:00:11.681215,99424.0,10.0
,,2017-05-08 20:50:07.663615,slurm_normal,1494276625.0,0.0,,1.0,main_w4_handler1,3102826,15784170,False,,7581,fasta,9890456.roundup,slurm,,132112168.0,corral-repl,,"""e52ddc46342f11e79176005056a52a46""","""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""","""yes""","""no""","""yes""","""yes""",,"[{'src': 'hda', 'id': 29521637}]","""yes""","""yes""","""yes""","""yes""","""no""",32.0,,,1494276621.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: infoseq46/5.0.0,5.0.0,,2017-05-08 20:50:27.838045,105500.0,4.0
,,2017-05-08 21:06:23.186835,slurm_normal,1494277596.0,0.0,,1.0,main_w4_handler0,3103054,15784338,False,,7581,fasta,9890568.roundup,slurm,,132112168.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""","""yes""","""yes""","""yes""","""yes""",,"[{'src': 'hda', 'id': 29523999}]","""yes""","""yes""","""yes""","""yes""","""no""",32.0,,37837426.0,1494277591.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: infoseq46/5.0.0,5.0.0,,2017-05-08 21:06:38.300448,105500.0,5.0
