chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-03-22 20:47:50.894878,rodeo_normal,1427057291.0,0.0,,1.0,main_w2_handler0,2235890,9007877,False,,3708629,tabular,3278122.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",18841260,,32.0,,21900505,1427057287.0,ok,1023996.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2015-03-22 20:48:12.579553,50992.0,4.0
,,2014-10-01 10:51:02.717415,roundup_single,1412160675.0,0.0,,1.0,main_w1_handler1,2055522,7908037,False,,23166587,vcf,1888215,slurm,,132112264.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",17108103,,32.0,,16826132,1412160671.0,ok,1023992.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2014-10-01 10:51:16.232745,24570.0,4.0
,,2015-03-20 13:52:01.309980,rodeo_normal,1426859535.0,0.0,,1.0,main_w1_handler0,2127908,8996248,False,,1605543,vcf,3256114.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",18932919,,32.0,,21448783,1426859531.0,ok,1023996.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2015-03-20 13:52:17.781287,56369.0,4.0
,,2018-02-25 15:43:54.481215,slurm_normal,1519573445.0,0.0,7680.0,1.0,main_w4_handler1,3434644,18512735,False,,263536,vcf,12608891,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 34056834}]",32.0,,44001394,1519573443.0,ok,1023996.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2018-02-25 15:44:07.121079,122228.0,2.0
94.0,len,2018-02-10 17:22:42.508273,slurm_normal,1518283389.0,0.0,7680.0,1.0,main_w3_handler1,3396017,18337777,False,,57676222,vcf,12422125,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/023/527/dataset_23527919.dat""","""?""",,"[{'src': 'hda', 'id': 33783812}]",32.0,,43325036,1518283374.0,ok,1023996.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2018-02-10 17:23:11.237905,120306.0,15.0
,,2015-04-17 12:53:23.500461,slurm_normal,1429275226.0,0.0,,1.0,main_w1_handler0,2273441,9256419,False,,18970,vcf,20663.rodeo,slurm,,16332532.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19330433,,2.0,,22554768,1429275220.0,ok,0.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2015-04-17 12:53:48.632131,62475.0,6.0
,,2015-12-23 14:20:09.852826,slurm_normal,1450880452.0,0.0,,1.0,main_w2_handler0,2547017,11318057,False,,273910,vcf,5594799.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",22634382,,32.0,,26936113,1450880446.0,ok,1023996.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2015-12-23 14:20:56.716904,75182.0,6.0
,,2017-02-16 17:34:51.064621,reserved,1487266520.0,0.0,,1.0,main_w3_handler0,2998759,15060511,False,,18545,vcf,9215852.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 28387421}]",32.0,,34652796,1487266515.0,ok,1023996.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2017-02-16 17:35:27.076712,5254.0,5.0
,,2018-01-27 00:54:43.269023,slurm_normal,1517014512.0,0.0,,1.0,main_w4_handler0,3405913,18172664,False,,5629,vcf,12253939,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",,"[{'src': 'hda', 'id': 33526264}]",32.0,,43473279,1517014508.0,ok,1023996.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2018-01-27 00:55:17.466616,120686.0,4.0
,,2016-03-10 14:09:29.468428,slurm_normal,1457618995.0,0.0,,1.0,main_w1_handler1,2627237,12095851,False,,7879467,vcf,6320214.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23779089,,32.0,,26819091,1457618989.0,ok,1023996.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2016-03-10 14:10:00.851620,49150.0,6.0
