chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input.values,parameters.input|__identifier__,parameters.option,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-06-21 10:20:30.210429,slurm_normal,1466504540.0,0,1.0,main_w2_handler0,2745547,13222941,False,,5818,bed,7407362.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5b5fe74d75f38c421'}]",,"""""",32.0,,30986059.0,1466504536.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.24.0,2.24.0,,2016-06-21 10:22:22.554404,,4.0
,,2016-06-21 10:08:21.468994,slurm_normal,1466503713.0,0,1.0,main_w2_handler1,2745547,13222778,False,,270,bed,7407216.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","[{'src': 'hda', 'id': 'bbd44e69cb8906b542dd90153830c203'}]",,"""""",32.0,,30986059.0,1466503710.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.24.0,2.24.0,,2016-06-21 10:08:35.733010,,3.0
,,2016-06-21 10:20:27.154600,slurm_normal,1466504441.0,0,1.0,main_w1_handler0,2745547,13222934,False,,1358,bed,7407343.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b54aa4178c6c57c48c'}]",,"""""",32.0,,30986059.0,1466504438.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.24.0,2.24.0,,2016-06-21 10:20:43.683670,,3.0
,,2016-06-21 10:14:07.756346,slurm_normal,1466504086.0,0,1.0,main_w2_handler1,2745547,13222847,False,,736,bed,7407274.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5e2b56aa370d30dbc'}]",,"""""",32.0,,30986059.0,1466504082.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.24.0,2.24.0,,2016-06-21 10:14:48.614829,,4.0
,,2016-06-21 10:14:09.100435,slurm_normal,1466504073.0,0,1.0,main_w2_handler0,2745547,13222849,False,,540,bed,7407268.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b54428d44b6a0dd2ec'}]",,"""""",32.0,,30986059.0,1466504069.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.24.0,2.24.0,,2016-06-21 10:14:35.645563,,4.0
,,2016-06-21 10:20:24.957267,slurm_normal,1466504441.0,0,1.0,main_w1_handler1,2745547,13222927,False,,630,bed,7407344.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5c7db43775ea7d755'}]",,"""""",32.0,,30986059.0,1466504438.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.24.0,2.24.0,,2016-06-21 10:20:43.826163,,3.0
,,2016-06-21 10:20:25.660636,slurm_normal,1466504503.0,0,1.0,main_w1_handler1,2745547,13222929,False,,736,bed,7407354.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5fe7365cd30464305'}]",,"""""",32.0,,30986059.0,1466504501.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.24.0,2.24.0,,2016-06-21 10:21:44.866280,,2.0
,,2016-06-21 10:20:28.791388,slurm_normal,1466504530.0,0,1.0,main_w2_handler1,2745547,13222938,False,,1654,bed,7407361.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b580c46a48ac69c8af'}]",,"""""",32.0,,30986059.0,1466504525.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.24.0,2.24.0,,2016-06-21 10:22:12.827314,,5.0
,,2016-06-21 10:20:30.541546,slurm_normal,1466504470.0,0,1.0,main_w1_handler0,2745547,13222942,False,,270,bed,7407349.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5fa1e65dd9298f44b'}]",,"""""",32.0,,30986059.0,1466504467.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.24.0,2.24.0,,2016-06-21 10:21:13.184498,,3.0
,,2016-06-21 10:14:06.601705,slurm_normal,1466504090.0,0,1.0,main_w1_handler1,2745547,13222846,False,,1318,bed,7407275.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b57b5a93dac34539cd'}]",,"""""",32.0,,30986059.0,1466504087.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.24.0,2.24.0,,2016-06-21 10:14:53.055646,,3.0
