create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input.values,parameters.keep_sscs,parameters.min_reads,parameters.qual_format,parameters.qual_thres,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-01-06 18:46:25.564274,slurm_normal,1483728418.0,0,1.0,main_w4_handler1,2843852,14705227,False,,178827547,tabular,8874935.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 27836336}]","""false""","""3""","""sanger""","""25""",32.0,,35215561,1483728410.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.5,0.5,,2017-01-06 18:47:00.758660,88937.0,8.0
2017-01-08 17:37:10.008210,slurm_normal,1483897053.0,0,1.0,main_w4_handler0,2943711,14713444,False,,5543200,tabular,8882416.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 27848419}]","""false""","""3""","""sanger""","""25""",32.0,,35143490,1483897050.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.5,0.5,,2017-01-08 17:37:36.796339,97527.0,3.0
2017-01-08 17:39:53.435057,slurm_normal,1483897204.0,0,1.0,main_w4_handler1,2943711,14713456,False,,20783,tabular,8882426.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 27787074}]","""false""","""3""","""sanger""","""25""",32.0,,35143490,1483897198.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.5,0.5,,2017-01-08 17:40:07.338234,97527.0,6.0
2017-01-26 10:58:32.577544,slurm_normal,1485428320.0,0,1.0,main_w3_handler1,2955457,14876308,False,,3092189,tabular,9035971.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28078752}]","""true""","""3""","""sanger""","""25""",32.0,,35601823,1485428316.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.5,0.5,,2017-01-26 10:58:43.125593,98122.0,4.0
2017-01-26 12:13:43.909374,slurm_normal,1485432833.0,0,1.0,main_w4_handler0,2969509,14877027,False,,230023498,gff,9036674.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""","[{'src': 'hda', 'id': 28092217}]","""false""","""3""","""sanger""","""25""",32.0,,35601950,1485432826.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.5,0.5,,2017-01-26 12:13:56.438994,98879.0,7.0
2017-01-31 09:48:05.003271,slurm_normal,1485856152.0,0,1.0,main_w4_handler0,2974682,14913295,False,,617181182,tabular,9069137.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28141021}]","""false""","""3""","""sanger""","""25""",32.0,,35610585,1485856088.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.5,0.5,,2017-01-31 09:49:14.787649,97764.0,64.0
2017-01-31 09:48:04.276192,slurm_normal,1485856190.0,0,1.0,main_w4_handler1,2974682,14913294,False,,863162130,tabular,9069136.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28141020}]","""false""","""3""","""sanger""","""25""",32.0,,35610585,1485856086.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.5,0.5,,2017-01-31 09:49:53.105557,97764.0,104.0
2017-01-31 09:48:05.554728,slurm_normal,1485859119.0,0,1.0,main_w4_handler0,2974682,14913296,False,,868220928,tabular,9069438.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28141022}]","""false""","""3""","""sanger""","""25""",32.0,,35610585,1485858980.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.5,0.5,,2017-01-31 10:38:42.745054,97764.0,139.0
2017-02-21 05:41:17.913888,slurm_normal,1487655718.0,0,1.0,main_w3_handler0,2999384,15092458,False,,164533,tabular,9247524.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28438984}]","""false""","""3""","""sanger""","""25""",32.0,,36185688,1487655692.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.5,0.5,,2017-02-21 05:42:00.443842,100555.0,26.0
2017-02-07 21:09:32.163707,slurm_normal,1486755476.0,0,1.0,main_w4_handler1,2526784,14976619,False,,14152,tabular,9163364.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28253821}]","""true""","""1""","""sanger""","""20""",32.0,,35868061,1486755469.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.5,0.5,,2017-02-10 19:37:58.315973,74628.0,7.0
2017-02-17 20:16:49.159440,slurm_normal,1487362625.0,0,1.0,main_w4_handler0,2953065,15070614,False,,54002284,tabular,9225849.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28401000}]","""false""","""3""","""sanger""","""25""",32.0,,35321217,1487362612.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.5,0.5,,2017-02-17 20:17:09.691645,97937.0,13.0
2017-02-21 13:23:34.520339,slurm_normal,1487685399.0,0,1.0,main_w3_handler0,2634012,15095448,False,,81648330,vcf,9250425.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/Nasonia.len""","""Nasonia""","[{'src': 'hda', 'id': 26319684}]","""false""","""3""","""sanger""","""25""",32.0,,36190890,1487685392.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.5,0.5,,2017-02-21 13:56:47.785064,49629.0,7.0
2017-02-24 04:30:28.296481,slurm_normal,1487910645.0,0,1.0,main_w3_handler1,2999384,15126318,False,,55492327,tabular,9280265.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28492067}]","""false""","""3""","""sanger""","""25""",32.0,,36185688,1487910640.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.5,0.5,,2017-02-24 04:30:48.479563,100555.0,5.0
