create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,infile,infile_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.callsummits,parameters.chromInfo,parameters.cutoff,parameters.dbkey,parameters.infile,parameters.infile.values,parameters.maxgap,parameters.minlen,parameters.notrackline,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-03-08 22:14:56.918753,slurm_normal,1489011311.0,0,1.0,main_w4_handler1,2986574,15247375,False,48225617,bedgraph,,9393808.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""3.0""","""Arabidopsis_thaliana_TAIR10""",,"[{'src': 'hda', 'id': 28684483}]","""30""","""200""","""false""",32.0,,36516644.0,1489011301.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgpeakcall/2.1.0.20151222.0,2.1.0.20151222.0,,2017-03-08 22:15:15.436130,14581.0,10.0
2017-03-10 16:21:46.180482,slurm_normal,1489162919.0,0,1.0,main_w4_handler1,3018561,15264415,False,15136571,bedgraph,,9410358.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""/galaxy-repl/localdata/chrom/mm10.len""","""5.0""","""mm10""",,"[{'src': 'hda', 'id': 28709546}]","""100""","""25""","""false""",32.0,,35369360.0,1489162910.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgpeakcall/2.1.0.20151222.0,2.1.0.20151222.0,,2017-03-10 16:22:02.205726,98128.0,9.0
2017-03-10 16:29:40.255552,slurm_normal,1489163391.0,0,1.0,main_w4_handler1,3018561,15264477,False,16288282,bedgraph,,9410558.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""/galaxy-repl/localdata/chrom/mm10.len""","""5.0""","""mm10""",,"[{'src': 'hda', 'id': 28709547}]","""100""","""25""","""false""",32.0,,35369360.0,1489163382.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgpeakcall/2.1.0.20151222.0,2.1.0.20151222.0,,2017-03-10 16:29:53.991284,98128.0,9.0
2017-03-10 16:29:40.669558,slurm_normal,1489163391.0,0,1.0,main_w4_handler0,3018561,15264478,False,381127,bedgraph,,9410559.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""/galaxy-repl/localdata/chrom/mm10.len""","""5.0""","""mm10""",,"[{'src': 'hda', 'id': 28709548}]","""100""","""25""","""false""",32.0,,35369360.0,1489163383.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgpeakcall/2.1.0.20151222.0,2.1.0.20151222.0,,2017-03-10 16:29:54.221322,98128.0,8.0
2017-03-10 16:29:40.997050,slurm_normal,1489163392.0,0,1.0,main_w3_handler1,3018561,15264479,False,50164,bedgraph,,9410560.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""/galaxy-repl/localdata/chrom/mm10.len""","""5.0""","""mm10""",,"[{'src': 'hda', 'id': 28709549}]","""100""","""25""","""false""",32.0,,35369360.0,1489163385.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgpeakcall/2.1.0.20151222.0,2.1.0.20151222.0,,2017-03-10 16:29:55.813422,98128.0,7.0
2017-03-16 22:43:01.176638,slurm_normal,1489704370.0,0,1.0,main_w4_handler0,3033469,15318057,False,396809215,bedgraph,,9459265.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/rn6.len""","""2.0""","""rn6""",,"[{'src': 'hda', 'id': 28793827}]","""200""","""200""","""false""",32.0,,36651530.0,1489704202.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgpeakcall/2.1.0.20151222.0,2.1.0.20151222.0,,2017-03-16 22:46:12.264363,,168.0
2017-03-16 23:27:18.583494,slurm_normal,1489707088.0,0,1.0,main_w4_handler1,3033469,15318345,False,388542972,bedgraph,,9459560.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/rn6.len""","""5.0""","""rn6""",,"[{'src': 'hda', 'id': 28793828}]","""50""","""50""","""false""",32.0,,36651530.0,1489706847.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgpeakcall/2.1.0.20151222.0,2.1.0.20151222.0,,2017-03-16 23:31:32.085662,,241.0
2017-03-16 23:20:45.674669,slurm_normal,1489706490.0,0,1.0,main_w4_handler0,3033469,15318268,False,396809215,bedgraph,,9459480.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/rn6.len""","""5.0""","""rn6""",,"[{'src': 'hda', 'id': 28793827}]","""50""","""50""","""false""",32.0,,36651530.0,1489706448.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgpeakcall/2.1.0.20151222.0,2.1.0.20151222.0,,2017-03-16 23:21:34.574553,,42.0
2017-03-16 23:27:57.411795,slurm_normal,1489707392.0,0,1.0,main_w3_handler0,3033469,15318348,False,388542972,bedgraph,,9459647.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/rn6.len""","""10.0""","""rn6""",,"[{'src': 'hda', 'id': 28793828}]","""50""","""50""","""false""",32.0,,36651530.0,1489707298.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgpeakcall/2.1.0.20151222.0,2.1.0.20151222.0,,2017-03-16 23:36:36.277254,,94.0
2017-03-17 10:15:49.278396,slurm_normal,1489745806.0,0,1.0,main_w4_handler0,2986574,15322960,False,22971858,bedgraph,,9463831.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""5.0""","""Arabidopsis_thaliana_TAIR10""",,"[{'src': 'hda', 'id': 28686038}]","""30""","""200""","""false""",32.0,,35881589.0,1489745800.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgpeakcall/2.1.0.20151222.0,2.1.0.20151222.0,,2017-03-17 10:16:50.119063,14581.0,6.0
