chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input_file,input_file_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.identifier,parameters.identifier.__class__,parameters.identifier.value,parameters.input_file,parameters.input_file.values,parameters.input_file|__identifier__,parameters.quality,parameters.quality.__class__,parameters.quality.value,parameters.sequence,parameters.sequence.__class__,parameters.sequence.value,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-04-09 11:23:22.269109,slurm_normal,1428578624.0,0,,1.0,main_w1_handler0,2264697,9179075,False,,38227430,tabular,3458484.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""1""",,,19205271,,,"""1""",,,"""1""",,,32.0,,22344897.0,1428578619.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-09 11:23:49.531908,,5.0
,,2015-04-09 13:48:12.152361,slurm_normal,1428587304.0,0,,1.0,main_w1_handler0,2264817,9180275,False,,8273570,tabular,3459506.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""1""",,,19207096,,,"""1""",,,"""1""",,,32.0,,22347183.0,1428587301.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-09 13:48:25.953911,,3.0
,,2015-04-09 15:58:31.807063,slurm_normal,1428595144.0,0,,1.0,main_w1_handler1,1868413,9181154,False,,1269626,tabular,3460370.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""1""",,,19208329,,,"""4""",,,"""3""",,,32.0,,22322039.0,1428595142.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-09 15:59:07.881728,17244.0,2.0
,,2015-04-09 15:55:51.776237,slurm_normal,1428594977.0,0,,1.0,main_w2_handler1,1868413,9181140,False,,1269626,tabular,3460357.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""1""",,,19208245,,,"""3""",,,"""2""",,,32.0,,22322039.0,1428594974.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-09 15:56:21.187840,17244.0,3.0
,,2015-04-09 15:58:11.127821,slurm_normal,1428595115.0,0,,1.0,main_w2_handler1,1868413,9181153,False,,1269626,tabular,3460369.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""1""",,,19208245,,,"""4""",,,"""3""",,,32.0,,22322039.0,1428595112.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-09 15:58:37.581200,17244.0,3.0
,,2015-04-10 10:34:21.672429,slurm_normal,1428662315.0,0,,1.0,main_w1_handler0,2266002,9192057,False,,160520,tabular,3473744.roundup,slurm,,132112168.0,corral-repl,,,,"""24c78c22df6d11e48c67005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,19224708,,,,UnvalidatedValue,3,,UnvalidatedValue,2,32.0,,22370742.0,1428662312.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-10 10:38:37.397384,50963.0,3.0
,,2015-04-10 10:34:17.102958,slurm_normal,1428662286.0,0,,1.0,main_w1_handler0,2266001,9192050,False,,43256,tabular,3473734.roundup,slurm,,132112168.0,corral-repl,,,,"""22101e18df6d11e48c67005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,19224700,,,,UnvalidatedValue,3,,UnvalidatedValue,2,32.0,,22370742.0,1428662282.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-10 10:38:11.340808,50963.0,4.0
,,2015-04-10 10:34:35.384603,slurm_normal,1428662315.0,0,,1.0,main_w2_handler0,2266004,9192072,False,,174944,tabular,3473746.roundup,slurm,,132112168.0,corral-repl,,,,"""2bba03b6df6d11e48c67005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,19224725,,,,UnvalidatedValue,3,,UnvalidatedValue,2,32.0,,22370742.0,1428662312.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-10 10:38:38.612984,50963.0,3.0
,,2015-04-10 18:50:59.029261,slurm_normal,1428691878.0,0,,1.0,main_w2_handler1,2222079,9197615,False,,1334728,tabular,3479060.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/ce10.len""","""ce10""","""1""",,,19232229,,,"""2""",,,"""2""",,,32.0,,21510894.0,1428691875.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-10 18:51:20.858265,33225.0,3.0
,,2015-04-10 22:10:41.871974,slurm_normal,1428704338.0,0,,1.0,main_w2_handler1,2261399,9198565,False,,312207588,tabular,3480395.roundup,slurm,,132112168.0,corral-repl,,,,"""6a9a4a1cdfce11e48aa7005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,19233538,,,,UnvalidatedValue,3,,UnvalidatedValue,2,32.0,,22386945.0,1428704279.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-10 22:19:03.390572,50963.0,59.0
