chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.allowContigLenDiscord,parameters.allowIncDictConcord,parameters.chromInfo,parameters.dbkey,parameters.inputFile,parameters.inputFile.values,parameters.outputFormat,parameters.source.__current_case__,parameters.source.buildName,parameters.source.indexSource,parameters.source.ref,parameters.source.ref.__class__,parameters.source.ref.value,parameters.source.refFile,parameters.source.refFile.values,parameters.source.speciesName,parameters.source.truncateSeqNames,processor_count,refFile,refFile_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2014-09-11 13:14:10.848015,roundup_single,1410484378.0,0,,1.0,main_w1_handler1,2043127,7697858,False,,2271614972,bam,1691791,slurm,,132112264.0,corral-repl,,,"""False""","""False""","""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",16726053,,"""True""",0,,built-in,hg_g1k_v37,,,,,,,32.0,,,,16886956.0,1410483909.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.56.0,1.56.0,,2014-09-12 01:13:00.514372,50279.0,469.0
,,2015-02-11 10:35:40.628555,rodeo_normal,1423698428.0,0,,1.0,main_w2_handler1,2095084,8702789,False,,2200588990,bam,2728365.roundup,slurm,,132112168.0,corral-repl,,"""b0a4ee68b1d911e4bdae005056a52a46""","""False""","""False""","""/galaxy-repl/localdata/chrom/rn5.len""","""rn5""",18474314,,"""True""",0,,built-in,rn5,,,,,,,32.0,,,,20769248.0,1423697874.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.56.0,1.56.0,,2015-02-11 23:47:11.593106,49692.0,554.0
,,2014-09-12 08:21:18.839466,roundup_single,1410510641.0,0,,1.0,main_w1_handler1,2047670,7721333,False,,1354587869,bam,1705330,slurm,,132112264.0,corral-repl,,,"""False""","""False""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",16756722,,"""True""",1,,history,,,,16756894.0,,,False,32.0,3199905909.0,fasta,,16826986.0,1410510219.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.56.0,1.56.0,,2014-09-12 08:30:44.916689,51868.0,422.0
,,2014-09-12 08:23:13.825389,roundup_single,1410510798.0,0,,1.0,main_w2_handler0,2047670,7721350,False,,1911250131,bam,1705318,slurm,,132112264.0,corral-repl,,,"""False""","""False""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",16756723,,"""True""",1,,history,,,,16756894.0,,,False,32.0,3199905909.0,fasta,,16826986.0,1410510219.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.56.0,1.56.0,,2014-09-12 08:33:20.389889,51868.0,579.0
,,2014-09-13 18:31:11.678102,roundup_single,1410751920.0,0,,1.0,main_w2_handler0,2009086,7762377,False,,11497510839,bam,1769760,slurm,,132112264.0,corral-repl,,,"""False""","""False""","""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",16825190,,"""True""",0,,built-in,hg_g1k_v37,,,,,,,32.0,,,,16948397.0,1410747905.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.56.0,1.56.0,,2014-09-15 03:32:02.103065,50279.0,4015.0
,,2014-09-12 13:16:20.078821,roundup_single,1410528284.0,0,,1.0,main_w2_handler0,2012726,7723971,False,,2519675167,bam,1710047,slurm,,132112264.0,corral-repl,,,"""False""","""False""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",16761967,,"""False""",0,,built-in,hg19,,,,,,,32.0,,,,15812805.0,1410527788.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.56.0,1.56.0,,2014-09-12 13:24:46.319237,49703.0,496.0
,,2014-09-12 14:14:28.605062,roundup_single,1410531717.0,0,,1.0,main_w2_handler0,671992,7724713,False,,1844519447,bam,1710425,slurm,,132112264.0,corral-repl,,,"""False""","""False""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",15975161,,"""False""",0,,built-in,mm10,,,,,,,32.0,,,,15530553.0,1410531279.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.56.0,1.56.0,,2014-09-12 14:21:58.795266,15065.0,438.0
,,2014-09-11 18:40:23.722180,roundup_single,1410514381.0,0,,1.0,main_w1_handler0,2047806,7699160,False,,2477602978,bam,1707863,slurm,,132112264.0,corral-repl,,,"""False""","""False""","""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",16728088,,"""True""",0,,built-in,hg_g1k_v37,,,,,,,32.0,,,,16896232.0,1410513821.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.56.0,1.56.0,,2014-09-12 09:33:04.993443,50275.0,560.0
,,2014-09-12 16:06:47.571207,roundup_single,1410538501.0,0,,1.0,main_w2_handler1,2033515,7727831,False,,1616915569,bam,1713026,slurm,,132112264.0,corral-repl,,,"""False""","""False""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",16770174,,"""True""",1,,history,,,,16763149.0,,,False,32.0,3199905909.0,fasta,,16922100.0,1410538029.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.56.0,1.56.0,,2014-09-12 16:15:02.432302,50891.0,472.0
,,2014-10-29 23:31:15.529519,rodeo_normal,1414626022.0,0,,1.0,main_w1_handler0,2092318,8068580,False,,6490558310,sam,96656.rodeo,slurm,,16332532.0,corral-repl,,,"""False""","""False""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",17370249,,"""True""",0,,built-in,hg19,,,,,,,2.0,,,,18009530.0,1414625487.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.56.0,1.56.0,,2014-10-29 23:40:25.409140,34802.0,535.0
