create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.inputFile.values,parameters.inputFile|__identifier__,parameters.probability,parameters.seed,parameters.validation_stringency,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-01-08 22:15:04.401435,slurm_normal,1515450780.0,0,,1.0,main_w4_handler0,3345623,17976617,False,,126235133,bam,12053170,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33221786}]",,"""0.01""","""1""","""LENIENT""",32.0,,42334682.0,1515450766.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_DownsampleSam/2.7.1.0,2.7.1.0,,2018-01-08 22:33:02.220140,45373.0,14.0
2018-01-08 22:15:13.668233,slurm_normal,1515450822.0,0,,1.0,main_w4_handler0,3345623,17976619,False,,169175165,bam,12053172,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33221787}]",,"""0.01""","""1""","""LENIENT""",32.0,,42334682.0,1515450798.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_DownsampleSam/2.7.1.0,2.7.1.0,,2018-01-08 22:33:44.918673,45373.0,24.0
2018-01-29 19:38:46.152570,slurm_normal,1517254884.0,0,,1.0,main_w4_handler0,3405041,18192459,False,,1381562285,bam,12272775,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/sacCer3.len""","""sacCer3""","[{'src': 'hda', 'id': 33496934}]",,"""0.0486""","""1""","""LENIENT""",32.0,,43434084.0,1517254746.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_DownsampleSam/2.7.1.0,2.7.1.0,,2018-01-29 19:41:28.365299,120630.0,138.0
2017-11-03 22:14:50.979047,slurm_normal,1509747673.0,0,,1.0,main_w3_handler0,3244778,17323433,False,,3731054064,bam,11383643,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32051149}]",,"""0.2""","""1""","""LENIENT""",32.0,,40328190.0,1509747304.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_DownsampleSam/2.7.1.0,2.7.1.0,,2017-11-03 22:21:15.771349,19169.0,369.0
2017-11-03 22:15:13.712561,slurm_normal,1509747709.0,0,,1.0,main_w3_handler1,3244778,17323436,False,,3795947025,bam,11383650,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32051689}]",,"""0.2""","""1""","""LENIENT""",32.0,,40328190.0,1509747355.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_DownsampleSam/2.7.1.0,2.7.1.0,,2017-11-03 22:21:59.999500,19169.0,354.0
2017-11-03 22:15:04.319334,slurm_normal,1509747733.0,0,,1.0,main_w3_handler0,3244778,17323435,False,,4481986873,bam,11383645,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32051684}]",,"""0.2""","""1""","""LENIENT""",32.0,,40328190.0,1509747318.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_DownsampleSam/2.7.1.0,2.7.1.0,,2017-11-03 22:22:15.332074,19169.0,415.0
2018-03-05 20:12:25.254584,slurm_normal,1520281051.0,0,7680.0,1.0,main_w4_handler0,3438033,18614885,False,,1517128541,bam,12710663,slurm,,132112168.0,corral-repl,,"""83c3d28420b111e8a6eb005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 34222611}]",,"""0.73529""","""1""","""LENIENT""",32.0,,,1520280758.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_DownsampleSam/2.7.1.0,2.7.1.0,,2018-03-05 20:17:33.717832,101862.0,293.0
2018-03-05 20:13:56.093550,slurm_normal,1520281135.0,0,7680.0,1.0,main_w4_handler0,3438033,18614924,False,,1325958440,bam,12710693,slurm,,132112168.0,corral-repl,,"""b9f90b3a20b111e895d9005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 34222557}]",,"""0.8486""","""1""","""LENIENT""",32.0,,,1520280843.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_DownsampleSam/2.7.1.0,2.7.1.0,,2018-03-05 20:18:57.857219,101862.0,292.0
2018-03-05 20:11:34.862498,slurm_normal,1520280956.0,0,7680.0,1.0,main_w3_handler0,3438033,18614873,False,,1174210536,bam,12710652,slurm,,132112168.0,corral-repl,,"""6636049420b111e8a0b6005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 34222630}]",,"""0.9851""","""1""","""LENIENT""",32.0,,,1520280704.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_DownsampleSam/2.7.1.0,2.7.1.0,,2018-03-05 20:15:58.122853,101862.0,252.0
2018-03-05 20:13:05.763874,slurm_normal,1520281051.0,0,7680.0,1.0,main_w4_handler1,3438033,18614911,False,,1147418027,bam,12710677,slurm,,132112168.0,corral-repl,,"""9c63c32620b111e8a45f005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 34222590}]",,"""0.995""","""1""","""LENIENT""",32.0,,,1520280798.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_DownsampleSam/2.7.1.0,2.7.1.0,,2018-03-05 20:17:32.916238,101862.0,253.0
