chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.CN,parameters.DS,parameters.DT,parameters.PI,parameters.PL,parameters.PU,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.inputFile,parameters.inputFile.values,parameters.inputFile|__identifier__,parameters.read_group_id_conditional.ID,parameters.read_group_id_conditional.__current_case__,parameters.read_group_id_conditional.do_auto_name,parameters.read_group_lb_conditional.LB,parameters.read_group_lb_conditional.__current_case__,parameters.read_group_lb_conditional.do_auto_name,parameters.read_group_sm_conditional.SM,parameters.read_group_sm_conditional.__current_case__,parameters.read_group_sm_conditional.do_auto_name,parameters.validation_stringency,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-04-04 06:51:56.665522,slurm_normal,1491288736.0,0,,1.0,main_w4_handler1,3056741,15479517,False,,21285250,bam,9608075.roundup,slurm,,132112168.0,corral-repl,,"""""","""""","""""","""""","""ILLUMINA""","""lane""",,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 29057347}]","""Mk_R2__ds_SRR549358""",,0,true,,0,true,,0,true,"""LENIENT""",32.0,,37066335.0,1491288720.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddOrReplaceReadGroups/1.136.0,1.136.0,,2017-04-04 06:52:17.257770,81817,16.0
,,2017-04-04 06:51:55.863626,slurm_normal,1491288822.0,0,,1.0,main_w4_handler1,3056741,15479514,False,,464848900,bam,9608074.roundup,slurm,,132112168.0,corral-repl,,"""""","""""","""""","""""","""ILLUMINA""","""lane""",,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 29057344}]","""G1E_R1__ds_SRR549355""",,0,true,,0,true,,0,true,"""LENIENT""",32.0,,37066335.0,1491288717.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddOrReplaceReadGroups/1.136.0,1.136.0,,2017-04-04 06:53:44.259172,81817,105.0
,,2017-02-24 19:14:12.067738,slurm_normal,1487963687.0,0,,1.0,main_w4_handler1,2992060,15135922,False,,13484274,bam,9289257.roundup,slurm,,132112168.0,corral-repl,,"""""","""""","""""","""""","""ILLUMINA""","""Coriell-NA12877""",,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 28366613}]",,Coriell-NA12877,1,false,Coriell-NA12877,1,false,Coriell-NA12877,1,false,"""LENIENT""",32.0,,35459350.0,1487963656.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddOrReplaceReadGroups/1.136.0,1.136.0,,2017-02-24 19:14:53.631381,98347,31.0
,,2017-02-24 19:14:21.244914,slurm_normal,1487963682.0,0,,1.0,main_w3_handler0,3006146,15135924,False,,13484321,bam,9289261.roundup,slurm,,132112168.0,corral-repl,,"""""","""""","""""","""""","""ILLUMINA""","""unknown""",,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 28505481}]",,Father,1,false,Father,1,false,Father,1,false,"""LENIENT""",32.0,,36096883.0,1487963664.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddOrReplaceReadGroups/1.136.0,1.136.0,,2017-02-24 19:14:46.444192,100339,18.0
,,2017-02-24 19:09:08.948472,slurm_normal,1487963358.0,0,,1.0,main_w3_handler0,3006146,15135826,False,,1756,bam,9289158.roundup,slurm,,132112168.0,corral-repl,,"""""","""""","""""","""""","""ILLUMINA""","""Daughter""",,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 28505334}]",,Daughter,1,false,Daughter,1,false,Daughter,1,false,"""LENIENT""",32.0,,36096883.0,1487963353.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddOrReplaceReadGroups/1.136.0,1.136.0,,2017-02-24 19:09:20.560673,100339,5.0
,,2017-04-04 08:09:48.386952,slurm_normal,1491293398.0,0,,1.0,main_w4_handler0,2990019,15479922,False,,7751045,bam,9608529.roundup,slurm,,132112168.0,corral-repl,,"""""","""""","""""","""""","""ILLUMINA""","""NA12878""",,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",,"[{'src': 'hda', 'id': 29057962}]",,NA12878,1,false,NA12878,1,false,NA12878,1,false,"""LENIENT""",32.0,,37091665.0,1491293391.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddOrReplaceReadGroups/1.136.0,1.136.0,,2017-04-04 08:10:00.915405,18927,7.0
,,2017-04-04 08:09:26.404249,slurm_normal,1491293413.0,0,,1.0,main_w3_handler0,2990019,15479919,False,,10734018,bam,9608526.roundup,slurm,,132112168.0,corral-repl,,"""""","""""","""""","""""","""ILLUMINA""","""NA12877""",,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",,"[{'src': 'hda', 'id': 29057960}]",,NA12877,1,false,NA12877,1,false,NA12877,1,false,"""LENIENT""",32.0,,37091665.0,1491293378.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddOrReplaceReadGroups/1.136.0,1.136.0,,2017-04-04 08:10:16.176119,18927,35.0
,,2017-04-04 08:10:15.229187,slurm_normal,1491293450.0,0,,1.0,main_w3_handler0,2990019,15479927,False,,8381974,bam,9608534.roundup,slurm,,132112168.0,corral-repl,,"""""","""""","""""","""""","""ILLUMINA""","""NA12880""",,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",,"[{'src': 'hda', 'id': 29057963}]",,NA12880,1,false,NA12880,1,false,NA12880,1,false,"""LENIENT""",32.0,,37091665.0,1491293418.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddOrReplaceReadGroups/1.136.0,1.136.0,,2017-04-04 08:10:51.803270,18927,32.0
,,2017-04-04 13:05:03.118965,slurm_normal,1491317790.0,0,,1.0,main_w4_handler1,2990019,15481877,False,,8335045,bam,9610658.roundup,slurm,,132112168.0,corral-repl,,"""""","""""","""""","""""","""ILLUMINA""","""Daughter""",,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29061217}]",,Daughter,1,false,Daughter,1,false,Daughter,1,false,"""LENIENT""",32.0,,35933232.0,1491317776.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddOrReplaceReadGroups/1.136.0,1.136.0,,2017-04-04 14:57:20.863414,18927,14.0
,,2017-04-04 14:39:37.021665,slurm_normal,1491317823.0,0,,1.0,main_w4_handler1,3055860,15482551,False,,13477222,bam,9610674.roundup,slurm,,132112168.0,corral-repl,,"""""","""""","""""","""""","""ILLUMINA""","""NA12877""",,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 29046703}]",,NA12877,1,false,NA12877,1,false,NA12877,1,false,"""LENIENT""",32.0,,37100852.0,1491317802.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddOrReplaceReadGroups/1.136.0,1.136.0,,2017-04-04 14:57:32.440965,87693,21.0
