chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input,parameters.input.values,parameters.input|__identifier__,parameters.width,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-12-11 15:05:51.016130,slurm_normal,1481468769.0,0,,1.0,main_w3_handler0,2918071,14542814,False,,10999516,fasta,8725404.roundup,slurm,,132111800.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27583391}]",,"""0""",32.0,,34789598.0,1481468765.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fasta_formatter/cshl_fasta_formatter/1.0.0,1.0.0,,2016-12-11 15:06:11.358876,96708.0,4.0
,,2016-12-11 14:30:11.725078,slurm_normal,1481466620.0,0,,1.0,main_w3_handler1,2918071,14542699,False,,5651496,fasta,8725298.roundup,slurm,,132111800.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27583168}]",,"""0""",32.0,,34641904.0,1481466614.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fasta_formatter/cshl_fasta_formatter/1.0.0,1.0.0,,2016-12-11 14:30:22.186221,,6.0
,,2016-12-11 15:05:50.014371,slurm_normal,1481468760.0,0,,1.0,main_w4_handler0,2918071,14542809,False,,5713063,fasta,8725397.roundup,slurm,,132111800.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27583386}]",,"""0""",32.0,,34789598.0,1481468754.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fasta_formatter/cshl_fasta_formatter/1.0.0,1.0.0,,2016-12-11 15:06:01.849343,96708.0,6.0
,,2016-12-11 15:05:50.253741,slurm_normal,1481468767.0,0,,1.0,main_w4_handler1,2918071,14542810,False,,5028254,fasta,8725399.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27583387}]",,"""0""",32.0,,34789598.0,1481468762.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fasta_formatter/cshl_fasta_formatter/1.0.0,1.0.0,,2016-12-11 15:06:09.390955,96708.0,5.0
,,2016-12-11 15:05:51.875705,slurm_normal,1481468770.0,0,,1.0,main_w4_handler1,2918071,14542818,False,,5975479,fasta,8725401.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27583395}]",,"""0""",32.0,,34789598.0,1481468765.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fasta_formatter/cshl_fasta_formatter/1.0.0,1.0.0,,2016-12-11 15:06:12.725965,96708.0,5.0
,,2016-12-11 15:05:49.731598,slurm_normal,1481468803.0,0,,1.0,main_w3_handler0,2918071,14542808,False,,5650802,fasta,8725395.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27583385}]",,"""0""",32.0,,34789598.0,1481468797.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fasta_formatter/cshl_fasta_formatter/1.0.0,1.0.0,,2016-12-11 15:06:45.022827,96708.0,6.0
,,2016-12-11 15:05:49.321283,slurm_normal,1481468760.0,0,,1.0,main_w3_handler0,2918071,14542806,False,,5751329,fasta,8725393.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27583383}]",,"""0""",32.0,,34789598.0,1481468754.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fasta_formatter/cshl_fasta_formatter/1.0.0,1.0.0,,2016-12-11 15:06:02.355206,96708.0,6.0
,,2016-12-11 15:05:51.644240,slurm_normal,1481468772.0,0,,1.0,main_w3_handler0,2918071,14542817,False,,5508748,fasta,8725405.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27583394}]",,"""0""",32.0,,34789598.0,1481468767.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fasta_formatter/cshl_fasta_formatter/1.0.0,1.0.0,,2016-12-11 15:06:13.683183,96708.0,5.0
,,2016-12-11 15:05:52.394126,slurm_normal,1481468778.0,0,,1.0,main_w4_handler1,2918071,14542820,False,,5564392,fasta,8725407.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27583397}]",,"""0""",32.0,,34789598.0,1481468773.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fasta_formatter/cshl_fasta_formatter/1.0.0,1.0.0,,2016-12-11 15:06:20.483044,96708.0,5.0
,,2016-12-11 15:05:53.555924,slurm_normal,1481468781.0,0,,1.0,main_w4_handler1,2918071,14542825,False,,5765947,fasta,8725411.roundup,slurm,,132111800.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27583402}]",,"""0""",32.0,,34789598.0,1481468777.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fasta_formatter/cshl_fasta_formatter/1.0.0,1.0.0,,2016-12-11 15:06:24.140903,96708.0,4.0
