chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.inType.__current_case__,parameters.inType.how,parameters.inType.ind_column,parameters.input1,parameters.input1.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-11-02 04:43:46.059220,slurm_normal,1509597851.0,0,,1.0,main_w3_handler1,3307473,17294652,False,,22817845,vcf,11356771,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""",1,all,,,"[{'src': 'hda', 'id': 32012795}]",32.0,,41683903.0,1509597836.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcf2pgsnp/vcf2pgSnp/1.0.0,1.0.0,,2017-11-02 04:44:14.656008,114925.0,15.0
,,2017-11-03 05:02:31.043743,slurm_normal,1509685386.0,0,,1.0,main_w4_handler1,3309209,17312200,False,,22817845,vcf,11372156,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",1,all,,,"[{'src': 'hda', 'id': 32042718}]",32.0,,41683903.0,1509685372.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcf2pgsnp/vcf2pgSnp/1.0.0,1.0.0,,2017-11-03 05:03:11.392959,114925.0,14.0
,,2017-11-03 05:02:42.871338,slurm_normal,1509685409.0,0,,1.0,main_w4_handler0,3309209,17312203,False,,22685433,vcf,11372160,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",1,all,,,"[{'src': 'hda', 'id': 32042644}]",32.0,,41683903.0,1509685395.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcf2pgsnp/vcf2pgSnp/1.0.0,1.0.0,,2017-11-03 05:03:35.304904,114925.0,14.0
,,2017-11-14 15:55:07.001003,slurm_normal,1510674926.0,0,,1.0,main_w4_handler1,3311263,17455256,False,,7518,vcf,11513009,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",1,all,,,"[{'src': 'hda', 'id': 32310320}]",32.0,,41981638.0,1510674921.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcf2pgsnp/vcf2pgSnp/1.0.0,1.0.0,,2017-11-14 15:55:28.402248,89875.0,5.0
,,2017-11-22 11:42:40.798602,slurm_normal,1511350970.0,0,,1.0,main_w3_handler0,3330777,17548130,False,,26255,vcf,11608121,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,all,,,"[{'src': 'hda', 'id': 32469553}]",32.0,,42097364.0,1511350966.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcf2pgsnp/vcf2pgSnp/1.0.0,1.0.0,,2017-11-22 11:42:54.327811,116608.0,4.0
,,2017-11-22 15:25:09.719092,slurm_normal,1511364325.0,0,,1.0,main_w4_handler0,3330777,17550725,False,,25319,vcf,11610912,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,all,,,"[{'src': 'hda', 'id': 32471333}]",32.0,,42097364.0,1511364318.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcf2pgsnp/vcf2pgSnp/1.0.0,1.0.0,,2017-11-22 15:25:27.520271,116608.0,7.0
,,2017-11-27 07:54:48.842451,slurm_normal,1511769301.0,0,,1.0,main_w4_handler0,3340877,17599852,False,,10418968,vcf,11658753,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,all,,,"[{'src': 'hda', 'id': 32556087}]",32.0,,42274692.0,1511769295.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcf2pgsnp/vcf2pgSnp/1.0.0,1.0.0,,2017-11-27 07:55:03.129432,,6.0
,,2018-01-15 13:07:59.923456,slurm_normal,1516021701.0,0,,1.0,main_w4_handler1,3392805,18038555,False,,57189908,vcf,12115731,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,all,,,"[{'src': 'hda', 'id': 33317552}]",32.0,,43203768.0,1516021683.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcf2pgsnp/vcf2pgSnp/1.0.0,1.0.0,,2018-01-15 13:08:23.934321,47370.0,18.0
,,2017-12-01 18:57:26.347886,slurm_normal,1512154742.0,0,,1.0,main_w4_handler1,2700890,17666896,False,,1967828125,vcf,11727218,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,all,,,"[{'src': 'hda', 'id': 32677380}]",32.0,,42379644.0,1512154662.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcf2pgsnp/vcf2pgSnp/1.0.0,1.0.0,,2017-12-01 18:59:04.731450,36551.0,80.0
,,2017-12-01 18:57:26.016126,slurm_normal,1512154740.0,0,,1.0,main_w3_handler0,2700890,17666895,False,,2035390666,vcf,11727214,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,all,,,"[{'src': 'hda', 'id': 32669128}]",32.0,,42379644.0,1512154657.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcf2pgsnp/vcf2pgSnp/1.0.0,1.0.0,,2017-12-01 18:59:03.105238,36551.0,83.0
