bamInput,bamInput_filetype,create_time,destination_id,end_epoch,exit_code,extraSampling,extraSampling_filetype,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.advancedOpt.__current_case__,parameters.advancedOpt.showAdvancedOpt,parameters.bamInput.values,parameters.chromInfo,parameters.dbkey,parameters.effectiveGenomeSize.__current_case__,parameters.effectiveGenomeSize.effectiveGenomeSize,parameters.effectiveGenomeSize.effectiveGenomeSize_opt,parameters.fragmentLength,parameters.image_format,parameters.region,parameters.source.__current_case__,parameters.source.input1.values,parameters.source.input1_2bit,parameters.source.ref_source,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2113572094,bam,2016-09-11 20:46:42.792014,slurm_multi,1473629379.0,0,,,6.0,main_w4_handler2,2771636,13826717,False,,,,8048773,slurm,,132112168.0,corral-repl,,0,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5455535e833b5da7e'}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",2,,2451960000,"""100""","""png""","""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,31578981,1473628876.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.2.3.0,2.2.3.0,,2016-09-11 21:29:41.384096,73080,503.0
3864440440,bam,2016-06-27 07:27:12.573189,slurm_multi,1467013870.0,0,,,6.0,main_w2_handler2,2746850,13264987,False,,,,7453248,slurm,,132112168.0,corral-repl,,0,no,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b537027fe417dba36b'}]","""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",0,2700000000,specific,"""300""","""png""","""""",0,,/galaxy/data/hg18/seq/hg18.2bit,cached,32.0,,31096221,1467012466.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.2.3.0,2.2.3.0,,2016-06-27 07:51:12.096626,86468,1404.0
3299429505,bam,2016-06-27 07:27:11.114184,slurm_multi,1467014485.0,0,,,6.0,main_w1_handler2,2746850,13264986,False,,,,7453361,slurm,,132112168.0,corral-repl,,0,no,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b7fb3c2e1bce09f0'}]","""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",0,2700000000,specific,"""300""","""png""","""""",0,,/galaxy/data/hg18/seq/hg18.2bit,cached,32.0,,31096221,1467013896.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.2.3.0,2.2.3.0,,2016-06-27 08:01:28.615539,86468,589.0
1892066776,bam,2016-09-12 02:01:40.145226,slurm_multi,1473646212.0,0,,,6.0,main_w3_handler2,2771636,13827571,False,,,,8049487,slurm,,132112168.0,corral-repl,,0,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53181e3679cbbc21e'}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",2,,2451960000,"""100""","""png""","""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,31578981,1473645740.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.2.3.0,2.2.3.0,,2016-09-12 02:10:13.971761,73080,472.0
1730460780,bam,2016-09-12 02:01:41.188985,slurm_multi,1473646673.0,0,,,6.0,main_w4_handler2,2771636,13827572,False,,,,8049527,slurm,,132112168.0,corral-repl,,0,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e8199390342240ea'}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",2,,2451960000,"""100""","""png""","""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,31578981,1473646220.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.2.3.0,2.2.3.0,,2016-09-12 02:17:54.800897,73080,453.0
2430918372,bam,2016-09-12 02:01:41.961171,slurm_multi,1473647597.0,0,,,6.0,main_w4_handler2,2771636,13827574,False,,,,8049586,slurm,,132112168.0,corral-repl,,0,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e79f53145ec3c358'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,2451960000,"""100""","""png""","""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,31578981,1473647115.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.2.3.0,2.2.3.0,,2016-09-12 02:33:18.343490,73080,482.0
1518788743,bam,2016-09-12 02:01:41.493639,slurm_multi,1473647110.0,0,,,6.0,main_w4_handler2,2771636,13827573,False,,,,8049561,slurm,,132112168.0,corral-repl,,0,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b516d1e6f764ab2f39'}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",2,,2451960000,"""100""","""png""","""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,31578981,1473646678.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.2.3.0,2.2.3.0,,2016-09-12 02:25:11.752219,73080,432.0
3232999361,bam,2016-09-12 14:35:53.691237,slurm_multi,1473691577.0,0,,,6.0,main_w3_handler2,2813231,13831876,False,,,,8053787,slurm,,132112168.0,corral-repl,,0,no,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a0ac545bebe2436e'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,2451960000,"""300""","""png""","""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,32824215,1473690974.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.2.3.0,2.2.3.0,,2016-09-12 14:46:20.641513,85575,603.0
2914364019,bam,2016-09-12 14:35:54.174505,slurm_multi,1473691680.0,0,,,6.0,main_w4_handler2,2813231,13831877,False,,,,8053786,slurm,,132112168.0,corral-repl,,0,no,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5aa063be126d3dd9a'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,2451960000,"""300""","""png""","""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,32824215,1473690972.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.2.3.0,2.2.3.0,,2016-09-12 14:48:02.895660,85575,708.0
3277605060,bam,2016-09-12 14:35:55.597669,slurm_multi,1473692419.0,0,,,6.0,main_w3_handler2,2813231,13831880,False,,,,8053893,slurm,,132112168.0,corral-repl,,0,no,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b54414f3f7e7e773'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,2451960000,"""300""","""png""","""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,32824215,1473691692.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.2.3.0,2.2.3.0,,2016-09-12 15:00:29.836323,85575,727.0
