chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,fasta,fasta_filetype,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.fasta.values,parameters.input.values,parameters.input|__identifier__,parameters.name,parameters.split,parameters.strand,parameters.tab,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-02-27 18:45:48.662871,slurm_normal,1488221155.0,0,62250207,fasta,1.0,main_w4_handler1,2558272,15157509,False,,7682,gff,9309168.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28534702}]","[{'src': 'hda', 'id': 28537470}]",,"""false""","""false""","""false""","""false""",32.0,,36285321.0,1488221151.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.24.0,2.24.0,,2017-02-27 18:45:57.873939,76352.0,4.0
,,2017-02-27 19:20:17.213558,slurm_normal,1488223248.0,0,62250207,fasta,1.0,main_w3_handler1,2558272,15157964,False,,1308,gff,9309703.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28534702}]","[{'src': 'hda', 'id': 28538264}]",,"""false""","""false""","""false""","""false""",32.0,,36285321.0,1488223223.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.24.0,2.24.0,,2017-02-27 19:20:50.086856,76352.0,25.0
,,2017-02-27 18:27:31.029761,slurm_normal,1488220060.0,0,16222,fasta,1.0,main_w4_handler1,2558272,15157257,False,,1318,gff3,9308939.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28534751}]","[{'src': 'hda', 'id': 28537063}]",,"""false""","""false""","""false""","""false""",32.0,,36285321.0,1488220055.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.24.0,2.24.0,,2017-02-27 18:27:42.936229,76352.0,5.0
,,2017-02-27 20:02:34.438700,slurm_normal,1488225764.0,0,62250207,fasta,1.0,main_w3_handler1,2558272,15158505,False,,1087,gff,9310213.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28534702}]","[{'src': 'hda', 'id': 28539189}]",,"""false""","""false""","""false""","""false""",32.0,,36285321.0,1488225758.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.24.0,2.24.0,,2017-02-27 20:02:47.933526,76352.0,6.0
,,2017-02-28 16:36:49.091095,slurm_normal,1488299864.0,0,985528622,fasta,1.0,main_w4_handler0,2998468,15168763,False,,135432,gff3,9319737.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28555993}]","[{'src': 'hda', 'id': 28556013}]",,"""false""","""false""","""false""","""false""",32.0,,35698865.0,1488299816.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.24.0,2.24.0,,2017-02-28 16:37:56.270182,99128.0,48.0
,,2017-02-28 21:17:09.352757,slurm_normal,1488316713.0,0,985528622,fasta,1.0,main_w3_handler0,2998468,15171488,False,,60733,gff,9322342.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28555993}]","[{'src': 'hda', 'id': 28560656}]",,"""false""","""false""","""false""","""false""",32.0,,35698865.0,1488316642.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.24.0,2.24.0,,2017-02-28 21:18:39.653700,99128.0,71.0
,,2017-03-01 17:43:16.694484,slurm_normal,1488391309.0,0,2780048573,fasta,1.0,main_w4_handler1,2967247,15180973,False,,1678712849,bed,9331516.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","[{'src': 'hda', 'id': 28574634}]","[{'src': 'hda', 'id': 28565716}]",,"""true""","""false""","""false""","""true""",32.0,,35122622.0,1488390563.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.24.0,2.24.0,,2017-03-01 18:02:50.672690,88920.0,746.0
,,2017-03-01 17:43:31.401838,slurm_normal,1488391144.0,0,2780048573,fasta,1.0,main_w4_handler0,2967247,15180974,False,,1412166214,bed,9331513.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","[{'src': 'hda', 'id': 28574634}]","[{'src': 'hda', 'id': 28565717}]",,"""true""","""false""","""false""","""true""",32.0,,35122622.0,1488390558.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.24.0,2.24.0,,2017-03-01 17:59:55.563214,88920.0,586.0
,,2017-03-01 18:07:26.212634,slurm_normal,1488392087.0,0,2780048573,fasta,1.0,main_w4_handler1,2967247,15181117,False,,1678712849,bed,9331850.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","[{'src': 'hda', 'id': 28574634}]","[{'src': 'hda', 'id': 28565716}]",,"""false""","""false""","""false""","""false""",32.0,,35122622.0,1488391673.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.24.0,2.24.0,,2017-03-01 18:16:03.756765,88920.0,414.0
,,2017-03-02 04:33:06.885251,slurm_normal,1488429194.0,0,141162618,fasta,1.0,main_w4_handler1,2894607,15184784,False,,13035,bed,9335677.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28580388}]","[{'src': 'hda', 'id': 28580288}]",,"""false""","""false""","""false""","""false""",32.0,,36377295.0,1488429190.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.24.0,2.24.0,,2017-03-02 04:33:15.256705,94854.0,4.0
