chromInfo,chromInfo_filetype,count,count_filetype,create_time,destination_id,end_epoch,exit_code,fasta,fasta_filetype,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,name,name_filetype,object_store_id,param_filename,parameters.chromInfo,parameters.count.values,parameters.count|__identifier__,parameters.dbkey,parameters.fasta.values,parameters.fasta|__identifier__,parameters.name.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,,,2017-04-02 16:56:55.247949,slurm_normal,1491152719.0,0,15825100641,align,1.0,main_w3_handler1,3051903,15462656,False,,9592954.roundup,slurm,,132112168.0,402538708.0,tabular,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,,"""?""","[{'src': 'hda', 'id': 29026212}]",,"[{'src': 'hda', 'id': 29022526}]",32.0,,37043856,1491152219.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_summary_seqs/1.20.0,1.20.0,,2017-04-02 17:05:24.101147,97888.0,500.0
,,,,2017-06-04 23:07:46.594701,slurm_normal,1496617686.0,0,37265041,fastqsanger,1.0,main_w4_handler1,3139963,16010959,False,,10104013.roundup,slurm,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,,"""?""","[{'src': 'hda', 'id': 29886094}]",,,32.0,,38220689,1496617679.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_summary_seqs/1.20.0,1.20.0,,2017-06-04 23:08:08.496212,106584.0,7.0
,,,,2017-06-04 23:07:45.476057,slurm_normal,1496617692.0,0,301965657,fastqsanger,1.0,main_w3_handler0,3139963,16010957,False,,10104014.roundup,slurm,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,,"""?""","[{'src': 'hda', 'id': 29886016}]",,,32.0,,38220689,1496617682.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_summary_seqs/1.20.0,1.20.0,,2017-06-04 23:08:14.637049,106584.0,10.0
,,,,2017-06-04 23:07:47.021275,slurm_normal,1496617691.0,0,4428084,fastqsanger,1.0,main_w4_handler1,3139963,16010960,False,,10104016.roundup,slurm,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,,"""?""","[{'src': 'hda', 'id': 29886095}]",,,32.0,,38220689,1496617686.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_summary_seqs/1.20.0,1.20.0,,2017-06-04 23:08:13.688000,106584.0,5.0
,,,,2017-06-04 23:07:46.142872,slurm_normal,1496617693.0,0,304223055,fastqsanger,1.0,main_w4_handler1,3139963,16010958,False,,10104012.roundup,slurm,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,,"""?""","[{'src': 'hda', 'id': 29886017}]",,,32.0,,38220689,1496617679.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_summary_seqs/1.20.0,1.20.0,,2017-06-04 23:08:15.616576,106584.0,14.0
,,,,2017-04-10 08:41:17.101499,slurm_normal,1491813688.0,0,15778920,fasta,1.0,main_w3_handler1,3066993,15538980,False,,9664360.roundup,slurm,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,,"""?""","[{'src': 'hda', 'id': 29147290}]",,,32.0,,37243043,1491813681.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_summary_seqs/1.20.0,1.20.0,,2017-04-10 08:41:31.278737,,7.0
,,,,2017-04-10 16:02:09.347249,slurm_normal,1491840151.0,0,19515430,fasta,1.0,main_w3_handler1,3066993,15542190,False,,9667195.roundup,slurm,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,,"""?""","[{'src': 'hda', 'id': 29151999}]",,,32.0,,37243043,1491840143.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_summary_seqs/1.20.0,1.20.0,,2017-04-10 16:02:34.327218,,8.0
,,,,2017-04-10 15:56:36.317461,slurm_normal,1491839815.0,0,34912526,fastq,1.0,main_w3_handler1,3066993,15541983,False,,9667137.roundup,slurm,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,,"""?""","[{'src': 'hda', 'id': 29149306}]",,,32.0,,37243043,1491839807.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_summary_seqs/1.20.0,1.20.0,,2017-04-10 15:56:58.030982,,8.0
,,,,2017-06-06 10:11:26.546449,slurm_normal,1496743980.0,0,3965889,fastq,1.0,main_w4_handler0,3141837,16024966,False,,10116585.roundup,slurm,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,,"""?""","[{'src': 'hda', 'id': 29906925}]","""reverse""",,32.0,,38468429,1496743975.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_summary_seqs/1.20.0,1.20.0,,2017-06-06 10:13:03.172878,106930.0,5.0
,,,,2017-06-06 10:11:21.980193,slurm_normal,1496743903.0,0,2494737,fastq,1.0,main_w4_handler1,3141837,16024957,False,,10116559.roundup,slurm,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,,"""?""","[{'src': 'hda', 'id': 29906917}]","""reverse""",,32.0,,38468429,1496743899.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_summary_seqs/1.20.0,1.20.0,,2017-06-06 10:11:49.265591,106930.0,4.0
