chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.direction,parameters.input1,parameters.input1.values,parameters.input2,parameters.input2.values,parameters.input2|__identifier__,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2014-12-28 02:45:59.189549,rodeo_normal,1419735485.0,0,,1.0,main_w1_handler1,1372753,8472926,False,,476749839,bed,6982,bed,648198.rodeo,slurm,,16332532.0,corral-repl,,"""a7191a348e3b11e496f8005056a51846""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""Either""",18079184,,18080705,,,2.0,,20249594.0,1419734772.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/flanking_features/flanking_features_1/4.0.1,4.0.1,,2014-12-28 02:58:08.338034,32837.0,713.0
,,2014-12-28 03:29:41.048026,rodeo_normal,1419738112.0,0,,1.0,main_w1_handler0,1372753,8473004,False,,472854742,bed,6215,bed,648292.rodeo,slurm,,16332532.0,corral-repl,,"""c1a585268e4111e48896005056a51846""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""Either""",18079185,,18080776,,,2.0,,20249594.0,1419737393.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/flanking_features/flanking_features_1/4.0.1,4.0.1,,2014-12-28 03:41:55.870908,32837.0,719.0
,,2014-12-28 03:16:32.079604,rodeo_normal,1419738345.0,0,,1.0,main_w2_handler0,1372753,8472964,False,,476749839,bed,1007045,bed,648269.rodeo,slurm,,16332532.0,corral-repl,,"""eb4adae08e3f11e49b9b005056a52a46""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""Either""",18079184,,18080750,,,2.0,,20249594.0,1419736608.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/flanking_features/flanking_features_1/4.0.1,4.0.1,,2014-12-28 03:45:48.663190,32837.0,1737.0
,,2014-12-28 03:17:21.082769,rodeo_normal,1419738293.0,0,,1.0,main_w1_handler0,1372753,8472973,False,,472854742,bed,1007045,bed,2383017.roundup,slurm,,132112264.0,corral-repl,,"""08c9fa608e4011e4a853005056a52a46""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""Either""",18079185,,18080750,,,32.0,,20249594.0,1419736654.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/flanking_features/flanking_features_1/4.0.1,4.0.1,,2014-12-28 03:44:54.725962,32837.0,1639.0
,,2014-12-28 03:29:10.644535,rodeo_normal,1419738088.0,0,,1.0,main_w1_handler1,1372753,8472988,False,,476749839,bed,6215,bed,648286.rodeo,slurm,,16332532.0,corral-repl,,"""af7eb4c68e4111e48051005056a51846""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""Either""",18079184,,18080776,,,2.0,,20249594.0,1419737360.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/flanking_features/flanking_features_1/4.0.1,4.0.1,,2014-12-28 03:41:32.124006,32837.0,728.0
,,2014-12-28 05:22:50.594322,rodeo_normal,1419745101.0,0,,1.0,main_w1_handler1,1372753,8473191,False,,472854742,bed,29991,bed,648643.rodeo,slurm,,16332532.0,corral-repl,,"""9083806e8e5111e489c0005056a51846""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""Either""",18079185,,18081026,,,2.0,,20249594.0,1419744191.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/flanking_features/flanking_features_1/4.0.1,4.0.1,,2014-12-28 05:38:25.042622,32837.0,910.0
,,2014-12-28 05:32:11.292946,rodeo_normal,1419745635.0,0,,1.0,main_w2_handler1,1372753,8473207,False,,476749839,bed,19337,bed,648659.rodeo,slurm,,16332532.0,corral-repl,,"""dee5138e8e5211e485c4005056a52a46""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""Either""",18079184,,18081065,,,2.0,,20249594.0,1419744745.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/flanking_features/flanking_features_1/4.0.1,4.0.1,,2014-12-28 05:47:17.918470,32837.0,890.0
,,2014-12-28 05:22:12.576681,rodeo_normal,1419745070.0,0,,1.0,main_w2_handler0,1372753,8473182,False,,476749839,bed,29991,bed,648641.rodeo,slurm,,16332532.0,corral-repl,,"""7952eab08e5111e489c0005056a51846""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""Either""",18079184,,18081026,,,2.0,,20249594.0,1419744145.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/flanking_features/flanking_features_1/4.0.1,4.0.1,,2014-12-28 05:37:54.252490,32837.0,925.0
,,2014-12-28 05:32:49.714473,rodeo_normal,1419745626.0,0,,1.0,main_w1_handler0,1372753,8473216,False,,472854742,bed,19337,bed,648661.rodeo,slurm,,16332532.0,corral-repl,,"""f598ea428e5211e4b077005056a52a46""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""Either""",18079185,,18081065,,,2.0,,20249594.0,1419744791.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/flanking_features/flanking_features_1/4.0.1,4.0.1,,2014-12-28 05:47:09.020309,32837.0,835.0
,,2015-02-08 23:56:38.973179,rodeo_normal,1423439821.0,0,,1.0,main_w2_handler0,2176770,8684491,False,,249173,interval,364445,interval,2682895.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""","""Either""",18446775,,18446777,,,32.0,,21107506.0,1423439816.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/flanking_features/flanking_features_1/4.0.1,4.0.1,,2015-02-08 23:57:03.573787,776.0,5.0
