create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,inputA,inputA_filetype,inputB,inputB1,inputB10,inputB10_filetype,inputB11,inputB11_filetype,inputB12,inputB12_filetype,inputB13,inputB13_filetype,inputB14,inputB14_filetype,inputB15,inputB15_filetype,inputB16,inputB16_filetype,inputB17,inputB17_filetype,inputB1_filetype,inputB2,inputB2_filetype,inputB3,inputB3_filetype,inputB4,inputB4_filetype,inputB5,inputB5_filetype,inputB6,inputB6_filetype,inputB7,inputB7_filetype,inputB8,inputB8_filetype,inputB9,inputB9_filetype,inputB_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.d,parameters.dbkey,parameters.hist,parameters.inputA.values,parameters.inputA|__identifier__,parameters.inputB.values,parameters.split,parameters.strandedness,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-04-22 16:59:18.007522,slurm_normal,1492880767.0,0,,1.0,main_w4_handler1,3082928,15650996,False,,45625130,bam,236418,236418,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,9768005.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""true""","""hg19""","""false""","[{'src': 'hda', 'id': 29318689}]",,"[{'src': 'hda', 'id': 29318670}]","""false""","""false""",32.0,,37496802.0,1492880371.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.26.0.0,2.26.0.0,,2017-04-22 17:06:08.806250,104229.0,396.0
2017-04-22 17:08:23.478978,slurm_normal,1492880935.0,0,,1.0,main_w3_handler0,3082928,15651052,False,,236418,bed,45625130,45625130,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,bam,9768060.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""true""","""hg19""","""false""","[{'src': 'hda', 'id': 29318670}]",,"[{'src': 'hda', 'id': 29318689}]","""false""","""false""",32.0,,37496802.0,1492880915.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.26.0.0,2.26.0.0,,2017-04-22 17:08:57.108098,104229.0,20.0
2017-06-07 10:36:01.514081,slurm_normal,1496831815.0,0,,1.0,main_w3_handler0,3134451,16039034,False,,241,bed,75728309,75728309,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,bam,10129226.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""false""","""hg19""","""true""","[{'src': 'hda', 'id': 29831865}]",,"[{'src': 'hda', 'id': 29848399}]","""false""","""false""",32.0,,37852220.0,1496831775.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.26.0.0,2.26.0.0,,2017-06-07 10:36:55.986241,88042.0,40.0
2017-04-23 17:16:45.076501,slurm_normal,1492967819.0,0,,1.0,main_w3_handler0,3083455,15655225,False,,1826,bed,9169,9169,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,9771846.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""false""","""hg19""","""false""","[{'src': 'hda', 'id': 29326002}]",,"[{'src': 'hda', 'id': 29326003}]","""false""","""false""",32.0,,37508517.0,1492967813.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.26.0.0,2.26.0.0,,2017-04-23 17:17:00.909939,9063.0,6.0
2017-04-23 19:40:58.201182,slurm_normal,1492976475.0,0,,1.0,main_w4_handler1,3083455,15655998,False,,1826,bed,9712,9712,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,9772428.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""false""","""hg19""","""false""","[{'src': 'hda', 'id': 29326002}]",,"[{'src': 'hda', 'id': 29327128}]","""false""","""false""",32.0,,37508517.0,1492976469.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.26.0.0,2.26.0.0,,2017-04-23 19:41:18.050950,9063.0,6.0
2017-04-23 19:41:23.441167,slurm_normal,1492976502.0,0,,1.0,main_w3_handler1,3083455,15656030,False,,1826,bed,9712,9712,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,9772435.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""false""","""hg19""","""false""","[{'src': 'hda', 'id': 29326176}]",,"[{'src': 'hda', 'id': 29327128}]","""false""","""false""",32.0,,37508517.0,1492976497.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.26.0.0,2.26.0.0,,2017-04-23 19:41:43.367191,9063.0,5.0
2017-04-23 20:50:09.729240,slurm_normal,1492980629.0,0,,1.0,main_w3_handler1,3083455,15656338,False,,1826,bed,10802,10802,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,9772804.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""false""","""hg19""","""false""","[{'src': 'hda', 'id': 29326002}]",,"[{'src': 'hda', 'id': 29327743}]","""false""","""false""",32.0,,37508517.0,1492980623.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.26.0.0,2.26.0.0,,2017-04-23 20:50:32.652718,9063.0,6.0
2017-04-23 20:49:52.208252,slurm_normal,1492980628.0,0,,1.0,main_w4_handler1,3083455,15656333,False,,1826,bed,10802,10802,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,9772799.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""false""","""hg19""","""false""","[{'src': 'hda', 'id': 29326176}]",,"[{'src': 'hda', 'id': 29327743}]","""false""","""false""",32.0,,37508517.0,1492980606.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.26.0.0,2.26.0.0,,2017-04-23 20:50:30.500468,9063.0,22.0
2017-04-23 20:49:32.545846,slurm_normal,1492980593.0,0,,1.0,main_w3_handler1,3083455,15656330,False,,1826,bed,10802,10802,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,9772795.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""false""","""hg19""","""false""","[{'src': 'hda', 'id': 29327742}]",,"[{'src': 'hda', 'id': 29327743}]","""false""","""false""",32.0,,37508517.0,1492980585.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.26.0.0,2.26.0.0,,2017-04-23 20:49:54.300646,9063.0,8.0
2017-06-07 17:37:38.331147,slurm_normal,1496857376.0,0,,1.0,main_w3_handler1,3143935,16043120,False,,14507668,bam,2537,2537,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,10133070.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""false""","""hg38""","""false""","[{'src': 'hda', 'id': 29936399}]",,"[{'src': 'hda', 'id': 29935694}]","""true""","""false""",32.0,,36910842.0,1496857360.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.26.0.0,2.26.0.0,,2017-06-07 17:42:59.324982,102546.0,16.0
