chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputSequences,inputSequences_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.adjustdirection,parameters.chromInfo,parameters.cond_flavour.__current_case__,parameters.cond_flavour.flavourType,parameters.dbkey,parameters.inputSequences,parameters.inputSequences.values,parameters.inputSequences|__identifier__,parameters.outputFormat,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-01-28 03:17:06.551418,slurm_normal,1453951039.0,0,1.0,main_w1_handler1,2575344,11619902,False,,9955,fasta,5884323.roundup,slurm,,132112168.0,corral-repl,,,""" ""","""/galaxy-repl/localdata/chrom/hg19.len""",0,mafft-fftns,"""hg19""",23064230,,,"""fasta""",32.0,,27306001.0,1453951035.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-01-28 03:17:21.161452,76536.0,4.0
,,2016-01-28 07:13:19.352892,slurm_normal,1453965254.0,0,1.0,main_w1_handler2,2580855,11620658,False,,2251338,fasta,5885096.roundup,slurm,,132112168.0,corral-repl,,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",0,mafft-fftns,"""?""",23065341,,,"""fasta""",32.0,,27856712.0,1453965212.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-01-28 07:14:15.553592,,42.0
,,2016-01-28 02:18:42.220617,slurm_normal,1453947564.0,0,1.0,main_w1_handler1,2579967,11619657,False,,10124,fasta,5884086.roundup,slurm,,132112168.0,corral-repl,,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",7,mafft-linsi,"""?""",23064073,,,"""fasta""",32.0,,27829091.0,1453947535.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-01-28 02:19:26.993308,77574.0,29.0
994.0,len,2016-01-28 05:02:46.909607,slurm_normal,1453957385.0,0,1.0,main_w2_handler1,2578988,11620487,False,,22566,fasta,5884903.roundup,slurm,,132112168.0,corral-repl,,,""" ""","""/galaxy-repl/main/files/014/088/dataset_14088466.dat""",0,mafft-fftns,"""?""",23065032,,,"""clustalw""",32.0,,27853061.0,1453957380.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-01-28 05:03:08.037655,77487.0,5.0
,,2016-01-28 13:12:20.278821,slurm_normal,1453988731.0,0,1.0,main_w2_handler0,2580746,11622483,False,,9252206,fasta,5886603.roundup,slurm,,132112168.0,corral-repl,,,"""--adjustdirection""","""/galaxy-repl/localdata/chrom/?.len""",1,mafft --auto,"""?""",23064506,,,"""fasta""",32.0,,27851707.0,1453986755.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-01-28 13:45:36.419484,77672.0,1976.0
,,2016-01-28 15:00:12.956246,slurm_normal,1453993601.0,0,1.0,main_w2_handler0,2117069,11623562,False,,1718074,fasta,5887571.roundup,slurm,,132112168.0,corral-repl,,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",0,mafft-fftns,"""?""",23069245,,,"""fasta""",32.0,,27863761.0,1453993224.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-01-28 15:06:46.384608,55850.0,377.0
,,2016-01-28 20:30:34.747118,slurm_normal,1454013137.0,0,1.0,main_w1_handler1,2581609,11625884,False,,1327914,fasta,5889859.roundup,slurm,,132112168.0,corral-repl,,,""" ""","""/galaxy-repl/localdata/chrom/hg19.len""",0,mafft-fftns,"""hg19""",23072960,,,"""fasta""",32.0,,27252725.0,1454013077.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-01-28 20:32:20.328859,3741.0,60.0
,,2016-01-28 15:00:12.550303,slurm_normal,1453993279.0,0,1.0,main_w2_handler1,2117069,11623561,False,,47660,fasta,5887572.roundup,slurm,,132112168.0,corral-repl,,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",0,mafft-fftns,"""?""",23069244,,,"""fasta""",32.0,,27863761.0,1453993224.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-01-28 15:01:24.992092,55850.0,55.0
,,2016-01-28 16:12:12.909937,slurm_normal,1453997571.0,0,1.0,main_w1_handler1,2581263,11624047,False,,819457,fasta,5888117.roundup,slurm,,132112168.0,corral-repl,,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",0,mafft-fftns,"""?""",23070203,,,"""fasta""",32.0,,27148034.0,1453997543.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-01-28 16:12:59.896707,69131.0,28.0
,,2016-01-28 16:01:43.271724,slurm_normal,1453996993.0,0,1.0,main_w2_handler1,2581263,11624003,False,,822355,fasta,5888064.roundup,slurm,,132112168.0,corral-repl,,,"""--adjustdirection""","""/galaxy-repl/localdata/chrom/?.len""",0,mafft-fftns,"""?""",23070149,,,"""fasta""",32.0,,27148034.0,1453996919.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-01-28 16:03:18.047247,69131.0,74.0
