chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input2,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-03-21 05:22:20.511025,rodeo_normal,1426915405.0,0,1.0,main_w2_handler0,2244245,9001446,False,,5862504,vcf,5072675,vcf,3266053.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/susScr3.len""","""susScr3""",18939935,18939915,32.0,,21829278,1426915399.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcommonsamples/vcfcommonsamples/0.0.2,0.0.2,,2015-03-21 05:23:27.795290,60854.0,6.0
,,2015-03-21 05:18:03.725525,rodeo_normal,1426915100.0,0,1.0,main_w1_handler0,2244245,9001386,False,,5072675,vcf,4826083,vcf,3265879.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/susScr3.len""","""susScr3""",18939915,18939918,32.0,,21829278,1426915095.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcommonsamples/vcfcommonsamples/0.0.2,0.0.2,,2015-03-21 05:18:22.533084,60854.0,5.0
,,2015-03-21 05:22:08.910371,rodeo_normal,1426915347.0,0,1.0,main_w2_handler0,2244245,9001431,False,,4639701,vcf,5072675,vcf,3266009.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/susScr3.len""","""susScr3""",18939920,18939915,32.0,,21829278,1426915342.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcommonsamples/vcfcommonsamples/0.0.2,0.0.2,,2015-03-21 05:22:33.363780,60854.0,5.0
,,2015-03-21 05:18:03.330033,rodeo_normal,1426915103.0,0,1.0,main_w2_handler0,2244245,9001385,False,,5072675,vcf,4930700,vcf,3265881.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/susScr3.len""","""susScr3""",18939915,18939917,32.0,,21829278,1426915098.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcommonsamples/vcfcommonsamples/0.0.2,0.0.2,,2015-03-21 05:18:26.132570,60854.0,5.0
,,2015-03-21 05:22:15.555106,rodeo_normal,1426915381.0,0,1.0,main_w2_handler0,2244245,9001440,False,,5995161,vcf,5072675,vcf,3266037.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/susScr3.len""","""susScr3""",18939929,18939915,32.0,,21829278,1426915375.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcommonsamples/vcfcommonsamples/0.0.2,0.0.2,,2015-03-21 05:23:04.691321,60854.0,6.0
,,2015-03-21 05:22:23.433652,rodeo_normal,1426915426.0,0,1.0,main_w2_handler0,2244245,9001450,False,,6017645,vcf,5072675,vcf,3266065.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/susScr3.len""","""susScr3""",18939939,18939915,32.0,,21829278,1426915420.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcommonsamples/vcfcommonsamples/0.0.2,0.0.2,,2015-03-21 05:23:48.843006,60854.0,6.0
,,2015-03-21 05:22:16.061519,rodeo_normal,1426915374.0,0,1.0,main_w2_handler1,2244245,9001441,False,,5889371,vcf,5072675,vcf,3266027.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/susScr3.len""","""susScr3""",18939930,18939915,32.0,,21829278,1426915367.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcommonsamples/vcfcommonsamples/0.0.2,0.0.2,,2015-03-21 05:22:55.556470,60854.0,7.0
,,2015-03-21 05:18:11.814604,rodeo_normal,1426915151.0,0,1.0,main_w2_handler0,2244245,9001408,False,,5072675,vcf,5656117,vcf,3265923.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/susScr3.len""","""susScr3""",18939915,18939940,32.0,,21829278,1426915146.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcommonsamples/vcfcommonsamples/0.0.2,0.0.2,,2015-03-21 05:19:16.236590,60854.0,5.0
,,2015-03-21 05:22:07.362057,rodeo_normal,1426915347.0,0,1.0,main_w2_handler0,2244245,9001428,False,,4930700,vcf,5072675,vcf,3266007.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/susScr3.len""","""susScr3""",18939917,18939915,32.0,,21829278,1426915342.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcommonsamples/vcfcommonsamples/0.0.2,0.0.2,,2015-03-21 05:22:32.823162,60854.0,5.0
,,2015-03-21 05:22:13.603575,rodeo_normal,1426915365.0,0,1.0,main_w2_handler0,2244245,9001437,False,,2800361,vcf,5072675,vcf,3266021.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/susScr3.len""","""susScr3""",18939926,18939915,32.0,,21829278,1426915360.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcommonsamples/vcfcommonsamples/0.0.2,0.0.2,,2015-03-21 05:22:48.121599,60854.0,5.0
,,2015-03-21 05:22:16.570280,rodeo_normal,1426915399.0,0,1.0,main_w1_handler1,2244245,9001442,False,,5698231,vcf,5072675,vcf,3266051.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/susScr3.len""","""susScr3""",18939931,18939915,32.0,,21829278,1426915394.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcommonsamples/vcfcommonsamples/0.0.2,0.0.2,,2015-03-21 05:23:20.926689,60854.0,5.0
,,2015-03-21 05:18:06.165216,rodeo_normal,1426915123.0,0,1.0,main_w1_handler1,2244245,9001393,False,,5072675,vcf,5893225,vcf,3265897.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/susScr3.len""","""susScr3""",18939915,18939925,32.0,,21829278,1426915119.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcommonsamples/vcfcommonsamples/0.0.2,0.0.2,,2015-03-21 05:18:45.829067,60854.0,4.0
,,2015-03-21 05:22:17.343041,rodeo_normal,1426915391.0,0,1.0,main_w2_handler0,2244245,9001443,False,,5809956,vcf,5072675,vcf,3266043.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/susScr3.len""","""susScr3""",18939932,18939915,32.0,,21829278,1426915385.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcommonsamples/vcfcommonsamples/0.0.2,0.0.2,,2015-03-21 05:23:14.423517,60854.0,6.0
,,2015-03-21 05:22:14.323783,rodeo_normal,1426915375.0,0,1.0,main_w2_handler0,2244245,9001438,False,,2430904,vcf,5072675,vcf,3266029.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/susScr3.len""","""susScr3""",18939927,18939915,32.0,,21829278,1426915370.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcommonsamples/vcfcommonsamples/0.0.2,0.0.2,,2015-03-21 05:22:56.518776,60854.0,5.0
,,2015-03-21 05:18:05.114405,rodeo_normal,1426915123.0,0,1.0,main_w1_handler1,2244245,9001390,False,,5072675,vcf,5972754,vcf,3265895.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/susScr3.len""","""susScr3""",18939915,18939922,32.0,,21829278,1426915119.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcommonsamples/vcfcommonsamples/0.0.2,0.0.2,,2015-03-21 05:18:45.701333,60854.0,4.0
,,2015-03-21 05:18:02.976524,rodeo_normal,1426915100.0,0,1.0,main_w1_handler0,2244245,9001384,False,,5072675,vcf,5048362,vcf,3265877.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/susScr3.len""","""susScr3""",18939915,18939916,32.0,,21829278,1426915095.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcommonsamples/vcfcommonsamples/0.0.2,0.0.2,,2015-03-21 05:18:22.298937,60854.0,5.0
,,2015-03-21 05:22:08.415555,rodeo_normal,1426915344.0,0,1.0,main_w1_handler0,2244245,9001430,False,,4792132,vcf,5072675,vcf,3266005.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/susScr3.len""","""susScr3""",18939919,18939915,32.0,,21829278,1426915339.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcommonsamples/vcfcommonsamples/0.0.2,0.0.2,,2015-03-21 05:22:25.521965,60854.0,5.0
,,2015-03-21 05:22:12.208828,rodeo_normal,1426915357.0,0,1.0,main_w2_handler1,2244245,9001435,False,,5915117,vcf,5072675,vcf,3266013.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/susScr3.len""","""susScr3""",18939924,18939915,32.0,,21829278,1426915351.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcommonsamples/vcfcommonsamples/0.0.2,0.0.2,,2015-03-21 05:22:39.141546,60854.0,6.0
,,2015-03-21 05:18:04.044736,rodeo_normal,1426915103.0,0,1.0,main_w2_handler1,2244245,9001387,False,,5072675,vcf,4792132,vcf,3265883.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/susScr3.len""","""susScr3""",18939915,18939919,32.0,,21829278,1426915098.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcommonsamples/vcfcommonsamples/0.0.2,0.0.2,,2015-03-21 05:18:26.248034,60854.0,5.0
