create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,input3,input3_filetype,input4,input4_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.double_encode,parameters.input1,parameters.input1.values,parameters.input2,parameters.input2.values,parameters.is_run.__current_case__,parameters.is_run.input3,parameters.is_run.input3.values,parameters.is_run.input4,parameters.is_run.input4.values,parameters.is_run.paired,parameters.qual,parameters.trim_first_base,parameters.trim_name,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-05-05 08:36:50.706744,slurm_normal,1430816839.0,0.0,,1.0,main_w1_handler0,793136,9395864,False,,467874979,csfasta,1060758066,qualsolid,,,,,3727678.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/259.len""","""259""","""""",5415218,,5415203,,1,,,,,no,"""0""","""""","""-t""",32.0,,22884905.0,1430815036.0,ok,1023996.0,solid2fastq,1.0.0,,2015-05-05 09:07:23.874809,6230.0,1803.0
2015-04-15 13:54:15.300830,slurm_normal,1429108616.0,0.0,,1.0,main_w2_handler1,2264611,9236838,False,,1663597765,csfasta,4173178940,qualsolid,,,,,3518076.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-d""",19296217,,19296762,,1,,,,,no,"""0""","""-f""","""-t""",32.0,,22342973.0,1429106070.0,ok,1023996.0,solid2fastq,1.0.0,,2015-04-15 14:36:59.178385,62136.0,2546.0
2015-04-15 13:57:16.612640,slurm_normal,1429112525.0,0.0,,1.0,main_w1_handler0,2264611,9236856,False,,2302804725,csfasta,5772762457,qualsolid,,,,,3518471.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-d""",19295687,,19295704,,1,,,,,no,"""0""","""-f""","""-t""",32.0,,22342973.0,1429108435.0,ok,1023996.0,solid2fastq,1.0.0,,2015-04-15 15:42:09.145414,62136.0,4090.0
2015-04-15 13:58:10.044319,slurm_normal,1429111032.0,0.0,,1.0,main_w1_handler1,2264611,9236867,False,,1539842679,csfasta,3870459673,qualsolid,,,,,3518470.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-d""",19295608,,19295619,,1,,,,,no,"""0""","""-f""","""-t""",32.0,,22342973.0,1429108435.0,ok,1023996.0,solid2fastq,1.0.0,,2015-04-15 15:17:16.065714,62136.0,2597.0
2015-04-15 13:55:30.337719,slurm_normal,1429108426.0,0.0,,1.0,main_w2_handler1,2264611,9236844,False,,1523133696,csfasta,3863874759,qualsolid,,,,,3518082.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-d""",19295816,,19295832,,1,,,,,no,"""0""","""-f""","""-t""",32.0,,22342973.0,1429106144.0,ok,1023996.0,solid2fastq,1.0.0,,2015-04-15 14:33:49.487167,62136.0,2282.0
2015-04-15 13:56:50.667364,slurm_normal,1429109758.0,0.0,,1.0,main_w1_handler0,2264611,9236853,False,,2262753105,csfasta,5672338676,qualsolid,,,,,3518091.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-d""",19295737,,19295757,,1,,,,,no,"""0""","""-f""","""-t""",32.0,,22342973.0,1429106222.0,ok,1023996.0,solid2fastq,1.0.0,,2015-04-15 14:56:01.261857,62136.0,3536.0
2015-04-15 13:57:41.087970,slurm_normal,1429112036.0,0.0,,1.0,main_w2_handler0,2264611,9236859,False,,1359025056,csfasta,3446115884,qualsolid,,,,,3518702.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-d""",19295649,,19295664,,1,,,,,no,"""0""","""-f""","""-t""",32.0,,22342973.0,1429109830.0,ok,1023996.0,solid2fastq,1.0.0,,2015-04-15 15:34:00.701319,62136.0,2206.0
2015-04-15 13:56:14.633340,slurm_normal,1429109816.0,0.0,,1.0,main_w2_handler1,2264611,9236848,False,,2394988621,csfasta,6002940305,qualsolid,,,,,3518085.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-d""",19295791,,19295805,,1,,,,,no,"""0""","""-f""","""-t""",32.0,,22342973.0,1429106189.0,ok,1023996.0,solid2fastq,1.0.0,,2015-04-15 14:56:59.160330,62136.0,3627.0
2015-04-15 13:58:43.663088,slurm_normal,1429111456.0,0.0,,1.0,main_w2_handler1,2264611,9236871,False,,1817993335,csfasta,4557086417,qualsolid,,,,,3518472.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-d""",19294228,,19295559,,1,,,,,no,"""0""","""-f""","""-t""",32.0,,22342973.0,1429108438.0,ok,1023996.0,solid2fastq,1.0.0,,2015-04-15 15:24:20.126053,62136.0,3018.0
2015-04-21 12:51:07.373998,slurm_normal,1429621047.0,0.0,,1.0,main_w1_handler0,2264611,9288505,False,,225358440,csfasta,450577862,qualsolid,,,,,3598229.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-d""",19399895,,19399898,,1,,,,,no,"""0""","""-f""","""-t""",32.0,,22342973.0,1429620680.0,ok,1023996.0,solid2fastq,1.0.0,,2015-04-21 12:57:33.165079,62136.0,367.0
2015-04-21 09:44:51.324247,slurm_normal,1429610363.0,0.0,,1.0,main_w2_handler1,2264611,9287436,False,,472501824,csfasta,1191662486,qualsolid,,,,,3596139.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-d""",19398587,,19398387,,1,,,,,no,"""0""","""-f""","""-t""",32.0,,22342973.0,1429609505.0,ok,1023996.0,solid2fastq,1.0.0,,2015-04-21 09:59:29.906778,62136.0,858.0
2015-04-21 09:45:56.708629,slurm_normal,1429611832.0,0.0,,1.0,main_w1_handler0,2264611,9287447,False,,1436467689,csfasta,3234301063,qualsolid,,,,,3596161.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-d""",19398586,,19398550,,1,,,,,no,"""0""","""-f""","""-t""",32.0,,22342973.0,1429609575.0,ok,1023996.0,solid2fastq,1.0.0,,2015-04-21 10:23:56.210196,62136.0,2257.0
2015-05-12 11:36:22.485692,slurm_normal,1431430610.0,0.0,,1.0,main_w2_handler0,2272195,9452531,False,,574,csfasta,844,qualsolid,,,,,3777852.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""""",19675238,,19675236,,1,,,,,no,"""0""","""""","""-t""",32.0,,23029283.0,1431430606.0,ok,1023996.0,solid2fastq,1.0.0,,2015-05-12 11:36:53.903150,37605.0,4.0
