chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-02-03 08:34:09.035020,slurm_normal,1454488481.0,0,1.0,main_w2_handler0,2585771,11691160,False,,5948947.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",32.0,,27545510.0,1454488468.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff_databases/4.0.0,4.0.0,,2016-02-03 08:34:44.774218,43474.0,13.0
,,2015-12-28 07:22:34.617430,slurm_normal,1451287428.0,0,1.0,main_w1_handler0,2548095,11340684,False,,5616377.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",32.0,,26839316.0,1451287400.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff_databases/4.0.0,4.0.0,,2015-12-28 07:23:49.470332,,28.0
,,2016-01-02 16:25:58.821533,slurm_normal,1451752014.0,0,1.0,main_w1_handler1,2439591,11361050,False,,5634111.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",32.0,,27091621.0,1451751991.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff_databases/4.0.0,4.0.0,,2016-01-02 16:26:57.691530,62158.0,23.0
,,2016-01-03 15:50:30.128309,slurm_normal,1451836287.0,0,1.0,main_w2_handler1,2553716,11365427,False,,5637779.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",32.0,,27149030.0,1451836261.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff_databases/4.0.0,4.0.0,,2016-01-03 15:51:30.276858,,26.0
,,2016-01-04 15:24:58.604982,slurm_normal,1451921158.0,0,1.0,main_w2_handler0,2516081,11371811,False,,5644341.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",32.0,,26956492.0,1451921133.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff_databases/4.0.0,4.0.0,,2016-01-04 15:26:01.493758,30192.0,25.0
,,2016-01-04 20:35:42.002338,slurm_normal,1451939812.0,0,1.0,main_w2_handler1,2551729,11373721,False,,5646178.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",32.0,,27053143.0,1451939774.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff_databases/4.0.0,4.0.0,,2016-01-04 20:36:55.328551,52987.0,38.0
,,2016-01-05 13:58:18.637573,slurm_normal,1452002357.0,0,1.0,main_w1_handler2,2555738,11380308,False,,5650432.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",32.0,,27202089.0,1452002328.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff_databases/4.0.0,4.0.0,,2016-01-05 13:59:22.318649,,29.0
,,2016-01-06 04:43:16.550478,slurm_normal,1452055454.0,0,1.0,main_w1_handler1,2531717,11389252,False,,5660344.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",32.0,,26645267.0,1452055425.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff_databases/4.0.0,4.0.0,,2016-01-06 04:44:17.152444,,29.0
,,2016-01-07 13:55:51.551250,slurm_normal,1452174993.0,0,1.0,main_w1_handler2,2533289,11406015,False,,5672361.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",32.0,,26695925.0,1452174974.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff_databases/4.0.0,4.0.0,,2016-01-07 13:56:35.762269,,19.0
,,2016-01-04 23:06:08.986284,slurm_normal,1451948838.0,0,1.0,main_w1_handler1,2551232,11374779,False,,5647185.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",32.0,,27058912.0,1451948803.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff_databases/4.0.0,4.0.0,,2016-01-04 23:07:21.954507,,35.0
