create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,infile,infile_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.infile.values,parameters.max_hets,parameters.max_unknowns,parameters.min_gt_depth,parameters.min_size,parameters.min_snps,parameters.min_total_depth,parameters.samples,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-05-23 00:24:34.460503,slurm_normal,1495499346.0,0,1.0,main_w3_handler1,3121386,15911096,False,4586409984,gemini.sqlite,,10009116.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 29715235}]","""1""","""3""","""0""","""100000""","""25""","""20""","""""",32.0,,38127120.0,1495499086.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_roh/gemini_roh/0.18.1.0,0.18.1.0,,2017-05-23 00:29:07.700325,42102.0,260.0
2017-05-23 07:10:48.468545,slurm_normal,1495538602.0,0,1.0,main_w4_handler1,3123121,15913953,False,2528231424,gemini.sqlite,,10013951.roundup,slurm,,132112168.0,corral-repl,,"""e9fbb4d43f8611e7809a005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 29728120}]","""1""","""3""","""0""","""100000""","""25""","""20""","""""",32.0,,,1495538598.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_roh/gemini_roh/0.18.1.0,0.18.1.0,,2017-05-23 11:23:24.195635,42102.0,4.0
2017-05-23 07:04:36.199056,slurm_normal,1495538212.0,0,1.0,main_w4_handler1,3121386,15913895,False,2528231424,gemini.sqlite,,10013882.roundup,slurm,,132112168.0,corral-repl,,"""0e7e135c3f8611e7816e005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 29728062}]","""1""","""3""","""0""","""100000""","""25""","""20""","""""",32.0,,,1495538208.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_roh/gemini_roh/0.18.1.0,0.18.1.0,,2017-05-23 11:16:57.433244,42102.0,4.0
2017-06-18 07:56:03.338493,slurm_normal,1497772622.0,0,1.0,main_w3_handler0,3160845,16124914,False,2548345856,gemini.sqlite,,10205887.roundup,slurm,,132112168.0,corral-repl,,"""918c355653fb11e7a3f4005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 30066711}]","""1""","""3""","""0""","""100000""","""25""","""20""","""""",32.0,,,1497772618.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_roh/gemini_roh/0.18.1.0,0.18.1.0,,2017-06-18 07:57:03.996209,42102.0,4.0
2017-06-18 07:53:43.655965,slurm_normal,1497772493.0,0,1.0,main_w4_handler0,3160844,16124900,False,2512643072,gemini.sqlite,,10205882.roundup,slurm,,132112168.0,corral-repl,,"""37d832c653fb11e79ca9005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 30061302}]","""1""","""3""","""0""","""100000""","""25""","""20""","""""",32.0,,,1497772488.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_roh/gemini_roh/0.18.1.0,0.18.1.0,,2017-06-18 07:54:55.324566,42102.0,5.0
2017-06-18 08:01:02.855871,slurm_normal,1497772953.0,0,1.0,main_w3_handler1,3160847,16124939,False,2700510208,gemini.sqlite,,10205904.roundup,slurm,,132112168.0,corral-repl,,"""4443a79c53fc11e7b4ca005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 30067881}]","""1""","""3""","""0""","""100000""","""25""","""20""","""""",32.0,,,1497772950.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_roh/gemini_roh/0.18.1.0,0.18.1.0,,2017-06-18 08:02:35.238262,42102.0,3.0
2017-06-20 06:43:28.765299,slurm_normal,1497941043.0,0,1.0,main_w3_handler1,3164372,16139705,False,2700510208,gemini.sqlite,,10219425.roundup,slurm,,132112168.0,corral-repl,,"""b922f1ac558311e78f08005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 30067881}]","""1""","""3""","""0""","""100000""","""25""","""20""","""""",32.0,,,1497941038.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_roh/gemini_roh/0.18.1.0,0.18.1.0,,2017-06-20 06:44:15.218050,42102.0,5.0
2017-08-01 03:21:54.090377,slurm_normal,1501557738.0,0,1.0,main_w3_handler0,3208468,16474546,False,2527497216,gemini.sqlite,,10542909.roundup,slurm,,132112168.0,corral-repl,,"""8fdb7db8766811e79318005056ba55fb""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 30068654}]","""1""","""3""","""0""","""100000""","""25""","""20""","""""",32.0,,,1501557734.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_roh/gemini_roh/0.18.1.0,0.18.1.0,,2017-08-01 03:22:20.964686,42102.0,4.0
2017-12-19 11:00:07.347503,slurm_normal,1513681246.0,0,1.0,main_w4_handler1,1366712,17846841,False,811750400,gemini.sqlite,,11921136,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 32991624}]","""1""","""3""","""20""","""100000""","""25""","""20""","""""",32.0,,41974551.0,1513681218.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_roh/gemini_roh/0.18.1.0,0.18.1.0,,2017-12-19 11:00:48.842143,32709.0,28.0
2017-10-12 04:37:58.033535,slurm_normal,1507783090.0,0,1.0,main_w3_handler0,3282544,17083958,False,271224832,gemini.sqlite,,11139935.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 31658586}]","""1""","""3""","""0""","""100000""","""25""","""20""","""""",32.0,,41207958.0,1507783082.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_roh/gemini_roh/0.18.1.0,0.18.1.0,,2017-10-12 04:38:11.536064,54965.0,8.0
2017-11-07 00:56:51.119001,slurm_normal,1510016261.0,0,1.0,main_w4_handler0,1366712,17352524,False,1162870784,gemini.sqlite,,11415887,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 32088635}]","""1""","""3""","""0""","""100000""","""25""","""20""","""""",32.0,,41684077.0,1510016238.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_roh/gemini_roh/0.18.1.0,0.18.1.0,,2017-11-07 00:57:43.880350,32709.0,23.0
2018-01-26 17:48:20.694448,slurm_normal,1516988966.0,0,1.0,main_w3_handler1,1366712,18168528,False,652290048,gemini.sqlite,,12250101,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 33515095}]","""1""","""3""","""0""","""100000""","""25""","""20""","""""",32.0,,43195272.0,1516988915.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_roh/gemini_roh/0.18.1.0,0.18.1.0,,2018-01-26 17:49:27.865102,32709.0,51.0
