chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,fastq1,fastq1_filetype,fastq2,fastq2_filetype,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.fastq1,parameters.fastq1.values,parameters.fastq1|__identifier__,parameters.fastq2,parameters.fastq2.values,parameters.fastq2|__identifier__,parameters.invariant,parameters.taglen,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-06-20 18:16:03.675683,slurm_normal,1466446581.0,0,1926627,fastq,2087198,fastq,1.0,main_w2_handler0,2743471,13213591,False,,7398160.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5dcb9ac6558d90d6a'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ee223afdfd281781'}]",,"""20""","""22""",32.0,,30952259.0,1466446577.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/make_families/0.3,0.3,,2016-06-20 18:16:24.187032,86313.0,4.0
,,2016-06-20 18:16:01.437237,slurm_normal,1466446581.0,0,1715453,fastq,2093471,fastq,1.0,main_w2_handler0,2743471,13213587,False,,7398158.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58dc0d51d3ebb8454'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52bbdc7f7c466a0d3'}]",,"""20""","""22""",32.0,,30952259.0,1466446577.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/make_families/0.3,0.3,,2016-06-20 18:16:24.020207,86313.0,4.0
,,2016-06-20 18:16:06.374714,slurm_normal,1466446600.0,0,2256914,fastq,1432325,fastq,1.0,main_w2_handler0,2743471,13213600,False,,7398172.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56eae85a59ce382db'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56858ce64908c8909'}]",,"""20""","""22""",32.0,,30952259.0,1466446597.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/make_families/0.3,0.3,,2016-06-20 18:16:42.430651,86313.0,3.0
,,2016-06-20 18:16:02.534725,slurm_normal,1466446581.0,0,1822749,fastq,1394846,fastq,1.0,main_w1_handler1,2743471,13213589,False,,7398156.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5810956f4e7f4bac6'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b575fef3339f7ef218'}]",,"""20""","""22""",32.0,,30952259.0,1466446577.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/make_families/0.3,0.3,,2016-06-20 18:16:24.238548,86313.0,4.0
,,2016-06-20 18:16:04.244719,slurm_normal,1466446599.0,0,1632102,fastq,2115618,fastq,1.0,main_w1_handler1,2743471,13213593,False,,7398170.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5760d6180a57c0ef1'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d982d076ff781710'}]",,"""20""","""22""",32.0,,30952259.0,1466446596.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/make_families/0.3,0.3,,2016-06-20 18:16:41.570599,86313.0,3.0
,,2016-06-20 18:16:07.091744,slurm_normal,1466446595.0,0,1892004,fastq,2148458,fastq,1.0,main_w1_handler0,2743471,13213602,False,,7398161.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55c5c74c54047f4f7'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55f8b340e999c406c'}]",,"""20""","""22""",32.0,,30952259.0,1466446590.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/make_families/0.3,0.3,,2016-06-20 18:16:36.986196,86313.0,5.0
,,2016-06-20 18:16:07.865167,slurm_normal,1466446593.0,0,1798306,fastq,995400,fastq,1.0,main_w1_handler0,2743471,13213604,False,,7398164.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d612c5f26e87ccb9'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56956ddaf7f70e985'}]",,"""20""","""22""",32.0,,30952259.0,1466446590.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/make_families/0.3,0.3,,2016-06-20 18:16:34.778031,86313.0,3.0
,,2016-06-20 18:16:10.427006,slurm_normal,1466446599.0,0,1384115,fastq,1285320,fastq,1.0,main_w1_handler0,2743471,13213610,False,,7398171.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5966d81f066c2a23a'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55469062316026c17'}]",,"""20""","""22""",32.0,,30952259.0,1466446596.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/make_families/0.3,0.3,,2016-06-20 18:16:41.558150,86313.0,3.0
,,2016-06-20 18:16:11.264374,slurm_normal,1466446613.0,0,2174116,fastq,1309732,fastq,1.0,main_w1_handler0,2743471,13213613,False,,7398179.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5908905ff1d8825da'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5728bd176fa2a9398'}]",,"""20""","""22""",32.0,,30952259.0,1466446611.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/make_families/0.3,0.3,,2016-06-20 18:16:55.327262,86313.0,2.0
,,2016-06-20 18:16:05.078701,slurm_normal,1466446616.0,0,1679183,fastq,1262154,fastq,1.0,main_w1_handler1,2743471,13213596,False,,7398180.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b557df7336123b5529'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b541322a04f77cfe37'}]",,"""20""","""22""",32.0,,30952259.0,1466446613.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/make_families/0.3,0.3,,2016-06-20 18:16:59.706609,86313.0,3.0
