create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.coil,parameters.dbkey,parameters.frame,parameters.input1,parameters.input1.values,parameters.other,parameters.window,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-02-06 04:33:40.356759,slurm_normal,1454733264.0,0.0,,1.0,main_w2_handler0,2590616,11727392,False,,276473,fasta,5984068.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""yes""","""?""","""yes""",23210627,,"""yes""","""28""",32.0,,28140119,1454733238.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepcoil68/5.0.0,5.0.0,,2016-02-06 04:34:28.580645,45857.0,26.0
2016-02-06 04:33:42.836390,slurm_normal,1454733445.0,0.0,,1.0,main_w1_handler2,2590616,11727396,False,,757478,fasta,5984079.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""yes""","""?""","""yes""",23210738,,"""yes""","""28""",32.0,,28140119,1454733379.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepcoil68/5.0.0,5.0.0,,2016-02-06 04:37:28.738430,45857.0,66.0
2016-02-06 04:33:39.674344,slurm_normal,1454733298.0,0.0,,1.0,main_w2_handler0,2590616,11727391,False,,604755,fasta,5984070.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""yes""","""?""","""yes""",23210606,,"""yes""","""28""",32.0,,28140119,1454733239.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepcoil68/5.0.0,5.0.0,,2016-02-06 04:35:01.648961,45857.0,59.0
2016-02-06 04:33:43.249826,slurm_normal,1454733448.0,0.0,,1.0,main_w1_handler2,2590616,11727397,False,,682541,fasta,5984080.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""yes""","""?""","""yes""",23210749,,"""yes""","""28""",32.0,,28140119,1454733391.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepcoil68/5.0.0,5.0.0,,2016-02-06 04:37:33.514334,45857.0,57.0
2016-02-08 06:53:24.446323,slurm_normal,1454914478.0,0.0,,1.0,main_w2_handler1,2590616,11741246,False,,604755,fasta,5997778.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""yes""","""?""","""yes""",23210606,,"""no""","""28""",32.0,,28140119,1454914423.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepcoil68/5.0.0,5.0.0,,2016-02-08 06:54:41.432589,45857.0,55.0
2016-09-23 12:58:11.377604,slurm_normal,1474636477.0,0.0,,1.0,main_w3_handler0,2822287,13925141,False,,505,fasta,8147652.roundup,slurm,,132112168.0,corral-repl,,"""5d8c2c52818d11e6a8b7005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""yes""","""?""","""yes""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55f422f8e0b7bd98a'}]","""yes""","""28""",32.0,,33121682,1474636470.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepcoil68/5.0.0,5.0.0,,2016-09-23 13:14:40.110998,90331.0,7.0
2016-07-30 17:13:16.622927,slurm_normal,1469898822.0,0.0,,1.0,main_w1_handler0,2780126,13531214,False,,78535,fasta,7745919.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""yes""","""?""","""yes""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58cfd71c5a77efe9f'}]","""yes""","""28""",32.0,,31844759,1469898811.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepcoil68/5.0.0,5.0.0,,2016-07-30 17:13:43.752387,,11.0
2016-07-30 17:12:47.937185,slurm_normal,1469898793.0,0.0,,1.0,main_w2_handler0,2780126,13531213,False,,78535,fasta,7745918.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""yes""","""?""","""yes""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58cfd71c5a77efe9f'}]","""yes""","""28""",32.0,,31844759,1469898782.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepcoil68/5.0.0,5.0.0,,2016-07-30 17:13:14.854720,,11.0
2016-07-30 17:29:45.474699,slurm_normal,1469899823.0,0.0,,1.0,main_w2_handler1,2780126,13531247,False,,34418,fasta,7746017.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""yes""","""?""","""no""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b577c528d42f46395e'}]","""no""","""28""",32.0,,31844759,1469899795.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepcoil68/5.0.0,5.0.0,,2016-07-30 17:30:24.913013,,28.0
2016-07-30 17:30:03.171519,slurm_normal,1469899834.0,0.0,,1.0,main_w2_handler0,2780126,13531248,False,,34418,fasta,7746020.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""yes""","""?""","""no""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b577c528d42f46395e'}]","""no""","""28""",32.0,,31844759,1469899828.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepcoil68/5.0.0,5.0.0,,2016-07-30 17:30:35.686069,,6.0
2017-03-23 15:36:59.736321,slurm_normal,1490283433.0,0.0,,1.0,main_w4_handler0,3042864,15376930,False,,353,fasta,9514896.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""yes""","""?""","""yes""",,"[{'src': 'hda', 'id': 28895238}]","""yes""","""28""",32.0,,36812531,1490283427.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepcoil68/5.0.0,5.0.0,,2017-03-23 15:37:17.114648,,6.0
2014-12-09 12:59:24.711013,rodeo_normal,1418129971.0,0.0,,1.0,main_w1_handler1,2142661,8379700,False,,444,fasta,2273162.roundup,slurm,,132112068.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""yes""","""hg38""","""yes""",17877619,,"""yes""","""28""",32.0,,19785640,1418129969.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepcoil68/5.0.0,5.0.0,,2014-12-09 12:59:32.324109,10514.0,2.0
2017-10-06 19:43:37.805483,slurm_normal,1507319042.0,0.0,,1.0,main_w3_handler0,3263715,17043208,False,,1811,fasta,11100495.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""yes""","""?""","""yes""",,"[{'src': 'hda', 'id': 31589498}]","""yes""","""28""",32.0,,40773040,1507319038.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepcoil68/5.0.0,5.0.0,,2017-10-06 19:44:11.874712,112143.0,4.0
2017-09-03 20:39:52.135302,slurm_normal,1504471818.0,0.0,,1.0,main_w3_handler0,2853320,16725824,False,,1567364,fasta,10794887.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""yes""","""?""","""yes""",,"[{'src': 'hda', 'id': 31093544}]","""yes""","""28""",32.0,,39980098,1504471203.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepcoil68/5.0.0,5.0.0,,2017-09-03 20:50:19.681619,92141.0,615.0
2017-09-12 19:02:52.971921,slurm_normal,1505243010.0,0.0,,1.0,main_w3_handler1,3250520,16798265,False,,1603,fasta,10867018.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""yes""","""?""","""yes""",,"[{'src': 'hda', 'id': 31199650}]","""yes""","""28""",32.0,,40432472,1505243005.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepcoil68/5.0.0,5.0.0,,2017-09-12 19:03:56.166885,107681.0,5.0
2017-09-28 22:08:22.962141,slurm_normal,1506636544.0,0.0,,1.0,main_w3_handler1,1061926,16967920,False,,552,fasta,11035547.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""yes""","""?""","""yes""",,"[{'src': 'hda', 'id': 31473427}]","""yes""","""28""",32.0,,40945839,1506636540.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepcoil68/5.0.0,5.0.0,,2017-09-28 22:09:18.897039,24623.0,4.0
2018-03-04 01:44:13.374728,slurm_normal,1520127864.0,0.0,7680.0,1.0,main_w3_handler0,3249462,18596559,False,,281,fasta,12691135,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""yes""","""?""","""yes""",,"[{'src': 'hda', 'id': 34193086}]","""yes""","""28""",32.0,,44131639,1520127860.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepcoil68/5.0.0,5.0.0,,2018-03-04 01:44:25.252293,110063.0,4.0
2017-10-25 08:24:16.753872,slurm_normal,1508919881.0,0.0,,1.0,main_w4_handler1,3297989,17208026,False,,17883,fasta,11268092,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/arabidopsis.len""","""yes""","""arabidopsis""","""yes""",,"[{'src': 'hda', 'id': 31870610}]","""yes""","""28""",32.0,,41487665,1508919875.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepcoil68/5.0.0,5.0.0,,2017-10-25 08:24:47.242646,114356.0,6.0
