chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.allow_different_units,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.mono_threshold,parameters.non_mono_threshold,parameters.separation,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2014-11-21 17:05:14.376506,rodeo_normal,1416589529.0,0,1.0,main_w2_handler0,2111526,8221840,False,,849,fasta,286465.rodeo,slurm,,8059880.0,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""?""",17464725,,"""3""","""4""","""5""",1.0,,17980116,1416589526.0,ok,835576.0,toolshed.g2.bx.psu.edu/repos/devteam/microsats_alignment_level/microsats_align1/1.0.0,1.0.0,,2014-11-21 17:05:40.876301,54213.0,3.0
,,2014-11-25 18:17:27.032731,rodeo_normal,1416939477.0,0,1.0,main_w1_handler1,2111526,8250400,False,,26150,fasta,2115987.roundup,slurm,,132112264.0,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""?""",17680200,,"""2""","""4""","""1""",32.0,,17980116,1416939471.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/microsats_alignment_level/microsats_align1/1.0.0,1.0.0,,2014-11-25 18:18:01.392669,54213.0,6.0
,,2014-11-25 18:01:19.294554,rodeo_normal,1416938494.0,0,1.0,main_w2_handler0,2111526,8250207,False,,4667,fasta,2115813.roundup,slurm,,132112068.0,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""?""",17464723,,"""4""","""4""","""5""",32.0,,17980116,1416938489.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/microsats_alignment_level/microsats_align1/1.0.0,1.0.0,,2014-11-25 18:01:36.236947,54213.0,5.0
,,2014-11-25 18:04:06.663063,rodeo_normal,1416938684.0,0,1.0,main_w1_handler0,2111526,8250318,False,,7807,fasta,326571.rodeo,slurm,,16332532.0,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""?""",17680120,,"""4""","""4""","""1""",2.0,,17980116,1416938679.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/microsats_alignment_level/microsats_align1/1.0.0,1.0.0,,2014-11-25 18:04:49.656059,54213.0,5.0
,,2014-11-25 18:16:08.584281,rodeo_normal,1416939391.0,0,1.0,main_w2_handler0,2111526,8250388,False,,26150,fasta,2115958.roundup,slurm,,132112068.0,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""?""",17680200,,"""9""","""4""","""10""",32.0,,17980116,1416939380.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/microsats_alignment_level/microsats_align1/1.0.0,1.0.0,,2014-11-25 18:16:33.995547,54213.0,11.0
,,2014-11-25 18:46:36.687505,rodeo_normal,1416941237.0,0,1.0,main_w1_handler0,2111526,8250538,False,,216168,fasta,2116321.roundup,slurm,,132112264.0,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",17680460,,"""9""","""4""","""10""",32.0,,17980116,1416941212.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/microsats_alignment_level/microsats_align1/1.0.0,1.0.0,,2014-11-25 18:47:20.581926,54213.0,25.0
,,2014-11-25 20:05:06.935337,rodeo_normal,1416946056.0,0,1.0,main_w2_handler0,2107009,8251646,False,,2047804,fasta,328294.rodeo,slurm,,8059880.0,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",17681837,,"""9""","""4""","""10""",1.0,,17980116,1416945922.0,ok,835576.0,toolshed.g2.bx.psu.edu/repos/devteam/microsats_alignment_level/microsats_align1/1.0.0,1.0.0,,2014-11-25 20:07:40.019189,54213.0,134.0
,,2014-11-28 18:40:39.468755,rodeo_normal,1417200149.0,0,1.0,main_w1_handler1,2107009,8264586,False,,2047804,fasta,345702.rodeo,slurm,,16332532.0,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",17681837,,"""4""","""4""","""2""",2.0,,17980116,1417200053.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/microsats_alignment_level/microsats_align1/1.0.0,1.0.0,,2014-11-28 18:42:31.604254,54213.0,96.0
,,2014-11-29 14:26:47.779570,rodeo_normal,1417355117.0,0,1.0,main_w2_handler0,2111526,8268527,False,,565272147,fasta,351765.rodeo,slurm,,16332532.0,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",17464713,,"""9""","""4""","""10""",2.0,,17980116,1417271217.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/microsats_alignment_level/microsats_align1/1.0.0,1.0.0,,2014-11-30 13:45:21.174424,54213.0,83900.0
,,2014-11-29 14:27:13.283695,rodeo_normal,1417273478.0,0,1.0,main_w1_handler0,2107009,8268528,False,,36389463,fasta,351767.rodeo,slurm,,16332532.0,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",17708715,,"""9""","""4""","""10""",2.0,,17980116,1417271240.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/microsats_alignment_level/microsats_align1/1.0.0,1.0.0,,2014-11-29 15:04:40.324540,54213.0,2238.0
,,2014-12-04 19:05:20.830989,rodeo_normal,1417730970.0,0,1.0,main_w1_handler1,2138416,8320443,False,,36389463,fasta,422724.rodeo,slurm,,8059880.0,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",17787491,,"""9""","""4""","""10""",1.0,,19903410,1417728220.0,ok,835576.0,toolshed.g2.bx.psu.edu/repos/devteam/microsats_alignment_level/microsats_align1/1.0.0,1.0.0,,2014-12-04 22:09:35.878667,21457.0,2750.0
,,2014-12-05 21:36:06.399911,rodeo_normal,1417815383.0,0,1.0,main_w2_handler0,2111526,8338933,False,,414190,fasta,447160.rodeo,slurm,,8059880.0,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",17820209,,"""9""","""4""","""10""",1.0,,17980116,1417815376.0,ok,835576.0,toolshed.g2.bx.psu.edu/repos/devteam/microsats_alignment_level/microsats_align1/1.0.0,1.0.0,,2014-12-05 21:36:25.676766,54213.0,7.0
,,2014-12-05 21:46:48.468558,rodeo_normal,1417826220.0,0,1.0,main_w1_handler0,2139731,8338972,False,,848378314,txt,447236.rodeo,slurm,,16332532.0,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""?""",17819600,,"""9""","""4""","""10""",2.0,,19916612,1417816014.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/microsats_alignment_level/microsats_align1/1.0.0,1.0.0,,2014-12-06 00:37:04.969161,56973.0,10206.0
,,2014-12-12 21:03:49.999066,rodeo_normal,1418418258.0,0,1.0,main_w1_handler1,2147571,8408097,False,,906923,fasta,549351.rodeo,slurm,,16332532.0,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""?""",17925429,,"""12""","""5""","""10""",2.0,,20037125,1418418233.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/microsats_alignment_level/microsats_align1/1.0.0,1.0.0,,2014-12-12 21:04:22.656479,,25.0
,,2014-12-12 21:07:52.603308,rodeo_normal,1418418498.0,0,1.0,main_w2_handler1,2147571,8408110,False,,906923,fasta,2306932.roundup,slurm,,132112264.0,corral-repl,,"""1""","""/galaxy-repl/localdata/chrom/?.len""","""?""",17925429,,"""12""","""5""","""10""",32.0,,20037125,1418418481.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/microsats_alignment_level/microsats_align1/1.0.0,1.0.0,,2014-12-12 21:08:20.074785,,17.0
,,2014-12-19 20:02:59.335554,rodeo_normal,1419019401.0,0,1.0,main_w2_handler0,2154306,8446640,False,,82160,fasta,2350772.roundup,slurm,,132112264.0,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""?""",18033453,,"""9""","""4""","""10""",32.0,,20142290,1419019399.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/microsats_alignment_level/microsats_align1/1.0.0,1.0.0,,2014-12-19 20:03:26.079336,,2.0
,,2014-12-22 13:25:54.543132,rodeo_normal,1419254772.0,0,1.0,main_w1_handler1,2156290,8455745,False,,2167,fasta,2361885.roundup,slurm,,132112264.0,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",18047168,,"""9""","""4""","""10""",32.0,,20196348,1419254769.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/microsats_alignment_level/microsats_align1/1.0.0,1.0.0,,2014-12-22 13:26:14.527230,57382.0,3.0
,,2015-02-15 11:50:41.898349,rodeo_normal,1424001060.0,0,1.0,main_w2_handler0,2206967,8729172,False,,190066,fasta,2765375.roundup,slurm,,132112168.0,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""?""",18517303,,"""9""","""4""","""10""",32.0,,21266491,1424001057.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/microsats_alignment_level/microsats_align1/1.0.0,1.0.0,,2015-02-15 11:51:03.041657,,3.0
,,2017-12-18 18:50:45.701818,slurm_normal,1513623061.0,0,1.0,main_w3_handler1,3310448,17840661,False,,7798,fasta,11914969,slurm,,132112168.0,corral-repl,,"""0""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 32968046}]","""9""","""4""","""10""",32.0,,42705416,1513623056.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/microsats_alignment_level/microsats_align1/1.0.0,1.0.0,,2017-12-18 18:51:02.525084,115214.0,5.0
