chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input1,input10,input10_filetype,input11,input11_filetype,input12,input12_filetype,input13,input13_filetype,input14,input14_filetype,input15,input15_filetype,input16,input16_filetype,input17,input17_filetype,input18,input18_filetype,input19,input19_filetype,input1_filetype,input2,input20,input20_filetype,input21,input21_filetype,input22,input22_filetype,input23,input23_filetype,input24,input24_filetype,input25,input25_filetype,input26,input26_filetype,input27,input27_filetype,input28,input28_filetype,input29,input29_filetype,input2_filetype,input3,input30,input30_filetype,input31,input31_filetype,input32,input32_filetype,input33,input33_filetype,input34,input34_filetype,input3_filetype,input4,input4_filetype,input5,input5_filetype,input6,input6_filetype,input7,input7_filetype,input8,input8_filetype,input9,input9_filetype,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.combine_inputs,parameters.dbkey,parameters.root_name,parameters.type_of_data.__current_case__,parameters.type_of_data.input.values,parameters.type_of_data.max_rank,parameters.type_of_data.type_of_data_selector,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-05-16 00:32:09.168980,slurm_normal,1494894752.0,0,,1.0,main_w4_handler0,2859900,15843766,False,,41487596,41487596,,,,,,,,,,,,,,,,,,,,,taxonomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,taxonomy,9944646.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""false""","""?""","""Root""",0,"[{'src': 'hda', 'id': 29610990}]",8,taxonomy,32.0,,37701459.0,1494894734.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/crs4/taxonomy_krona_chart/taxonomy_krona_chart/2.6.1,2.6.1,,2017-05-16 00:32:38.015866,92488.0,18.0
,,2017-05-16 04:22:46.984431,slurm_normal,1494908586.0,0,,1.0,main_w3_handler0,2859900,15847799,False,,41487596,41487596,,,,,,,,,,,,,,,,,,,,,taxonomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,taxonomy,9948487.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""false""","""?""","""Root""",0,"[{'src': 'hda', 'id': 29616001}]",8,taxonomy,32.0,,37701459.0,1494908570.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/crs4/taxonomy_krona_chart/taxonomy_krona_chart/2.6.1,2.6.1,,2017-05-16 04:23:12.478084,92488.0,16.0
,,2017-05-16 04:19:44.199242,slurm_normal,1494908400.0,0,,1.0,main_w3_handler0,2859900,15847793,False,,28026382,28026382,,,,,,,,,,,,,,,,,,,,,taxonomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,taxonomy,9948482.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""false""","""?""","""Root""",0,"[{'src': 'hda', 'id': 29615978}]",8,taxonomy,32.0,,37701459.0,1494908387.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/crs4/taxonomy_krona_chart/taxonomy_krona_chart/2.6.1,2.6.1,,2017-05-16 04:20:06.360025,92488.0,13.0
,,2017-05-16 04:35:40.031975,slurm_normal,1494909357.0,0,,1.0,main_w4_handler0,2859900,15847872,False,,30499269,30499269,,,,,,,,,,,,,,,,,,,,,taxonomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,taxonomy,9948558.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""false""","""?""","""Root""",0,"[{'src': 'hda', 'id': 29616115}]",8,taxonomy,32.0,,37701459.0,1494909343.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/crs4/taxonomy_krona_chart/taxonomy_krona_chart/2.6.1,2.6.1,,2017-05-16 04:36:04.523285,92488.0,14.0
,,2017-05-16 10:35:04.058406,slurm_normal,1494930912.0,0,,1.0,main_w4_handler1,3107157,15851264,False,,29938,29938,,,,,,,,,,,,,,,,,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tabular,9951800.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""false""","""?""","""Root""",1,"[{'src': 'hda', 'id': 29620985}]",,text,32.0,,37949452.0,1494930906.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/crs4/taxonomy_krona_chart/taxonomy_krona_chart/2.6.1,2.6.1,,2017-05-16 10:35:14.211928,105744.0,6.0
,,2017-06-14 14:28:29.105599,slurm_normal,1497451729.0,0,,1.0,main_w3_handler1,3154165,16100100,False,,1750825,1750825,,,,,,,,,,,,,,,,,,,,,taxonomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,taxonomy,10184697.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""false""","""?""","""Root""",0,"[{'src': 'hda', 'id': 30027568}]",20,taxonomy,32.0,,36984407.0,1497451710.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/crs4/taxonomy_krona_chart/taxonomy_krona_chart/2.6.1,2.6.1,,2017-06-14 15:19:01.554653,101427.0,19.0
,,2017-05-16 18:31:16.315274,slurm_normal,1494959504.0,0,,1.0,main_w3_handler0,2859900,15857437,False,,43882113,43882113,,,,,,,,,,,,,,,,,,,,,taxonomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,taxonomy,9957746.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""false""","""?""","""Root""",0,"[{'src': 'hda', 'id': 29631301}]",8,taxonomy,32.0,,37701459.0,1494959482.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/crs4/taxonomy_krona_chart/taxonomy_krona_chart/2.6.1,2.6.1,,2017-05-16 18:32:00.799505,92488.0,22.0
,,2017-07-14 15:30:48.970636,slurm_normal,1500046349.0,0,,1.0,main_w4_handler0,3192472,16346159,False,,41222140,41222140,,,,,,,,,,,,,,,,,,,,,taxonomy,96596092.0,,,,,,,,,,,,,,,,,,,,,taxonomy,89469372.0,,,,,,,,,,,taxonomy,2721015.0,taxonomy,3509311.0,taxonomy,336314.0,taxonomy,,,,,,,taxonomy,10411674.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""false""","""?""","""Root""",0,"[{'src': 'hdca', 'id': 62589}]",8,taxonomy,32.0,,39250144.0,1500046263.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/crs4/taxonomy_krona_chart/taxonomy_krona_chart/2.6.1,2.6.1,,2017-07-14 15:32:41.457574,108852.0,86.0
,,2017-05-17 11:14:41.558540,slurm_normal,1495019704.0,0,,1.0,main_w4_handler0,2632630,15866415,False,,509443,509443,,,,,,,,,,,,,,,,,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tabular,9966656.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""false""","""?""","""Root""",1,"[{'src': 'hda', 'id': 29644785}]",,text,32.0,,38023817.0,1495019700.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/crs4/taxonomy_krona_chart/taxonomy_krona_chart/2.6.1,2.6.1,,2017-05-17 11:15:08.960941,44055.0,4.0
,,2017-05-18 13:26:45.789290,slurm_normal,1495114026.0,0,,1.0,main_w3_handler0,3114540,15879624,False,,308253,308253,,,,,,,,,,,,,,,,,,,,,taxonomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,taxonomy,9979207.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""false""","""?""","""Root""",0,"[{'src': 'hda', 'id': 29670959}]",8,taxonomy,32.0,,37701459.0,1495114020.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/crs4/taxonomy_krona_chart/taxonomy_krona_chart/2.6.1,2.6.1,,2017-05-18 13:27:09.300614,92488.0,6.0
