create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input,parameters.input.values,parameters.report,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2014-11-07 17:56:36.151451,rodeo_normal,1415403332.0,0,1.0,main_w2_handler0,2111144,8122545,False,,1795,tabular,1960680.roundup,slurm,,132112264.0,corral-repl,,"""61da530466a711e48936005056a51846""","""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",17459839,,"""True""",32.0,,18037820,1415403327.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/boris/hetbox/hetbox/1.0,1.0,,2014-11-07 23:35:34.395972,29829,5.0
2014-11-07 17:56:37.802795,rodeo_normal,1415403312.0,0,1.0,main_w2_handler1,2111144,8122547,False,,543,tabular,1960675.roundup,slurm,,132112264.0,corral-repl,,"""61da530466a711e48936005056a51846""","""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",17459840,,"""True""",32.0,,18037820,1415403299.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/boris/hetbox/hetbox/1.0,1.0,,2014-11-07 23:35:13.544025,29829,13.0
2014-11-12 12:32:26.147139,rodeo_normal,1415795570.0,0,1.0,main_w2_handler1,2111252,8149885,False,,58486,tabular,186674.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",17510790,,"""True""",2.0,,18037820,1415795553.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/boris/hetbox/hetbox/1.0,1.0,,2014-11-12 12:32:54.809524,29829,17.0
2014-11-12 12:36:00.701889,rodeo_normal,1415795781.0,0,1.0,main_w2_handler0,2111252,8149901,False,,25826,tabular,186712.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",17510809,,"""True""",2.0,,18037820,1415795767.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/boris/hetbox/hetbox/1.0,1.0,,2014-11-12 12:36:25.676179,29829,14.0
2014-11-13 02:09:17.675867,rodeo_normal,1415844580.0,0,1.0,main_w1_handler1,2109837,8154609,False,,15071,tabular,1997352.roundup,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",17519916,,"""True""",32.0,,18037820,1415844565.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/boris/hetbox/hetbox/1.0,1.0,,2014-11-13 02:09:41.886755,29829,15.0
2014-11-13 03:08:19.915108,rodeo_normal,1415848121.0,0,1.0,main_w2_handler0,2109837,8154906,False,,6642,tabular,193185.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",17519940,,"""True""",2.0,,18037820,1415848106.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/boris/hetbox/hetbox/1.0,1.0,,2014-11-13 03:08:44.566799,29829,15.0
2014-12-11 14:42:33.409953,rodeo_normal,1418322116.0,0,1.0,main_w1_handler1,1976796,8398269,False,,43654,tabular,2297968.roundup,slurm,,132112264.0,corral-repl,,"""ee4f6ad4814311e484db005056a52a46""","""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",17909485,,"""True""",32.0,,20012132,1418322104.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/boris/hetbox/hetbox/1.0,1.0,,2014-12-11 18:22:00.170823,21577,12.0
2014-12-17 14:03:59.369241,rodeo_normal,1418825212.0,0,1.0,main_w1_handler1,1976796,8431891,False,,2153,tabular,583425.rodeo,slurm,,16332532.0,corral-repl,,"""89ac83f885f511e4a615005056a51846""","""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",18006974,,"""True""",2.0,,20012132,1418825199.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/boris/hetbox/hetbox/1.0,1.0,,2014-12-17 14:06:55.460190,21577,13.0
2014-12-17 16:10:20.924151,rodeo_normal,1418832848.0,0,1.0,main_w1_handler1,1976796,8433092,False,,1328,tabular,585222.rodeo,slurm,,16332532.0,corral-repl,,"""2f8d6204860711e4b278005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",18008996,,"""True""",2.0,,20012132,1418832836.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/boris/hetbox/hetbox/1.0,1.0,,2014-12-17 16:14:13.225293,21577,12.0
2014-12-17 16:57:21.392246,rodeo_normal,1418835736.0,0,1.0,main_w1_handler1,1976796,8433619,False,,2011,tabular,585822.rodeo,slurm,,16332532.0,corral-repl,,"""c20ffece860d11e4a615005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",18009645,,"""True""",2.0,,20012132,1418835724.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/boris/hetbox/hetbox/1.0,1.0,,2014-12-17 17:02:19.806197,21577,12.0
