create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,otu,otu_filetype,param_filename,parameters.chromInfo,parameters.dbkey,parameters.fontsize,parameters.input.__current_case__,parameters.input.calc,parameters.input.groups,parameters.input.label,parameters.input.otu.values,parameters.input.source,parameters.nseqs,parameters.otu|__identifier__,parameters.permute,parameters.sharedotus,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-11-16 15:35:24.112911,slurm_normal,1510846553.0,0,,1.0,main_w3_handler0,3308920,17483251,False,,11541057,slurm,,132112168.0,corral-repl,319110,mothur.shared,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""24""",,,,,,,"""false""",,"""4""","""true""",32.0,,41894613,1510846544.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_venn/mothur_venn/1.36.1.0,1.36.1.0,,2017-11-16 16:17:20.112304,110821.0,9.0
2017-11-16 15:22:32.150779,slurm_normal,1510845785.0,0,,1.0,main_w4_handler1,3308920,17483119,False,,11540938,slurm,,132112168.0,corral-repl,319110,mothur.shared,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""24""",,,,,,,"""false""",,"""4""","""true""",32.0,,41894613,1510845777.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_venn/mothur_venn/1.36.1.0,1.36.1.0,,2017-11-16 15:38:35.980100,110821.0,8.0
2017-11-16 15:35:47.007165,slurm_normal,1510846626.0,0,,1.0,main_w3_handler0,3308920,17483256,False,,11541061,slurm,,132112168.0,corral-repl,319110,mothur.shared,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""24""",,,,,,,"""false""",,"""4""","""true""",32.0,,41894613,1510846568.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_venn/mothur_venn/1.36.1.0,1.36.1.0,,2017-11-16 16:17:36.606396,110821.0,58.0
2017-11-16 15:36:02.808821,slurm_normal,1510846585.0,0,,1.0,main_w4_handler1,3308920,17483260,False,,11541063,slurm,,132112168.0,corral-repl,319110,mothur.shared,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""24""",,,,,,,"""false""",,"""4""","""true""",32.0,,41894613,1510846577.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_venn/mothur_venn/1.36.1.0,1.36.1.0,,2017-11-16 16:23:36.205246,110821.0,8.0
2018-01-12 07:43:40.110528,slurm_normal,1515743029.0,0,,1.0,main_w3_handler0,3389962,18011446,False,,12088770,slurm,,132112168.0,corral-repl,33283,mothur.shared,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""24""",,,,,,,"""false""",,"""4""","""true""",32.0,,43151651,1515743024.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_venn/mothur_venn/1.36.1.0,1.36.1.0,,2018-01-12 07:43:52.494393,72172.0,5.0
2017-11-19 07:58:58.435031,slurm_normal,1511078347.0,0,,1.0,main_w3_handler0,3329759,17506117,False,,11566631,slurm,,132112168.0,corral-repl,15850,mothur.shared,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""24""",,,,,,,"""false""",,"""4""","""true""",32.0,,42083511,1511078341.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_venn/mothur_venn/1.36.1.0,1.36.1.0,,2017-11-19 07:59:10.822709,113498.0,6.0
2018-01-12 08:07:39.332232,slurm_normal,1515744485.0,0,,1.0,main_w3_handler0,3389962,18011708,False,,12089015,slurm,,132112168.0,corral-repl,33263,mothur.shared,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""24""",,,,,,,"""false""",,"""4""","""true""",32.0,,43151651,1515744466.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_venn/mothur_venn/1.36.1.0,1.36.1.0,,2018-01-12 08:13:41.189129,72172.0,19.0
2018-01-12 08:55:43.676715,slurm_normal,1515747373.0,0,,1.0,main_w4_handler0,3389962,18012438,False,,12089622,slurm,,132112168.0,corral-repl,33263,mothur.shared,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""24""",,,,,,,"""false""",,"""4""","""true""",32.0,,43151651,1515747349.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_venn/mothur_venn/1.36.1.0,1.36.1.0,,2018-01-12 09:02:52.644669,72172.0,24.0
2018-01-12 08:55:24.920454,slurm_normal,1515747333.0,0,,1.0,main_w4_handler1,3389962,18012431,False,,12089612,slurm,,132112168.0,corral-repl,17243,mothur.list,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""24""",,,,,,,"""false""",,"""4""","""true""",32.0,,43151651,1515747328.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_venn/mothur_venn/1.36.1.0,1.36.1.0,,2018-01-12 08:55:35.793285,72172.0,5.0
2018-01-12 17:19:14.447749,slurm_normal,1515777569.0,0,,1.0,main_w4_handler1,3287353,18019058,False,,12096390,slurm,,132112168.0,corral-repl,13115,mothur.shared,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""24""",,,,,,,"""false""",,"""4""","""true""",32.0,,43135597,1515777559.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_venn/mothur_venn/1.36.1.0,1.36.1.0,,2018-01-12 17:21:55.676537,113659.0,10.0
