chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,file,file_filetype,file_list,file_list_filetype,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.adv.alignments,parameters.adv.clip,parameters.adv.matepairDist,parameters.adv.maxID,parameters.adv.minID,parameters.adv.minlen,parameters.adv.readfilter,parameters.adv.region,parameters.adv.skip_technical,parameters.adv.split,parameters.adv.spotgroups,parameters.chromInfo,parameters.dbkey,parameters.input.__current_case__,parameters.input.accession,parameters.input.file.values,parameters.input.file_list.values,parameters.input.input_select,parameters.outputformat,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-10-20 19:49:35.075985,slurm_normal,1477017518.0,1,,,55.0,txt,1.0,main_w4_handler1,2812553,14134411,False,,8348674.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54347afe20e49e606'}]",file_list,"""fastqsanger""",32.0,,32851517.0,1476993175.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0,2.7.0,,2016-10-21 03:45:37.437753,89802.0,24343.0
,,2016-10-20 19:49:30.278310,slurm_normal,1477017867.0,1,,,71.0,txt,1.0,main_w4_handler1,2812505,14134410,False,,8348675.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55043cbcf8633357c'}]",file_list,"""fastqsanger""",32.0,,32851505.0,1476993171.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0,2.7.0,,2016-10-21 03:52:32.793637,89801.0,24696.0
,,2016-10-21 04:09:13.562690,slurm_normal,1477023047.0,0,138239177.0,sra,,,1.0,main_w3_handler1,2846167,14136431,False,,8350438.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a49eb7f139f1367b'}]",,file,"""fastqsanger""",32.0,,33514510.0,1477023002.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0,2.7.0,,2016-10-21 04:10:48.918333,,45.0
,,2016-10-21 10:00:27.161073,slurm_normal,1477044079.0,3,,,,,1.0,main_w3_handler0,2862925,14138375,False,,8351910.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRX1889695,,,accession_number,"""fastqsanger""",32.0,,33600972.0,1477044072.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0,2.7.0,,2016-10-21 10:01:21.438288,2855.0,7.0
,,2016-10-21 10:02:25.721658,slurm_normal,1477044186.0,3,,,,,1.0,main_w3_handler0,2862925,14138378,False,,8351916.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRX1889695,,,accession_number,"""fastqsanger""",32.0,,33600972.0,1477044183.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0,2.7.0,,2016-10-21 10:03:07.656858,2855.0,3.0
,,2016-10-21 10:06:14.610705,slurm_normal,1477044428.0,3,,,,,1.0,main_w4_handler1,2863385,14138395,False,,8351940.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRA405049,,,accession_number,"""fastqsanger""",32.0,,33600972.0,1477044422.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0,2.7.0,,2016-10-21 10:07:09.785106,2855.0,6.0
,,2016-10-21 10:13:04.687209,slurm_normal,1477045515.0,0,,,,,1.0,main_w3_handler1,2863385,14138421,False,,8351979.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR3339469,,,accession_number,"""fastqsanger""",32.0,,33600972.0,1477044828.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0,2.7.0,,2016-10-21 10:25:17.518793,2855.0,687.0
,,2016-10-21 10:26:25.589656,slurm_normal,1477045783.0,0,,,,,1.0,main_w3_handler1,2863385,14138549,False,,8352149.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR027956,,,accession_number,"""fastqsanger""",32.0,,33600972.0,1477045631.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0,2.7.0,,2016-10-21 10:29:44.765347,2855.0,152.0
,,2016-10-21 08:49:00.987148,slurm_normal,1477040095.0,0,,,,,1.0,main_w4_handler0,2857300,14137690,False,,8351282.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR2753104,,,accession_number,"""fastqsanger""",32.0,,33800028.0,1477039792.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0,2.7.0,,2016-10-21 08:54:57.865080,90946.0,303.0
,,2016-10-21 08:50:23.014426,slurm_normal,1477040744.0,0,,,,,1.0,main_w3_handler1,2857300,14137700,False,,8351289.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR2753090,,,accession_number,"""fastqsanger""",32.0,,33800028.0,1477039876.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0,2.7.0,,2016-10-21 09:05:47.882797,90946.0,868.0
