chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,infile,infile_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.complement,parameters.count,parameters.dbkey,parameters.infile,parameters.infile.values,parameters.infile|__identifier__,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-03-10 20:26:28.518852,slurm_normal,1457641904.0,0,,1.0,main_w1_handler2,2629349,12099347,False,151411,tabular,,6323315.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""""","""5""","""hg38""",23784959,,,32.0,,28921540.0,1457641891.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_head_tool/1.0.0,1.0.0,,2016-03-10 20:31:52.932425,,13.0
,,2017-05-16 02:48:43.382473,slurm_normal,1494902971.0,0,,1.0,main_w3_handler1,3111717,15847005,False,190,tabular,,9947476.roundup,slurm,,132112168.0,corral-repl,,"""29b786d439e211e78c32005056a52a46""","""/galaxy-repl/localdata/chrom/hg38.len""","""""","""5""","""hg38""",,"[{'src': 'hda', 'id': 29614950}]",,32.0,,,1494902968.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_head_tool/1.0.0,1.0.0,,2017-05-16 02:49:34.568133,105862.0,3.0
,,2016-09-08 06:46:02.677428,slurm_normal,1473317202.0,0,,1.0,main_w4_handler0,2813801,13803759,False,8865806,interval,,8024256.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""""","""1""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53b863cb4ad56d2e7'}]",,32.0,,32784993.0,1473317177.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_head_tool/1.0.0,1.0.0,,2016-09-08 06:46:45.821820,33291.0,25.0
,,2016-04-27 17:50:35.676866,slurm_normal,1461779464.0,0,,1.0,main_w1_handler1,2686272,12650566,False,771,tabular,,6854779.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""""","""5""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5bed2301a00eda126'}]",,32.0,,29860542.0,1461779461.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_head_tool/1.0.0,1.0.0,,2016-04-27 17:51:08.780301,83428.0,3.0
,,2016-04-27 14:07:04.298705,slurm_normal,1461766052.0,0,,1.0,main_w2_handler0,2686760,12645153,False,166664,tabular,,6850504.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""""","""5""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51863650d8118d1d5'}]",,32.0,,29733080.0,1461766048.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_head_tool/1.0.0,1.0.0,,2016-04-27 14:07:36.780915,75132.0,4.0
,,2016-09-08 06:50:56.711130,slurm_normal,1473317488.0,0,,1.0,main_w4_handler1,2813801,13803771,False,8915223,tabular,,8024280.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""""","""1""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58e1d2b2353b95d5a'}]",,32.0,,32784993.0,1473317484.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_head_tool/1.0.0,1.0.0,,2016-09-08 06:51:30.352203,33291.0,4.0
,,2016-04-27 15:56:52.070524,slurm_normal,1461772627.0,0,,1.0,main_w2_handler0,2455733,12648539,False,222215,bed,,6852672.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/danRer7.len""","""""","""1000""","""danRer7""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55aa6f36004c2b174'}]",,32.0,,29876091.0,1461772624.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_head_tool/1.0.0,1.0.0,,2016-04-27 15:57:10.550189,14166.0,3.0
,,2016-04-27 19:23:16.515264,slurm_normal,1461785025.0,0,,1.0,main_w1_handler2,2687084,12654655,False,4025530113,fastqsanger,,6856557.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""""","""10000""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59bddc169b49dd61c'}]",,32.0,,29631393.0,1461785019.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_head_tool/1.0.0,1.0.0,,2016-04-27 19:23:49.550639,67438.0,6.0
,,2016-10-12 14:59:10.473359,slurm_normal,1476284355.0,0,,1.0,main_w3_handler0,2852213,14064368,False,142388,tabular,,8281236.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""""","""5""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b556b12514f3fe5c70'}]",,32.0,,33465726.0,1476284352.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_head_tool/1.0.0,1.0.0,,2016-10-12 14:59:18.100830,91610.0,3.0
,,2016-04-27 17:51:34.288890,slurm_normal,1461779526.0,0,,1.0,main_w1_handler1,2676403,12650569,False,159426349,tabular,,6854807.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""""","""1""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b536a961ef0946e9da'}]",,32.0,,28954379.0,1461779521.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_head_tool/1.0.0,1.0.0,,2016-04-27 17:52:10.937257,3556.0,5.0
