chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.gap,parameters.input1,parameters.input1.values,parameters.match,parameters.maxrepeat,parameters.mismatch,parameters.threshold,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-03-01 03:50:52.685507,slurm_normal,1488340267.0,0.0,1.0,main_w4_handler1,2636239,15174659,False,,81291,fasta,9325372.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""12""",,"[{'src': 'hda', 'id': 28565027}]","""3""","""2000""","""-4""","""50""",32.0,,36347635,1488340261.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: einverted28/5.0.0,5.0.0,,2017-03-01 03:51:10.319337,80764.0,6.0
,,2017-03-06 23:28:48.234390,slurm_normal,1488842937.0,0.0,1.0,main_w4_handler0,2738568,15224684,False,,5526769,fasta,9373258.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""12""",,"[{'src': 'hda', 'id': 25417745}]","""3""","""50""","""-4""","""50""",32.0,,35320081,1488842931.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: einverted28/5.0.0,5.0.0,,2017-03-06 23:28:59.674067,78661.0,6.0
,,2017-03-06 23:28:31.369426,slurm_normal,1488842956.0,0.0,1.0,main_w3_handler0,2738568,15224681,False,,5526769,fasta,9373256.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""12""",,"[{'src': 'hda', 'id': 25417745}]","""3""","""2000""","""-4""","""50""",32.0,,35320081,1488842917.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: einverted28/5.0.0,5.0.0,,2017-03-06 23:29:18.711191,78661.0,39.0
,,2017-03-06 23:32:09.869192,slurm_normal,1488843141.0,0.0,1.0,main_w3_handler1,2738568,15224709,False,,5526769,fasta,9373275.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""8""",,"[{'src': 'hda', 'id': 25417745}]","""3""","""50""","""-4""","""50""",32.0,,35320081,1488843133.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: einverted28/5.0.0,5.0.0,,2017-03-06 23:32:23.366672,78661.0,8.0
,,2017-04-29 09:24:32.779567,slurm_normal,1493457981.0,0.0,1.0,main_w4_handler0,3050358,15706353,False,,94862,fasta,9818885.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""12""",,"[{'src': 'hda', 'id': 29405186}]","""3""","""2000""","""-4""","""50""",32.0,,36948346,1493457965.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: einverted28/5.0.0,5.0.0,,2017-04-29 09:28:24.732765,,16.0
,,2017-04-29 09:33:40.574347,slurm_normal,1493458439.0,0.0,1.0,main_w4_handler0,3050358,15706383,False,,94862,fasta,9818913.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""12""",,"[{'src': 'hda', 'id': 29405186}]","""3""","""2000""","""-4""","""30""",32.0,,36948346,1493458424.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: einverted28/5.0.0,5.0.0,,2017-04-29 09:34:01.532833,,15.0
,,2017-04-29 10:30:26.528353,slurm_normal,1493461846.0,0.0,1.0,main_w3_handler0,3050358,15706608,False,,94862,fasta,9819069.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""12""",,"[{'src': 'hda', 'id': 29405186}]","""3""","""2000""","""0""","""30""",32.0,,36948346,1493461830.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: einverted28/5.0.0,5.0.0,,2017-04-29 10:30:48.211228,,16.0
,,2017-04-29 10:52:01.550200,slurm_normal,1493463148.0,0.0,1.0,main_w3_handler1,3050358,15706687,False,,82848,fasta,9819140.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""12""",,"[{'src': 'hda', 'id': 29405630}]","""3""","""2000""","""-4""","""50""",32.0,,36948346,1493463135.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: einverted28/5.0.0,5.0.0,,2017-04-29 10:52:29.924126,,13.0
,,2017-04-29 11:41:44.731712,slurm_normal,1493467029.0,0.0,1.0,main_w4_handler1,3050358,15706802,False,,8278400,fasta,9819240.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""12""",,"[{'src': 'hda', 'id': 29405826}]","""3""","""2000""","""-4""","""50""",32.0,,36948346,1493466181.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: einverted28/5.0.0,5.0.0,,2017-04-29 11:58:40.077751,,848.0
,,2017-05-24 06:28:36.651357,slurm_normal,1495607331.0,0.0,1.0,main_w3_handler1,3124920,15924272,False,,138,fasta,10022244.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""12""",,"[{'src': 'hda', 'id': 29746970}]","""3""","""2000""","""-4""","""50""",32.0,,38180751,1495607326.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: einverted28/5.0.0,5.0.0,,2017-05-24 06:28:54.335847,,5.0
,,2017-07-13 06:10:27.868104,slurm_normal,1499926244.0,0.0,1.0,main_w3_handler1,2766761,16328426,False,,12298,fasta,10395005.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""12""",,"[{'src': 'hda', 'id': 30467939}]","""3""","""2000""","""-4""","""50""",32.0,,39143923,1499926240.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: einverted28/5.0.0,5.0.0,,2017-07-13 06:10:48.359800,80869.0,4.0
,,2017-07-14 11:10:44.739865,slurm_normal,1500030666.0,0.0,1.0,main_w4_handler1,2829133,16344078,False,,100151,fasta,10409702.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""12""",,"[{'src': 'hda', 'id': 30491193}]","""3""","""2000""","""-4""","""50""",32.0,,39264412,1500030662.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: einverted28/5.0.0,5.0.0,,2017-07-14 11:11:07.307626,26950.0,4.0
,,2018-01-19 07:30:05.024403,slurm_normal,1516347034.0,0.0,1.0,main_w4_handler1,2495011,18081255,False,,27462,fasta,12159872,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""12""",,"[{'src': 'hda', 'id': 33384076}]","""3""","""2000""","""-4""","""15""",32.0,,42975003,1516347016.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: einverted28/5.0.0,5.0.0,,2018-01-19 07:30:37.296005,72633.0,18.0
,,2018-01-14 23:23:53.052902,slurm_normal,1515972241.0,0.0,1.0,main_w3_handler1,3392143,18033716,False,,48593,fasta,12110743,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""12""",,"[{'src': 'hda', 'id': 33310011}]","""3""","""2000""","""-4""","""50""",32.0,,41710360,1515972236.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: einverted28/5.0.0,5.0.0,,2018-01-14 23:24:03.482158,115089.0,5.0
