create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.fiveprime,parameters.input1,parameters.input1.values,parameters.minlength,parameters.mismatches,parameters.out_format1,parameters.reverse,parameters.tolower,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-07-17 12:34:50.832241,slurm_normal,1437136546.0,0.0,1.0,main_w2_handler0,2332173,9891512,False,,144615153,fasta,4180942.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""yes""",20393009,,"""5""","""2""","""fasta""","""yes""","""no""",32.0,,23527205,1437136524.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: trimest102/5.0.0,5.0.0,,2015-07-17 12:35:49.429221,64540.0,22.0
2015-07-17 12:35:25.356025,slurm_normal,1437136597.0,0.0,1.0,main_w2_handler0,2332173,9891515,False,,236914540,fasta,4180945.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""yes""",20393012,,"""5""","""2""","""fasta""","""yes""","""no""",32.0,,23527205,1437136562.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: trimest102/5.0.0,5.0.0,,2015-07-17 12:36:41.699863,64540.0,35.0
2015-07-17 12:33:12.644004,slurm_normal,1437136442.0,0.0,1.0,main_w1_handler2,2332173,9891502,False,,117882610,fasta,4180932.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""yes""",20392989,,"""5""","""2""","""fasta""","""yes""","""no""",32.0,,23527205,1437136424.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: trimest102/5.0.0,5.0.0,,2015-07-17 12:34:05.810353,64540.0,18.0
2015-07-17 12:34:23.915131,slurm_normal,1437136519.0,0.0,1.0,main_w2_handler1,2332173,9891510,False,,191611615,fasta,4180940.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""yes""",20393002,,"""5""","""2""","""fasta""","""yes""","""no""",32.0,,23527205,1437136492.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: trimest102/5.0.0,5.0.0,,2015-07-17 12:35:22.621707,64540.0,27.0
2015-07-17 12:34:04.915865,slurm_normal,1437136491.0,0.0,1.0,main_w1_handler0,2332173,9891509,False,,159518003,fasta,4180939.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""yes""",20393001,,"""5""","""2""","""fasta""","""yes""","""no""",32.0,,23527205,1437136467.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: trimest102/5.0.0,5.0.0,,2015-07-17 12:34:54.622875,64540.0,24.0
2015-07-17 12:35:35.779544,slurm_normal,1437136605.0,0.0,1.0,main_w1_handler2,2332173,9891517,False,,201911881,fasta,4180947.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""yes""",20393013,,"""5""","""2""","""fasta""","""yes""","""no""",32.0,,23527205,1437136574.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: trimest102/5.0.0,5.0.0,,2015-07-17 12:36:48.543552,64540.0,31.0
2015-07-17 12:33:48.386937,slurm_normal,1437136488.0,0.0,1.0,main_w1_handler2,2332173,9891508,False,,186173742,fasta,4180938.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""yes""",20393000,,"""5""","""2""","""fasta""","""yes""","""no""",32.0,,23527205,1437136461.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: trimest102/5.0.0,5.0.0,,2015-07-17 12:34:51.191197,64540.0,27.0
2015-07-17 12:35:09.081884,slurm_normal,1437136551.0,0.0,1.0,main_w2_handler1,2332173,9891513,False,,123309562,fasta,4180943.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""yes""",20393011,,"""5""","""2""","""fasta""","""yes""","""no""",32.0,,23527205,1437136530.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: trimest102/5.0.0,5.0.0,,2015-07-17 12:35:54.474317,64540.0,21.0
2015-07-17 12:33:37.868903,slurm_normal,1437136461.0,0.0,1.0,main_w2_handler0,2332173,9891507,False,,100466744,fasta,4180935.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""yes""",20392999,,"""5""","""2""","""fasta""","""yes""","""no""",32.0,,23527205,1437136444.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: trimest102/5.0.0,5.0.0,,2015-07-17 12:34:26.800330,64540.0,17.0
2015-07-17 12:34:40.292664,slurm_normal,1437136539.0,0.0,1.0,main_w2_handler1,2332173,9891511,False,,162551803,fasta,4180941.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""yes""",20393008,,"""5""","""2""","""fasta""","""yes""","""no""",32.0,,23527205,1437136512.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: trimest102/5.0.0,5.0.0,,2015-07-17 12:35:43.610240,64540.0,27.0
2015-07-20 08:44:52.544034,slurm_normal,1437382574.0,0.0,1.0,main_w2_handler0,2382283,9913456,False,,115692405,fasta,4201508.roundup,slurm,,132112168.0,corral-repl,,"""9238e9162ebb11e5b185005056a51846""","""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""yes""",20429187,,"""5""","""2""","""fasta""","""yes""","""no""",32.0,,23527205,1437382495.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: trimest102/5.0.0,5.0.0,,2015-07-20 08:56:18.898735,64540.0,79.0
2015-07-20 08:44:53.473636,slurm_normal,1437382510.0,0.0,1.0,main_w1_handler0,2382283,9913457,False,,92231806,fasta,4201506.roundup,slurm,,132112168.0,corral-repl,,"""9238e9162ebb11e5b185005056a51846""","""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""yes""",20429188,,"""5""","""2""","""fasta""","""yes""","""no""",32.0,,23527205,1437382492.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: trimest102/5.0.0,5.0.0,,2015-07-20 08:55:14.078730,64540.0,18.0
2015-07-20 12:17:37.237914,slurm_normal,1437394717.0,0.0,1.0,main_w2_handler1,2382403,9915380,False,,92231806,fasta,4203319.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""yes""",20431798,,"""4""","""2""","""fasta""","""yes""","""no""",32.0,,23527205,1437394698.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: trimest102/5.0.0,5.0.0,,2015-07-20 12:18:41.580638,64540.0,19.0
2015-07-20 12:17:26.576498,slurm_normal,1437394698.0,0.0,1.0,main_w1_handler2,2382403,9915372,False,,115692405,fasta,4203312.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""yes""",20431795,,"""4""","""2""","""fasta""","""yes""","""no""",32.0,,23527205,1437394677.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: trimest102/5.0.0,5.0.0,,2015-07-20 12:18:20.818300,64540.0,21.0
2015-07-20 12:18:18.400763,slurm_normal,1437394756.0,0.0,1.0,main_w1_handler0,2382403,9915397,False,,145699160,fasta,4203330.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""yes""",20431809,,"""4""","""2""","""fasta""","""yes""","""no""",32.0,,23527205,1437394728.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: trimest102/5.0.0,5.0.0,,2015-07-20 12:19:19.447002,64540.0,28.0
2015-07-20 12:18:31.320325,slurm_normal,1437394792.0,0.0,1.0,main_w1_handler2,2382403,9915402,False,,188304637,fasta,4203344.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""yes""",20431810,,"""4""","""2""","""fasta""","""yes""","""no""",32.0,,23527205,1437394765.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: trimest102/5.0.0,5.0.0,,2015-07-20 12:19:55.146714,64540.0,27.0
2015-07-20 12:18:44.390422,slurm_normal,1437394811.0,0.0,1.0,main_w1_handler2,2382403,9915407,False,,151263757,fasta,4203350.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""yes""",20431822,,"""4""","""2""","""fasta""","""yes""","""no""",32.0,,23527205,1437394785.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: trimest102/5.0.0,5.0.0,,2015-07-20 12:20:19.205518,64540.0,26.0
2015-07-20 12:19:11.485981,slurm_normal,1437394850.0,0.0,1.0,main_w1_handler2,2382403,9915414,False,,114573940,fasta,4203364.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""yes""",20431828,,"""4""","""2""","""fasta""","""yes""","""no""",32.0,,23527205,1437394827.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: trimest102/5.0.0,5.0.0,,2015-07-20 12:20:55.443561,64540.0,23.0
2015-07-20 12:18:07.997852,slurm_normal,1437394772.0,0.0,1.0,main_w1_handler1,2382403,9915392,False,,182718299,fasta,4203331.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""yes""",20431807,,"""4""","""2""","""fasta""","""yes""","""no""",32.0,,23527205,1437394729.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: trimest102/5.0.0,5.0.0,,2015-07-20 12:19:36.384018,64540.0,43.0
2015-07-20 12:17:59.148113,slurm_normal,1437394736.0,0.0,1.0,main_w1_handler1,2382403,9915389,False,,144629701,fasta,4203322.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""yes""",20431806,,"""4""","""2""","""fasta""","""yes""","""no""",32.0,,23527205,1437394713.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: trimest102/5.0.0,5.0.0,,2015-07-20 12:18:58.292836,64540.0,23.0
2015-07-20 12:17:48.007005,slurm_normal,1437394746.0,0.0,1.0,main_w2_handler1,2382403,9915382,False,,181212319,fasta,4203324.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""yes""",20431800,,"""4""","""2""","""fasta""","""yes""","""no""",32.0,,23527205,1437394716.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: trimest102/5.0.0,5.0.0,,2015-07-20 12:19:11.046626,64540.0,30.0
2015-07-20 12:18:56.012927,slurm_normal,1437394811.0,0.0,1.0,main_w2_handler0,2382403,9915411,False,,142116226,fasta,4203346.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""yes""",20431825,,"""4""","""2""","""fasta""","""yes""","""no""",32.0,,23527205,1437394776.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: trimest102/5.0.0,5.0.0,,2015-07-20 12:20:13.058791,64540.0,35.0
2015-07-20 12:19:22.649787,slurm_normal,1437394839.0,0.0,1.0,main_w1_handler1,2382403,9915417,False,,232908218,fasta,4203354.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""yes""",20431829,,"""4""","""2""","""fasta""","""yes""","""no""",32.0,,23527205,1437394804.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: trimest102/5.0.0,5.0.0,,2015-07-20 12:20:42.114001,64540.0,35.0
2015-07-20 12:19:35.699144,slurm_normal,1437394859.0,0.0,1.0,main_w1_handler1,2382403,9915424,False,,186762752,fasta,4203366.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""yes""",20431835,,"""4""","""2""","""fasta""","""yes""","""no""",32.0,,23527205,1437394828.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: trimest102/5.0.0,5.0.0,,2015-07-20 12:21:02.220000,64540.0,31.0
2015-10-18 07:59:43.418223,slurm_normal,1445155204.0,0.0,1.0,main_w1_handler0,2468414,10618285,False,,3028,fasta,4887580.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""",21588737,,"""4""","""1""","""fasta""","""yes""","""no""",32.0,,25638730,1445155199.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: trimest102/5.0.0,5.0.0,,2015-10-18 08:00:07.349463,,5.0
2015-11-05 10:46:22.831015,slurm_normal,1446720415.0,0.0,1.0,main_w1_handler2,2496580,10825381,False,,3028,fasta,5080727.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""",21886604,,"""4""","""1""","""fasta""","""yes""","""no""",32.0,,26117851,1446720395.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: trimest102/5.0.0,5.0.0,,2015-11-05 10:47:00.511982,72762.0,20.0
2015-11-05 10:39:42.304612,slurm_normal,1446720162.0,0.0,1.0,main_w2_handler0,2496594,10825250,False,,3028,fasta,5080626.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""",21886673,,"""4""","""1""","""fasta""","""yes""","""no""",32.0,,26117921,1446719998.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: trimest102/5.0.0,5.0.0,,2015-11-05 10:42:45.384699,72765.0,164.0
2015-11-05 10:36:07.558597,slurm_normal,1446719839.0,0.0,1.0,main_w2_handler1,2496574,10825204,False,,3028,fasta,5080596.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""",21886574,,"""4""","""1""","""fasta""","""yes""","""no""",32.0,,26117809,1446719778.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: trimest102/5.0.0,5.0.0,,2015-11-05 10:37:24.290867,72760.0,61.0
2015-11-05 10:50:05.469559,slurm_normal,1446720639.0,0.0,1.0,main_w1_handler0,2496630,10825447,False,,3028,fasta,5080803.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""",21886837,,"""4""","""1""","""fasta""","""yes""","""no""",32.0,,26118081,1446720632.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: trimest102/5.0.0,5.0.0,,2015-11-05 10:50:46.938463,72777.0,7.0
2015-11-05 10:39:38.835058,slurm_normal,1446719998.0,0.0,1.0,main_w2_handler0,2496596,10825249,False,,3028,fasta,5080624.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""",21886672,,"""4""","""1""","""fasta""","""yes""","""no""",32.0,,26117925,1446719991.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: trimest102/5.0.0,5.0.0,,2015-11-05 10:40:03.639973,72766.0,7.0
2015-11-05 10:52:38.090967,slurm_normal,1446720780.0,0.0,1.0,main_w1_handler2,2496630,10825479,False,,3028,fasta,5080839.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""",21886837,,"""4""","""1""","""fasta""","""yes""","""no""",32.0,,26118081,1446720773.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: trimest102/5.0.0,5.0.0,,2015-11-05 10:53:05.917865,72777.0,7.0
2015-11-05 10:50:27.194562,slurm_normal,1446720652.0,0.0,1.0,main_w1_handler1,2496627,10825450,False,,3028,fasta,5080805.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""",21886825,,"""4""","""1""","""fasta""","""yes""","""no""",32.0,,26118071,1446720637.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: trimest102/5.0.0,5.0.0,,2015-11-05 10:50:55.787004,,15.0
2015-11-05 10:51:40.587799,slurm_normal,1446720719.0,0.0,1.0,main_w1_handler1,2496630,10825465,False,,3028,fasta,5080824.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""",21886837,,"""4""","""1""","""fasta""","""yes""","""no""",32.0,,26118081,1446720713.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: trimest102/5.0.0,5.0.0,,2015-11-05 10:52:01.221662,72777.0,6.0
2015-11-05 10:50:51.771684,slurm_normal,1446720667.0,0.0,1.0,main_w2_handler0,2496630,10825455,False,,3028,fasta,5080813.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""",21886837,,"""4""","""1""","""fasta""","""yes""","""no""",32.0,,26118081,1446720661.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: trimest102/5.0.0,5.0.0,,2015-11-05 10:51:14.202346,72777.0,6.0
2015-11-05 10:57:23.169181,slurm_normal,1446721067.0,0.0,1.0,main_w1_handler1,2496609,10825583,False,,3028,fasta,5080895.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""",21886968,,"""4""","""1""","""fasta""","""yes""","""no""",32.0,,26118191,1446721060.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: trimest102/5.0.0,5.0.0,,2015-11-05 10:57:52.966643,72768.0,7.0
2015-11-05 10:57:54.081102,slurm_normal,1446721098.0,0.0,1.0,main_w1_handler1,2496620,10825589,False,,3028,fasta,5080903.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""",21887137,,"""4""","""1""","""fasta""","""yes""","""no""",32.0,,26118030,1446721086.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: trimest102/5.0.0,5.0.0,,2015-11-05 10:58:22.764051,72772.0,12.0
