chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.aligned_reads_only,parameters.assume_sorted,parameters.chromInfo,parameters.dbkey,parameters.include_no_calls,parameters.inputFile,parameters.inputFile.values,parameters.pf_reads_only,parameters.reference_source.__current_case__,parameters.reference_source.ref_file,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,parameters.validation_stringency,processor_count,ref_file,ref_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-03-15 09:00:05.551832,slurm_normal_16gb,1458032502.0,0,1.0,main_w2_handler1,2634041,12138702,False,,162331675,bam,6356136.roundup,slurm,,132112168.0,corral-repl,,,"""False""","""True""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""False""",23843225,,"""False""",0,hg19,,cached,"""LENIENT""",32.0,,,,28509455,1458032470.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/1.136.0,1.136.0,,2016-03-15 09:01:44.402262,78891,32.0
,,2016-03-04 10:38:04.044303,slurm_normal_16gb,1457088000.0,0,1.0,main_w1_handler0,2620955,12018340,False,,184437178,sam,6247867.roundup,slurm,,132112168.0,corral-repl,,,"""False""","""True""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",23666472,,"""False""",1,23666101,,history,"""LENIENT""",32.0,60311570.0,fasta,,28414673,1457087973.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/1.136.0,1.136.0,,2016-03-04 10:40:04.406367,78678,27.0
,,2016-03-04 10:38:01.693061,slurm_normal_16gb,1457087935.0,0,1.0,main_w1_handler1,2620955,12018338,False,,51703316,sam,6247858.roundup,slurm,,132112168.0,corral-repl,,,"""False""","""True""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",23666470,,"""False""",1,23666101,,history,"""LENIENT""",32.0,60311570.0,fasta,,28414673,1457087916.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/1.136.0,1.136.0,,2016-03-04 10:39:02.028737,78678,19.0
,,2016-03-04 10:38:00.524046,slurm_normal_16gb,1457087906.0,0,1.0,main_w1_handler1,2620955,12018337,False,,43851105,sam,6247855.roundup,slurm,,132112168.0,corral-repl,,,"""False""","""True""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",23666469,,"""False""",1,23666101,,history,"""LENIENT""",32.0,60311570.0,fasta,,28414673,1457087899.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/1.136.0,1.136.0,,2016-03-04 10:38:28.330749,78678,7.0
,,2016-03-04 10:38:02.873738,slurm_normal_16gb,1457087959.0,0,1.0,main_w1_handler0,2620955,12018339,False,,131809500,sam,6247863.roundup,slurm,,132112168.0,corral-repl,,,"""False""","""True""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",23666471,,"""False""",1,23666101,,history,"""LENIENT""",32.0,60311570.0,fasta,,28414673,1457087947.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/1.136.0,1.136.0,,2016-03-04 10:39:22.861817,78678,12.0
,,2016-03-17 21:53:39.446252,slurm_normal_16gb,1458251922.0,0,1.0,main_w2_handler0,2626306,12172651,False,,677211613,bam,6387571.roundup,slurm,,132112168.0,corral-repl,,,"""False""","""True""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",23787800,,"""False""",0,hg38,,cached,"""LENIENT""",32.0,,,,28903044,1458251681.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/1.136.0,1.136.0,,2016-03-17 21:58:44.652260,10692,241.0
,,2016-09-12 12:46:04.072456,slurm_normal_16gb,1473684404.0,0,1.0,main_w3_handler1,2817540,13830692,False,,525069,bam,8052694.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""false""","""/galaxy-repl/localdata/chrom/hg38Patch2.len""","""hg38Patch2""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a8462cba090b39ee'}]","""false""",0,hg38,,cached,"""LENIENT""",32.0,,,,32909229,1473684383.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/1.136.0,1.136.0,,2016-09-12 12:46:47.341946,68143,21.0
,,2016-03-07 13:17:46.518884,slurm_normal_16gb,1457356914.0,0,1.0,main_w1_handler0,2622873,12051766,False,,1086214311,bam,6277790.roundup,slurm,,132112168.0,corral-repl,,,"""False""","""True""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""False""",23708921,,"""False""",0,Araly1,,cached,"""LENIENT""",32.0,,,,28841668,1457356692.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/1.136.0,1.136.0,,2016-03-07 13:21:59.114776,79500,222.0
,,2016-03-08 14:23:12.523129,slurm_normal_16gb,1457447785.0,0,1.0,main_w1_handler1,2623934,12069899,False,,3222520832,bam,6293717.roundup,slurm,,132112168.0,corral-repl,,,"""False""","""True""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",23738802,,"""False""",0,hg38,,cached,"""LENIENT""",32.0,,,,28875037,1457447481.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/1.136.0,1.136.0,,2016-03-08 14:36:30.375111,79946,304.0
,,2016-07-03 14:34:47.117574,slurm_normal_16gb,1467556656.0,0,1.0,main_w1_handler0,2298977,13318438,False,,363400543,bam,7523326.roundup,slurm,,132112168.0,corral-repl,,,"""true""","""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d46e71a1526e5f33'}]","""true""",0,hg19,,cached,"""LENIENT""",32.0,,,,31249342,1467556527.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/1.136.0,1.136.0,,2016-07-03 14:37:38.465092,49878,129.0
,,2016-05-16 08:36:54.476203,slurm_normal_16gb,1463387874.0,0,1.0,main_w1_handler0,2684697,12906409,False,,597,bam,7101037.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""true""","""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57835c3b3f01aa951'}]","""false""",0,sacCer3,,cached,"""LENIENT""",32.0,,,,30256770,1463387870.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/1.136.0,1.136.0,,2016-05-16 08:37:55.988281,41802,4.0
,,2016-07-05 07:03:03.679625,slurm_normal_16gb,1467702303.0,0,1.0,main_w2_handler1,2757484,13331949,False,,5723147,bam,7539383.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59dc56f4fbe2f6425'}]","""false""",0,hg19,,cached,"""LENIENT""",32.0,,,,30733819,1467702281.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/1.136.0,1.136.0,,2016-07-05 07:05:05.452758,85745,22.0
