chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,fasta,fasta_filetype,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.fasta,parameters.fasta.values,parameters.fasta|__identifier__,parameters.input,parameters.input.values,parameters.name,parameters.split,parameters.strand,parameters.tab,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-04-16 10:35:07.020370,slurm_normal,1460802944.0,0,2708009901,fasta,,1.0,main_w1_handler2,2672017,12483111,False,,1451072,bed,6672123.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a6d436ad67c0deea'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c50bb233a79f6e69'}]","""true""","""false""","""false""","""false""",32.0,,29636666,1460802941.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.22.0,2.22.0,,2016-04-16 10:35:47.935008,62093.0,3.0
,,2016-10-19 08:00:04.223028,slurm_normal,1476864020.0,0,146638899,fasta,,1.0,main_w4_handler0,2858698,14114802,False,,21545,bed,8329515.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/dm6.len""","""dm6""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5fcb7f6ad32033243'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b524ce4291432968ad'}]","""false""","""false""","""false""","""false""",32.0,,33774959,1476864010.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.22.0,2.22.0,,2016-10-19 08:00:23.027821,,10.0
,,2016-09-21 18:18:15.791107,slurm_normal,1474481938.0,0,2809165758,fasta,,1.0,main_w4_handler1,2828050,13909276,False,,2978985,bed,8131931.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d6509c7660af3030'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c8d331bc0432dbed'}]","""false""","""false""","""false""","""false""",32.0,,33074549,1474481928.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.22.0,2.22.0,,2016-09-21 18:19:00.360450,69337.0,10.0
,,2016-04-17 07:32:32.813792,slurm_normal,1460878401.0,0,2780281122,fasta,,1.0,main_w2_handler1,2672017,12489112,False,,1451072,bed,6682045.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52036a8c2389d1fbd'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c50bb233a79f6e69'}]","""false""","""false""","""false""","""false""",32.0,,29636666,1460878387.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.22.0,2.22.0,,2016-04-17 07:33:23.258567,62093.0,14.0
,,2016-09-25 11:37:07.934378,slurm_normal,1474803523.0,0,164202,fasta,,1.0,main_w4_handler0,2831972,13935642,False,,70364,gff3,8158176.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52396eb54f3d13c4e'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b550f436f1e0e60937'}]","""false""","""false""","""false""","""false""",32.0,,33179936,1474803518.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.22.0,2.22.0,,2016-09-25 11:38:45.972878,,5.0
,,2016-04-19 14:54:38.122829,slurm_normal,1461077993.0,0,2712085157,fasta,,1.0,main_w2_handler0,2188560,12524746,False,,78085,bed,6710872.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ba9599fd2fcc09d7'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a67ea9843acaddf3'}]","""false""","""false""","""false""","""false""",32.0,,29681856,1461077815.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.22.0,2.22.0,,2016-04-19 14:59:58.905960,10187.0,178.0
,,2016-04-19 14:55:48.355341,slurm_normal,1461078034.0,0,2712085157,fasta,,1.0,main_w1_handler2,2188560,12524757,False,,78085,bed,6710906.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ba9599fd2fcc09d7'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a67ea9843acaddf3'}]","""false""","""false""","""false""","""false""",32.0,,29681856,1461078030.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.22.0,2.22.0,,2016-04-19 15:00:37.451343,10187.0,4.0
,,2016-04-19 15:02:53.349773,slurm_normal,1461078218.0,0,2712085157,fasta,,1.0,main_w1_handler1,2188560,12524836,False,,873741,bed,6710938.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ba9599fd2fcc09d7'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e8859482715b9330'}]","""false""","""false""","""false""","""false""",32.0,,29681856,1461078214.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.22.0,2.22.0,,2016-04-19 15:03:41.200562,10187.0,4.0
,,2016-04-19 14:54:19.864710,slurm_normal,1461078063.0,0,2712085157,fasta,,1.0,main_w2_handler1,2188560,12524732,False,,61675,bed,6710858.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ba9599fd2fcc09d7'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52ca76e6b120c559d'}]","""false""","""false""","""false""","""false""",32.0,,29681856,1461077713.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.22.0,2.22.0,,2016-04-19 15:01:07.947403,10187.0,350.0
,,2016-04-19 14:55:03.825904,slurm_normal,1461078073.0,0,2712085157,fasta,,1.0,main_w1_handler1,2188560,12524753,False,,873741,bed,6710869.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ba9599fd2fcc09d7'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e8859482715b9330'}]","""false""","""false""","""false""","""false""",32.0,,29681856,1461077774.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.22.0,2.22.0,,2016-04-19 15:01:16.470115,10187.0,299.0
