chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.bam_paired_end_type.__current_case__,parameters.bam_paired_end_type.bam_paired_end_type_selector,parameters.bam_paired_end_type.force_se,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.input1|__identifier__,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-11-01 15:12:09.196064,slurm_normal,1478013777.0,0,,1.0,main_w3_handler1,2869910,14225395,False,,1380018835,bam,8435457.roundup,slurm,,132112168.0,corral-repl,,,0,PE,false,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51974c6b7537377b4'}]",,32.0,,33919661.0,1478013229.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup/2.0,2.0,,2016-11-01 15:23:00.960333,89862.0,548.0
,,2016-11-01 15:16:32.236541,slurm_normal,1478014390.0,0,,1.0,main_w3_handler1,2876179,14225421,False,,1380055018,bam,8435493.roundup,slurm,,132112168.0,corral-repl,,,0,PE,false,"""/galaxy-repl/localdata/chrom/hg38Patch2.len""","""hg38Patch2""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b590602bc21be25d12'}]",,32.0,,33919661.0,1478013551.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup/2.0,2.0,,2016-11-01 15:33:15.941539,89862.0,839.0
,,2017-03-20 20:00:56.818082,slurm_normal,1490056370.0,0,,1.0,main_w3_handler0,3038898,15347086,False,,3005085361,bam,9488261.roundup,slurm,,132112168.0,corral-repl,,"""e70fb22c0da711e782b2005056a51846""",0,PE,false,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 28847443}]",,32.0,,,1490055884.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup/2.0,2.0,,2017-03-21 00:32:53.936946,61964.0,486.0
,,2016-11-03 18:46:52.025558,slurm_normal,1478199104.0,0,,1.0,main_w3_handler1,2879717,14244653,False,,446925157,bam,8453619.roundup,slurm,,132112168.0,corral-repl,,,1,SE,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57c7d414583a95b46'}]",,32.0,,34073615.0,1478198819.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup/2.0,2.0,,2016-11-03 18:51:47.796839,47785.0,285.0
,,2016-11-03 18:46:53.225857,slurm_normal,1478199390.0,0,,1.0,main_w3_handler0,2879717,14244656,False,,846965970,bam,8453618.roundup,slurm,,132112168.0,corral-repl,,,1,SE,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55e4033d73e3c4ee6'}]",,32.0,,34073615.0,1478198819.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup/2.0,2.0,,2016-11-03 18:56:34.678039,47785.0,571.0
,,2016-11-03 18:46:52.417349,slurm_normal,1478198935.0,0,,1.0,main_w4_handler0,2879717,14244654,False,,526452992,bam,8453620.roundup,slurm,,132112168.0,corral-repl,,,1,SE,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5625b26787644b2be'}]",,32.0,,34073615.0,1478198819.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup/2.0,2.0,,2016-11-03 18:48:59.408779,47785.0,116.0
,,2016-11-03 18:46:52.789150,slurm_normal,1478199382.0,0,,1.0,main_w3_handler1,2879717,14244655,False,,420922210,bam,8453622.roundup,slurm,,132112168.0,corral-repl,,,1,SE,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d42fa20e8cc8abe2'}]",,32.0,,34073615.0,1478198819.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup/2.0,2.0,,2016-11-03 18:56:24.709140,47785.0,563.0
,,2016-11-03 18:46:53.632107,slurm_normal,1478199497.0,0,,1.0,main_w4_handler0,2879717,14244657,False,,722983265,bam,8453621.roundup,slurm,,132112168.0,corral-repl,,,1,SE,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5dbb8ec03691db904'}]",,32.0,,34073615.0,1478198819.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup/2.0,2.0,,2016-11-03 18:58:22.075056,47785.0,678.0
,,2016-10-09 21:34:36.290644,slurm_normal,1476053903.0,0,,1.0,main_w3_handler0,2823940,14040440,False,,1546304129,bam,8258020.roundup,slurm,,132112168.0,corral-repl,,,1,SE,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5983591b92cf35f12'}]",,32.0,,33019862.0,1476053558.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup/2.0,2.0,,2016-10-09 22:58:26.036691,29303.0,345.0
,,2016-10-09 21:34:37.262440,slurm_normal,1476053922.0,0,,1.0,main_w3_handler1,2823940,14040441,False,,1607125129,bam,8258021.roundup,slurm,,132112168.0,corral-repl,,,1,SE,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58c24f76fa97b3851'}]",,32.0,,33019862.0,1476053563.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup/2.0,2.0,,2016-10-09 22:58:44.476593,29303.0,359.0
