chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,genome,genome_filetype,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.d,parameters.dbkey,parameters.dz,parameters.five,parameters.genome,parameters.genome.values,parameters.input,parameters.input.values,parameters.report.__current_case__,parameters.report.max,parameters.report.report_select,parameters.report.scale,parameters.report.zero_regions,parameters.split,parameters.strand,parameters.three,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-03-17 02:12:50.523183,slurm_normal,1458182427.0,0,1.0,6165347,gtf,main_w2_handler0,2588055,12161573,False,,1514180397,bam,6378805.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""False""","""hg38""","""False""","""False""",23502569,,23868093,,0,,bg,1.0,False,"""False""","""""","""False""",32.0,,29032261.0,1458182127.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.22.0,2.22.0,,2016-03-17 02:40:31.510608,78006.0,300.0
,,2016-02-24 10:45:28.028594,slurm_normal,1456310933.0,0,1.0,116963244,gtf,main_w1_handler0,2601077,11919141,False,,3261335,bam,6156298.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""False""","""hg19""","""False""","""False""",23484820,,23485375,,0,,bg,1.0,False,"""False""","""-strand -""","""False""",32.0,,28257359.0,1456310787.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.22.0,2.22.0,,2016-02-24 10:49:00.815988,72632.0,146.0
,,2016-04-06 09:26:49.489907,slurm_normal,1459934891.0,0,1.0,52,bed,main_w2_handler0,2658014,12351713,False,,141909432,bam,6556272.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""False""","""mm10""","""False""","""False""",24149144,,24149145,,0,,bg,1.0,True,"""True""","""""","""False""",32.0,,27435633.0,1459934852.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.22.0,2.22.0,,2016-04-06 09:28:15.744836,68374.0,39.0
,,2016-09-07 23:00:49.134795,slurm_normal,1473289821.0,0,1.0,153,tabular,main_w3_handler0,2661725,13802083,False,,1727709198,bam,8022529.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/014/978/dataset_14978812.dat""","""false""","""Arabidopsis_v1""","""false""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5efd1c910f82dcc4e'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c8f88f95a7452d60'}]",0,,bg,1.15,true,"""true""","""""","""false""",32.0,,31532520.0,1473289268.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.22.0,2.22.0,,2016-09-07 23:10:25.451077,73455.0,553.0
,,2017-04-28 21:15:50.140774,slurm_normal,1493416888.0,0,1.0,855,gg,main_w4_handler0,3085063,15704369,False,,0,bed,9817263.roundup,slurm,,132112168.0,corral-repl,,"""c2ed07182c5711e7994a005056a52a46""","""/galaxy-repl/localdata/chrom/hg18.len""","""false""","""hg18""","""false""","""false""",,"[{'src': 'hda', 'id': 29401884}]",,"[{'src': 'hda', 'id': 29402007}]",0,,bg,1.0,true,"""false""","""""","""false""",32.0,,,1493416884.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.22.0,2.22.0,,2017-04-28 22:01:30.256356,78468.0,4.0
,,2016-04-12 12:10:16.148894,slurm_normal,1460464314.0,0,1.0,4020,vcf,main_w1_handler1,2661026,12429975,False,,8335,bam,6630635.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""False""","""hg38""","""False""","""False""",24251808,,24270813,,1,300,hist,,,"""False""","""""","""False""",32.0,,29492858.0,1460464283.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.22.0,2.22.0,,2016-04-12 12:31:59.480806,82098.0,31.0
,,2016-03-04 00:38:32.459026,slurm_normal,1457052010.0,0,1.0,584,gg,main_w1_handler1,2610302,12015841,False,,80029577,bed,6244476.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""False""","""mm9""","""False""","""False""",23661814,,23662802,,0,,bg,1.0,True,"""False""","""""","""False""",32.0,,28313104.0,1457051980.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.22.0,2.22.0,,2016-03-04 00:40:11.742326,78471.0,30.0
,,2016-05-15 15:56:43.191588,slurm_normal,1463328439.0,0,1.0,293503194,gtf,main_w1_handler1,2675960,12902821,False,,4185710450,bam,7098041.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""false""","""hg19""","""false""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f1a39130dc340f1d'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b523bdcab98b9353f2'}]",0,,bg,1.0,false,"""true""","""""","""false""",32.0,,30248050.0,1463327949.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.22.0,2.22.0,,2016-05-15 16:07:20.680304,78081.0,490.0
,,2016-04-20 17:05:13.909270,slurm_normal,1461172052.0,0,1.0,584,tabular,main_w2_handler1,2663524,12540110,False,,944472206,bed,6725568.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""false""","""mm9""","""false""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56cf2439088536702'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ca6c0dbe121f10a2'}]",0,,bg,1.0,false,"""false""","""""","""false""",32.0,,28735017.0,1461171960.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.22.0,2.22.0,,2016-04-20 17:07:39.166612,14978.0,92.0
,,2016-02-08 13:40:01.752259,slurm_normal,1454938840.0,0,1.0,16585,tabular,main_w2_handler1,2579869,11746612,False,,6616180,bam,6002816.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""False""","""Homo_sapiens_nuHg19_mtrCRS""","""False""","""False""",23235799,,23235594,,0,,bg,1.0,True,"""False""","""""","""False""",32.0,,27824896.0,1454938835.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.22.0,2.22.0,,2016-02-08 13:40:47.877584,62761.0,5.0
