create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.nlabel,parameters.plabel,parameters.ruler,parameters.width,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-04-10 10:29:44.674353,slurm_normal,1460284225.0,0.0,1.0,main_w1_handler2,2288868,12406582,False,,155197,fasta,6607216.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",24230813,,"""yes""","""yes""","""yes""","""60""",32.0,,28104400,1460284221.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyseq80/5.0.0,5.0.0,,2016-04-10 10:30:28.762418,62515.0,4.0
2016-09-22 10:33:20.684688,slurm_normal,1474540462.0,0.0,1.0,main_w4_handler1,2796298,13915203,False,,2303,fasta,8137672.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57de7700367699b05'}]","""yes""","""yes""","""yes""","""60""",32.0,,32766319,1474540438.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyseq80/5.0.0,5.0.0,,2016-09-22 10:34:24.846732,88711.0,24.0
2016-09-27 15:57:11.270466,slurm_normal,1474991849.0,0.0,1.0,main_w3_handler1,2814039,13958623,False,,2302,fasta,8177772.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5021776bcd14c3177'}]","""yes""","""yes""","""yes""","""60""",32.0,,33255137,1474991844.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyseq80/5.0.0,5.0.0,,2016-09-27 15:57:31.047291,89727.0,5.0
2016-09-29 14:49:27.457356,slurm_normal,1475160650.0,0.0,1.0,main_w3_handler0,2811944,13974791,False,,2303,fasta,8194098.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5196264cff1bf56c4'}]","""yes""","""yes""","""yes""","""60""",32.0,,32797095,1475160643.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyseq80/5.0.0,5.0.0,,2016-09-29 14:51:08.533248,89580.0,7.0
2016-09-29 15:11:45.683858,slurm_normal,1475162053.0,0.0,1.0,main_w3_handler0,2811951,13975015,False,,2303,fasta,8194396.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56b630d37ffc41aad'}]","""yes""","""yes""","""yes""","""60""",32.0,,32797235,1475162040.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyseq80/5.0.0,5.0.0,,2016-09-29 15:14:17.364030,89586.0,13.0
2016-09-29 15:12:05.992318,slurm_normal,1475162142.0,0.0,1.0,main_w3_handler0,2811947,13975020,False,,2303,fasta,8194400.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57a302a8cbf0389e7'}]","""yes""","""yes""","""yes""","""60""",32.0,,32797110,1475162054.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyseq80/5.0.0,5.0.0,,2016-09-29 15:15:49.253958,89582.0,88.0
2016-09-29 15:11:58.879468,slurm_normal,1475162147.0,0.0,1.0,main_w4_handler1,2811954,13975017,False,,2303,fasta,8194391.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5465a1519861ba581'}]","""yes""","""yes""","""yes""","""60""",32.0,,32797129,1475162024.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyseq80/5.0.0,5.0.0,,2016-09-29 15:15:54.240495,89589.0,123.0
2016-09-29 15:12:10.262998,slurm_normal,1475162179.0,0.0,1.0,main_w3_handler0,2811949,13975021,False,,2303,fasta,8194403.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b91275794347831c'}]","""yes""","""yes""","""yes""","""60""",32.0,,33332286,1475162064.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyseq80/5.0.0,5.0.0,,2016-09-29 15:16:21.206942,89584.0,115.0
2016-09-29 15:12:38.082488,slurm_normal,1475162209.0,0.0,1.0,main_w4_handler0,2811952,13975025,False,,2303,fasta,8194404.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52c1163646ec4d2af'}]","""yes""","""yes""","""yes""","""60""",32.0,,32938346,1475162068.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyseq80/5.0.0,5.0.0,,2016-09-29 15:16:59.248793,89587.0,141.0
2016-09-29 15:15:47.545490,slurm_normal,1475162240.0,0.0,1.0,main_w4_handler1,2811953,13975071,False,,2303,fasta,8194442.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51e08be2d142e62bc'}]","""yes""","""yes""","""yes""","""60""",32.0,,32797124,1475162226.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyseq80/5.0.0,5.0.0,,2016-09-29 15:17:23.187021,89588.0,14.0
