chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input_bams_0|input_bam,input_bams_0|input_bam_filetype,input_bams_10|input_bam,input_bams_10|input_bam_filetype,input_bams_11|input_bam,input_bams_11|input_bam_filetype,input_bams_12|input_bam,input_bams_12|input_bam_filetype,input_bams_13|input_bam,input_bams_13|input_bam_filetype,input_bams_14|input_bam,input_bams_14|input_bam_filetype,input_bams_15|input_bam,input_bams_15|input_bam_filetype,input_bams_16|input_bam,input_bams_16|input_bam_filetype,input_bams_17|input_bam,input_bams_17|input_bam_filetype,input_bams_18|input_bam,input_bams_18|input_bam_filetype,input_bams_19|input_bam,input_bams_19|input_bam_filetype,input_bams_1|input_bam,input_bams_1|input_bam_filetype,input_bams_20|input_bam,input_bams_20|input_bam_filetype,input_bams_21|input_bam,input_bams_21|input_bam_filetype,input_bams_22|input_bam,input_bams_22|input_bam_filetype,input_bams_23|input_bam,input_bams_23|input_bam_filetype,input_bams_24|input_bam,input_bams_24|input_bam_filetype,input_bams_25|input_bam,input_bams_25|input_bam_filetype,input_bams_26|input_bam,input_bams_26|input_bam_filetype,input_bams_27|input_bam,input_bams_27|input_bam_filetype,input_bams_28|input_bam,input_bams_28|input_bam_filetype,input_bams_29|input_bam,input_bams_29|input_bam_filetype,input_bams_2|input_bam,input_bams_2|input_bam_filetype,input_bams_30|input_bam,input_bams_30|input_bam_filetype,input_bams_31|input_bam,input_bams_31|input_bam_filetype,input_bams_32|input_bam,input_bams_32|input_bam_filetype,input_bams_33|input_bam,input_bams_33|input_bam_filetype,input_bams_34|input_bam,input_bams_34|input_bam_filetype,input_bams_35|input_bam,input_bams_35|input_bam_filetype,input_bams_3|input_bam,input_bams_3|input_bam_filetype,input_bams_4|input_bam,input_bams_4|input_bam_filetype,input_bams_5|input_bam,input_bams_5|input_bam_filetype,input_bams_6|input_bam,input_bams_6|input_bam_filetype,input_bams_7|input_bam,input_bams_7|input_bam_filetype,input_bams_8|input_bam,input_bams_8|input_bam_filetype,input_bams_9|input_bam,input_bams_9|input_bam_filetype,input_interval_repeat_0|input_intervals,input_interval_repeat_0|input_intervals_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.gatk_param_type.__current_case__,parameters.gatk_param_type.baq,parameters.gatk_param_type.baq_gap_open_penalty,parameters.gatk_param_type.default_base_qualities,parameters.gatk_param_type.disable_experimental_low_memory_sharding,parameters.gatk_param_type.downsampling_type.__current_case__,parameters.gatk_param_type.downsampling_type.downsampling_type_selector,parameters.gatk_param_type.gatk_param_type_selector,parameters.gatk_param_type.input_exclude_interval_repeat,parameters.gatk_param_type.input_interval_repeat,parameters.gatk_param_type.interval_merging,parameters.gatk_param_type.interval_set_rule,parameters.gatk_param_type.non_deterministic_random_seed,parameters.gatk_param_type.pedigree,parameters.gatk_param_type.pedigree_string_repeat,parameters.gatk_param_type.pedigree_validation_type,parameters.gatk_param_type.read_filter,parameters.gatk_param_type.read_group_black_list_repeat,parameters.gatk_param_type.use_original_qualities,parameters.gatk_param_type.validation_strictness,parameters.number,parameters.platform,parameters.read_group,parameters.reference_source.__current_case__,parameters.reference_source.input_bams,parameters.reference_source.ref_file,parameters.reference_source.reference_source_selector,parameters.sample_file_repeat,parameters.sample_name_repeat,processor_count,ref_file,ref_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-07-24 16:18:20.750097,slurm_normal,1437754820.0,0,1.0,main_w1_handler2,2349855,9968054,False,,486,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4252394.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,,,,,,,basic,,,,,,,,,,,,,"""-1""","""""","""""",1,"[{'__index__': 0, 'input_bam': 20486649}]",20086627,history,[],[],32.0,3199905909.0,fasta,,24298890,1437754724.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/print_reads/gatk_print_reads/0.0.1,0.0.1,,2015-07-24 16:20:27.306159,64864,96.0
,,2015-08-21 18:40:59.286940,slurm_normal,1440190688.0,0,1.0,main_w1_handler1,2239793,10167054,False,,3399834,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4436699.roundup,slurm,,132112168.0,corral-repl,,"""23b3aa66483411e59a73005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,,,,,,,basic,,,,,,,,,,,,,"""-1""","""""","""""",1,"[{'__index__': 0, 'input_bam': 20853924}]",19893446,history,[],[],32.0,3199905909.0,fasta,,24690897,1440190450.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/print_reads/gatk_print_reads/0.0.1,0.0.1,,2015-08-21 20:58:12.060914,60995,238.0
,,2015-09-21 09:53:39.925030,slurm_normal,1442829328.0,0,1.0,main_w2_handler0,2434291,10371393,False,,14084072,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4652611.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,,,,basic,,,,,,,,,,,,,"""-1""","""""","""""",1,"[{'__index__': 0, 'input_bam': 21080179}]",21069544,history,[],[],32.0,3199905909.0,fasta,,25296384,1442829245.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/print_reads/gatk_print_reads/0.0.1,0.0.1,,2015-09-21 09:55:32.582716,68868,83.0
,,2015-09-02 00:03:46.420109,slurm_normal,1441152267.0,0,1.0,main_w1_handler1,2414107,10240553,False,,2071,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4521729.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/ce10.len""","""ce10""",0,,,,,,,basic,,,,,,,,,,,,,"""-1""","""""","""""",1,"[{'__index__': 0, 'input_bam': 20968348}]",20967417,history,[],[],32.0,102291840.0,fasta,,24778914,1441152246.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/print_reads/gatk_print_reads/0.0.1,0.0.1,,2015-09-02 00:04:31.223831,68008,21.0
,,2015-09-02 00:03:49.041290,slurm_normal,1441152269.0,0,1.0,main_w1_handler2,2414107,10240554,False,,3336,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4521731.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/ce10.len""","""ce10""",0,,,,,,,basic,,,,,,,,,,,,,"""-1""","""""","""""",1,"[{'__index__': 0, 'input_bam': 20968351}]",20967417,history,[],[],32.0,102291840.0,fasta,,24778914,1441152249.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/print_reads/gatk_print_reads/0.0.1,0.0.1,,2015-09-02 00:04:33.697766,68008,20.0
,,2015-09-14 17:40:35.511496,slurm_normal,1442252533.0,0,1.0,main_w1_handler1,2215219,10317285,False,,112739674,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4601739.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,,,,basic,,,,,,,,,,,,,"""-1""","""""","""""",1,"[{'__index__': 0, 'input_bam': 21107251}]",18709983,history,[],[],32.0,835714844.0,fasta,,25001458,1442252461.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/print_reads/gatk_print_reads/0.0.1,0.0.1,,2015-09-14 17:42:17.833543,60032,72.0
,,2015-10-08 08:22:46.297393,slurm_normal,1444292724.0,0,1.0,main_w1_handler1,2464412,10526286,False,,490323551,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4800771.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,,,,basic,,,,,,,,,,,,,"""-1""","""""","""""",1,"[{'__index__': 0, 'input_bam': 21439121}]",21438768,history,[],[],32.0,5198187.0,fasta,,25505008,1444292579.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/print_reads/gatk_print_reads/0.0.1,0.0.1,,2015-10-08 08:25:27.723353,59442,145.0
,,2015-11-22 06:53:00.663750,slurm_normal,1448175308.0,0,1.0,main_w1_handler0,2513059,10981680,False,,922748,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5242819.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,,,,,,,basic,,,,,,,,,,,,,"""-1""","""""","""""",1,"[{'__index__': 0, 'input_bam': 22119059}]",22088305,history,[],[],32.0,3140756381.0,fasta,,26389922,1448175194.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/print_reads/gatk_print_reads/0.0.1,0.0.1,,2015-11-22 06:55:10.665939,73590,114.0
,,2015-11-20 22:06:51.129572,slurm_normal,1448057315.0,0,1.0,main_w1_handler2,2513059,10968837,False,,922686,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5230580.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,,,,,,,basic,,,,,,,,,,,,,"""-1""","""""","""""",1,"[{'__index__': 0, 'input_bam': 22101272}]",22088305,history,[],[],32.0,3140756381.0,fasta,,26367893,1448057230.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/print_reads/gatk_print_reads/0.0.1,0.0.1,,2015-11-20 22:08:38.220733,73590,85.0
,,2015-11-21 20:32:36.892028,slurm_normal,1448138069.0,0,1.0,main_w1_handler1,2513059,10978708,False,,1171018,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5239971.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,,,,,,,basic,,,,,,,,,,,,,"""-1""","""""","""""",1,"[{'__index__': 0, 'input_bam': 22115101}]",22088305,history,[],[],32.0,3140756381.0,fasta,,26385785,1448137977.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/print_reads/gatk_print_reads/0.0.1,0.0.1,,2015-11-21 20:34:32.649847,73590,92.0
,,2015-11-24 12:41:20.396476,slurm_normal,1448368971.0,0,1.0,main_w1_handler0,2515871,10993780,False,,946163,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5253260.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,,,,,,,basic,,,,,,,,,,,,,"""-1""","""""","""""",1,"[{'__index__': 0, 'input_bam': 22140703}]",22131290,history,[],[],32.0,3140756381.0,fasta,,26412717,1448368901.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/print_reads/gatk_print_reads/0.0.1,0.0.1,,2015-11-24 12:42:54.509071,74000,70.0
,,2015-11-24 12:42:14.046631,slurm_normal,1448369137.0,0,1.0,main_w1_handler2,2515871,10993785,False,,985032,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5253266.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,,,,,,,basic,,,,,,,,,,,,,"""-1""","""""","""""",1,"[{'__index__': 0, 'input_bam': 22140713}]",22131290,history,[],[],32.0,3140756381.0,fasta,,26412717,1448368952.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/print_reads/gatk_print_reads/0.0.1,0.0.1,,2015-11-24 12:45:41.430897,74000,185.0
,,2015-11-24 12:42:48.356102,slurm_normal,1448369058.0,0,1.0,main_w1_handler2,2515871,10993787,False,,995010,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5253272.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,,,,,,,basic,,,,,,,,,,,,,"""-1""","""""","""""",1,"[{'__index__': 0, 'input_bam': 22140733}]",22131290,history,[],[],32.0,3140756381.0,fasta,,26412717,1448368989.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/print_reads/gatk_print_reads/0.0.1,0.0.1,,2015-11-24 12:44:20.297156,74000,69.0
,,2015-11-24 14:58:58.880566,slurm_normal,1448377240.0,0,1.0,main_w1_handler2,2515867,10995668,False,,995008,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5255134.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,,,,,,,basic,,,,,,,,,,,,,"""-1""","""""","""""",1,"[{'__index__': 0, 'input_bam': 22143221}]",22126242,history,[],[],32.0,3140756381.0,fasta,,26414850,1448377163.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/print_reads/gatk_print_reads/0.0.1,0.0.1,,2015-11-24 15:00:45.992612,73998,77.0
