Tabixized_input,Tabixized_input_filetype,chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.Tabixized_input,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.filterList,parameters.input1,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
12080,tabix,,,2015-03-15 00:52:55.720163,rodeo_normal,1426380846.0,0,1.0,main_w2_handler0,2125374,8949913,False,,743295,vcf_bgzip,3169490.roundup,slurm,,132112168.0,corral-repl,,18859890,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-f \""QUAL > 60\""""",18859889,32.0,,21653965,1426380840.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffilter/vcffilter/0.0.2,0.0.2,,2015-03-15 00:54:08.244664,56280.0,6.0
13242,tabix,,,2015-03-15 00:53:00.171158,rodeo_normal,1426380852.0,0,1.0,main_w1_handler1,2125374,8949922,False,,883932,vcf_bgzip,3169492.roundup,slurm,,132112168.0,corral-repl,,18859899,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-f \""QUAL > 60\""""",18859898,32.0,,21653965,1426380846.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffilter/vcffilter/0.0.2,0.0.2,,2015-03-15 00:54:14.283375,56280.0,6.0
17686,tabix,,,2015-03-15 01:34:01.889559,rodeo_normal,1426383279.0,0,1.0,main_w2_handler0,2125374,8950112,False,,7933304,vcf_bgzip,3169867.roundup,slurm,,132112168.0,corral-repl,,18859838,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-g \""GT = 1/1\""""",18859837,32.0,,21653965,1426383258.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffilter/vcffilter/0.0.2,0.0.2,,2015-03-15 01:34:40.999109,56280.0,21.0
17095,tabix,,,2015-03-15 00:57:01.838152,rodeo_normal,1426381086.0,0,1.0,main_w1_handler0,2125374,8949942,False,,6089053,vcf_bgzip,3169558.roundup,slurm,,132112168.0,corral-repl,,18859919,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-f \""DP > 10\""""",18859918,32.0,,21653965,1426381067.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffilter/vcffilter/0.0.2,0.0.2,,2015-03-15 00:58:07.925533,56280.0,19.0
16361,tabix,,,2015-03-15 01:02:34.402564,rodeo_normal,1426381381.0,0,1.0,main_w2_handler0,2125374,8950012,False,,3534051,vcf_bgzip,3169675.roundup,slurm,,132112168.0,corral-repl,,18859947,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-g \""GT = 1/1\""""",18859945,32.0,,21653965,1426381367.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffilter/vcffilter/0.0.2,0.0.2,,2015-03-15 01:03:03.475198,56280.0,14.0
16863,tabix,,,2015-03-15 00:57:07.194499,rodeo_normal,1426381138.0,0,1.0,main_w2_handler0,2125374,8949954,False,,5048466,vcf_bgzip,3169582.roundup,slurm,,132112168.0,corral-repl,,18859931,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-f \""DP > 10\""""",18859930,32.0,,21653965,1426381121.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffilter/vcffilter/0.0.2,0.0.2,,2015-03-15 00:59:00.383134,56280.0,17.0
16568,tabix,,,2015-03-15 00:57:10.131458,rodeo_normal,1426381103.0,0,1.0,main_w2_handler0,2125374,8949960,False,,4033950,vcf_bgzip,3169568.roundup,slurm,,132112168.0,corral-repl,,18859937,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-f \""DP > 10\""""",18859936,32.0,,21653965,1426381091.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffilter/vcffilter/0.0.2,0.0.2,,2015-03-15 00:58:26.993201,56280.0,12.0
17088,tabix,,,2015-03-15 00:57:08.680357,rodeo_normal,1426381127.0,0,1.0,main_w1_handler0,2125374,8949957,False,,6072235,vcf_bgzip,3169576.roundup,slurm,,132112168.0,corral-repl,,18859934,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-f \""DP > 10\""""",18859933,32.0,,21653965,1426381111.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffilter/vcffilter/0.0.2,0.0.2,,2015-03-15 00:58:49.075440,56280.0,16.0
17201,tabix,,,2015-03-15 01:34:03.381044,rodeo_normal,1426383274.0,0,1.0,main_w1_handler1,2125374,8950115,False,,5815458,vcf_bgzip,3169861.roundup,slurm,,132112168.0,corral-repl,,18859847,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-g \""GT = 1/1\""""",18859846,32.0,,21653965,1426383255.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffilter/vcffilter/0.0.2,0.0.2,,2015-03-15 01:34:36.005646,56280.0,19.0
17654,tabix,,,2015-03-15 01:34:04.477837,rodeo_normal,1426383279.0,0,1.0,main_w2_handler1,2125374,8950117,False,,7921453,vcf_bgzip,3169865.roundup,slurm,,132112168.0,corral-repl,,18859854,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-g \""GT = 1/1\""""",18859852,32.0,,21653965,1426383259.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffilter/vcffilter/0.0.2,0.0.2,,2015-03-15 01:34:41.116028,56280.0,20.0
