annot,annot_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input1,input10,input10_filetype,input11,input11_filetype,input12,input12_filetype,input13,input13_filetype,input14,input14_filetype,input15,input15_filetype,input16,input16_filetype,input17,input17_filetype,input18,input18_filetype,input19,input19_filetype,input1_filetype,input2,input20,input20_filetype,input2_filetype,input3,input3_filetype,input4,input4_filetype,input5,input5_filetype,input6,input6_filetype,input7,input7_filetype,input8,input8_filetype,input9,input9_filetype,input_filetype,input_ref,input_ref_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.annot.values,parameters.chromInfo,parameters.dbkey,parameters.gene_selection,parameters.input.values,parameters.input_ref.values,parameters.input_size,parameters.min_contig,parameters.threshold_contig,parameters.type_file,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2018-02-15 12:02:40.996270,slurm_normal,1518696244.0,1,7680.0,1.0,main_w4_handler1,3430235,18395374,False,,133170819,133170819,,,,,,,,,,,,,,,,,,,,,fasta,,,,,,,,,,,,,,,,,,,fasta,,,12481010,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""eukaryote""","[{'src': 'hda', 'id': 33874140}]",,"""""","""500""","""0,1000""","""contig""",32.0,,43855446,1518696177.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.6.3,4.6.3,,2018-02-15 12:04:07.414496,121532.0,67.0
,,2018-02-15 15:39:00.051134,slurm_normal,1518709210.0,1,7680.0,1.0,main_w3_handler1,3430249,18398200,False,,110419412,110419412,,,,,,,,,,,,,,,,,,,,,fasta,,,,,,,,,,,,,,,,,,,fasta,,,12483679,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""eukaryote""","[{'src': 'hda', 'id': 33874408}]",,"""""","""500""","""0,1000""","""contig""",32.0,,43855446,1518709157.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.6.3,4.6.3,,2018-02-15 15:40:13.839201,121532.0,53.0
,,2018-02-15 16:43:02.613905,reserved_normal,1518713011.0,1,7680.0,1.0,main_w3_handler0,3277174,18399326,False,,4647215,4647215,,,,,,,,,,,,,,,,,,,,,fasta,,,,,,,,,,,,,,,,,,,fasta,,,12485059.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""prokaryotes""","[{'src': 'hda', 'id': 31577607}]",,"""""","""500""","""0,1000""","""contig""",32.0,,43652354,1518713000.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.6.3,4.6.3,,2018-02-15 16:43:39.342089,5254.0,11.0
,,2018-02-15 16:59:36.051186,reserved_normal,1518719493.0,1,7680.0,1.0,main_w4_handler1,3277174,18399753,False,,4647215,4647215,,,,,,,,,,,,,,,,,,,,,fasta,,,,,,,,,,,,,,,,,,,fasta,,,12486831.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""prokaryotes""","[{'src': 'hda', 'id': 33879956}]",,"""""","""500""","""0,1000""","""contig""",32.0,,43652354,1518719479.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.6.3,4.6.3,,2018-02-15 18:31:36.445361,5254.0,14.0
,,2018-02-15 17:02:28.702847,reserved_normal,1518720869.0,1,7680.0,1.0,main_w4_handler0,3277174,18399822,False,,4558153,4558153,,,,,,,,,,,,,,,,,,,,,fasta,,,,,,,,,,,,,,,,,,,fasta,,,12487282.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""prokaryotes""","[{'src': 'hda', 'id': 33880597}]",,"""""","""500""","""0,1000""","""contig""",32.0,,43652354,1518720858.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.6.3,4.6.3,,2018-02-15 18:54:33.063136,5254.0,11.0
,,2018-02-15 22:27:45.520603,slurm_normal,1518733699.0,1,7680.0,1.0,main_w3_handler1,3416913,18403395,False,,4718051,4718051,,,,,,,,,,,,,,,,,,,,,fasta,,,,,,,,,,,,,,,,,,,fasta,,,12489290,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""prokaryotes""","[{'src': 'hda', 'id': 33881111}]",,"""50""","""500""","""0,1000""","""contig""",32.0,,43680327,1518733677.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.6.3,4.6.3,,2018-02-15 22:28:22.094057,121313.0,22.0
,,2018-02-16 09:35:31.629885,slurm_normal,1518773811.0,1,7680.0,1.0,main_w4_handler1,3396820,18408473,False,,4718051,4718051,,,,,,,,,,,,,,,,,,,,,fasta,,,,,,,,,,,,,,,,,,,fasta,,,12494295,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""prokaryotes""","[{'src': 'hda', 'id': 33890778}]",,"""""","""500""","""0,1000""","""contig""",32.0,,43692488,1518773762.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.6.3,4.6.3,,2018-02-16 09:36:59.196042,111084.0,49.0
,,2018-02-16 19:19:09.647673,slurm_normal,1518808768.0,1,7680.0,1.0,main_w4_handler1,3432082,18414794,False,,4995047,4995047,,,,,,,,,,,,,,,,,,,,,fasta,,,,,,,,,,,,,,,,,,,fasta,,,12501072,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""prokaryotes""","[{'src': 'hda', 'id': 33904181}]",,"""""","""500""","""0,1000""","""contig""",32.0,,43588898,1518808759.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.6.3,4.6.3,,2018-02-16 19:19:31.571521,119467.0,9.0
,,2018-02-16 19:57:02.837541,slurm_normal,1518811058.0,1,7680.0,1.0,main_w4_handler1,3425020,18415250,False,,2278646,2278646,,,,,,,,,,,,,,,,,,,,,fasta,,,,,,,,,,,,,,,,,,,fasta,,,12501443,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""prokaryotes""","[{'src': 'hda', 'id': 33841050}]",,"""""","""500""","""0,1000""","""contig""",32.0,,43834762,1518811050.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.6.3,4.6.3,,2018-02-16 19:57:49.012127,100013.0,8.0
,,2018-02-16 22:18:27.149403,reserved_normal,1518819528.0,1,7680.0,1.0,main_w4_handler0,3432311,18416667,False,,4718051,4718051,,,,,,,,,,,,,,,,,,,,,fasta,,,,,,,,,,,,,,,,,,,fasta,,,12502894.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""prokaryotes""","[{'src': 'hda', 'id': 33907851}]",,"""""","""500""","""0,1000""","""contig""",32.0,,43964133,1518819515.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.6.3,4.6.3,,2018-02-16 22:18:51.746999,5254.0,13.0
