create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.annotations,parameters.chr,parameters.chromInfo,parameters.dbkey,parameters.filter.__current_case__,parameters.filter.specificEffects,parameters.filterOut,parameters.generate_stats,parameters.input.values,parameters.inputFormat,parameters.input|__identifier__,parameters.noLog,parameters.offset,parameters.outputConditional.__current_case__,parameters.outputConditional.gatk_v1,parameters.outputConditional.outputFormat,parameters.snpDb.__current_case__,parameters.snpDb.extra_annotations,parameters.snpDb.genomeSrc,parameters.snpDb.genome_version,parameters.snpDb.regulation,parameters.snpDb.snpeff_db.values,parameters.spliceRegion.__current_case__,parameters.spliceRegion.setSpliceRegions,parameters.spliceSiteSize,parameters.transcripts.values,parameters.udLength,processor_count,runner_name,session_id,snpeff_db,snpeff_db_filetype,start_epoch,state,swaptotal,tool_id,tool_version,traceback,transcripts,transcripts_filetype,update_time,user_id,runtime
2017-06-19 11:35:25.511406,slurm_normal,1497872177.0,0,,1.0,main_w3_handler1,3078807,16131113,False,,4246631,tabular,10211326.roundup,slurm,,132112168.0,corral-repl,,,,"""""","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,"""true""","[{'src': 'hda', 'id': 30078119}]","""vcf""",,"""true""","""default""",0,,vcf,,,,,,,0,no,"""2""",,"""0""",32.0,,37425655.0,18.0,snpeffdb,1497872137.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.1.0,4.1.0,,,,2017-06-19 11:36:18.750958,,40.0
2017-06-19 11:50:18.042225,slurm_normal,1497873126.0,0,,1.0,main_w3_handler0,3078807,16131188,False,,4246631,tabular,10211385.roundup,slurm,,132112168.0,corral-repl,,,,"""""","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,"""true""","[{'src': 'hda', 'id': 30078119}]","""vcf""",,"""true""","""default""",0,,vcf,,,,,,,0,no,"""2""",,"""0""",32.0,,37425655.0,18.0,snpeffdb,1497873048.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.1.0,4.1.0,,,,2017-06-19 11:52:10.147664,,78.0
2017-06-20 08:21:50.806375,slurm_normal,1497947011.0,0,,1.0,main_w4_handler1,2712662,16140373,False,,3404128,vcf,10219904.roundup,slurm,,132112168.0,corral-repl,,,"[""-canon"", ""-lof"", ""-classic"", ""-hgvs"", ""-sequenceOntology"", ""-formatEff""]","""""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",0,no,,"""true""","[{'src': 'hda', 'id': 28378308}]","""vcf""",,"""true""","""default""",1,true,gatk,2.0,,named,GRCh38.76,,,0,no,"""9""",,"""200""",32.0,,38689838.0,,,1497946934.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.1.0,4.1.0,,,,2017-06-20 08:23:33.399873,85122.0,77.0
2017-06-21 15:00:32.276680,slurm_normal,1498057267.0,0,,1.0,main_w4_handler0,3166444,16154424,False,,25372,vcf,10232880.roundup,slurm,,132112168.0,corral-repl,,,"[""-cancer"", ""-canon"", ""-geneId"", ""-lof"", ""-oicr"", ""-onlyReg"", ""-classic"", ""-hgvs"", ""-sequenceOntology"", ""-formatEff"", ""-noHgvs"", ""-noLof"", ""-noShiftHgvs""]","""""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,no,,"""true""","[{'src': 'hda', 'id': 30112566}]","""vcf""",,"""true""","""default""",0,,vcf,2.0,,named,hg19,,,0,no,"""2""",,"""5000""",32.0,,38835275.0,,,1498057254.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.1.0,4.1.0,,,,2017-06-21 15:01:11.124165,42087.0,13.0
2017-06-21 15:08:32.108712,slurm_normal,1498057742.0,0,,1.0,main_w3_handler1,3166718,16154488,False,,21734,vcf,10232946.roundup,slurm,,132112168.0,corral-repl,,,"[""-cancer"", ""-canon"", ""-geneId"", ""-lof"", ""-oicr"", ""-onlyReg"", ""-classic"", ""-hgvs"", ""-sequenceOntology"", ""-formatEff"", ""-noHgvs"", ""-noLof"", ""-noShiftHgvs""]","""""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,no,,"""true""","[{'src': 'hda', 'id': 30112754}]","""vcf""",,"""true""","""default""",0,,vcf,2.0,,named,hg19,,,0,no,"""2""",,"""5000""",32.0,,38835275.0,,,1498057736.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.1.0,4.1.0,,,,2017-06-21 15:09:09.790390,42087.0,6.0
2017-06-21 15:40:29.676583,slurm_normal,1498059661.0,0,,1.0,main_w4_handler0,3166444,16154751,False,,37161,vcf,10233199.roundup,slurm,,132112168.0,corral-repl,,,"[""-cancer"", ""-canon"", ""-geneId"", ""-lof"", ""-oicr"", ""-onlyReg"", ""-classic"", ""-hgvs"", ""-sequenceOntology"", ""-formatEff"", ""-noHgvs"", ""-noLof"", ""-noShiftHgvs""]","""""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,no,,"""true""","[{'src': 'hda', 'id': 30113163}]","""vcf""",,"""true""","""default""",0,,vcf,2.0,,named,hg19,,,0,no,"""2""",,"""5000""",32.0,,38835275.0,,,1498059654.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.1.0,4.1.0,,,,2017-06-21 15:41:06.230379,42087.0,7.0
2017-06-21 15:47:49.797651,slurm_normal,1498060105.0,0,,1.0,main_w4_handler1,3166718,16154820,False,,37628,vcf,10233267.roundup,slurm,,132112168.0,corral-repl,,,"[""-cancer"", ""-canon"", ""-geneId"", ""-lof"", ""-oicr"", ""-onlyReg"", ""-classic"", ""-hgvs"", ""-sequenceOntology"", ""-formatEff"", ""-noHgvs"", ""-noLof"", ""-noShiftHgvs""]","""""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,no,,"""true""","[{'src': 'hda', 'id': 30113268}]","""vcf""",,"""true""","""default""",0,,vcf,2.0,,named,hg19,,,0,no,"""2""",,"""5000""",32.0,,38835275.0,,,1498060094.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.1.0,4.1.0,,,,2017-06-21 15:48:30.083984,42087.0,11.0
2017-06-21 16:20:01.341896,slurm_normal,1498062046.0,0,,1.0,main_w4_handler1,3166444,16155101,False,,15563,vcf,10233572.roundup,slurm,,132112168.0,corral-repl,,,"[""-cancer"", ""-canon"", ""-geneId"", ""-lof"", ""-oicr"", ""-onlyReg"", ""-classic"", ""-hgvs"", ""-sequenceOntology"", ""-formatEff"", ""-noHgvs"", ""-noLof"", ""-noShiftHgvs""]","""""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,no,,"""true""","[{'src': 'hda', 'id': 30113666}]","""vcf""",,"""true""","""default""",0,,vcf,2.0,,named,hg19,,,0,no,"""2""",,"""5000""",32.0,,38835275.0,,,1498062024.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.1.0,4.1.0,,,,2017-06-21 16:20:49.589457,42087.0,22.0
2017-06-24 18:08:04.212906,slurm_normal,1498328862.0,0,,1.0,main_w4_handler0,3170106,16175963,False,,2386440735,vcf,10252386.roundup,slurm,,132112168.0,corral-repl,,,,"""""","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,"""true""","[{'src': 'hda', 'id': 30143118}]","""vcf""",,"""true""","""default""",1,true,gatk,2.0,,named,hg19,,,0,no,"""2""",,"""5000""",32.0,,38893269.0,,,1498328849.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.1.0,4.1.0,,,,2017-06-24 18:27:50.423176,,13.0
2017-06-25 22:31:02.187609,slurm_normal,1498429892.0,0,,1.0,main_w4_handler1,3170403,16184297,False,,31693102,vcf,10260045.roundup,slurm,,132112168.0,corral-repl,,,"[""-cancer"", ""-canon"", ""-geneId"", ""-lof"", ""-oicr"", ""-onlyReg"", ""-classic"", ""-hgvs"", ""-sequenceOntology"", ""-formatEff"", ""-noHgvs"", ""-noLof"", ""-noShiftHgvs""]","""""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,no,,"""true""","[{'src': 'hda', 'id': 30154748}]","""vcf""",,"""true""","""default""",0,,vcf,2.0,,named,hg19,,,0,no,"""2""",,"""5000""",32.0,,38899824.0,,,1498429872.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.1.0,4.1.0,,,,2017-06-25 22:31:34.971097,42087.0,20.0
2017-06-28 14:30:44.538825,slurm_normal,1498666195.0,0,,1.0,main_w4_handler0,3173026,16212347,False,,56789091426,vcf,10288432.roundup,slurm,,132112168.0,corral-repl,,,,"""""","""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",0,no,,"""true""","[{'src': 'hda', 'id': 30193921}]","""vcf""",,"""true""","""default""",0,,vcf,,,,,,,0,no,"""2""",,"""5000""",32.0,,38969908.0,175.0,snpeffdb,1498660262.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.1.0,4.1.0,,,,2017-06-28 16:10:00.388577,86956.0,5933.0
2017-06-29 10:59:44.211433,slurm_normal,1498734010.0,0,,1.0,main_w4_handler1,3172556,16221675,False,,28283,vcf,10297809.roundup,slurm,,132112168.0,corral-repl,,,"[""-cancer"", ""-canon"", ""-geneId"", ""-lof"", ""-oicr"", ""-onlyReg"", ""-classic"", ""-hgvs"", ""-sequenceOntology"", ""-formatEff"", ""-noHgvs"", ""-noLof"", ""-noShiftHgvs""]","""""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,no,,"""true""","[{'src': 'hda', 'id': 30227274}]","""vcf""",,"""true""","""default""",0,,vcf,2.0,,named,hg19,,,0,no,"""2""",,"""5000""",32.0,,38918233.0,,,1498733998.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.1.0,4.1.0,,,,2017-06-29 11:00:13.919267,42087.0,12.0
2017-06-30 13:28:33.986683,slurm_normal,1498829350.0,0,,1.0,main_w3_handler1,2773446,16231206,False,,309521,vcf,10307119.roundup,slurm,,132112168.0,corral-repl,,,,"""""","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,"""true""","[{'src': 'hda', 'id': 30246979}]","""vcf""",,"""true""","""default""",0,,vcf,,,,,,,0,no,"""2""",,"""5000""",32.0,,38964774.0,46.0,snpeffdb,1498829330.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.1.0,4.1.0,,,,2017-06-30 13:29:14.335065,87686.0,20.0
2017-07-03 10:40:26.855698,slurm_normal,1499090051.0,0,,1.0,main_w3_handler0,3180108,16247355,False,,3845492599,vcf,10323515.roundup,slurm,,132112168.0,corral-repl,,,,"""""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",0,no,,"""true""","[{'src': 'hda', 'id': 30273766}]","""vcf""",,"""true""","""default""",0,,vcf,,,,,,,0,no,"""2""",,"""5000""",32.0,,39066732.0,15.0,snpeffdb,1499089649.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.1.0,4.1.0,,,,2017-07-03 13:54:14.232612,86956.0,402.0
2017-07-05 08:56:11.653667,slurm_normal,1499254371.0,0,,1.0,main_w4_handler1,3181630,16260353,False,,4422711,vcf,10332697.roundup,slurm,,132112168.0,corral-repl,,,,"""""","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,"""true""","[{'src': 'hda', 'id': 30300032}]","""vcf""",,"""true""","""default""",0,,vcf,,,,,,,0,no,"""2""",,"""5000""",32.0,,39091227.0,175.0,snpeffdb,1499254291.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.1.0,4.1.0,,,,2017-07-05 11:32:54.616661,86956.0,80.0
2017-07-05 15:41:35.088516,slurm_normal,1499269449.0,0,,1.0,main_w4_handler1,3182730,16264169,False,,30391,vcf,10335466.roundup,slurm,,132112168.0,corral-repl,,,,"""""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,no,,"""true""","[{'src': 'hda', 'id': 30305137}]","""vcf""",,"""true""","""default""",0,,vcf,,,,,,,0,no,"""2""",,"""5000""",32.0,,39113743.0,138.0,snpeffdb,1499269312.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.1.0,4.1.0,,,,2017-07-05 15:44:11.711315,51845.0,137.0
