create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.cfile,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.out_format1,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-09-18 13:53:31.548557,slurm_normal,1442584444.0,0.0,,1.0,main_w2_handler1,2443619,10353623,False,,21115,fasta,4636210.roundup,slurm,,132112168.0,corral-repl,,"""Ehum.cut""","""/galaxy-repl/localdata/chrom/?.len""","""?""",21163204,,"""fasta""",32.0,,25251597,1442584439.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: backtranseq2/5.0.0,5.0.0,,2015-09-18 13:54:07.741151,,5.0
2015-09-18 14:05:28.395849,slurm_normal,1442585163.0,0.0,,1.0,main_w1_handler0,2443619,10353902,False,,7265,fasta,4636425.roundup,slurm,,132112168.0,corral-repl,,"""Ehum.cut""","""/galaxy-repl/localdata/chrom/?.len""","""?""",21163536,,"""fasta""",32.0,,25251597,1442585145.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: backtranseq2/5.0.0,5.0.0,,2015-09-18 14:06:05.818011,,18.0
2016-04-26 15:32:49.539983,slurm_normal,1461684789.0,0.0,,1.0,main_w2_handler0,2371140,12624532,False,,607,fasta,6827830.roundup,slurm,,132112168.0,corral-repl,,"""Ehum.cut""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b504241cc3cfb59559'}]","""fasta""",32.0,,29835594,1461684783.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: backtranseq2/5.0.0,5.0.0,,2016-04-26 15:33:11.006285,26969.0,6.0
2016-04-26 15:26:19.697918,slurm_normal,1461684408.0,0.0,,1.0,main_w2_handler1,2371140,12624471,False,,607,fasta,6827590.roundup,slurm,,132112168.0,corral-repl,,"""Ehum.cut""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b504241cc3cfb59559'}]","""fasta""",32.0,,29835594,1461684394.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: backtranseq2/5.0.0,5.0.0,,2016-04-26 15:26:53.499823,26969.0,14.0
2015-10-30 12:02:51.160025,slurm_normal,1446206588.0,0.0,,1.0,main_w2_handler1,2474236,10772074,False,,921,fasta,5030586.roundup,slurm,,132112168.0,corral-repl,,"""Ehum.cut""","""/galaxy-repl/localdata/chrom/?.len""","""?""",21584548,,"""fasta""",32.0,,25725961,1446206584.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: backtranseq2/5.0.0,5.0.0,,2015-10-30 12:03:12.510318,71468.0,4.0
2015-10-16 23:48:24.245633,slurm_normal,1445039345.0,0.0,,1.0,main_w1_handler1,2474852,10608391,False,,4186,fasta,4873830.roundup,slurm,,132112168.0,corral-repl,,"""Ehum.cut""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",21573598,,"""fasta""",32.0,,25734819,1445039338.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: backtranseq2/5.0.0,5.0.0,,2015-10-16 23:49:09.873399,,7.0
2015-10-17 00:00:08.320494,slurm_normal,1445040034.0,0.0,,1.0,main_w1_handler1,2474852,10608558,False,,17922,fasta,4874084.roundup,slurm,,132112168.0,corral-repl,,"""Ehum.cut""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",21573846,,"""fasta""",32.0,,25734819,1445040031.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: backtranseq2/5.0.0,5.0.0,,2015-10-17 00:00:38.446600,,3.0
2015-10-17 17:09:47.481360,slurm_normal,1445101805.0,0.0,,1.0,main_w1_handler2,2472426,10614897,False,,923,fasta,4883659.roundup,slurm,,132112168.0,corral-repl,,"""Ehum.cut""","""/galaxy-repl/localdata/chrom/?.len""","""?""",21583185,,"""fasta""",32.0,,25742659,1445101800.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: backtranseq2/5.0.0,5.0.0,,2015-10-17 17:10:07.528395,71356.0,5.0
2015-11-07 13:02:02.126888,slurm_normal,1446901398.0,0.0,,1.0,main_w2_handler0,2457152,10841173,False,,313852333,fasta,5096097.roundup,slurm,,132112168.0,corral-repl,,"""Ehum.cut""","""/galaxy-repl/localdata/chrom/?.len""","""?""",21910575,,"""fasta""",32.0,,24971379,1446901330.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: backtranseq2/5.0.0,5.0.0,,2015-11-07 13:03:21.285166,17910.0,68.0
2015-11-07 12:59:55.452936,slurm_normal,1446901210.0,0.0,,1.0,main_w1_handler1,2457152,10841168,False,,313852333,fasta,5096092.roundup,slurm,,132112168.0,corral-repl,,"""Eeco.cut""","""/galaxy-repl/localdata/chrom/?.len""","""?""",21910575,,"""fasta""",32.0,,24971379,1446901204.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: backtranseq2/5.0.0,5.0.0,,2015-11-07 13:00:11.445005,17910.0,6.0
