chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.assume_sorted,parameters.chromInfo,parameters.dbkey,parameters.inputFile.values,parameters.is_bisulfite_sequenced,parameters.minimum_genome_fraction,parameters.reference_source.__current_case__,parameters.reference_source.ref_file,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,parameters.validation_stringency,parameters.window_size,processor_count,ref_file,ref_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-07-25 20:38:28.853288,slurm_normal,1501015474.0,0,,1.0,main_w3_handler0,3199163,16417792,False,,2053853456,bam,10482963.roundup,slurm,,132112168.0,corral-repl,,"""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 30610151}]","""true""","""5e-05""",0,hg19,,cached,"""LENIENT""","""100""",32.0,,,,39221785,1501015120.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/2.7.1.0,2.7.1.0,,2017-07-25 20:44:38.877311,108793,354.0
,,2017-07-26 18:21:00.333203,slurm_normal,1501093552.0,0,,1.0,main_w3_handler1,3203531,16427067,False,,234178498,bam,10493812.roundup,slurm,,132112168.0,corral-repl,,"""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 30627805}]","""true""","""5e-05""",0,hg19,,cached,"""LENIENT""","""100""",32.0,,,,39078684,1501093312.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/2.7.1.0,2.7.1.0,,2017-07-26 18:25:56.168462,108487,240.0
,,2017-08-07 18:19:05.629665,slurm_normal,1502130192.0,0,,1.0,main_w4_handler1,3213186,16523079,False,,122725779,bam,10592587.roundup,slurm,,132112168.0,corral-repl,,"""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 30786286}]","""true""","""5e-05""",0,hg19,,cached,"""LENIENT""","""100""",32.0,,,,37859574,1502129957.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/2.7.1.0,2.7.1.0,,2017-08-07 18:23:17.452189,105586,235.0
,,2017-08-22 05:48:51.625870,slurm_normal,1503381140.0,0,,1.0,main_w4_handler0,3229034,16628956,False,,7568768,bam,10701226.roundup,slurm,,132112168.0,corral-repl,,"""true""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","[{'src': 'hda', 'id': 30946004}]","""true""","""5e-05""",0,mm10,,cached,"""LENIENT""","""100""",32.0,,,,39994601,1503380942.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/2.7.1.0,2.7.1.0,,2017-08-22 05:52:24.361043,52034,198.0
,,2017-08-22 05:48:51.969125,slurm_normal,1503381157.0,0,,1.0,main_w3_handler0,3229034,16628957,False,,15350169,bam,10701227.roundup,slurm,,132112168.0,corral-repl,,"""true""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","[{'src': 'hda', 'id': 30946005}]","""true""","""5e-05""",0,mm10,,cached,"""LENIENT""","""100""",32.0,,,,39994601,1503380945.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/2.7.1.0,2.7.1.0,,2017-08-22 05:52:39.177709,52034,212.0
,,2017-10-03 17:11:02.916053,slurm_normal,1507050837.0,0,,1.0,main_w4_handler1,3273853,17012547,False,,67747242,bam,11067766.roundup,slurm,,132112168.0,corral-repl,,"""true""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""","[{'src': 'hda', 'id': 31541099}]","""true""","""5e-05""",0,hg38,,cached,"""LENIENT""","""100""",32.0,,,,41023669,1507050671.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/2.7.1.0,2.7.1.0,,2017-10-03 17:14:01.533606,46373,166.0
31.0,len,2017-10-05 08:02:59.679268,slurm_normal,1507190604.0,0,,1.0,main_w3_handler0,3274990,17028849,False,,1299197,sam,11085121.roundup,slurm,,132112168.0,corral-repl,,"""true""","""/galaxy-repl/main/files/021/565/dataset_21565586.dat""","""?""","[{'src': 'hda', 'id': 31554211}]","""true""","""5e-05""",1,,"[{'src': 'hda', 'id': 31553121}]",history,"""LENIENT""","""100""",32.0,10222.0,fasta,,41055547,1507190595.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/2.7.1.0,2.7.1.0,,2017-10-05 08:03:30.136402,6835,9.0
,,2017-11-04 09:18:47.512591,slurm_normal,1509787153.0,0,,1.0,main_w4_handler0,3311032,17325794,False,,115000239,bam,11386687,slurm,,132112168.0,corral-repl,,"""true""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/eschColi_K12.len""","""eschColi_K12""","[{'src': 'hda', 'id': 32061977}]","""true""","""5e-05""",0,eschColi_K12,,cached,"""LENIENT""","""100""",32.0,,,,41748881,1509787140.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/2.7.1.0,2.7.1.0,,2017-11-04 09:19:16.034810,79028,13.0
,,2017-11-04 09:19:12.508248,slurm_normal,1509787186.0,0,,1.0,main_w3_handler0,3311032,17325795,False,,174402102,bam,11386690,slurm,,132112168.0,corral-repl,,"""true""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/eschColi_K12.len""","""eschColi_K12""","[{'src': 'hda', 'id': 32061981}]","""true""","""5e-05""",0,eschColi_K12,,cached,"""LENIENT""","""100""",32.0,,,,41748881,1509787172.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/2.7.1.0,2.7.1.0,,2017-11-04 09:19:50.697376,79028,14.0
,,2017-11-04 09:19:31.343575,slurm_normal,1509787192.0,0,,1.0,main_w4_handler0,3311032,17325796,False,,106446036,bam,11386692,slurm,,132112168.0,corral-repl,,"""true""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/eschColi_K12.len""","""eschColi_K12""","[{'src': 'hda', 'id': 32062005}]","""true""","""5e-05""",0,eschColi_K12,,cached,"""LENIENT""","""100""",32.0,,,,41748881,1509787180.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/2.7.1.0,2.7.1.0,,2017-11-04 09:19:55.687493,79028,12.0
,,2017-11-04 09:19:44.076434,slurm_normal,1509787326.0,0,,1.0,main_w3_handler0,3311032,17325798,False,,174145700,bam,11386706,slurm,,132112168.0,corral-repl,,"""true""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/eschColi_K12.len""","""eschColi_K12""","[{'src': 'hda', 'id': 32062079}]","""true""","""5e-05""",0,eschColi_K12,,cached,"""LENIENT""","""100""",32.0,,,,41748881,1509787289.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/2.7.1.0,2.7.1.0,,2017-11-04 09:22:09.835493,79028,37.0
,,2017-11-27 03:12:09.863944,slurm_normal,1511752416.0,0,,1.0,main_w4_handler0,3260683,17597311,False,,67750479,bam,11656462,slurm,,132112168.0,corral-repl,,"""true""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32551649}]","""true""","""5e-05""",0,felCat4,,cached,"""LENIENT""","""100""",32.0,,,,42269884,1511752334.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/2.7.1.0,2.7.1.0,,2017-11-27 03:13:37.578662,111965,82.0
,,2017-11-30 10:37:05.788600,slurm_normal,1512038706.0,0,,1.0,main_w3_handler0,2799585,17648853,False,,3326189561,bam,11707888,slurm,,132112168.0,corral-repl,,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/rn6.len""","""rn6""","[{'src': 'hda', 'id': 32579119}]","""true""","""5e-05""",0,rn6,,cached,"""LENIENT""","""100""",32.0,,,,42298520,1512038242.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/2.7.1.0,2.7.1.0,,2017-11-30 10:45:08.232942,50398,464.0
,,2018-02-13 10:18:13.450292,slurm_normal,1518517320.0,0,7680.0,1.0,main_w3_handler1,3145058,18363548,False,,28600263,bam,12448428,slurm,,132112168.0,corral-repl,,"""true""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""","[{'src': 'hda', 'id': 33826111}]","""true""","""5e-05""",0,hg38,,cached,"""LENIENT""","""100""",32.0,,,,43879846,1518517101.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/2.7.1.0,2.7.1.0,,2018-02-13 10:22:02.295696,107319,219.0
