create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chrom,parameters.chromInfo,parameters.dbkey,parameters.input,parameters.input.values,parameters.level,parameters.mode,parameters.plot_value.__current_case__,parameters.plot_value.choice,parameters.plot_value.score_col,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-06-29 09:38:42.159545,slurm_normal,1435571063.0,0,1.0,main_w2_handler1,2358760,9756728,False,,427389950,interval,4060094.roundup,slurm,,132112168.0,corral-repl,,"""""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20173260,,"""7""","""mean""",0,score,5,32.0,,23884369,1435571030.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/hgv_hilbertvis/hgv_hilbertvis/1.0.0,1.0.0,,2015-06-29 09:44:26.052171,,33.0
2015-06-29 09:38:41.584631,slurm_normal,1435571023.0,0,1.0,main_w1_handler2,2358760,9756727,False,,427116374,interval,4060089.roundup,slurm,,132112168.0,corral-repl,,"""""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20173251,,"""7""","""mean""",0,score,5,32.0,,23884369,1435570990.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/hgv_hilbertvis/hgv_hilbertvis/1.0.0,1.0.0,,2015-06-29 09:43:44.521354,,33.0
2015-06-29 09:55:20.059038,slurm_normal,1435571842.0,0,1.0,main_w1_handler0,2358760,9756817,False,,425873607,interval,4060165.roundup,slurm,,132112168.0,corral-repl,,"""""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20173603,,"""7""","""mean""",0,score,5,32.0,,23884369,1435571801.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/hgv_hilbertvis/hgv_hilbertvis/1.0.0,1.0.0,,2015-06-29 09:57:24.748898,,41.0
2015-06-29 09:38:59.203631,slurm_normal,1435570906.0,0,1.0,main_w1_handler1,2358760,9756731,False,,426653720,interval,4060076.roundup,slurm,,132112168.0,corral-repl,,"""""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20173249,,"""7""","""max""",0,score,5,32.0,,23884369,1435570879.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/hgv_hilbertvis/hgv_hilbertvis/1.0.0,1.0.0,,2015-06-29 09:41:47.756156,,27.0
2015-10-09 22:42:19.900477,slurm_normal,1444430626.0,0,1.0,main_w2_handler0,2466332,10539047,False,,59077617,interval,4813045.roundup,slurm,,132112168.0,corral-repl,,"""""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",21463125,,"""9""","""absmax""",0,score,2,32.0,,25601407,1444430567.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/hgv_hilbertvis/hgv_hilbertvis/1.0.0,1.0.0,,2015-10-09 22:43:48.286761,70583.0,59.0
2016-10-15 10:30:01.264008,slurm_normal,1476527427.0,0,1.0,main_w3_handler0,2855949,14088029,False,,2730578,interval,8304563.roundup,slurm,,132112168.0,corral-repl,,"""""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5441a45ba6106f6d9'}]","""9""","""absmax""",0,score,2,32.0,,33711875,1476527418.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/hgv_hilbertvis/hgv_hilbertvis/1.0.0,1.0.0,,2016-10-15 10:30:31.414493,,9.0
2015-01-25 07:05:58.340588,rodeo_normal,1422169580.0,0,1.0,main_w2_handler1,1769212,8601550,False,,272,bed,2558065.roundup,slurm,,132112264.0,corral-repl,,"""""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",18282525,,"""9""","""absmax""",0,score,2,32.0,,20640333,1422169569.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/hgv_hilbertvis/hgv_hilbertvis/1.0.0,1.0.0,,2015-01-25 07:06:21.143713,43966.0,11.0
2014-12-19 08:10:38.227246,rodeo_normal,1418976667.0,0,1.0,main_w2_handler1,2153258,8444226,False,,19890,interval,602024.rodeo,slurm,,16332532.0,corral-repl,,"""""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",18029653,,"""9""","""absmax""",0,score,2,2.0,,17353548,1418976654.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/hgv_hilbertvis/hgv_hilbertvis/1.0.0,1.0.0,,2014-12-19 08:11:11.910172,6102.0,13.0
2017-08-07 18:45:52.788105,slurm_normal,1502131590.0,0,1.0,main_w4_handler1,3123707,16523299,False,,4470289,bed,10592810.roundup,slurm,,132112168.0,corral-repl,,"""""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 30749701}]","""9""","""absmax""",0,score,5,32.0,,38169765,1502131563.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/hgv_hilbertvis/hgv_hilbertvis/1.0.0,1.0.0,,2017-08-07 18:46:35.227195,78577.0,27.0
2017-08-07 18:45:52.963304,slurm_normal,1502131618.0,0,1.0,main_w3_handler1,3123707,16523300,False,,6788038,bed,10592809.roundup,slurm,,132112168.0,corral-repl,,"""""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 30753618}]","""9""","""absmax""",0,score,5,32.0,,38169765,1502131558.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/hgv_hilbertvis/hgv_hilbertvis/1.0.0,1.0.0,,2017-08-07 18:47:01.440586,78577.0,60.0
2017-09-22 11:52:32.871360,slurm_normal,1506081210.0,0,1.0,main_w3_handler0,3261570,16898301,False,,4686606,bed,10967102.roundup,slurm,,132112168.0,corral-repl,,"""""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""",,"[{'src': 'hda', 'id': 31347771}]","""9""","""absmax""",0,score,5,32.0,,40713345,1506081163.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/hgv_hilbertvis/hgv_hilbertvis/1.0.0,1.0.0,,2017-09-22 11:53:33.078373,112007.0,47.0
