chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,gene_annotation_model,gene_annotation_model_filetype,handler,history_id,id,imported,info,input1,input10,input10_filetype,input11,input11_filetype,input12,input12_filetype,input13,input13_filetype,input14,input14_filetype,input15,input15_filetype,input16,input16_filetype,input17,input17_filetype,input18,input18_filetype,input19,input19_filetype,input1_filetype,input2,input20,input20_filetype,input21,input21_filetype,input22,input22_filetype,input23,input23_filetype,input24,input24_filetype,input25,input25_filetype,input26,input26_filetype,input27,input27_filetype,input28,input28_filetype,input29,input29_filetype,input2_filetype,input3,input30,input30_filetype,input31,input31_filetype,input32,input32_filetype,input33,input33_filetype,input34,input34_filetype,input35,input35_filetype,input36,input36_filetype,input37,input37_filetype,input38,input38_filetype,input39,input39_filetype,input3_filetype,input4,input40,input40_filetype,input41,input41_filetype,input42,input42_filetype,input43,input43_filetype,input44,input44_filetype,input45,input45_filetype,input46,input46_filetype,input47,input47_filetype,input48,input48_filetype,input49,input49_filetype,input4_filetype,input5,input50,input50_filetype,input5_filetype,input6,input6_filetype,input7,input7_filetype,input8,input8_filetype,input9,input9_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,ownFile,ownFile_filetype,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.params.__current_case__,parameters.params.anchor_length,parameters.params.bowtie2_settings.__current_case__,parameters.params.bowtie2_settings.b2_settings,parameters.params.bowtie2_settings.preset.__current_case__,parameters.params.bowtie2_settings.preset.b2_preset,parameters.params.bowtie2_settings.preset.b2_preset_select,parameters.params.bowtie_n,parameters.params.coverage_search.__current_case__,parameters.params.coverage_search.max_coverage_intron,parameters.params.coverage_search.min_coverage_intron,parameters.params.coverage_search.use_search,parameters.params.fusion_search.__current_case__,parameters.params.fusion_search.anchor_len,parameters.params.fusion_search.do_search,parameters.params.fusion_search.ignore_chromosomes,parameters.params.fusion_search.min_dist,parameters.params.fusion_search.multipairs,parameters.params.fusion_search.multireads,parameters.params.fusion_search.read_mismatches,parameters.params.indel_search.__current_case__,parameters.params.indel_search.allow_indel_search,parameters.params.indel_search.max_deletion_length,parameters.params.indel_search.max_insertion_length,parameters.params.library_type,parameters.params.max_intron_length,parameters.params.max_multihits,parameters.params.max_segment_intron,parameters.params.microexon_search,parameters.params.min_intron_length,parameters.params.min_segment_intron,parameters.params.own_junctions.__current_case__,parameters.params.own_junctions.gene_model_ann.__current_case__,parameters.params.own_junctions.gene_model_ann.gene_annotation_model,parameters.params.own_junctions.gene_model_ann.gene_annotation_model.values,parameters.params.own_junctions.gene_model_ann.use_annotations,parameters.params.own_junctions.no_novel_juncs,parameters.params.own_junctions.raw_juncs.__current_case__,parameters.params.own_junctions.raw_juncs.raw_juncs,parameters.params.own_junctions.raw_juncs.use_juncs,parameters.params.own_junctions.use_junctions,parameters.params.read_edit_dist,parameters.params.read_mismatches,parameters.params.read_realign_edit_dist,parameters.params.seg_length,parameters.params.seg_mismatches,parameters.params.settingsType,parameters.params.splice_mismatches,parameters.readGroup.__current_case__,parameters.readGroup.rgid,parameters.readGroup.rglb,parameters.readGroup.rgpl,parameters.readGroup.rgsm,parameters.readGroup.specReadGroup,parameters.refGenomeSource.__current_case__,parameters.refGenomeSource.genomeSource,parameters.refGenomeSource.index,parameters.refGenomeSource.index.__class__,parameters.refGenomeSource.index.value,parameters.refGenomeSource.ownFile,parameters.refGenomeSource.ownFile.values,parameters.singlePaired.__current_case__,parameters.singlePaired.input,parameters.singlePaired.input.values,parameters.singlePaired.input1,parameters.singlePaired.input1.values,parameters.singlePaired.input2,parameters.singlePaired.input2.values,parameters.singlePaired.mate_inner_distance,parameters.singlePaired.mate_std_dev,parameters.singlePaired.report_discordant_pairs,parameters.singlePaired.sPaired,params|own_junctions|gene_annotation_model,params|own_junctions|gene_annotation_model_filetype,processor_count,raw_juncs,raw_juncs_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-05-04 18:06:35.071153,slurm_multi_dynamic_walltime,1430765759.0,0,6.0,,,main_w2_handler2,2290314,9389807,False,,4145152197,,,,,,,,,,,,,,,,,,,,,fastqsanger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3722610,slurm,,132112168.0,corral-repl,32286126.0,fasta,,0.0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preSet,,1,,,,,no,1,history,,,,19564175.0,,0,,,19537540.0,,,,,,,single,,,32.0,,,,22861679.0,1430762828.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.7,0.7,,2015-05-04 18:56:18.047902,62912.0,2931.0
,,2015-05-04 17:43:28.804907,slurm_multi_dynamic_walltime,1430766215.0,0,6.0,,,main_w2_handler2,2291298,9389675,False,,4437911376,,,,,,,,,,,,,,,,,,,,,fastqsanger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3722505,slurm,,132112168.0,corral-repl,,,,0.0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preSet,,1,,,,,no,0,indexed,hg19,,,,,0,,,19544503.0,,,,,,,single,,,32.0,,,,22739785.0,1430761431.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.7,0.7,,2015-05-04 19:03:46.909653,61730.0,4784.0
,,2015-05-04 18:21:53.245655,slurm_multi_dynamic_walltime,1430766483.0,0,6.0,92382491.0,gtf,main_w2_handler2,2287918,9389880,False,,3713805984,,,,,,,,,,,,,,,,,,,,,fastqsanger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3722681,slurm,,132112168.0,corral-repl,,,,0.0,no,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",1,8,1.0,Yes,0.0,Yes,sensitive,No,1.0,,,No,0.0,,No,,,,,,0.0,No,,,fr-unstranded,500000,20,500000,No,70,50,0.0,1.0,19563561.0,,Yes,Yes,0.0,,No,Yes,2,2,1000,25,2,full,0,1,,,,,no,0,indexed,mm9,,,,,0,,,19562930.0,,,,,,,single,,,32.0,,,,22744693.0,1430763746.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.7,0.7,,2015-05-04 19:08:11.102768,62858.0,2737.0
,,2015-05-04 15:46:57.231561,slurm_multi_dynamic_walltime,1430766767.0,0,6.0,,,main_w2_handler2,2250313,9388871,False,,8833693420,,,,,,,,,,,,,,,,,,,,,fastqsanger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3722365,slurm,,132112168.0,corral-repl,480843178.0,fasta,,0.0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,8,0.0,No,,,,No,1.0,,,No,0.0,,No,,,,,,1.0,Yes,3,3,fr-firststrand,50000,20,50000,No,25,25,1.0,,,,,,,,,No,2,2,1000,25,2,full,0,1,,,,,no,1,history,,,,19208203.0,,0,,,19163028.0,,,,,,,single,,,32.0,,,,22766877.0,1430760487.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.7,0.7,,2015-05-04 19:12:58.845747,61523.0,6280.0
,,2015-05-04 19:00:28.054793,slurm_multi_dynamic_walltime,1430766771.0,0,6.0,,,main_w2_handler2,2293149,9390107,False,,5371132,,,,,,,,,,,,,,,,,,,,,fastqsanger,5924089.0,,,,,,,,,,,,,,,,,,,,,fastqsanger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3722887,slurm,,132112168.0,corral-repl,,,,0.0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preSet,,1,,,,,no,0,indexed,hg19,,,,,1,,,19564612.0,,19564613.0,,110,20,Yes,paired,,,32.0,,,,22866337.0,1430766078.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.7,0.7,,2015-05-04 19:13:01.874043,63062.0,693.0
,,2015-05-04 18:25:03.474815,slurm_multi_dynamic_walltime,1430767255.0,0,6.0,52437654.0,gtf,main_w2_handler2,2289371,9389897,False,,2471570319,,,,,,,,,,,,,,,,,,,,,fastqsanger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3722692,slurm,,132112168.0,corral-repl,132276613.0,fasta,,0.0,no,,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""",1,8,0.0,No,,,,Yes,1.0,,,No,0.0,,No,,,,,,0.0,No,,,fr-unstranded,100000,20,100000,No,20,20,0.0,1.0,19528598.0,,Yes,Yes,0.0,,No,Yes,2,2,0,25,2,full,0,0,3.1D,,,3.1D,yes,1,history,,,,19528597.0,,0,,,19537019.0,,,,,,,single,,,32.0,,,,22811955.0,1430763933.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.7,0.7,,2015-05-04 19:21:04.345093,51952.0,3322.0
,,2015-05-04 19:08:56.467113,slurm_multi_dynamic_walltime,1430768148.0,0,6.0,,,main_w2_handler2,2250313,9390176,False,,2502318459,,,,,,,,,,,,,,,,,,,,,fastqsanger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3722949,slurm,,132112168.0,corral-repl,75201077.0,fasta,,0.0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,8,0.0,No,,,,No,1.0,,,No,0.0,,No,,,,,,1.0,Yes,3,3,fr-firststrand,50000,20,50000,No,25,25,1.0,,,,,,,,,No,2,2,1000,25,2,full,0,1,,,,,no,1,history,,,,19127186.0,,0,,,19565178.0,,,,,,,single,,,32.0,,,,22766877.0,1430766559.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.7,0.7,,2015-05-04 19:35:53.893317,61523.0,1589.0
,,2015-05-04 20:03:46.459577,slurm_multi_dynamic_walltime,1430775976.0,0,6.0,,,main_w2_handler2,2180216,9390514,False,,1533983908,,,,,,,,,,,,,,,,,,,,,fastqsanger,1533983908.0,,,,,,,,,,,,,,,,,,,,,fastqsanger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3723321,slurm,,132112168.0,corral-repl,,,,0.0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preSet,,1,,,,,no,0,indexed,hg19,,,,,1,,,19566059.0,,19566059.0,,300,20,Yes,paired,,,32.0,,,,22015057.0,1430771013.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.7,0.7,,2015-05-04 21:46:32.753509,58589.0,4963.0
,,2015-05-04 17:00:05.070477,slurm_multi_dynamic_walltime,1430768206.0,0,6.0,,,main_w2_handler2,2262611,9389374,False,,5276907206,,,,,,,,,,,,,,,,,,,,,fastqsanger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3722364,slurm,,132112168.0,corral-repl,1440727708.0,fasta,,0.0,no,,,"""/galaxy-repl/localdata/chrom/danRer7.len""","""danRer7""",1,8,0.0,No,,,,No,1.0,,,No,0.0,,No,,,,,,1.0,Yes,3,3,fr-unstranded,50000,20,50000,No,70,50,1.0,,,,,,,,,No,2,2,1000,25,2,full,0,1,,,,,no,1,history,,,,19193487.0,,0,,,19563279.0,,,,,,,single,,,32.0,,,,22698558.0,1430760476.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.7,0.7,,2015-05-04 19:36:55.051812,52602.0,7730.0
,,2015-05-04 18:37:30.065969,slurm_multi_dynamic_walltime,1430769026.0,0,6.0,,,main_w2_handler2,2268099,9389962,False,,4086246431,,,,,,,,,,,,,,,,,,,,,fastqsanger,4086246431.0,,,,,,,,,,,,,,,,,,,,,fastqsanger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3722758,slurm,,132112168.0,corral-repl,,,,0.0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preSet,,1,,,,,no,0,indexed,dm3,,,,,1,,,19563428.0,,19563882.0,,110,20,Yes,paired,,,32.0,,,,22739785.0,1430764713.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.7,0.7,,2015-05-04 19:50:37.299178,61730.0,4313.0
