chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input_file,input_file_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input_file,parameters.input_file.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-03-27 15:03:41.097157,rodeo_normal,1427496068.0,0,1.0,main_w2_handler1,2251660,9062732,False,,14048,bam,3356227.roundup,slurm,,132112168.0,corral-repl,,"""722c5baed49211e4af6f005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",19030599,,32.0,,21438488.0,1427496065.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_BamIndexStats/1.56.0,1.56.0,,2015-03-27 22:41:13.108432,53939.0,3.0
,,2015-03-24 20:38:07.030263,rodeo_normal,1427231215.0,0,1.0,main_w2_handler1,2227574,9027924,False,,582091311,bam,3313245.roundup,slurm,,132112168.0,corral-repl,,"""a86af2c2d26511e49c5d005056a52a46""","""/galaxy-repl/main/files/010/195/dataset_10195902.dat""","""An.gambiae-P4_ForPhil""",18980209,,32.0,,21438488.0,1427231211.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_BamIndexStats/1.56.0,1.56.0,,2015-03-24 21:06:59.288754,53939.0,4.0
,,2015-03-24 20:22:09.924914,rodeo_normal,1427229274.0,0,1.0,main_w1_handler0,2227574,9027835,False,,101554807,bam,3312852.roundup,slurm,,132112168.0,corral-repl,,"""70da4922d26311e481de005056a52a46""","""/galaxy-repl/main/files/010/195/dataset_10195902.dat""","""An.gambiae-P4_ForPhil""",18980095,,32.0,,21438488.0,1427229270.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_BamIndexStats/1.56.0,1.56.0,,2015-03-24 20:34:36.486124,53939.0,4.0
,,2015-03-24 15:44:33.821204,rodeo_normal,1427211892.0,0,1.0,main_w2_handler1,2237018,9024753,False,,230209928,bam,3309786.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18967979,,32.0,,21790506.0,1427211888.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_BamIndexStats/1.56.0,1.56.0,,2015-03-24 15:44:57.383614,,4.0
,,2015-07-27 10:36:12.717001,slurm_normal,1437993584.0,0,1.0,main_w1_handler1,2370391,10005048,False,,33205039,bam,4287438.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20398418,,32.0,,23562464.0,1437993580.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_BamIndexStats/1.56.0,1.56.0,,2015-07-27 10:39:48.733390,,4.0
,,2015-05-05 02:22:58.040904,slurm_normal,1430792600.0,0,1.0,main_w2_handler0,2293504,9392788,False,,2143054,bam,3725291.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19573604,,32.0,,22877276.0,1430792597.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_BamIndexStats/1.56.0,1.56.0,,2015-05-05 02:23:25.495115,,3.0
,,2015-03-27 15:01:37.345750,rodeo_normal,1427492271.0,0,1.0,main_w1_handler0,2251574,9062391,False,,54653,bam,3355275.roundup,slurm,,132112168.0,corral-repl,,"""2818921cd49211e4af6f005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",19030073,,32.0,,21438488.0,1427492266.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_BamIndexStats/1.56.0,1.56.0,,2015-03-27 21:37:54.795517,53939.0,5.0
,,2015-03-27 19:04:23.084613,rodeo_normal,1427492168.0,0,1.0,main_w2_handler0,2252216,9068696,False,,6688,bam,3355220.roundup,slurm,,132112168.0,corral-repl,,"""0f2ccbfcd4b411e4b294005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",19038397,,32.0,,21438488.0,1427492165.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_BamIndexStats/1.56.0,1.56.0,,2015-03-27 21:36:15.903975,53939.0,3.0
,,2015-03-27 15:01:41.563463,rodeo_normal,1427492330.0,0,1.0,main_w1_handler0,2251576,9062402,False,,7411,bam,3355304.roundup,slurm,,132112168.0,corral-repl,,"""2904dc44d49211e49c5d005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",19030089,,32.0,,21438488.0,1427492327.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_BamIndexStats/1.56.0,1.56.0,,2015-03-27 21:38:53.675257,53939.0,3.0
,,2015-03-27 15:01:34.122933,rodeo_normal,1427492219.0,0,1.0,main_w1_handler0,2251571,9062380,False,,10051,bam,3355249.roundup,slurm,,132112168.0,corral-repl,,"""259755fad49211e4b53a005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",19030057,,32.0,,21438488.0,1427492215.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_BamIndexStats/1.56.0,1.56.0,,2015-03-27 21:37:02.660144,53939.0,4.0
