chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.ignore,parameters.ignore_warnings,parameters.inputFile,parameters.inputFile.values,parameters.is_bisulfite_sequenced,parameters.max_output,parameters.mode,parameters.reference_source.__current_case__,parameters.reference_source.ref_file,parameters.reference_source.reference_source_selector,parameters.validate_index,processor_count,ref_file,ref_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-05-12 10:02:28.710427,slurm_normal_16gb,1431425001.0,1,1.0,main_w1_handler0,2269385,9452059,False,,3223330790,bam,3777395.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[""INVALID_TAG_NM"", ""RECORD_MISSING_READ_GROUP""]","""False""",19674321,,"""False""","""1000""","""VERBOSE""",0,mm9,cached,"""False""",32.0,,,,22111516,1431424973.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ValidateSamFile/1.126.0,1.126.0,,2015-05-12 10:03:23.097269,56144.0,28.0
,,2015-04-26 17:55:35.995344,slurm_normal_16gb,1430148551.0,1,1.0,main_w1_handler1,2182500,9333709,False,,8059252079,bam,3674291.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/danRer7.len""","""danRer7""",,"""False""",19454158,,"""False""","""100""","""VERBOSE""",1,19377644,history,"""True""",32.0,1376438204.0,fasta,,20675439,1430148473.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ValidateSamFile/1.126.0,1.126.0,,2015-04-27 15:29:36.060204,58711.0,78.0
,,2015-05-03 18:38:16.400538,slurm_normal_16gb,1430678326.0,1,1.0,main_w2_handler1,1565459,9383303,False,,3503534073,bam,3717646.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",,"""False""",19541294,,"""False""","""100""","""VERBOSE""",0,hg19,cached,"""True""",32.0,,,,22827627,1430678318.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ValidateSamFile/1.126.0,1.126.0,,2015-05-03 18:38:48.246315,36219.0,8.0
,,2015-05-04 09:13:37.984226,slurm_normal_16gb,1430730850.0,1,1.0,main_w1_handler1,1356988,9386360,False,,3368998964,sam,3719897.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[""INVALID_FLAG_PROPER_PAIR"", ""INVALID_FLAG_MATE_UNMAPPED"", ""MISMATCH_FLAG_MATE_UNMAPPED"", ""INVALID_FLAG_MATE_NEG_STRAND"", ""MISMATCH_FLAG_MATE_NEG_STRAND"", ""INVALID_FLAG_FIRST_OF_PAIR"", ""INVALID_FLAG_SECOND_OF_PAIR"", ""PAIRED_READ_NOT_MARKED_AS_FIRST_OR_SECOND"", ""INVALID_FLAG_NOT_PRIM_ALIGNMENT"", ""INVALID_FLAG_SUPPLEMENTARY_ALIGNMENT"", ""INVALID_FLAG_READ_UNMAPPED"", ""INVALID_INSERT_SIZE"", ""INVALID_MAPPING_QUALITY"", ""MISMATCH_MATE_ALIGNMENT_START"", ""MISSING_READ_GROUP"", ""READ_GROUP_NOT_FOUND"", ""RECORD_MISSING_READ_GROUP"", ""DUPLICATE_READ_GROUP_ID""]","""False""",19547209,,"""False""","""100""","""VERBOSE""",0,hg19,cached,"""True""",32.0,,,,22854559,1430730842.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ValidateSamFile/1.126.0,1.126.0,,2015-05-04 09:14:12.678380,29483.0,8.0
,,2015-05-04 09:04:23.614471,slurm_normal_16gb,1430730287.0,1,1.0,main_w1_handler1,1356988,9386342,False,,820490714,bam,3719878.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[""INVALID_FLAG_MATE_UNMAPPED"", ""MISMATCH_FLAG_MATE_UNMAPPED"", ""MATE_FIELD_MISMATCH"", ""MISSING_READ_GROUP"", ""RECORD_MISSING_READ_GROUP"", ""DUPLICATE_READ_GROUP_ID""]","""False""",19547289,,"""False""","""100""","""VERBOSE""",0,hg19,cached,"""True""",32.0,,,,22854559,1430730281.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ValidateSamFile/1.126.0,1.126.0,,2015-05-04 09:04:51.257547,29483.0,6.0
,,2015-05-04 09:18:16.257865,slurm_normal_16gb,1430731233.0,1,1.0,main_w1_handler0,1356988,9386377,False,,820490714,bam,3719910.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[""INVALID_FLAG_PROPER_PAIR"", ""INVALID_FLAG_MATE_UNMAPPED"", ""MISMATCH_FLAG_MATE_UNMAPPED"", ""INVALID_FLAG_MATE_NEG_STRAND"", ""MISMATCH_FLAG_MATE_NEG_STRAND"", ""INVALID_FLAG_FIRST_OF_PAIR"", ""INVALID_FLAG_SECOND_OF_PAIR"", ""PAIRED_READ_NOT_MARKED_AS_FIRST_OR_SECOND"", ""INVALID_FLAG_NOT_PRIM_ALIGNMENT"", ""INVALID_FLAG_SUPPLEMENTARY_ALIGNMENT"", ""INVALID_FLAG_READ_UNMAPPED"", ""INVALID_INSERT_SIZE"", ""MISSING_READ_GROUP"", ""READ_GROUP_NOT_FOUND"", ""RECORD_MISSING_READ_GROUP"", ""DUPLICATE_READ_GROUP_ID""]","""False""",19547289,,"""False""","""100""","""VERBOSE""",0,hg19,cached,"""True""",32.0,,,,22854559,1430731120.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ValidateSamFile/1.126.0,1.126.0,,2015-05-04 09:20:40.238979,29483.0,113.0
,,2015-05-04 09:28:48.654953,slurm_normal_16gb,1430731847.0,0,1.0,main_w2_handler1,1356988,9386405,False,,820490714,bam,3719936.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[""INVALID_QUALITY_FORMAT"", ""INVALID_FLAG_PROPER_PAIR"", ""INVALID_FLAG_MATE_UNMAPPED"", ""MISMATCH_FLAG_MATE_UNMAPPED"", ""INVALID_FLAG_MATE_NEG_STRAND"", ""MISMATCH_FLAG_MATE_NEG_STRAND"", ""INVALID_FLAG_FIRST_OF_PAIR"", ""INVALID_FLAG_SECOND_OF_PAIR"", ""PAIRED_READ_NOT_MARKED_AS_FIRST_OR_SECOND"", ""INVALID_FLAG_NOT_PRIM_ALIGNMENT"", ""INVALID_FLAG_SUPPLEMENTARY_ALIGNMENT"", ""INVALID_FLAG_READ_UNMAPPED"", ""INVALID_INSERT_SIZE"", ""INVALID_MAPPING_QUALITY"", ""INVALID_CIGAR"", ""ADJACENT_INDEL_IN_CIGAR"", ""INVALID_MATE_REF_INDEX"", ""MISMATCH_MATE_REF_INDEX"", ""INVALID_REFERENCE_INDEX"", ""INVALID_ALIGNMENT_START"", ""MISMATCH_MATE_ALIGNMENT_START"", ""MATE_FIELD_MISMATCH"", ""INVALID_TAG_NM"", ""MISSING_TAG_NM"", ""MISSING_HEADER"", ""MISSING_SEQUENCE_DICTIONARY"", ""MISSING_READ_GROUP"", ""RECORD_OUT_OF_ORDER"", ""READ_GROUP_NOT_FOUND"", ""RECORD_MISSING_READ_GROUP"", ""INVALID_INDEXING_BIN"", ""MISSING_VERSION_NUMBER"", ""INVALID_VERSION_NUMBER"", ""TRUNCATED_FILE"", ""MISMATCH_READ_LENGTH_AND_QUALS_LENGTH"", ""EMPTY_READ"", ""CIGAR_MAPS_OFF_REFERENCE"", ""MISMATCH_READ_LENGTH_AND_E2_LENGTH"", ""MISMATCH_READ_LENGTH_AND_U2_LENGTH"", ""E2_BASE_EQUALS_PRIMARY_BASE"", ""BAM_FILE_MISSING_TERMINATOR_BLOCK"", ""UNRECOGNIZED_HEADER_TYPE"", ""POORLY_FORMATTED_HEADER_TAG"", ""HEADER_TAG_MULTIPLY_DEFINED"", ""HEADER_RECORD_MISSING_REQUIRED_TAG"", ""INVALID_DATE_STRING"", ""TAG_VALUE_TOO_LARGE"", ""INVALID_INDEX_FILE_POINTER"", ""INVALID_PREDICTED_MEDIAN_INSERT_SIZE"", ""DUPLICATE_READ_GROUP_ID"", ""MISSING_PLATFORM_VALUE"", ""INVALID_PLATFORM_VALUE"", ""DUPLICATE_PROGRAM_GROUP_ID"", ""MATE_NOT_FOUND"", ""MATES_ARE_SAME_END"", ""MISMATCH_MATE_CIGAR_STRING"", ""MATE_CIGAR_STRING_INVALID_PRESENCE""]","""False""",19547289,,"""False""","""100""","""VERBOSE""",0,hg19,cached,"""True""",32.0,,,,22854559,1430731760.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ValidateSamFile/1.126.0,1.126.0,,2015-05-04 09:30:50.815669,29483.0,87.0
,,2015-05-14 03:00:27.068093,slurm_normal_16gb,1431572491.0,1,1.0,main_w2_handler1,2269385,9468224,False,,25323986953,bam,3792916.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[""INVALID_TAG_NM"", ""RECORD_MISSING_READ_GROUP""]","""False""",19699499,,"""False""","""100""","""VERBOSE""",0,mm9,cached,"""False""",32.0,,,,22111516,1431572458.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ValidateSamFile/1.126.0,1.126.0,,2015-05-14 03:01:32.596695,56144.0,33.0
,,2015-05-14 03:52:06.799344,slurm_normal_16gb,1431575553.0,1,1.0,main_w2_handler0,2269385,9468408,False,,25323986953,bam,3793070.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",,"""False""",19699499,,"""False""","""100""","""VERBOSE""",0,mm9,cached,"""False""",32.0,,,,22111516,1431575548.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ValidateSamFile/1.126.0,1.126.0,,2015-05-14 03:52:35.231199,56144.0,5.0
,,2015-05-14 03:53:47.320080,slurm_normal_16gb,1431575664.0,1,1.0,main_w1_handler0,2269385,9468417,False,,25323986953,bam,3793078.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[""RECORD_MISSING_READ_GROUP""]","""False""",19699499,,"""False""","""100""","""VERBOSE""",0,mm9,cached,"""False""",32.0,,,,22111516,1431575660.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ValidateSamFile/1.126.0,1.126.0,,2015-05-14 03:54:25.928667,56144.0,4.0
