chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,genome,genome_filetype,handler,history_id,id,imported,info,inputA,inputA_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.addition.__current_case__,parameters.addition.addition_select,parameters.addition.b,parameters.addition.l,parameters.addition.r,parameters.chromInfo,parameters.dbkey,parameters.genome,parameters.genome.values,parameters.header,parameters.inputA,parameters.inputA.values,parameters.pct,parameters.strand,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-01-30 17:28:17.373328,slurm_normal,1454174930.0,0,1.0,143757952,tabular,main_w1_handler0,2582008,11638773,False,,65430,bed,5902166.roundup,slurm,,132112168.0,corral-repl,,,0,b,240,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23092896,,"""False""",23090524,,"""False""","""False""",32.0,,27950209.0,1454174927.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.22.0,2.22.0,,2016-01-30 17:28:53.803004,69742.0,3.0
,,2016-01-08 21:38:29.922863,slurm_normal,1452289139.0,0,1.0,365,gg,main_w1_handler0,2560124,11426017,False,,260624,bed,5689097.roundup,slurm,,132112168.0,corral-repl,,,0,b,30,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",22804112,,"""False""",22803979,,"""False""","""False""",32.0,,27239902.0,1452289131.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.22.0,2.22.0,,2016-01-08 21:39:06.839521,64737.0,8.0
,,2016-01-08 22:28:16.927698,slurm_normal,1452292122.0,0,1.0,365,gg,main_w1_handler2,2560124,11426254,False,,48863,bed,5689951.roundup,slurm,,132112168.0,corral-repl,,,0,b,30,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",22804112,,"""False""",22804439,,"""False""","""False""",32.0,,27239902.0,1452292118.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.22.0,2.22.0,,2016-01-08 22:28:44.042590,64737.0,4.0
,,2016-01-08 22:44:08.823786,slurm_normal,1452293178.0,0,1.0,47404,bed,main_w2_handler0,2560124,11426356,False,,47404,bed,5690263.roundup,slurm,,132112168.0,corral-repl,,,0,b,30,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",22804968,,"""False""",22804968,,"""False""","""False""",32.0,,27239902.0,1452293083.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.22.0,2.22.0,,2016-01-08 22:46:24.939494,64737.0,95.0
,,2016-01-08 22:50:51.551630,slurm_normal,1452293477.0,0,1.0,365,gg,main_w1_handler2,2560124,11426449,False,,47404,bed,5690360.roundup,slurm,,132112168.0,corral-repl,,,0,b,30,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",22804112,,"""False""",22804968,,"""False""","""False""",32.0,,27239902.0,1452293472.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.22.0,2.22.0,,2016-01-08 22:51:22.504640,64737.0,5.0
,,2016-02-12 00:49:32.046201,slurm_normal,1455238809.0,0,1.0,585,bed,main_w1_handler2,2594365,11796716,False,,509674041,bed,6051475.roundup,slurm,,132112168.0,corral-repl,,,1,lr,,0,200,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",23305859,,"""False""",23305030,,"""False""","""False""",32.0,,26626013.0,1455238661.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.22.0,2.22.0,,2016-02-12 01:00:12.961072,34556.0,148.0
,,2016-02-12 01:06:53.850158,slurm_normal,1455239290.0,0,1.0,585,bed,main_w2_handler1,2594365,11796806,False,,448191417,bed,6051513.roundup,slurm,,132112168.0,corral-repl,,,1,lr,,0,200,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",23305859,,"""False""",23305024,,"""False""","""False""",32.0,,26626013.0,1455239237.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.22.0,2.22.0,,2016-02-12 01:08:14.085695,34556.0,53.0
,,2016-02-12 01:07:14.772032,slurm_normal,1455239402.0,0,1.0,585,bed,main_w2_handler1,2594365,11796808,False,,679062198,bed,6051518.roundup,slurm,,132112168.0,corral-repl,,,1,lr,,0,200,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",23305859,,"""False""",23305020,,"""False""","""False""",32.0,,26626013.0,1455239314.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.22.0,2.22.0,,2016-02-12 01:10:08.544642,34556.0,88.0
,,2016-02-12 02:12:51.390025,slurm_normal,1455243301.0,0,1.0,585,bed,main_w1_handler1,2594365,11797058,False,,509674041,bed,6051775.roundup,slurm,,132112168.0,corral-repl,,,1,lr,,1405,1604,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",23305859,,"""False""",23305030,,"""False""","""False""",32.0,,26626013.0,1455243224.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.22.0,2.22.0,,2016-02-12 02:15:06.954691,34556.0,77.0
,,2016-02-12 02:09:33.409438,slurm_normal,1455243076.0,0,1.0,585,bed,main_w2_handler0,2594365,11797023,False,,509674041,bed,6051738.roundup,slurm,,132112168.0,corral-repl,,,1,lr,,500,1000,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",23305859,,"""False""",23305030,,"""False""","""False""",32.0,,26626013.0,1455243019.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.22.0,2.22.0,,2016-02-12 02:11:21.524804,34556.0,57.0
